,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,4816,2020-06-30 13:04:00,BNB,0.0,-0.06662894999999999,999.93337105,0.0,999.93337105,9115.3203125,8.67,15.37,8.67,15.37,entry_initial_normal_long,taker,0.133266779425583,0.133266779425583,0.0,0.133266779425583,4816,0.10969810569122554
1,4986,2020-06-30 15:54:00,BNB,0.346800000000008,-0.06680235000000001,1000.2133687,0.0,1000.2133687,9165.5302734375,-8.67,15.41,0.0,15.37,close_trailing_long,taker,0.0,0.0,0.0,0.0,4986,0.10912771425770149
2,7267,2020-07-02 05:55:00,BNB,0.0,-0.053176440000000005,1000.16019226,0.0,1000.16019226,9222.8896484375,8.43,15.77,8.43,15.77,entry_initial_normal_long,maker,0.13291980727567373,0.13291980727567373,0.0,0.13291980727567373,7267,0.10844325698176846
3,7790,2020-07-02 14:38:00,BNB,0.25290000000000956,-0.06659699999999999,1000.34649526,0.0,1000.34649526,9229.9599609375,-8.43,15.8,0.0,15.77,close_trailing_long,taker,0.0,0.0,0.0,0.0,7790,0.10838037212443047
4,7816,2020-07-02 15:04:00,BNB,0.0,-0.05318136000000001,1000.2933138999999,0.0,1000.2933138999999,9090.26953125,8.49,15.66,8.49,15.66,entry_initial_normal_long,maker,0.13291441435475942,0.13291441435475942,0.0,0.13291441435475942,7816,0.11004000601536068
5,13043,2020-07-06 06:11:00,BNB,0.0,-0.0665616,1000.2267522999999,0.0,1000.2267522999999,9124.2998046875,8.49,15.68,16.98,15.67,entry_trailing_normal_long,taker,0.266016280196628,0.266016280196628,0.0,0.266016280196628,13043,0.10962230239148273
6,13056,2020-07-06 06:24:00,BNB,0.1697999999999964,-0.1331232,1000.2634290999999,0.0,1000.2634290999999,9189.349609375,-16.98,15.68,0.0,15.67,close_trailing_long,taker,0.0,0.0,0.0,0.0,13056,0.10885029644312677
7,14487,2020-07-07 06:15:00,BNB,0.0,-0.05313000000000001,1000.2102990999999,0.0,1000.2102990999999,9255.8203125,8.25,16.1,8.25,16.1,entry_initial_normal_long,maker,0.13279707289508755,0.13279707289508755,0.0,0.13279707289508755,14487,0.10806284751976163
8,14559,2020-07-07 07:27:00,BNB,0.08249999999998359,-0.06645375,1000.2263453499999,0.0,1000.2263453499999,9249.6904296875,-8.25,16.11,0.0,16.1,close_trailing_long,taker,0.0,0.0,0.0,0.0,14559,0.10813619687635237
9,15304,2020-07-07 19:52:00,BNB,0.0,-0.053156560000000005,1000.1731887899998,0.0,1000.1731887899998,9232.849609375,8.02,16.57,8.02,16.57,entry_initial_normal_long,maker,0.13286838868453452,0.13286838868453452,0.0,0.13286838868453452,15304,0.10832768117163176
