,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,38624,2021-02-20 14:56:00,BTC,0.0,-0.04490264000000001,999.95509736,0.0,999.95509736,56385.05859375,0.002,56128.3,0.002,56128.3,entry_initial_normal_long,maker,0.11226164084404464,0.11226164084404464,0.0,0.11226164084404464,38624,0.017734398478941014
1,38645,2021-02-20 15:17:00,BTC,0.515,-0.05638580000000001,1000.4137115599999,0.0,1000.4137115599999,56414.05078125,-0.002,56385.8,0.0,56128.3,close_trailing_long,taker,0.0,0.0,0.0,0.0,38645,0.01773341388724565
2,38651,2021-02-20 15:23:00,BTC,0.0,-0.044753600000000004,1000.3689579599999,0.0,1000.3689579599999,56044.03125,0.002,55942.0,0.002,55942.0,entry_initial_normal_long,maker,0.11184273473275219,0.11184273473275219,0.0,0.11184273473275219,38651,0.01784969666970557
3,38669,2021-02-20 15:41:00,BTC,0.35000000000000003,-0.05611700000000001,1000.6628409599999,0.0,1000.6628409599999,56145.1015625,-0.002,56117.0,0.0,55942.0,close_trailing_long,taker,0.0,0.0,0.0,0.0,38669,0.017822798661181066
4,39081,2021-02-20 22:33:00,BTC,0.0,-0.055793100000000005,1000.60704786,0.0,1000.60704786,55765.2109375,0.002,55793.1,0.002,55793.1,entry_initial_normal_long,taker,0.11151850293144507,0.11151850293144507,0.0,0.11151850293144507,39081,0.01794321282100862
5,39089,2021-02-20 22:41:00,BTC,0.0,-0.065439,1000.54160886,0.0,1000.54160886,54160.76953125,0.003,54532.5,0.005,55036.740000000005,entry_grid_normal_long,maker,0.27503473874868595,0.27503473874868595,0.0,0.27503473874868595,39089,0.01847354861312858
6,39098,2021-02-20 22:50:00,BTC,2.169799999999959,-0.13867675,1002.5727321100001,0.0,1002.5727321100001,55498.5,-0.005,55470.7,0.0,55036.740000000005,close_trailing_long,taker,0.0,0.0,0.0,0.0,39098,0.0180648617910394
7,40849,2021-02-22 04:01:00,BTC,0.0,-0.04448312000000001,1002.5282489900001,0.0,1002.5282489900001,55676.078125,0.002,55603.9,0.002,55603.9,entry_initial_normal_long,maker,0.11092734804434351,0.11092734804434351,0.0,0.11092734804434351,40849,0.018006445187090842
8,40865,2021-02-22 04:17:00,BTC,0.738,-0.055972900000000006,1003.2102760900001,0.0,1003.2102760900001,56001.0,-0.002,55972.9,0.0,55603.9,close_trailing_long,taker,0.0,0.0,0.0,0.0,40865,0.01791414932036928
9,41201,2021-02-22 09:53:00,BTC,0.0,-0.04384992000000001,1003.1664261700001,0.0,1003.1664261700001,54859.671875,0.002,54812.4,0.002,54812.4,entry_initial_normal_long,maker,0.1092787768212476,0.1092787768212476,0.0,0.1092787768212476,41201,0.018286044955860396
10,41212,2021-02-22 10:04:00,BTC,-0.41360000000000585,-0.054605600000000004,1002.6982205700002,0.0,1002.6982205700002,54633.0,-0.002,54605.6,0.0,54812.4,close_trailing_long,taker,0.0,0.0,0.0,0.0,41212,0.018353343593981664
11,41213,2021-02-22 10:05:00,BTC,0.0,-0.0547245,1002.6434960700002,0.0,1002.6434960700002,54697.1015625,0.002,54724.5,0.002,54724.5,entry_initial_normal_long,taker,0.109160434819555,0.109160434819555,0.0,0.109160434819555,41213,0.018330834128830815
12,41261,2021-02-22 10:53:00,BTC,-0.011600000000005821,-0.0547187,1002.5771773700002,0.0,1002.5771773700002,54746.16015625,-0.002,54718.7,0.0,54724.5,close_trailing_long,taker,0.0,0.0,0.0,0.0,41261,0.01831319629556782
13,41334,2021-02-22 12:06:00,BTC,0.0,-0.043180960000000004,1002.5339964100002,0.0,1002.5339964100002,54000.0,0.002,53976.2,0.002,53976.2,entry_initial_normal_long,maker,0.10767954043111708,0.10767954043111708,0.0,0.10767954043111708,41334,0.018565444377962967
14,41340,2021-02-22 12:12:00,BTC,-0.3261999999999971,-0.0538131,1002.1539833100003,0.0,1002.1539833100003,53840.109375,-0.002,53813.1,0.0,53976.2,close_trailing_long,taker,0.0,0.0,0.0,0.0,41340,0.01861352056939428
15,41341,2021-02-22 12:13:00,BTC,0.0,-0.0536755,1002.1003078100002,0.0,1002.1003078100002,53648.609375,0.002,53675.5,0.002,53675.5,entry_initial_normal_long,taker,0.1071260024204622,0.1071260024204622,0.0,0.1071260024204622,41341,0.01867896147699542
16,41351,2021-02-22 12:23:00,BTC,-0.1551999999999971,-0.042878320000000004,1001.9022294900002,0.0,1001.9022294900002,53707.76171875,-0.002,53597.9,0.0,53675.5,close_trailing_long,maker,0.0,0.0,0.0,0.0,41351,0.01865470087427279
17,41352,2021-02-22 12:24:00,BTC,0.0,-0.0429128,1001.8593166900002,0.0,1001.8593166900002,53591.05859375,0.002,53641.0,0.002,53641.0,entry_initial_normal_long,maker,0.10708289897871526,0.10708289897871526,0.0,0.10708289897871526,41352,0.018694523731741342
18,41363,2021-02-22 12:35:00,BTC,0.2468000000000029,-0.053764400000000004,1002.0523522900003,0.0,1002.0523522900003,53791.3515625,-0.002,53764.4,0.0,53641.0,close_trailing_long,taker,0.0,0.0,0.0,0.0,41363,0.018628502969026885
19,41374,2021-02-22 12:46:00,BTC,0.0,-0.053637300000000006,1001.9987149900003,0.0,1001.9987149900003,53610.4296875,0.002,53637.3,0.002,53637.3,entry_initial_normal_long,taker,0.10706061634128002,0.10706061634128002,0.0,0.10706061634128002,41374,0.018690369035106427
20,41387,2021-02-22 12:59:00,BTC,0.4581999999999971,-0.05386640000000001,1002.4030485900004,0.0,1002.4030485900004,53893.390625,-0.002,53866.4,0.0,53637.3,close_trailing_long,taker,0.0,0.0,0.0,0.0,41387,0.018599739911799255
21,41408,2021-02-22 13:20:00,BTC,0.0,-0.04246968,1002.3605789100004,0.0,1002.3605789100004,53165.0,0.002,53087.1,0.002,53087.1,entry_initial_normal_long,maker,0.10592415766735089,0.10592415766735089,0.0,0.10592415766735089,41408,0.01885376806000189
22,41418,2021-02-22 13:30:00,BTC,-0.08019999999999709,-0.053047000000000004,1002.2273319100004,0.0,1002.2273319100004,53073.58984375,-0.002,53047.0,0.0,53087.1,close_trailing_long,taker,0.0,0.0,0.0,0.0,41418,0.018883729833625032
23,41419,2021-02-22 13:31:00,BTC,0.0,-0.042340720000000005,1002.1849911900005,0.0,1002.1849911900005,52904.94140625,0.002,52925.9,0.002,52925.9,entry_initial_normal_long,maker,0.10562101900399741,0.10562101900399741,0.0,0.10562101900399741,41419,0.01894312638009284
24,41437,2021-02-22 13:49:00,BTC,0.2991999999999971,-0.0530755,1002.4311156900005,0.0,1002.4311156900005,53102.12109375,-0.002,53075.5,0.0,52925.9,close_trailing_long,taker,0.0,0.0,0.0,0.0,41437,0.018877421373060452
25,41440,2021-02-22 13:52:00,BTC,0.0,-0.042176160000000004,1002.3889395300005,0.0,1002.3889395300005,52620.23046875,0.002,52720.2,0.002,52720.2,entry_initial_normal_long,maker,0.10518910957800355,0.10518910957800355,0.0,0.10518910957800355,41440,0.019049497324518508
26,41443,2021-02-22 13:55:00,BTC,-0.5903999999999942,-0.052425000000000006,1001.7461145300005,0.0,1001.7461145300005,52451.26953125,-0.002,52425.0,0.0,52720.2,close_trailing_long,taker,0.0,0.0,0.0,0.0,41443,0.019098605686429935
27,41444,2021-02-22 13:56:00,BTC,0.0,-0.052356900000000005,1001.6937576300005,0.0,1001.6937576300005,52330.6484375,0.002,52356.9,0.002,52356.9,entry_initial_normal_long,taker,0.10453674009884222,0.10453674009884222,0.0,0.10453674009884222,41444,0.019141627087353067
28,41448,2021-02-22 14:00:00,BTC,-0.15140000000000872,-0.04182496,1001.5005326700006,0.0,1001.5005326700006,52489.73828125,-0.002,52281.2,0.0,52356.9,close_trailing_long,maker,0.0,0.0,0.0,0.0,41448,0.01907993001039118
29,41449,2021-02-22 14:01:00,BTC,0.0,-0.05228240000000001,1001.4482502700006,0.0,1001.4482502700006,52256.19921875,0.002,52282.4,0.002,52282.4,entry_initial_normal_long,taker,0.1044135830002282,0.1044135830002282,0.0,0.1044135830002282,41449,0.019164199946456722
30,41455,2021-02-22 14:07:00,BTC,-0.5361999999999971,-0.052014300000000006,1000.8600359700006,0.0,1000.8600359700006,52040.3984375,-0.002,52014.3,0.0,52282.4,close_trailing_long,taker,0.0,0.0,0.0,0.0,41455,0.019232366892271657
31,41456,2021-02-22 14:08:00,BTC,0.0,-0.052108100000000004,1000.8079278700005,0.0,1000.8079278700005,52081.98828125,0.002,52108.1,0.002,52108.1,entry_initial_normal_long,taker,0.1041320687994561,0.1041320687994561,0.0,0.1041320687994561,41456,0.01921600846852271
32,41461,2021-02-22 14:13:00,BTC,0.0,-0.061128840000000004,1000.7467990300005,0.0,1000.7467990300005,50799.0,0.003,50940.7,0.005,51407.66,entry_grid_normal_long,maker,0.25684648729243104,0.25684648729243104,0.0,0.25684648729243104,41461,0.019700127936179857
33,41463,2021-02-22 14:15:00,BTC,0.0,-0.16016992000000002,1000.5866291100004,0.0,1000.5866291100004,50080.0,0.008,50053.1,0.013,50574.08461538462,entry_grid_normal_long,maker,0.6570776391293565,0.6570776391293565,0.0,0.6570776391293565,41463,0.019979764958266782
34,41464,2021-02-22 14:16:00,BTC,0.0,-0.21436096,1000.3722681500004,0.0,1000.3722681500004,48000.0,0.011,48718.4,0.024,49723.5625,entry_grid_cropped_long,maker,1.1929214133523556,1.1929214133523556,0.0,1.1929214133523556,41464,0.020841088919791674
35,41466,2021-02-22 14:18:00,BTC,0.0,-1.4098893000000001,998.9623788500004,0.0,998.9623788500004,49445.01171875,0.057,49469.8,0.081,49544.988888888896,entry_trailing_cropped_long,taker,4.017312548466449,4.017312548466449,0.0,4.017312548466449,41466,0.02020350171079411
36,41467,2021-02-22 14:19:00,BTC,1.3032222222222045,-0.0501966,1000.2154044722225,0.0,1000.2154044722225,50221.76953125,-0.002,50196.6,0.079,49544.988888888896,close_auto_reduce_wel_long,taker,3.9132111990292007,3.9132111990292007,0.0,3.9132111990292007,41467,0.019915972969647124
37,41467,2021-02-22 14:19:00,BTC,1.3032222222222045,-0.0501966,1001.4684300944447,0.0,1001.4684300944447,50221.76953125,-0.002,50196.6,0.077,49544.988888888896,close_unstuck_long,taker,3.80937035038106,3.80937035038106,0.0,3.80937035038106,41467,0.01994092281976028
38,41468,2021-02-22 14:20:00,BTC,0.3198111111111066,-0.0249324,1001.7633088055558,0.0,1001.7633088055558,49889.76953125,-0.001,49864.8,0.076,49544.988888888896,close_unstuck_long,taker,3.7587912458534967,3.7587912458534967,0.0,3.7587912458534967,41468,0.02007953370436138
39,41469,2021-02-22 14:21:00,BTC,0.9876222222222132,-0.0500388,1002.7008922277779,0.0,1002.7008922277779,50063.87109375,-0.002,50038.8,0.074,49544.988888888896,close_unstuck_long,taker,3.6564534909628055,3.6564534909628055,0.0,3.6564534909628055,41469,0.020028433086009517
40,41470,2021-02-22 14:22:00,BTC,1.4279111111111051,-0.02548645,1004.103316888889,0.0,1004.103316888889,50998.41015625,-0.001,50972.9,0.073,49544.988888888896,close_unstuck_long,taker,3.6020040249395087,3.6020040249395087,0.0,3.6020040249395087,41470,0.019688914101684666
41,41471,2021-02-22 14:23:00,BTC,1.5407111111111007,-0.02554285,1005.6184851500002,0.0,1005.6184851500002,51111.26953125,-0.001,51085.7,0.072,49544.988888888896,close_unstuck_long,taker,3.5473086987535867,3.5473086987535867,0.0,3.5473086987535867,41471,0.019675083291272072
42,41472,2021-02-22 14:24:00,BTC,1.4598111111111065,-0.0255024,1007.0527938611112,0.0,1007.0527938611112,51030.359375,-0.001,51004.8,0.071,49544.988888888896,close_unstuck_long,taker,3.4930583903392236,3.4930583903392236,0.0,3.4930583903392236,41472,0.019734385691088645
43,41473,2021-02-22 14:25:00,BTC,0.6433111111111066,-0.025094150000000003,1007.6710108222223,0.0,1007.6710108222223,50213.44921875,-0.001,50188.3,0.07,49544.988888888896,close_unstuck_long,taker,3.4417475395986052,3.4417475395986052,0.0,3.4417475395986052,41473,0.02006775129970462
44,41474,2021-02-22 14:26:00,BTC,1.0010111111111037,-0.025273,1008.6467489333335,0.0,1008.6467489333335,50571.3515625,-0.001,50546.0,0.069,49544.988888888896,close_unstuck_long,taker,3.3892978259718625,3.3892978259718625,0.0,3.3892978259718625,41474,0.019945022582336356
45,41475,2021-02-22 14:27:00,BTC,1.3973111111111065,-0.02547115,1010.0185888944445,0.0,1010.0185888944445,50967.7890625,-0.001,50942.3,0.068,49544.988888888896,close_unstuck_long,taker,3.3356408302664815,3.3356408302664815,0.0,3.3356408302664815,41475,0.01981680209153068
46,41478,2021-02-22 14:30:00,BTC,0.0,-0.33316985,1009.6854190444445,0.0,1009.6854190444445,51231.19921875,0.013,51256.9,0.081,49819.74005486969,entry_trailing_cropped_long,taker,3.996689333459429,3.996689333459429,0.0,3.996689333459429,41478,0.019708408829807598
47,41479,2021-02-22 14:31:00,BTC,1.705859945130309,-0.0257628,1011.3655161895748,0.0,1011.3655161895748,51551.390625,-0.001,51525.6,0.08,49819.74005486969,close_unstuck_long,taker,3.9407900908127274,3.9407900908127274,0.0,3.9407900908127274,41479,0.01961858844015568
48,41480,2021-02-22 14:32:00,BTC,1.712859945130309,-0.025766300000000002,1013.0526098347051,0.0,1013.0526098347051,51558.3984375,-0.001,51532.6,0.079,49819.74005486969,close_unstuck_long,taker,3.885049429937192,3.885049429937192,0.0,3.885049429937192,41480,0.019648643878314904
49,41481,2021-02-22 14:33:00,BTC,1.9131599451303118,-0.025866450000000003,1014.9399033298355,0.0,1014.9399033298355,51758.80078125,-0.001,51732.9,0.078,49819.74005486969,close_unstuck_long,taker,3.82873873766394,3.82873873766394,0.0,3.82873873766394,41481,0.019609030503224194
50,41482,2021-02-22 14:34:00,BTC,2.009659945130312,-0.0259147,1016.9236485749658,0.0,1016.9236485749658,51855.3984375,-0.001,51829.4,0.077,49819.74005486969,close_unstuck_long,taker,3.7722792557736198,3.7722792557736198,0.0,3.7722792557736198,41482,0.019610757591625453
51,41483,2021-02-22 14:35:00,BTC,2.1340599451303133,-0.0259769,1019.031731620096,0.0,1019.031731620096,51979.80859375,-0.001,51953.8,0.076,49819.74005486969,close_unstuck_long,taker,3.715586204710711,3.715586204710711,0.0,3.715586204710711,41483,0.019604376375918848
