,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,36305,2021-02-24 00:17:00,BTC,0.0,-0.0572304,999.9427696,0.0,999.9427696,47655.30859375,0.003,47692.0,0.003,47692.0,entry_initial_normal_long,maker,0.1430841887653567,0.1430841887653567,0.0,0.1430841887653567,36305,0.02098282015387353
1,36309,2021-02-24 00:21:00,BTC,-0.040200000000004364,-0.05721432,999.84535528,0.0,999.84535528,47576.328125,-0.003,47678.6,0.0,47692.0,close_trailing_long,maker,0.0,0.0,0.0,0.0,36309,0.021015605757826652
2,36310,2021-02-24 00:22:00,BTC,0.0,-0.0708498,999.77450548,0.0,999.77450548,47209.53125,0.003,47233.2,0.003,47233.2,entry_initial_normal_long,taker,0.14173155969002116,0.14173155969002116,0.0,0.14173155969002116,36310,0.021177386832876042
3,36313,2021-02-24 00:25:00,BTC,-0.03959999999999127,-0.056664,999.6782414800001,0.0,999.6782414800001,47347.0,-0.003,47220.0,0.0,47233.2,close_trailing_long,maker,0.0,0.0,0.0,0.0,36313,0.021113866590913893
4,36314,2021-02-24 00:26:00,BTC,0.0,-0.07093545000000001,999.6073060300001,0.0,999.6073060300001,47266.578125,0.003,47290.3,0.003,47290.3,entry_initial_normal_long,taker,0.14192663373324943,0.14192663373324943,0.0,0.14192663373324943,36314,0.02114829009594187
5,36320,2021-02-24 00:32:00,BTC,0.5840999999999913,-0.07122750000000001,1000.1201785300002,0.0,1000.1201785300002,47508.8203125,-0.003,47485.0,0.0,47290.3,close_trailing_long,taker,0.0,0.0,0.0,0.0,36320,0.021051252629542973
6,36321,2021-02-24 00:33:00,BTC,0.0,-0.07146945,1000.0487090800002,0.0,1000.0487090800002,47622.421875,0.003,47646.3,0.003,47646.3,entry_initial_normal_long,taker,0.14293193791680145,0.14293193791680145,0.0,0.14293193791680145,36321,0.020999534876763346
7,36332,2021-02-24 00:44:00,BTC,0.21419999999998254,-0.07157655,1000.1913325300002,0.0,1000.1913325300002,47741.62890625,-0.003,47717.7,0.0,47646.3,close_trailing_long,taker,0.0,0.0,0.0,0.0,36332,0.020950088118988797
8,36661,2021-02-24 06:13:00,BTC,0.0,-0.0747303,1000.1166022300001,0.0,1000.1166022300001,49795.30078125,0.003,49820.2,0.003,49820.2,entry_initial_normal_long,taker,0.14944317459258422,0.14944317459258422,0.0,0.14944317459258422,36661,0.02008455791086587
9,36668,2021-02-24 06:20:00,BTC,-0.4091999999999825,-0.0745257,999.6328765300002,0.0,999.6328765300002,49708.6796875,-0.003,49683.8,0.0,49820.2,close_trailing_long,taker,0.0,0.0,0.0,0.0,36668,0.020109825543835013
10,36669,2021-02-24 06:21:00,BTC,0.0,-0.07477035000000001,999.5581061800002,0.0,999.5581061800002,49821.98046875,0.003,49846.9,0.003,49846.9,entry_initial_normal_long,taker,0.14960681032491246,0.14960681032491246,0.0,0.14960681032491246,36669,0.020062592790885868
