,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,71354,2020-10-26 08:26:00,DOGE,0.0,-0.048537072,999.951462928,0.0,999.951462928,12965.849609375,43492.0,0.00279,43492.0,0.00279,entry_initial_normal_long,maker,0.12134856990427455,0.12134856990427455,0.0,0.12134856990427455,71354,0.07712193902087078
1,71389,2020-10-26 09:01:00,DOGE,1.3047600000000035,-0.049058976000000004,1001.207163952,0.0,1001.207163952,13053.7099609375,-43492.0,0.00282,0.0,0.00279,close_grid_long,maker,0.0,0.0,0.0,0.0,71389,0.07669905084056997
2,71842,2020-10-26 16:34:00,DOGE,0.0,-0.04859568000000001,1001.158568272,0.0,1001.158568272,12885.0,44996.0,0.0027,44996.0,0.0027,entry_initial_normal_long,maker,0.1213486093513542,0.1213486093513542,0.0,0.1213486093513542,71842,0.07769953964082267
3,71843,2020-10-26 16:35:00,DOGE,1.349879999999984,-0.049135632,1002.45931264,0.0,1002.45931264,12897.2900390625,-44996.0,0.00273,0.0,0.0027,close_grid_long,maker,0.0,0.0,0.0,0.0,71843,0.07772635255963185
4,71847,2020-10-26 16:39:00,DOGE,0.0,-0.04865672,1002.41065592,0.0,1002.41065592,12826.8095703125,45220.0,0.00269,45220.0,0.00269,entry_initial_normal_long,maker,0.1213492686671,0.1213492686671,0.0,0.1213492686671,71847,0.07814964823677337
5,71849,2020-10-26 16:41:00,DOGE,1.3566000000000036,-0.049199360000000004,1003.7180565599999,0.0,1003.7180565599999,12869.98046875,-45220.0,0.00272,0.0,0.00269,close_grid_long,maker,0.0,0.0,0.0,0.0,71849,0.0779890893383373
6,71893,2020-10-26 17:25:00,DOGE,0.0,-0.048717888,1003.6693386719999,0.0,1003.6693386719999,12873.900390625,45616.0,0.00267,45616.0,0.00267,entry_initial_normal_long,maker,0.12134944777844074,0.12134944777844074,0.0,0.12134944777844074,71893,0.07796155851903977
7,71894,2020-10-26 17:26:00,DOGE,1.3684800000000037,-0.04926528,1004.9885533919999,0.0,1004.9885533919999,12871.849609375,-45616.0,0.0027,0.0,0.00267,close_grid_long,maker,0.0,0.0,0.0,0.0,71894,0.07807646794288468
8,74583,2020-10-28 14:15:00,DOGE,0.0,-0.048779544,1004.9397738479998,0.0,1004.9397738479998,12956.98046875,47267.0,0.00258,47267.0,0.00258,entry_initial_normal_long,maker,0.12134942130218157,0.12134942130218157,0.0,0.12134942130218157,74583,0.07755971974116509
9,75386,2020-10-29 03:38:00,DOGE,0.9453400000000025,-0.0614471,1005.8236667479998,0.0,1005.8236667479998,13213.599609375,-47267.0,0.0026,0.0,0.00258,close_grid_long,taker,0.0,0.0,0.0,0.0,75386,0.07612033787026297
10,82560,2020-11-03 03:12:00,DOGE,0.0,-0.04882004400000001,1005.7748467039999,0.0,1005.7748467039999,13367.08984375,49413.0,0.00247,49413.0,0.00247,entry_initial_normal_long,maker,0.12134933618589432,0.12134933618589432,0.0,0.12134933618589432,82560,0.07524261888418939
11,82672,2020-11-03 05:04:00,DOGE,1.4823900000000039,-0.049413,1007.2078237039999,0.0,1007.2078237039999,13433.48046875,-49413.0,0.0025,0.0,0.00247,close_grid_long,maker,0.0,0.0,0.0,0.0,82672,0.07497742867509612
12,89111,2020-11-07 16:23:00,DOGE,0.0,-0.048886632000000006,1007.158937072,0.0,1007.158937072,15207.0,45774.0,0.00267,45774.0,0.00267,entry_initial_normal_long,maker,0.12134785831847607,0.12134785831847607,0.0,0.12134785831847607,89111,0.06622995574879989
13,89117,2020-11-07 16:29:00,DOGE,1.3732200000000037,-0.04943592000000001,1008.4827211520001,0.0,1008.4827211520001,15213.5400390625,-45774.0,0.0027,0.0,0.00267,close_grid_long,maker,0.0,0.0,0.0,0.0,89117,0.06628849817745282
14,95118,2020-11-11 20:30:00,DOGE,0.0,-0.048948456,1008.4337726960001,0.0,1008.4337726960001,15621.73046875,44661.0,0.00274,44661.0,0.00274,entry_initial_normal_long,maker,0.12134772090471199,0.12134772090471199,0.0,0.12134772090471199,95118,0.06455326922412916
15,95132,2020-11-11 20:44:00,DOGE,0.8932200000000023,-0.06163218,1009.2653605160002,0.0,1009.2653605160002,15689.9404296875,-44661.0,0.00276,0.0,0.00274,close_grid_long,taker,0.0,0.0,0.0,0.0,95132,0.06432563367840027
16,102055,2020-11-16 16:07:00,DOGE,0.0,-0.048986520000000006,1009.2163739960002,0.0,1009.2163739960002,16506.599609375,41514.0,0.00295,41514.0,0.00295,entry_initial_normal_long,maker,0.12134791225700561,0.12134791225700561,0.0,0.12134791225700561,102055,0.06114017410483569
17,102229,2020-11-16 19:01:00,DOGE,0.0,-0.051766764,1009.1646072320002,0.0,1009.1646072320002,16667.830078125,45093.0,0.00287,86607.0,0.0029083470158301292,entry_grid_normal_long,maker,0.24959576286655655,0.24959576286655655,0.0,0.24959576286655655,102229,0.06054565006373783
18,102557,2020-11-17 00:29:00,DOGE,0.1416653285531171,-0.01774922,1009.2885233405533,0.0,1009.2885233405533,16752.0703125,-12157.0,0.00292,74450.0,0.0029083470158301292,close_trailing_long,taker,0.21453373373541568,0.21453373373541568,0.0,0.21453373373541568,102557,0.06024858447420949
19,102562,2020-11-17 00:34:00,DOGE,2.356564671446871,-0.0875532,1011.5575348120002,0.0,1011.5575348120002,16766.30078125,-74450.0,0.00294,0.0,0.0029083470158301292,close_grid_long,maker,0.0,0.0,0.0,0.0,102562,0.06033277990236462
20,104302,2020-11-18 05:34:00,DOGE,0.0,-0.049097999999999996,1011.5084368120002,0.0,1011.5084368120002,17701.279296875,41750.0,0.00294,41750.0,0.00294,entry_initial_normal_long,maker,0.1213484688144163,0.1213484688144163,0.0,0.1213484688144163,104302,0.057143239188964884
21,104313,2020-11-18 05:45:00,DOGE,0.0,-0.051879256,1011.4565575560002,0.0,1011.4565575560002,17386.009765625,45349.0,0.00286,87099.0,0.002898347168164962,entry_grid_normal_long,maker,0.249583769183308,0.249583769183308,0.0,0.249583769183308,104313,0.058176463213302464
22,104314,2020-11-18 05:46:00,DOGE,0.0,-0.10671669600000001,1011.3498408600002,0.0,1011.3498408600002,17511.400390625,94607.0,0.00282,181706.0,0.0028575549514050173,entry_grid_normal_long,maker,0.5134077833625497,0.5134077833625497,0.0,0.5134077833625497,104314,0.057753795715929264
23,104317,2020-11-18 05:49:00,DOGE,0.1685176392634089,-0.09855846000000001,1011.4198000392636,0.0,1011.4198000392636,17567.30078125,-68922.0,0.00286,112784.0,0.0028575549514050173,close_trailing_long,taker,0.31864758592500586,0.31864758592500586,0.0,0.31864758592500586,104317,0.057574001415105054
24,104320,2020-11-18 05:52:00,DOGE,0.46153707219353546,-0.05321841000000001,1011.8281187014571,0.0,1011.8281187014571,17663.390625,-37086.0,0.00287,75698.0,0.0028575549514050173,close_trailing_long,taker,0.2137825493415451,0.2137825493415451,0.0,0.2137825493415451,104320,0.05728391225574547
25,104334,2020-11-18 06:06:00,DOGE,2.4560252885430187,-0.087506888,1014.1966371020002,0.0,1014.1966371020002,17730.490234375,-75698.0,0.00289,0.0,0.0028575549514050173,close_grid_long,maker,0.0,0.0,0.0,0.0,104334,0.0572007103974895
26,106559,2020-11-19 19:11:00,DOGE,0.0,-0.04922576,1014.1474113420002,0.0,1014.1474113420002,17925.0,42436.0,0.0029,42436.0,0.0029,entry_initial_normal_long,maker,0.1213476449514883,0.1213476449514883,0.0,0.1213476449514883,106559,0.05657726144167365
27,106694,2020-11-19 21:26:00,DOGE,0.8487200000000023,-0.06195656,1014.9341747820001,0.0,1014.9341747820001,18092.580078125,-42436.0,0.00292,0.0,0.0029,close_grid_long,taker,0.0,0.0,0.0,0.0,106694,0.0560967076226522
28,107959,2020-11-20 18:31:00,DOGE,0.0,-0.049261608000000005,1014.8849131740001,0.0,1014.8849131740001,18536.0,41466.0,0.00297,41466.0,0.00297,entry_initial_normal_long,maker,0.12134776899465594,0.12134776899465594,0.0,0.12134776899465594,107959,0.05475209932962884
