,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,4054,2025-01-06 19:34:00,HYPE,0.0,-0.11690294000000002,999.88309706,0.0,999.88309706,101773.796875,11.33,25.795,11.33,25.795,entry_initial_normal_long,maker,0.2922915197379945,0.2922915197379945,0.0,0.2922915197379945,4054,0.009824563176001682
1,4065,2025-01-06 19:45:00,HYPE,2.2753499999999813,-0.140995855,1002.0174512049999,0.0,1002.0174512049999,101935.8984375,-9.85,26.026,1.48,25.795,close_trailing_long,taker,0.038099735642418024,0.038099735642418024,0.0,0.038099735642418024,4065,0.009829878056348985
2,4068,2025-01-06 19:48:00,HYPE,0.25011999999999546,-0.021134695999999998,1002.246436509,0.0,1002.246436509,101892.6015625,-1.48,25.964,0.0,25.795,close_trailing_long,taker,0.0,0.0,0.0,0.0,4068,0.009836302353063693
3,4126,2025-01-06 20:46:00,HYPE,0.0,-0.11717395200000001,1002.129262557,0.0,1002.129262557,101852.0,11.34,25.832,11.34,25.832,entry_initial_normal_long,maker,0.2923124700026791,0.2923124700026791,0.0,0.2923124700026791,4126,0.00983907299372619
4,4448,2025-01-07 02:08:00,HYPE,-0.6409000000000126,-0.139734441,1001.348628116,0.0,1001.348628116,101888.0,-9.86,25.767,1.48,25.832,close_trailing_long,taker,0.038179869554453655,0.038179869554453655,0.0,0.038179869554453655,4448,0.00982793487079931
5,4456,2025-01-07 02:16:00,HYPE,0.12875999999999962,-0.021098066000000002,1001.4562900499999,0.0,1001.4562900499999,101950.1015625,-1.48,25.919,0.0,25.832,close_trailing_long,taker,0.0,0.0,0.0,0.0,4456,0.009823004339393052
6,4507,2025-01-07 03:07:00,HYPE,0.0,-0.11712434,1001.3391657099999,0.0,1001.3391657099999,101733.3984375,11.45,25.573,11.45,25.573,entry_initial_normal_long,maker,0.2924192521645574,0.2924192521645574,0.0,0.2924192521645574,4507,0.00984277711242659
7,4514,2025-01-07 03:14:00,HYPE,3.0048999999999957,-0.1416009375,1004.2024647724999,0.0,1004.2024647724999,101624.796875,-9.95,25.875,1.5,25.573,close_trailing_long,taker,0.03819897017350009,0.03819897017350009,0.0,0.03819897017350009,4514,0.009881470818659385
8,4518,2025-01-07 03:18:00,HYPE,0.2864999999999984,-0.0212553,1004.4677094724999,0.0,1004.4677094724999,101644.0,-1.5,25.764,0.0,25.573,close_trailing_long,taker,0.0,0.0,0.0,0.0,4518,0.009882213504707606
9,4582,2025-01-07 04:22:00,HYPE,0.0,-0.117484872,1004.3502246004999,0.0,1004.3502246004999,101760.1015625,11.51,25.518,11.51,25.518,entry_initial_normal_long,maker,0.2924400003164532,0.2924400003164532,0.0,0.2924400003164532,4582,0.009869784023197327
10,4652,2025-01-07 05:32:00,HYPE,0.38999999999997925,-0.1405635,1004.5996611004999,0.0,1004.5996611004999,101660.203125,-10.0,25.557,1.51,25.518,close_trailing_long,taker,0.038355756518760414,0.038355756518760414,0.0,0.038355756518760414,4652,0.009881936394178338
11,4659,2025-01-07 05:39:00,HYPE,0.0936199999999964,-0.02124419,1004.6720369105,0.0,1004.6720369105,101628.296875,-1.51,25.58,0.0,25.518,close_trailing_long,taker,0.0,0.0,0.0,0.0,4659,0.009885750994589812
12,4931,2025-01-07 10:11:00,HYPE,0.0,-0.11746592000000002,1004.5545709905,0.0,1004.5545709905,101436.1015625,11.44,25.67,11.44,25.67,entry_initial_normal_long,maker,0.29233334701811553,0.29233334701811553,0.0,0.29233334701811553,4931,0.009903323920345482
13,4954,2025-01-07 10:34:00,HYPE,0.8846599999999863,-0.14082445300000002,1005.2984065374999,0.0,1005.2984065374999,101458.8984375,-9.94,25.759,1.5,25.67,close_trailing_long,taker,0.03830206011429073,0.03830206011429073,0.0,0.03830206011429073,4954,0.009908430132984114
14,4959,2025-01-07 10:39:00,HYPE,0.16949999999999932,-0.021270975,1005.4466355624999,0.0,1005.4466355624999,101464.1015625,-1.5,25.783,0.0,25.67,close_trailing_long,taker,0.0,0.0,0.0,0.0,4959,0.009909382925380397
15,5013,2025-01-07 11:33:00,HYPE,0.0,-0.11750593200000001,1005.3291296304999,0.0,1005.3291296304999,101154.203125,11.49,25.567,11.49,25.567,entry_initial_normal_long,maker,0.292207617726118,0.292207617726118,0.0,0.292207617726118,5013,0.009938579896558301
16,5052,2025-01-07 12:12:00,HYPE,0.469530000000006,-0.10235354400000002,1005.6963060864998,0.0,1005.6963060864998,100734.6015625,-9.99,25.614,1.5,25.567,close_trailing_long,maker,0.038133281158438975,0.038133281158438975,0.0,0.038133281158438975,5052,0.009983623208779194
