,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,4263,2020-10-16 23:03:00,SOL,0.0,-0.05945179999999999,999.9405482,0.0,999.9405482,11332.990234375,69.13,2.15,69.13,2.15,entry_initial_normal_long,maker,0.14863833681667274,0.14863833681667274,0.0,0.14863833681667274,4263,0.08823271947830681
1,4307,2020-10-16 23:47:00,SOL,0.0,-0.07431474999999998,999.86623345,0.0,999.86623345,11328.3701171875,-69.13,2.15,0.0,2.15,close_trailing_long,taker,0.0,0.0,0.0,0.0,4307,0.08826214390126558
2,4322,2020-10-17 00:02:00,SOL,0.0,-0.0594448,999.8067886499999,0.0,999.8067886499999,11316.509765625,70.1,2.12,70.1,2.12,entry_initial_normal_long,maker,0.14864071907399726,0.14864071907399726,0.0,0.14864071907399726,4322,0.08834939476542586
3,4334,2020-10-17 00:14:00,SOL,0.700999999999985,-0.0746565,1000.43313215,0.0,1000.43313215,11295.2099609375,-70.1,2.13,0.0,2.12,close_trailing_long,taker,0.0,0.0,0.0,0.0,4334,0.08857145069545606
4,7254,2020-10-19 00:54:00,SOL,0.0,-0.0594776,1000.37365455,0.0,1000.37365455,11454.01953125,69.16,2.15,69.16,2.15,entry_initial_normal_long,maker,0.14863846056290567,0.14863846056290567,0.0,0.14863846056290567,7254,0.08733821797847303
5,7299,2020-10-19 01:39:00,SOL,0.691600000000016,-0.0746928,1000.99056175,0.0,1000.99056175,11458.4697265625,-69.16,2.16,0.0,2.15,close_trailing_long,taker,0.0,0.0,0.0,0.0,7299,0.08735813643854637
6,7487,2020-10-19 04:47:00,SOL,0.0,-0.05951483999999999,1000.93104691,0.0,1000.93104691,11434.349609375,71.19,2.09,71.19,2.09,entry_initial_normal_long,maker,0.1486487010861782,0.1486487010861782,0.0,0.1486487010861782,7487,0.08753720859552332
7,7500,2020-10-19 05:00:00,SOL,0.7119000000000164,-0.0597996,1001.58314731,0.0,1001.58314731,11444.0,-71.19,2.1,0.0,2.09,close_trailing_long,maker,0.0,0.0,0.0,0.0,7500,0.08752037288622859
8,7710,2020-10-19 08:30:00,SOL,0.0,-0.05954975999999999,1001.52359755,0.0,1001.52359755,11464.1298828125,71.92,2.07,71.92,2.07,entry_initial_normal_long,maker,0.1486479203926771,0.1486479203926771,0.0,0.1486479203926771,7710,0.0873615012903444
9,7839,2020-10-19 10:39:00,SOL,0.0,-0.0744372,1001.4491603499999,0.0,1001.4491603499999,11464.5595703125,-71.92,2.07,0.0,2.07,close_trailing_long,taker,0.0,0.0,0.0,0.0,7839,0.08735173420383759
10,9115,2020-10-20 07:55:00,SOL,0.0,-0.05954400000000001,1001.38961635,0.0,1001.38961635,11709.3603515625,74.43,2.0,74.43,2.0,entry_initial_normal_long,maker,0.14865342876490475,0.14865342876490475,0.0,0.14865342876490475,9115,0.08552043717882286
11,10984,2020-10-21 15:04:00,SOL,0.7442999999999842,-0.07480215,1002.0591142,0.0,1002.0591142,12698.5595703125,-74.43,2.01,0.0,2.0,close_trailing_long,taker,0.0,0.0,0.0,0.0,10984,0.07891124254302649
12,11003,2020-10-21 15:23:00,SOL,0.0,-0.05958192,1001.9995322799999,0.0,1001.9995322799999,12649.990234375,73.74,2.02,73.74,2.02,entry_initial_normal_long,maker,0.1486575544212688,0.1486575544212688,0.0,0.1486575544212688,11003,0.07920951034074106
13,12041,2020-10-22 08:41:00,SOL,0.0,-0.0747602,1001.9247720799999,0.0,1001.9247720799999,12826.240234375,74.02,2.02,147.76,2.02,entry_trailing_normal_long,taker,0.2979018069194599,0.2979018069194599,0.0,0.2979018069194599,12041,0.0781152351563468
14,12208,2020-10-22 11:28:00,SOL,1.0637999999999772,-0.08638056,1002.90219152,0.0,1002.90219152,12994.669921875,-106.38,2.03,41.38,2.02,close_trailing_long,maker,0.08334571477335644,0.08334571477335644,0.0,0.08334571477335644,12208,0.07717796585442559
15,12218,2020-10-22 11:38:00,SOL,0.41379999999999123,-0.0420007,1003.27399082,0.0,1003.27399082,12954.2197265625,-41.38,2.03,0.0,2.02,close_trailing_long,taker,0.0,0.0,0.0,0.0,12218,0.07744765890938198
16,12825,2020-10-22 21:45:00,SOL,0.0,-0.059652239999999995,1003.21433858,0.0,1003.21433858,13059.58984375,74.94,1.99,74.94,1.99,entry_initial_normal_long,maker,0.1486527796353937,0.1486527796353937,0.0,0.1486527796353937,12825,0.0768182117955346
17,19633,2020-10-27 15:13:00,SOL,0.0,-0.0748896,1003.13944898,0.0,1003.13944898,13444.8095703125,86.08,1.74,161.02,1.8563520059619922,entry_trailing_normal_long,taker,0.2979743248099094,0.2979743248099094,0.0,0.2979743248099094,19633,0.07461165171093485
18,20666,2020-10-28 08:26:00,SOL,0.0,-0.0774807,1003.06196828,0.0,1003.06196828,13650.0,97.46,1.59,258.48,1.755923862581244,entry_trailing_normal_long,taker,0.45248570312986286,0.45248570312986286,0.0,0.45248570312986286,20666,0.07348439328058608
19,24178,2020-10-30 18:58:00,SOL,0.0,-0.07663110000000001,1002.98533718,0.0,1002.98533718,13523.3798828125,104.26,1.47,362.74,1.6737426255720351,entry_trailing_normal_long,taker,0.6053262968998333,0.6053262968998333,0.0,0.6053262968998333,24178,0.0741667649560552
20,25925,2020-11-01 00:05:00,SOL,0.0,-0.07649040000000001,1002.90884678,0.0,1002.90884678,13829.900390625,97.44,1.57,460.18,1.651775826850363,entry_trailing_normal_long,taker,0.7579095572249351,0.7579095572249351,0.0,0.7579095572249351,25925,0.07251743096138645
21,31310,2020-11-04 17:50:00,SOL,0.0,-0.06303372,1002.84581306,0.0,1002.84581306,14144.08984375,113.37,1.39,573.55,1.6000322552523758,entry_trailing_normal_long,maker,0.9150943126539178,0.9150943126539178,0.0,0.9150943126539178,31310,0.070902109936974
22,32564,2020-11-05 14:44:00,SOL,0.0,-0.08026408,1002.76554898,0.0,1002.76554898,14872.8896484375,141.31,1.42,714.86,1.5644443667291497,entry_trailing_normal_long,maker,1.1152743541474675,1.1152743541474675,0.0,1.1152743541474675,32564,0.06742237538791579
23,33232,2020-11-06 01:52:00,SOL,0.0,-0.13473179999999998,1002.6308171799999,0.0,1002.6308171799999,15839.08984375,176.12,1.53,890.98,1.5576357493995374,entry_trailing_normal_long,taker,1.3841807734410057,1.3841807734410057,0.0,1.3841807734410057,33232,0.06330103731153665
