,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,4263,2020-10-16 23:03:00,SOL,0.0,-0.1212686,999.8787314,0.0,999.8787314,11332.990234375,141.01,2.15,141.01,2.15,entry_initial_normal_long,maker,0.3032082696423679,0.3032082696423679,0.0,0.3032082696423679,4263,0.08822726488964826
1,4307,2020-10-16 23:47:00,SOL,0.0,-0.15158575,999.72714565,0.0,999.72714565,11328.3701171875,-141.01,2.15,0.0,2.15,close_trailing_long,taker,0.0,0.0,0.0,0.0,4307,0.08824986607148415
2,4322,2020-10-17 00:02:00,SOL,0.0,-0.1212406,999.60590505,0.0,999.60590505,11316.509765625,143.65,2.11,143.65,2.11,entry_initial_normal_long,maker,0.30322099786399215,0.30322099786399215,0.0,0.30322099786399215,4322,0.08833164339118058
3,4334,2020-10-17 00:14:00,SOL,2.873000000000003,-0.15298725,1002.3259178000001,0.0,1002.3259178000001,11295.2099609375,-143.65,2.13,0.0,2.11,close_trailing_long,taker,0.0,0.0,0.0,0.0,4334,0.0887390248845633
4,7487,2020-10-19 04:47:00,SOL,0.0,-0.12155439999999999,1002.2043634,0.0,1002.2043634,11434.349609375,145.4,2.09,145.4,2.09,entry_initial_normal_long,maker,0.30321759822423855,0.30321759822423855,0.0,0.30321759822423855,7487,0.08764856748636536
5,7500,2020-10-19 05:00:00,SOL,1.4540000000000337,-0.12213600000000002,1003.5362274000001,0.0,1003.5362274000001,11444.0,-145.4,2.1,0.0,2.09,close_trailing_long,maker,0.0,0.0,0.0,0.0,7500,0.08769103699755332
6,7712,2020-10-19 08:32:00,SOL,0.0,-0.15213100000000002,1003.3840964000001,0.0,1003.3840964000001,11462.099609375,147.7,2.06,147.7,2.06,entry_initial_normal_long,taker,0.30323582075064665,0.30323582075064665,0.0,0.30323582075064665,7712,0.08753929302615023
7,7839,2020-10-19 10:39:00,SOL,1.4769999999999683,-0.1528695,1004.7082269000001,0.0,1004.7082269000001,11464.5595703125,-147.7,2.07,0.0,2.06,close_trailing_long,taker,0.0,0.0,0.0,0.0,7839,0.0876360073614772
8,9115,2020-10-20 07:55:00,SOL,0.0,-0.12184000000000002,1004.5863869000001,0.0,1004.5863869000001,11709.3603515625,152.3,2.0,152.3,2.0,entry_initial_normal_long,maker,0.3032093645425049,0.3032093645425049,0.0,0.3032093645425049,9115,0.08579344701488735
9,10984,2020-10-21 15:04:00,SOL,1.5229999999999677,-0.1530615,1005.9563254,0.0,1005.9563254,12698.5595703125,-152.3,2.01,0.0,2.0,close_trailing_long,taker,0.0,0.0,0.0,0.0,10984,0.07921814437535014
10,11003,2020-10-21 15:23:00,SOL,0.0,-0.12199184,1005.83433356,0.0,1005.83433356,12649.990234375,150.98,2.02,150.98,2.02,entry_initial_normal_long,maker,0.303210568405008,0.303210568405008,0.0,0.303210568405008,11003,0.07951265692101109
11,12041,2020-10-22 08:41:00,SOL,0.0,-0.15308570000000002,1005.68124786,0.0,1005.68124786,12826.240234375,151.57,2.02,302.55,2.02,entry_trailing_normal_long,taker,0.6076985141171468,0.6076985141171468,0.0,0.6076985141171468,12041,0.07840810942903761
12,12208,2020-10-22 11:28:00,SOL,1.7924999999999618,-0.14555099999999999,1007.32819686,0.0,1007.32819686,12994.669921875,-179.25,2.03,123.3,2.02,close_trailing_long,maker,0.24725407347513728,0.24725407347513728,0.0,0.24725407347513728,12208,0.0775185674523584
13,12218,2020-10-22 11:38:00,SOL,1.2329999999999737,-0.1251495,1008.43604736,0.0,1008.43604736,12954.2197265625,-123.3,2.03,0.0,2.02,close_trailing_long,taker,0.0,0.0,0.0,0.0,12218,0.07784614346877348
14,12825,2020-10-22 21:45:00,SOL,0.0,-0.12229272,1008.31375464,0.0,1008.31375464,13059.58984375,154.41,1.98,154.41,1.98,entry_initial_normal_long,maker,0.3032109783220759,0.3032109783220759,0.0,0.3032109783220759,12825,0.07720868470632362
15,12842,2020-10-22 22:02:00,SOL,1.5441000000000014,-0.15363795,1009.70421669,0.0,1009.70421669,13143.6201171875,-154.41,1.99,0.0,1.98,close_trailing_long,taker,0.0,0.0,0.0,0.0,12842,0.07682086120015302
16,13372,2020-10-23 06:52:00,SOL,0.0,-0.12244992,1009.58176677,0.0,1009.58176677,12870.2099609375,159.44,1.92,159.44,1.92,entry_initial_normal_long,maker,0.3032194222161903,0.3032194222161903,0.0,0.3032194222161903,13372,0.07844330200005994
17,13376,2020-10-23 06:56:00,SOL,1.5944000000000014,-0.1538596,1011.0223071699999,0.0,1011.0223071699999,12887.4697265625,-159.44,1.93,0.0,1.92,close_trailing_long,taker,0.0,0.0,0.0,0.0,13376,0.07845002383099074
18,13861,2020-10-23 15:01:00,SOL,0.0,-0.122608,1010.8996991699998,0.0,1010.8996991699998,12913.6396484375,158.0,1.94,158.0,1.94,entry_initial_normal_long,maker,0.3032150472016843,0.3032150472016843,0.0,0.3032150472016843,13861,0.07828154778132707
19,13870,2020-10-23 15:10:00,SOL,0.0,-0.15326,1010.7464391699998,0.0,1010.7464391699998,12930.6298828125,-158.0,1.94,0.0,1.94,close_trailing_long,taker,0.0,0.0,0.0,0.0,13870,0.0781668370628636
20,13933,2020-10-23 16:13:00,SOL,0.0,-0.122576,1010.6238631699998,0.0,1010.6238631699998,12893.759765625,163.0,1.88,163.0,1.88,entry_initial_normal_long,maker,0.303218646588056,0.303218646588056,0.0,0.303218646588056,13933,0.07838085101169184
21,13984,2020-10-23 17:04:00,SOL,1.6300000000000014,-0.154035,1012.0998281699998,0.0,1012.0998281699998,12783.8095703125,-163.0,1.89,0.0,1.88,close_trailing_long,taker,0.0,0.0,0.0,0.0,13984,0.07917043996966071
22,15268,2020-10-24 14:28:00,SOL,0.0,-0.12274176,1011.9770864099997,0.0,1011.9770864099997,12962.1396484375,159.82,1.92,159.82,1.92,entry_initial_normal_long,maker,0.3032226758103481,0.3032226758103481,0.0,0.3032226758103481,15268,0.07807176236771889
23,15272,2020-10-24 14:32:00,SOL,1.5982000000000014,-0.15422629999999998,1013.4210601099998,0.0,1013.4210601099998,12980.3798828125,-159.82,1.93,0.0,1.92,close_trailing_long,taker,0.0,0.0,0.0,0.0,15272,0.07807329748891899
24,15714,2020-10-24 21:54:00,SOL,0.0,-0.12289936000000001,1013.2981607499997,0.0,1013.2981607499997,13050.01953125,163.43,1.88,163.43,1.88,entry_initial_normal_long,maker,0.3032161824635978,0.3032161824635978,0.0,0.3032161824635978,15714,0.07764725242927975
25,15723,2020-10-24 22:03:00,SOL,1.6343000000000014,-0.12355308000000001,1014.8089076699998,0.0,1014.8089076699998,13075.419921875,-163.43,1.89,0.0,1.88,close_trailing_long,maker,0.0,0.0,0.0,0.0,15723,0.07761195538907613
26,16185,2020-10-25 05:45:00,SOL,0.0,-0.12306924,1014.6858384299999,0.0,1014.6858384299999,12987.400390625,162.79,1.89,162.79,1.89,entry_initial_normal_long,maker,0.30322005920182693,0.30322005920182693,0.0,0.30322005920182693,16185,0.07812847898047821
27,19633,2020-10-27 15:13:00,SOL,0.0,-0.1545033,1014.5313351299999,0.0,1014.5313351299999,13444.8095703125,177.59,1.74,340.38,1.8117389388330691,entry_trailing_normal_long,taker,0.6078468733752614,0.6078468733752614,0.0,0.6078468733752614,19633,0.07545895907445113
28,20668,2020-10-28 08:28:00,SOL,0.0,-0.15878535,1014.3725497799999,0.0,1014.3725497799999,13674.240234375,199.73,1.59,540.11,1.7297409786895261,entry_trailing_normal_long,taker,0.9210130934661265,0.9210130934661265,0.0,0.9210130934661265,20668,0.07418127313794141
29,24179,2020-10-30 18:59:00,SOL,0.0,-0.1580691,1014.2144806799998,0.0,1014.2144806799998,13512.6201171875,215.06,1.47,755.17,1.655771018446178,entry_trailing_normal_long,taker,1.232864077390862,1.232864077390862,0.0,1.232864077390862,24179,0.07505683367727925
30,25925,2020-11-01 00:05:00,SOL,0.0,-0.179137,1014.0353436799999,0.0,1014.0353436799999,13829.900390625,228.2,1.57,983.37,1.6358670693635156,entry_trailing_normal_long,taker,1.5863969732672825,1.5863969732672825,0.0,1.5863969732672825,25925,0.07332195569299929
31,25926,2020-11-01 00:06:00,SOL,-0.5750723857754475,-0.0059124,1013.4543588942244,0.0,1013.4543588942244,13840.98046875,-7.58,1.56,975.79,1.6358670693635156,close_unstuck_long,taker,1.5750711550107694,1.5750711550107694,0.0,1.5750711550107694,25926,0.07322128379433736
32,25927,2020-11-01 00:07:00,SOL,-0.5743137150818124,-0.0059046,1012.8741405791426,0.0,1012.8741405791426,13871.990234375,-7.57,1.56,968.22,1.6358670693635156,close_unstuck_long,taker,1.563747311184695,1.563747311184695,0.0,1.563747311184695,25927,0.07301577664531693
33,27241,2020-11-01 22:01:00,SOL,-1.307887102514912,-0.18167979999999997,1011.3845736766277,0.0,1011.3845736766277,13798.009765625,-222.92,1.63,745.3,1.6358670693635156,close_trailing_long,taker,1.2054877625476315,1.2054877625476315,0.0,1.2054877625476315,27241,0.07329930844057608
34,31310,2020-11-04 17:50:00,SOL,0.0,-0.12628428,1011.2582893966277,0.0,1011.2582893966277,14144.08984375,227.13,1.39,972.43,1.5784400180955216,entry_trailing_normal_long,maker,1.5178342100042979,1.5178342100042979,0.0,1.5178342100042979,31310,0.07149687965560281
35,32564,2020-11-05 14:44:00,SOL,0.0,-0.1669068,1011.0913825966277,0.0,1011.0913825966277,14872.8896484375,293.85,1.42,1266.28,1.541672794955798,entry_trailing_normal_long,maker,1.930774468459147,1.930774468459147,0.0,1.930774468459147,32564,0.06798217471497543
36,32565,2020-11-05 14:45:00,SOL,-0.9257674701835659,-0.005927349999999999,1010.1596877764441,0.0,1010.1596877764441,14893.759765625,-8.29,1.43,1257.99,1.541672794955798,close_unstuck_long,taker,1.9199033408227335,1.9199033408227335,0.0,1.9199033408227335,32565,0.06782435756133964
37,32566,2020-11-05 14:46:00,SOL,-0.9168336465871023,-0.005870150000000001,1009.2369839798571,0.0,1009.2369839798571,14878.0,-8.21,1.43,1249.78,1.541672794955798,close_unstuck_long,taker,1.9091173394001506,1.9091173394001506,0.0,1.9091173394001506,32566,0.06783418362547769
38,32567,2020-11-05 14:47:00,SOL,-0.9157169186375441,-0.005862999999999999,1008.3154040612195,0.0,1008.3154040612195,14865.7998046875,-8.2,1.43,1241.58,1.541672794955798,close_unstuck_long,taker,1.8983247712488633,1.8983247712488633,0.0,1.8983247712488633,32567,0.06782786108442523
39,32568,2020-11-05 14:48:00,SOL,-0.9146001906879861,-0.005855849999999999,1007.3949480205315,0.0,1007.3949480205315,14871.4599609375,-8.19,1.43,1233.39,1.541672794955798,close_unstuck_long,taker,1.887525654468319,1.887525654468319,0.0,1.887525654468319,32568,0.06774015131443928
40,32570,2020-11-05 14:50:00,SOL,-0.8306667347888702,-0.0058823999999999994,1006.5583988857426,0.0,1006.5583988857426,14895.490234375,-8.17,1.44,1225.22,1.541672794955798,close_unstuck_long,taker,1.8765809752586011,1.8765809752586011,0.0,1.8765809752586011,32570,0.06757470771675994
41,32571,2020-11-05 14:51:00,SOL,-0.8265998229906383,-0.0058536000000000005,1005.725945462752,0.0,1005.725945462752,14896.3896484375,-8.13,1.44,1217.09,1.541672794955798,close_unstuck_long,taker,1.8656718069945075,1.8656718069945075,0.0,1.8656718069945075,32571,0.06751474479376576
