,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,36974,2020-10-20 11:26:00,BTC,0.0,-0.07514880000000002,999.9248512,0.0,999.9248512,11816.5595703125,0.016,11742.0,0.016,11742.0,entry_initial_normal_long,maker,0.1878861194164108,0.1878861194164108,0.0,0.1878861194164108,36974,0.08462064150314744
1,36975,2020-10-20 11:27:00,BTC,0.08160000000000582,-0.09397680000000001,999.9124744000001,0.0,999.9124744000001,11753.0302734375,-0.016,11747.1,0.0,11742.0,close_grid_long,taker,0.0,0.0,0.0,0.0,36975,0.08507699300833571
2,39110,2020-10-21 23:02:00,BTC,0.0,-0.0776454,999.834829,0.0,999.834829,12995.6103515625,0.015,12940.9,0.015,12940.9,entry_initial_normal_long,maker,0.19414556721748286,0.19414556721748286,0.0,0.19414556721748286,39110,0.07693635019457065
3,39111,2020-10-21 23:03:00,BTC,0.7380000000000109,-0.09742574999999999,1000.4754032500001,0.0,1000.4754032500001,12996.66015625,-0.015,12990.1,0.0,12940.9,close_grid_long,taker,0.0,0.0,0.0,0.0,39111,0.07697942326889871
4,39113,2020-10-21 23:05:00,BTC,0.0,-0.07761000000000001,1000.3977932500001,0.0,1000.3977932500001,12830.5703125,0.015,12935.0,0.015,12935.0,entry_initial_normal_long,maker,0.1939478488548735,0.1939478488548735,0.0,0.1939478488548735,39113,0.0779698617352478
5,39796,2020-10-22 10:28:00,BTC,0.4275,-0.09722625,1000.7280670000001,0.0,1000.7280670000001,12970.0,-0.015,12963.5,0.0,12935.0,close_grid_long,taker,0.0,0.0,0.0,0.0,39796,0.07715713700848112
6,40474,2020-10-22 21:46:00,BTC,0.0,-0.0777936,1000.6502734000002,0.0,1000.6502734000002,12993.41015625,0.015,12965.6,0.015,12965.6,entry_initial_normal_long,maker,0.19435761441325958,0.19435761441325958,0.0,0.19435761441325958,40474,0.07701213625729149
7,40476,2020-10-22 21:48:00,BTC,0.6840000000000054,-0.0780672,1001.2562062000002,0.0,1001.2562062000002,13018.990234375,-0.015,13011.2,0.0,12965.6,close_grid_long,maker,0.0,0.0,0.0,0.0,40476,0.07690736287337474
8,43833,2020-10-25 05:45:00,BTC,0.0,-0.078627,1001.1775792000002,0.0,1001.1775792000002,12987.400390625,0.015,13104.5,0.015,13104.5,entry_initial_normal_long,maker,0.19633629845872996,0.19633629845872996,0.0,0.19633629845872996,43833,0.07708837404617969
9,45258,2020-10-26 05:30:00,BTC,0.3809999999999945,-0.09847425,1001.4601049500002,0.0,1001.4601049500002,13136.5302734375,-0.015,13129.9,0.0,13104.5,close_grid_long,taker,0.0,0.0,0.0,0.0,45258,0.07623475028067234
10,45433,2020-10-26 08:25:00,BTC,0.0,-0.07742339999999999,1001.3826815500001,0.0,1001.3826815500001,12977.8203125,0.015,12903.9,0.015,12903.9,entry_initial_normal_long,maker,0.19329123976899473,0.19329123976899473,0.0,0.19329123976899473,45433,0.07716108386748786
11,45434,2020-10-26 08:26:00,BTC,0.8309999999999945,-0.09719474999999998,1002.1164868000002,0.0,1002.1164868000002,12965.849609375,-0.015,12959.3,0.0,12903.9,close_grid_long,taker,0.0,0.0,0.0,0.0,45434,0.07728891796457492
12,47470,2020-10-27 18:22:00,BTC,0.0,-0.07576464,1002.0407221600002,0.0,1002.0407221600002,13564.599609375,0.014,13529.4,0.014,13529.4,entry_initial_normal_long,maker,0.1890258507575462,0.1890258507575462,0.0,0.1890258507575462,47470,0.0738717508084391
13,47471,2020-10-27 18:23:00,BTC,0.5922000000000153,-0.09500190000000001,1002.5379202600002,0.0,1002.5379202600002,13578.5302734375,-0.014,13571.7,0.0,13529.4,close_grid_long,taker,0.0,0.0,0.0,0.0,47471,0.07383257982059944
14,47779,2020-10-27 23:31:00,BTC,0.0,-0.07602728,1002.4618929800002,0.0,1002.4618929800002,13595.599609375,0.014,13576.3,0.014,13576.3,entry_initial_normal_long,maker,0.1896014215911866,0.1896014215911866,0.0,0.1896014215911866,47779,0.07373429063685732
15,47780,2020-10-27 23:32:00,BTC,0.665,-0.07629327999999999,1003.0505997000002,0.0,1003.0505997000002,13629.990234375,-0.014,13623.8,0.0,13576.3,close_grid_long,maker,0.0,0.0,0.0,0.0,47780,0.07359143935190023
16,48477,2020-10-28 11:09:00,BTC,0.0,-0.07517328000000001,1002.9754264200003,0.0,1002.9754264200003,13480.580078125,0.014,13423.8,0.014,13423.8,entry_initial_normal_long,maker,0.18737567745882355,0.18737567745882355,0.0,0.18737567745882355,48477,0.07440150354119651
17,48478,2020-10-28 11:10:00,BTC,1.044400000000005,-0.0944888,1003.9253376200003,0.0,1003.9253376200003,13505.2099609375,-0.014,13498.4,0.0,13423.8,close_grid_long,taker,0.0,0.0,0.0,0.0,48478,0.07433615179058721
18,52751,2020-10-31 10:23:00,BTC,0.0,-0.07695128,1003.8483863400003,0.0,1003.8483863400003,13719.01953125,0.014,13741.3,0.014,13741.3,entry_initial_normal_long,maker,0.1916406925765004,0.1916406925765004,0.0,0.1916406925765004,52751,0.07317202108017812
19,52760,2020-10-31 10:32:00,BTC,0.9044000000000051,-0.0966413,1004.6561450400003,0.0,1004.6561450400003,13812.8203125,-0.014,13805.9,0.0,13741.3,close_grid_long,taker,0.0,0.0,0.0,0.0,52760,0.07273359982326204
20,55524,2020-11-02 08:36:00,BTC,0.0,-0.07570584000000001,1004.5804392000003,0.0,1004.5804392000003,13566.740234375,0.014,13518.9,0.014,13518.9,entry_initial_normal_long,maker,0.1884016377530915,0.1884016377530915,0.0,0.1884016377530915,55524,0.07404729668624631
21,55525,2020-11-02 08:37:00,BTC,0.6132000000000153,-0.0949389,1005.0987003000004,0.0,1005.0987003000004,13569.5,-0.014,13562.7,0.0,13518.9,close_grid_long,taker,0.0,0.0,0.0,0.0,55525,0.07407043003058332
22,57957,2020-11-04 01:09:00,BTC,0.0,-0.07673344,1005.0219668600004,0.0,1005.0219668600004,13765.009765625,0.014,13702.4,0.014,13702.4,entry_initial_normal_long,maker,0.19087503191531974,0.19087503191531974,0.0,0.19087503191531974,57957,0.07301280449286825
23,57958,2020-11-04 01:10:00,BTC,0.6538000000000102,-0.0962437,1005.5795231600005,0.0,1005.5795231600005,13755.98046875,-0.014,13749.1,0.0,13702.4,close_grid_long,taker,0.0,0.0,0.0,0.0,57958,0.07310126133461842
24,58355,2020-11-04 07:47:00,BTC,0.0,-0.07618856000000002,1005.5033346000005,0.0,1005.5033346000005,13647.4599609375,0.014,13605.1,0.014,13605.1,entry_initial_normal_long,maker,0.1894289093290491,0.1894289093290491,0.0,0.1894289093290491,58355,0.07367695801841563
25,58356,2020-11-04 07:48:00,BTC,-0.5515999999999949,-0.0949599,1004.8567747000004,0.0,1004.8567747000004,13572.5703125,-0.014,13565.7,0.0,13605.1,close_grid_long,taker,0.0,0.0,0.0,0.0,58356,0.07403584962640071
26,58357,2020-11-04 07:49:00,BTC,0.0,-0.07592592000000001,1004.7808487800004,0.0,1004.7808487800004,13598.419921875,0.014,13558.2,0.014,13558.2,entry_initial_normal_long,maker,0.188911642006784,0.188911642006784,0.0,0.188911642006784,58357,0.0738895294124332
27,58358,2020-11-04 07:50:00,BTC,-0.2562000000000153,-0.09477930000000001,1004.4298694800003,0.0,1004.4298694800003,13546.7001953125,-0.014,13539.9,0.0,13558.2,close_grid_long,taker,0.0,0.0,0.0,0.0,58358,0.07414572220529088
28,60379,2020-11-05 17:31:00,BTC,0.0,-0.0779142,1004.3519552800003,0.0,1004.3519552800003,14960.01953125,0.013,14983.5,0.013,14983.5,entry_initial_normal_long,maker,0.1939414753722427,0.1939414753722427,0.0,0.1939414753722427,60379,0.06713573823764124
29,60387,2020-11-05 17:39:00,BTC,0.6838000000000047,-0.07818772,1004.9575675600004,0.0,1004.9575675600004,15022.5,-0.013,15036.1,0.0,14983.5,close_grid_long,maker,0.0,0.0,0.0,0.0,60387,0.06689682593176904
30,60439,2020-11-05 18:31:00,BTC,0.0,-0.07704632,1004.8805212400003,0.0,1004.8805212400003,14890.650390625,0.013,14816.6,0.013,14816.6,entry_initial_normal_long,maker,0.1916803002234697,0.1916803002234697,0.0,0.1916803002234697,60439,0.06748399128843041
31,60440,2020-11-05 18:32:00,BTC,1.1985999999999857,-0.09690719999999999,1005.9822140400003,0.0,1005.9822140400003,14916.33984375,-0.013,14908.8,0.0,14816.6,close_grid_long,taker,0.0,0.0,0.0,0.0,60440,0.06744162606763819
32,60888,2020-11-06 02:00:00,BTC,0.0,-0.07525296000000001,1005.9069610800003,0.0,1005.9069610800003,15791.4697265625,0.012,15677.7,0.012,15677.7,entry_initial_normal_long,maker,0.1870276350389405,0.1870276350389405,0.0,0.1870276350389405,60888,0.06369938824554026
33,60889,2020-11-06 02:01:00,BTC,1.6115999999999913,-0.094872,1007.4236890800003,0.0,1007.4236890800003,15820.0,-0.012,15812.0,0.0,15677.7,close_grid_long,taker,0.0,0.0,0.0,0.0,60889,0.06368038489759799
34,60922,2020-11-06 02:34:00,BTC,0.0,-0.0747816,1007.3489074800002,0.0,1007.3489074800002,15628.08984375,0.012,15579.5,0.012,15579.5,entry_initial_normal_long,maker,0.18559011541263004,0.18559011541263004,0.0,0.18559011541263004,60922,0.06445758359156478
35,60923,2020-11-06 02:35:00,BTC,0.7955999999999913,-0.0938748,1008.0506326800003,0.0,1008.0506326800003,15653.669921875,-0.012,15645.8,0.0,15579.5,close_grid_long,taker,0.0,0.0,0.0,0.0,60923,0.06439707989953936
36,61630,2020-11-06 14:22:00,BTC,0.0,-0.07430352000000001,1007.9763291600003,0.0,1007.9763291600003,15522.240234375,0.012,15479.9,0.012,15479.9,entry_initial_normal_long,maker,0.18428885146023477,0.18428885146023477,0.0,0.18428885146023477,61630,0.06493755501398386
37,61631,2020-11-06 14:23:00,BTC,0.11640000000000873,-0.09293760000000001,1007.9997915600003,0.0,1007.9997915600003,15497.3603515625,-0.012,15489.6,0.0,15479.9,close_grid_long,taker,0.0,0.0,0.0,0.0,61631,0.0650433214878668
38,61986,2020-11-06 20:18:00,BTC,0.0,-0.0792636,1007.9205279600003,0.0,1007.9205279600003,15254.4296875,0.013,15243.0,0.013,15243.0,entry_initial_normal_long,maker,0.1966018098679542,0.1966018098679542,0.0,0.1966018098679542,61986,0.06607395678554438
39,61990,2020-11-06 20:22:00,BTC,0.6968000000000047,-0.07954232,1008.5377856400004,0.0,1008.5377856400004,15297.7900390625,-0.013,15296.6,0.0,15243.0,close_grid_long,maker,0.0,0.0,0.0,0.0,61990,0.0659270249535865
40,63341,2020-11-07 18:53:00,BTC,0.0,-0.07742228,1008.4603633600004,0.0,1008.4603633600004,14957.330078125,0.013,14888.9,0.013,14888.9,entry_initial_normal_long,maker,0.19193188649984097,0.19193188649984097,0.0,0.19193188649984097,63341,0.06742248503527158
41,63342,2020-11-07 18:54:00,BTC,-0.3393000000000047,-0.0966082,1008.0244551600005,0.0,1008.0244551600005,14870.3095703125,-0.013,14862.8,0.0,14888.9,close_grid_long,taker,0.0,0.0,0.0,0.0,63342,0.06778772495580378
42,63344,2020-11-07 18:56:00,BTC,0.0,-0.07708376,1007.9473714000004,0.0,1007.9473714000004,14844.0302734375,0.013,14823.8,0.013,14823.8,entry_initial_normal_long,maker,0.1911899425188579,0.1911899425188579,0.0,0.1911899425188579,63344,0.06790254080818345
43,63346,2020-11-07 18:58:00,BTC,0.6759999999999999,-0.07735415999999999,1008.5460172400004,0.0,1008.5460172400004,14867.08984375,-0.013,14875.8,0.0,14823.8,close_grid_long,maker,0.0,0.0,0.0,0.0,63346,0.06783748721771428
44,63380,2020-11-07 19:32:00,BTC,0.0,-0.0763074,1008.4697098400004,0.0,1008.4697098400004,14769.08984375,0.013,14674.5,0.013,14674.5,entry_initial_normal_long,maker,0.1891663161903658,0.1891663161903658,0.0,0.1891663161903658,63380,0.06828245480995335
45,63381,2020-11-07 19:33:00,BTC,0.5251999999999952,-0.09564684999999999,1008.8992629900005,0.0,1008.8992629900005,14722.2802734375,-0.013,14714.9,0.0,14674.5,close_grid_long,taker,0.0,0.0,0.0,0.0,63381,0.06852873632695983
46,63382,2020-11-07 19:34:00,BTC,0.0,-0.07618052,1008.8230824700005,0.0,1008.8230824700005,14687.7802734375,0.013,14650.1,0.013,14650.1,entry_initial_normal_long,maker,0.18878562882770228,0.18878562882770228,0.0,0.18878562882770228,63382,0.0686845162229471
47,63383,2020-11-07 19:35:00,BTC,0.32889999999999053,-0.09539009999999999,1009.0565923700004,0.0,1009.0565923700004,14682.83984375,-0.013,14675.4,0.0,14650.1,close_grid_long,taker,0.0,0.0,0.0,0.0,63383,0.06872353053687516
48,63384,2020-11-07 19:36:00,BTC,0.0,-0.07598708,1008.9806052900004,0.0,1008.9806052900004,14656.08984375,0.013,14612.9,0.013,14612.9,entry_initial_normal_long,maker,0.18827685983656703,0.18827685983656703,0.0,0.18827685983656703,63384,0.0688437786644897
49,63385,2020-11-07 19:37:00,BTC,0.4108000000000047,-0.09518925,1009.2962160400004,0.0,1009.2962160400004,14651.8603515625,-0.013,14644.5,0.0,14612.9,close_grid_long,taker,0.0,0.0,0.0,0.0,63385,0.06888519217509245
50,63386,2020-11-07 19:38:00,BTC,0.0,-0.07580664000000001,1009.2204094000004,0.0,1009.2204094000004,14628.9296875,0.013,14578.2,0.013,14578.2,entry_initial_normal_long,maker,0.18778514409223157,0.18778514409223157,0.0,0.18778514409223157,63386,0.06898798688343893
51,63387,2020-11-07 19:39:00,BTC,0.3730999999999858,-0.09494484999999998,1009.4985645500004,0.0,1009.4985645500004,14614.26953125,-0.013,14606.9,0.0,14578.2,close_grid_long,taker,0.0,0.0,0.0,0.0,63387,0.06907622460304078
