,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,37423,2020-10-06 18:55:00,BTC,0.0,-0.09328879999999999,999.9067112,0.0,999.9067112,10617.1904296875,0.022,10601.0,0.022,10601.0,entry_initial_normal_long,maker,0.2332437590303874,0.2332437590303874,0.0,0.2332437590303874,37423,0.09417808956351466
1,38504,2020-10-07 12:56:00,BTC,0.222200000000008,-0.1167221,1000.0121891000001,0.0,1000.0121891000001,10616.4697265625,-0.022,10611.1,0.0,10601.0,close_grid_long,taker,0.0,0.0,0.0,0.0,38504,0.09419441818761663
2,45570,2020-10-12 10:42:00,BTC,0.0,-0.09445464,999.9177344600001,0.0,999.9177344600001,11223.8603515625,0.021,11244.6,0.021,11244.6,entry_initial_normal_long,maker,0.23615602750312678,0.23615602750312678,0.0,0.23615602750312678,45570,0.08908857586782067
3,45584,2020-10-12 10:56:00,BTC,0.6930000000000001,-0.09473184000000001,1000.5160026200001,0.0,1000.5160026200001,11277.8095703125,-0.021,11277.6,0.0,11244.6,close_grid_long,maker,0.0,0.0,0.0,0.0,45584,0.08871545457317706
4,46317,2020-10-12 23:09:00,BTC,0.0,-0.09162080000000002,1000.4243818200001,0.0,1000.4243818200001,11530.6396484375,0.02,11452.6,0.02,11452.6,entry_initial_normal_long,maker,0.22895483573011505,0.22895483573011505,0.0,0.22895483573011505,46317,0.08676226231348459
5,46318,2020-10-12 23:10:00,BTC,1.82,-0.11543600000000001,1002.1289458200001,0.0,1002.1289458200001,11549.4501953125,-0.02,11543.6,0.0,11452.6,close_grid_long,taker,0.0,0.0,0.0,0.0,46318,0.08676854126153362
6,46410,2020-10-13 00:42:00,BTC,0.0,-0.09154,1002.0374058200001,0.0,1002.0374058200001,11457.259765625,0.02,11442.5,0.02,11442.5,entry_initial_normal_long,maker,0.22838468770806467,0.22838468770806467,0.0,0.22838468770806467,46410,0.0874587315220341
7,46411,2020-10-13 00:43:00,BTC,0.67,-0.09180800000000001,1002.6155978200001,0.0,1002.6155978200001,11476.2099609375,-0.02,11476.0,0.0,11442.5,close_grid_long,maker,0.0,0.0,0.0,0.0,46411,0.08736469629195383
8,47180,2020-10-13 13:32:00,BTC,0.0,-0.0908256,1002.52477222,0.0,1002.52477222,11379.33984375,0.02,11353.2,0.02,11353.2,entry_initial_normal_long,maker,0.22649215888918875,0.22649215888918875,0.0,0.22649215888918875,47180,0.088100433415795
9,47181,2020-10-13 13:33:00,BTC,0.43599999999998545,-0.11375,1002.8470222200001,0.0,1002.8470222200001,11380.6904296875,-0.02,11375.0,0.0,11353.2,close_grid_long,taker,0.0,0.0,0.0,0.0,47181,0.08811829373760913
10,47187,2020-10-13 13:39:00,BTC,0.0,-0.09076800000000002,1002.7562542200001,0.0,1002.7562542200001,11337.3896484375,0.02,11346.0,0.02,11346.0,entry_initial_normal_long,maker,0.22629626995097735,0.22629626995097735,0.0,0.22629626995097735,47187,0.08844683699816194
11,47192,2020-10-13 13:44:00,BTC,0.26,-0.11359000000000001,1002.90266422,0.0,1002.90266422,11364.7197265625,-0.02,11359.0,0.0,11346.0,close_grid_long,taker,0.0,0.0,0.0,0.0,47192,0.08824702133884908
12,47202,2020-10-13 13:54:00,BTC,0.0,-0.09064080000000001,1002.8120234200001,0.0,1002.8120234200001,11331.4404296875,0.02,11330.1,0.02,11330.1,entry_initial_normal_long,maker,0.22596657669419867,0.22596657669419867,0.0,0.22596657669419867,47202,0.08849819488021222
13,47209,2020-10-13 14:01:00,BTC,0.6839999999999782,-0.11364300000000001,1003.38238042,0.0,1003.38238042,11370.009765625,-0.02,11364.3,0.0,11330.1,close_grid_long,taker,0.0,0.0,0.0,0.0,47209,0.08824815467208572
14,47218,2020-10-13 14:10:00,BTC,0.0,-0.09051200000000001,1003.29186842,0.0,1003.29186842,11329.4501953125,0.02,11314.0,0.02,11314.0,entry_initial_normal_long,maker,0.22553756002861794,0.22553756002861794,0.0,0.22553756002861794,47218,0.08855609505526638
15,47225,2020-10-13 14:17:00,BTC,0.4879999999999927,-0.113384,1003.66648442,0.0,1003.66648442,11344.080078125,-0.02,11338.4,0.0,11314.0,close_grid_long,taker,0.0,0.0,0.0,0.0,47225,0.08847491180491476
16,48763,2020-10-14 15:55:00,BTC,0.0,-0.11891565,1003.54756877,0.0,1003.54756877,11319.599609375,0.021,11325.3,0.021,11325.3,entry_initial_normal_long,taker,0.23699055969165306,0.23699055969165306,0.0,0.23699055969165306,48763,0.08865574785338276
17,48774,2020-10-14 16:06:00,BTC,0.3822000000000153,-0.11910675000000001,1003.81066202,0.0,1003.81066202,11349.259765625,-0.021,11343.5,0.0,11325.3,close_grid_long,taker,0.0,0.0,0.0,0.0,48774,0.08844723644976157
18,50936,2020-10-16 04:08:00,BTC,0.0,-0.09104480000000001,1003.71961722,0.0,1003.71961722,11413.1796875,0.02,11380.6,0.02,11380.6,entry_initial_normal_long,maker,0.22676850795286482,0.22676850795286482,0.0,0.22676850795286482,50936,0.08794390736871503
