,index,timestamp,coin,pnl,fee_paid,usd_total_balance,btc_cash_wallet,usd_cash_wallet,btc_price,qty,price,psize,pprice,type,liquidity,wallet_exposure,twe_long,twe_short,twe_net,minute,btc_total_balance
0,37423,2020-10-06 18:55:00,BTC,0.0,-0.034042880000000005,999.96595712,0.0,999.96595712,10617.1904296875,0.008,10638.4,0.008,10638.4,entry_initial_normal_long,maker,0.08511009739283235,0.08511009739283235,0.0,0.08511009739283235,37423,0.09418366975164374
1,38828,2020-10-07 18:20:00,BTC,0.224,-0.03413248,1000.15582464,0.0,1000.15582464,10651.0400390625,-0.008,10666.4,0.0,10638.4,close_grid_long,maker,0.0,0.0,0.0,0.0,38828,0.0939021749023519
2,42634,2020-10-10 09:46:00,BTC,0.0,-0.03161844,1000.1242062,0.0,1000.1242062,11307.9599609375,0.007,11292.3,0.007,11292.3,entry_initial_normal_long,maker,0.07903628320360115,0.07903628320360115,0.0,0.07903628320360115,42634,0.08844426489436238
3,42635,2020-10-10 09:47:00,BTC,0.2079000000000051,-0.0317016,1000.3004046,0.0,1000.3004046,11308.4296875,-0.007,11322.0,0.0,11292.3,close_grid_long,maker,0.0,0.0,0.0,0.0,42635,0.08845617227524544
4,42637,2020-10-10 09:49:00,BTC,0.0,-0.03962105,1000.2607835499999,0.0,1000.2607835499999,11314.5595703125,0.007,11320.3,0.007,11320.3,entry_initial_normal_long,taker,0.079221440351549,0.079221440351549,0.0,0.079221440351549,42637,0.0884047476469624
5,42715,2020-10-10 11:07:00,BTC,0.098,-0.03967005,1000.3191134999998,0.0,1000.3191134999998,11340.009765625,-0.007,11334.3,0.0,11320.3,close_grid_long,taker,0.0,0.0,0.0,0.0,42715,0.08821148607228449
6,44667,2020-10-11 19:39:00,BTC,0.0,-0.03171644,1000.2873970599999,0.0,1000.2873970599999,11343.009765625,0.007,11327.3,0.007,11327.3,entry_initial_normal_long,maker,0.07926831851830671,0.07926831851830671,0.0,0.07926831851830671,44667,0.08818535977032936
7,44668,2020-10-11 19:40:00,BTC,0.20860000000000764,-0.03179988,1000.4641971799999,0.0,1000.4641971799999,11342.48046875,-0.007,11357.1,0.0,11327.3,close_grid_long,maker,0.0,0.0,0.0,0.0,44668,0.0882050623702997
8,44750,2020-10-11 21:02:00,BTC,0.0,-0.031587080000000003,1000.4326100999999,0.0,1000.4326100999999,11293.8701171875,0.007,11281.1,0.007,11281.1,entry_initial_normal_long,maker,0.07893355254793889,0.07893355254793889,0.0,0.07893355254793889,44750,0.08858191210978231
9,44759,2020-10-11 21:11:00,BTC,0.16939999999999236,-0.039568549999999994,1000.5624415499999,0.0,1000.5624415499999,11310.990234375,-0.007,11305.3,0.0,11281.1,close_grid_long,taker,0.0,0.0,0.0,0.0,44759,0.08845931442051917
10,45570,2020-10-12 10:42:00,BTC,0.0,-0.031570560000000004,1000.5308709899999,0.0,1000.5308709899999,11223.8603515625,0.007,11275.2,0.007,11275.2,entry_initial_normal_long,maker,0.07888452249544717,0.07888452249544717,0.0,0.07888452249544717,45570,0.08914320382208904
11,45715,2020-10-12 13:07:00,BTC,0.2071999999999898,-0.031653440000000005,1000.7064175499999,0.0,1000.7064175499999,11299.98046875,-0.007,11304.8,0.0,11275.2,close_grid_long,maker,0.0,0.0,0.0,0.0,45715,0.08855824311532617
12,46317,2020-10-12 23:09:00,BTC,0.0,-0.0323008,1000.6741167499998,0.0,1000.6741167499998,11530.6396484375,0.007,11536.0,0.007,11536.0,entry_initial_normal_long,maker,0.08069760039588833,0.08069760039588833,0.0,0.08069760039588833,46317,0.086783920689569
13,46318,2020-10-12 23:10:00,BTC,0.2120999999999949,-0.03238564,1000.8538311099998,0.0,1000.8538311099998,11549.4501953125,-0.007,11566.3,0.0,11536.0,close_grid_long,maker,0.0,0.0,0.0,0.0,46318,0.0866581364640379
14,46319,2020-10-12 23:11:00,BTC,0.0,-0.03229828,1000.8215328299998,0.0,1000.8215328299998,11549.91015625,0.007,11535.1,0.007,11535.1,entry_initial_normal_long,maker,0.08067941920841497,0.08067941920841497,0.0,0.08067941920841497,46319,0.08665188900092227
