,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,34,HYPE,0.0,-0.012659840000000002,999.98734016,0.0,999.98734016,1.0,2.62,24.16,2.62,24.16,entry_initial_normal_long
1,345,HYPE,0.0,-0.01798185,999.9693583100001,0.0,999.9693583100001,1.0,3.83,23.475,6.45,23.75324806201551,entry_grid_normal_long
2,664,HYPE,2.159149999999977,-0.031073520000000004,1002.0974347900001,0.0,1002.0974347900001,1.0,-6.45,24.088,0.0,23.75324806201551,close_grid_long
3,943,HYPE,0.0,-0.012701104,1002.084733686,0.0,1002.084733686,1.0,2.69,23.608,2.69,23.608,entry_initial_normal_long
4,1116,HYPE,0.8957699999999957,-0.012880257999999999,1002.967623428,0.0,1002.967623428,1.0,-2.69,23.941,0.0,23.608,close_grid_long
5,2010,HYPE,0.0,-0.012683978,1002.95493945,0.0,1002.95493945,1.0,2.57,24.677,2.57,24.677,entry_initial_normal_long
6,2055,HYPE,0.8943599999999973,-0.012862849999999999,1003.8364366,0.0,1003.8364366,1.0,-2.57,25.025,0.0,24.677,close_grid_long
7,2067,HYPE,0.0,-0.012717852,1003.8237187479999,0.0,1003.8237187479999,1.0,2.58,24.647,2.58,24.647,entry_initial_normal_long
8,2145,HYPE,0.8952600000000034,-0.012896904,1004.7060818439999,0.0,1004.7060818439999,1.0,-2.58,24.994,0.0,24.647,close_grid_long
9,2297,HYPE,0.0,-0.012731268,1004.6933505759998,0.0,1004.6933505759998,1.0,2.58,24.673,2.58,24.673,entry_initial_normal_long
10,2373,HYPE,0.8978400000000065,-0.012910836000000002,1005.5782797399999,0.0,1005.5782797399999,1.0,-2.58,25.021,0.0,24.673,close_grid_long
11,2581,HYPE,0.0,-0.012736584,1005.5655431559999,0.0,1005.5655431559999,1.0,2.59,24.588,2.59,24.588,entry_initial_normal_long
12,3019,HYPE,0.8987299999999941,-0.01291633,1006.4513568259998,0.0,1006.4513568259998,1.0,-2.59,24.935,0.0,24.588,close_grid_long
13,3403,HYPE,0.0,-0.012728448000000002,1006.4386283779999,0.0,1006.4386283779999,1.0,2.61,24.384,2.61,24.384,entry_initial_normal_long
14,3464,HYPE,0.8978400000000031,-0.012908016000000001,1007.3235603619999,0.0,1007.3235603619999,1.0,-2.61,24.728,0.0,24.384,close_grid_long
15,3490,HYPE,0.0,-0.012755732,1007.3108046299999,0.0,1007.3108046299999,1.0,2.62,24.343,2.62,24.343,entry_initial_normal_long
16,3559,HYPE,0.89866,-0.012935464000000002,1008.1965291659999,0.0,1008.1965291659999,1.0,-2.62,24.686,0.0,24.343,close_grid_long
17,4204,HYPE,0.0,-0.012789407999999999,1008.1837397579999,0.0,1008.1837397579999,1.0,2.54,25.176,2.54,25.176,entry_initial_normal_long
18,4231,HYPE,0.9017000000000011,-0.012969748,1009.0724700099998,0.0,1009.0724700099998,1.0,-2.54,25.531,0.0,25.176,close_grid_long
19,5019,HYPE,0.0,-0.012798072,1009.0596719379998,0.0,1009.0596719379998,1.0,2.52,25.393,2.52,25.393,entry_initial_normal_long
20,5050,HYPE,0.9021600000000014,-0.012978504000000002,1009.9488534339998,0.0,1009.9488534339998,1.0,-2.52,25.751,0.0,25.393,close_grid_long
21,5095,HYPE,0.0,-0.012769344,1009.9360840899998,0.0,1009.9360840899998,1.0,2.52,25.336,2.52,25.336,entry_initial_normal_long
22,5243,HYPE,0.0,-0.018118848,1009.9179652419998,0.0,1009.9179652419998,1.0,3.68,24.618,6.2,24.90983225806451,entry_grid_normal_long
23,5255,HYPE,0.0,-0.043844964,1009.8741202779999,0.0,1009.8741202779999,1.0,9.06,24.197,15.26,24.48661730013106,entry_grid_normal_long
24,5323,HYPE,5.240020000000021,-0.07578115999999999,1015.0383591179999,0.0,1015.0383591179999,1.0,-15.26,24.83,0.0,24.48661730013106,close_grid_long
25,5324,HYPE,0.0,-0.01283086,1015.0255282579999,0.0,1015.0255282579999,1.0,2.59,24.77,2.59,24.77,entry_initial_normal_long
26,5365,HYPE,0.0,-0.018195408,1015.0073328499999,0.0,1015.0073328499999,1.0,3.78,24.068,6.37,24.353428571428573,entry_grid_normal_long
27,5445,HYPE,0.0,-0.04404933400000001,1014.9632835159999,0.0,1014.9632835159999,1.0,9.31,23.657,15.68,23.939924107142858,entry_grid_normal_long
28,5484,HYPE,0.0,-0.106481098,1014.8568024179999,0.0,1014.8568024179999,1.0,22.91,23.239,38.59,23.523801502980042,entry_grid_normal_long
29,5512,HYPE,0.0,-0.357851608,1014.4989508099999,0.0,1014.4989508099999,1.0,78.49,22.796,117.08,23.035886060813116,entry_grid_inflated_long
30,5521,HYPE,0.0,-0.029557760000000002,1014.4693930499999,0.0,1014.4693930499999,1.0,6.4,23.092,123.48,23.038794460641395,entry_trailing_normal_long
31,5526,HYPE,0.0,-0.03149955,1014.4378934999999,0.0,1014.4378934999999,1.0,6.75,23.333,130.23,23.054043538355216,entry_trailing_normal_long
32,5529,HYPE,5.630833586731187,-0.09288126000000001,1019.9758458267311,0.0,1019.9758458267311,1.0,-19.9,23.337,110.33,23.054043538355216,close_trailing_long
33,5537,HYPE,5.581918797512087,-0.093378666,1025.4643859582432,0.0,1025.4643859582432,1.0,-20.01,23.333,90.32,23.054043538355216,close_trailing_long
34,5557,HYPE,5.249170283344864,-0.07938747399999999,1030.634168767588,0.0,1030.634168767588,1.0,-16.99,23.363,73.33,23.054043538355216,close_trailing_long
35,5557,HYPE,6.602203096060813,-0.09736358599999999,1037.1390082776488,0.0,1037.1390082776488,1.0,-20.83,23.371,52.5,23.054043538355216,close_grid_long
36,5557,HYPE,6.643863096060864,-0.097371918,1043.6854994557098,0.0,1043.6854994557098,1.0,-20.83,23.373,31.67,23.054043538355216,close_grid_long
37,5557,HYPE,6.706353096060866,-0.097384416,1050.2944681357706,0.0,1050.2944681357706,1.0,-20.83,23.376,10.84,23.054043538355216,close_grid_long
38,5557,HYPE,3.5116880442294547,-0.050683504000000004,1053.755472676,0.0,1053.755472676,1.0,-10.84,23.378,0.0,23.054043538355216,close_grid_long
39,5558,HYPE,0.0,-0.013361348000000002,1053.742111328,0.0,1053.742111328,1.0,2.86,23.359,2.86,23.359,entry_initial_normal_long
40,5574,HYPE,0.9409399999999916,-0.013549536,1054.669501792,0.0,1054.669501792,1.0,-2.86,23.688,0.0,23.359,close_grid_long
41,5575,HYPE,0.0,-0.013337384,1054.656164408,0.0,1054.656164408,1.0,2.81,23.732,2.81,23.732,entry_initial_normal_long
42,5654,HYPE,0.9413500000000025,-0.013525654000000002,1055.583988754,0.0,1055.583988754,1.0,-2.81,24.067,0.0,23.732,close_grid_long
43,5655,HYPE,0.0,-0.013380695999999997,1055.570608058,0.0,1055.570608058,1.0,2.78,24.066,2.78,24.066,entry_initial_normal_long
44,5765,HYPE,0.0,-0.018987808,1055.55162025,0.0,1055.55162025,1.0,4.06,23.384,6.84,23.661187134502924,entry_grid_normal_long
45,5863,HYPE,0.0,-0.04596800000000001,1055.5056522500001,0.0,1055.5056522500001,1.0,10.0,22.984,16.84,23.25905700712589,entry_grid_normal_long
46,5929,HYPE,0.0,-0.11112891600000001,1055.394523334,0.0,1055.394523334,1.0,24.61,22.578,41.45,22.85469481302774,entry_grid_normal_long
47,5945,HYPE,0.0,-0.371466256,1055.023057078,0.0,1055.023057078,1.0,83.86,22.148,125.31,22.38176027451919,entry_grid_inflated_long
48,5950,HYPE,0.0,-0.030551000000000002,1054.992506078,0.0,1054.992506078,1.0,6.85,22.3,132.16,22.37752254842615,entry_trailing_normal_long
49,5962,HYPE,0.0,-0.032426550000000005,1054.9600795279998,0.0,1054.9600795279998,1.0,7.23,22.425,139.39,22.379985149580317,entry_trailing_normal_long
50,5976,HYPE,0.0,-0.00908724,1054.9509922879997,0.0,1054.9509922879997,1.0,2.05,22.164,141.44,22.376854708710407,entry_trailing_cropped_long
51,6012,HYPE,-2.3207823897058732,-0.094950752,1052.5352591462938,0.0,1052.5352591462938,1.0,-21.32,22.268,120.12,22.376854708710407,close_trailing_long
52,6016,HYPE,-2.5918496542703884,-0.09467276999999999,1049.8487367220234,0.0,1049.8487367220234,1.0,-21.27,22.255,98.85,22.376854708710407,close_trailing_long
53,6043,HYPE,0.0,-0.11560320000000002,1049.7331335220235,0.0,1049.7331335220235,1.0,26.76,21.6,125.61,22.211353299546403,entry_grid_cropped_long
54,6073,HYPE,0.0,-0.029810304000000003,1049.7033232180236,0.0,1049.7033232180236,1.0,6.87,21.696,132.48,22.18462868324293,entry_trailing_normal_long
55,6121,HYPE,0.0,-0.030922040000000005,1049.6724011780236,0.0,1049.6724011780236,1.0,7.24,21.355,139.72,22.141639049212877,entry_trailing_normal_long
56,6139,HYPE,0.0,-0.011078900000000001,1049.6613222780236,0.0,1049.6613222780236,1.0,2.66,20.825,142.38,22.11704107287557,entry_trailing_cropped_long
57,6249,HYPE,-0.08676183463847803,-0.094953222,1049.479607221385,0.0,1049.479607221385,1.0,-21.47,22.113,120.91,22.11704107287557,close_trailing_long
58,6265,HYPE,-2.597541423909741,-0.094406832,1046.7876589654754,0.0,1046.7876589654754,1.0,-21.46,21.996,99.45,22.11704107287557,close_trailing_long
59,6326,HYPE,0.0,-0.116437446,1046.6712215194755,0.0,1046.6712215194755,1.0,27.27,21.349,126.72,21.95175950676669,entry_grid_cropped_long
60,6346,HYPE,0.0,-0.029871072,1046.6413504474754,0.0,1046.6413504474754,1.0,6.93,21.552,133.65,21.931031236045452,entry_trailing_normal_long
61,6367,HYPE,0.0,-0.03167423,1046.6096762174755,0.0,1046.6096762174755,1.0,7.31,21.665,140.96,21.91723520642363,entry_trailing_normal_long
62,6379,HYPE,0.0,-0.010059076,1046.5996171414754,0.0,1046.5996171414754,1.0,2.33,21.586,143.29,21.911849080169414,entry_trailing_cropped_long
63,6417,HYPE,0.021957717467857806,-0.0034226400000000007,1046.6181522189434,0.0,1046.6181522189434,1.0,-0.78,21.94,142.51,21.911849080169414,close_unstuck_long
64,6418,HYPE,0.025077717467856076,-0.0034232639999999996,1046.6398066724112,0.0,1046.6398066724112,1.0,-0.78,21.944,141.73,21.911849080169414,close_unstuck_long
65,6419,HYPE,0.057057717467856366,-0.00342966,1046.693434729879,0.0,1046.693434729879,1.0,-0.78,21.985,140.95,21.911849080169414,close_unstuck_long
66,6420,HYPE,0.0882577174678557,-0.0034359000000000004,1046.778256547347,0.0,1046.778256547347,1.0,-0.78,22.025,140.17,21.911849080169414,close_unstuck_long
67,6421,HYPE,0.09995771746785614,-0.00343824,1046.8747760248148,0.0,1046.8747760248148,1.0,-0.78,22.04,139.39,21.911849080169414,close_unstuck_long
68,6422,HYPE,0.10775771746785737,-0.0034398000000000007,1046.9790939422826,0.0,1046.9790939422826,1.0,-0.78,22.05,138.61,21.911849080169414,close_unstuck_long
69,6423,HYPE,0.04691771746785783,-0.0034276320000000008,1047.0225840277506,0.0,1047.0225840277506,1.0,-0.78,21.972,137.83,21.911849080169414,close_unstuck_long
70,6424,HYPE,0.22495620826955143,-0.0034194160000000006,1047.24412082002,0.0,1047.24412082002,1.0,-0.77,22.204,137.06,21.911849080169414,close_unstuck_long
