,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.034278528,999.965721472,0.0,999.965721472,1.0,7.12,24.072,7.12,24.072,entry_initial_normal_long
1,128,HYPE,0.5482400000000124,-0.034388176000000006,1000.479573296,0.0,1000.479573296,1.0,-7.12,24.149,0.0,24.072,close_grid_long
2,209,HYPE,0.0,-0.034329016,1000.44524428,0.0,1000.44524428,1.0,7.18,23.906,7.18,23.906,entry_initial_normal_long
3,212,HYPE,0.5528600000000125,-0.034439588,1000.9636646920001,0.0,1000.9636646920001,1.0,-7.18,23.983,0.0,23.906,close_grid_long
4,241,HYPE,0.0,-0.034330812,1000.9293338800001,0.0,1000.9293338800001,1.0,7.19,23.874,7.19,23.874,entry_initial_normal_long
5,397,HYPE,0.0,-0.041449509999999995,1000.88788437,0.0,1000.88788437,1.0,8.87,23.365,16.06,23.592877334993773,entry_grid_normal_long
6,434,HYPE,1.640090000000013,-0.07610834,1002.45186603,0.0,1002.45186603,1.0,-16.06,23.695,0.0,23.592877334993773,close_grid_long
7,438,HYPE,0.0,-0.034383,1002.41748303,0.0,1002.41748303,1.0,7.3,23.55,7.3,23.55,entry_initial_normal_long
8,457,HYPE,0.5548000000000037,-0.03449396,1002.93778907,0.0,1002.93778907,1.0,-7.3,23.626,0.0,23.55,close_grid_long
9,462,HYPE,0.0,-0.03438916399999999,1002.903399906,0.0,1002.903399906,1.0,7.31,23.522,7.31,23.522,entry_initial_normal_long
10,603,HYPE,0.5555600000000037,-0.034500275999999996,1003.42445963,0.0,1003.42445963,1.0,-7.31,23.598,0.0,23.522,close_grid_long
11,611,HYPE,0.0,-0.03443360400000001,1003.390026026,0.0,1003.390026026,1.0,7.38,23.329,7.38,23.329,entry_initial_normal_long
12,622,HYPE,0.5534999999999948,-0.034544304,1003.908981722,0.0,1003.908981722,1.0,-7.38,23.404,0.0,23.329,close_grid_long
13,949,HYPE,0.0,-0.034433280000000004,1003.874548442,0.0,1003.874548442,1.0,7.32,23.52,7.32,23.52,entry_initial_normal_long
14,952,HYPE,0.5563200000000038,-0.034544544,1004.396323898,0.0,1004.396323898,1.0,-7.32,23.596,0.0,23.52,close_grid_long
15,953,HYPE,0.0,-0.034427424,1004.361896474,0.0,1004.361896474,1.0,7.32,23.516,7.32,23.516,entry_initial_normal_long
16,954,HYPE,1.2297600000000206,-0.034673376000000006,1005.556983098,0.0,1005.556983098,1.0,-7.32,23.684,0.0,23.516,close_grid_long
17,960,HYPE,0.0,-0.03446566,1005.522517438,0.0,1005.522517438,1.0,7.33,23.51,7.33,23.51,entry_initial_normal_long
18,973,HYPE,0.5570799999999777,-0.034577076,1006.045020362,0.0,1006.045020362,1.0,-7.33,23.586,0.0,23.51,close_grid_long
19,980,HYPE,0.0,-0.034480384,1006.010539978,0.0,1006.010539978,1.0,7.34,23.488,7.34,23.488,entry_initial_normal_long
20,1050,HYPE,0.5578400000000038,-0.034591952,1006.533788026,0.0,1006.533788026,1.0,-7.34,23.564,0.0,23.488,close_grid_long
21,2010,HYPE,0.0,-0.034529976000000004,1006.49925805,0.0,1006.49925805,1.0,7.02,24.594,7.02,24.594,entry_initial_normal_long
22,2011,HYPE,0.561599999999988,-0.034642296,1007.026215754,0.0,1007.026215754,1.0,-7.02,24.674,0.0,24.594,close_grid_long
23,2014,HYPE,0.0,-0.03452436,1006.991691394,0.0,1006.991691394,1.0,7.02,24.59,7.02,24.59,entry_initial_normal_long
24,2015,HYPE,0.561600000000013,-0.03463668,1007.518654714,0.0,1007.518654714,1.0,-7.02,24.67,0.0,24.59,close_grid_long
25,2073,HYPE,0.0,-0.034528548,1007.484126166,0.0,1007.484126166,1.0,7.03,24.558,7.03,24.558,entry_initial_normal_long
26,2083,HYPE,0.5553700000000044,-0.034639622,1008.0048565440001,0.0,1008.0048565440001,1.0,-7.03,24.637,0.0,24.558,close_grid_long
27,2596,HYPE,0.0,-0.034577056,1007.9702794880001,0.0,1007.9702794880001,1.0,7.06,24.488,7.06,24.488,entry_initial_normal_long
28,2604,HYPE,0.5506799999999957,-0.034687192,1008.486272296,0.0,1008.486272296,1.0,-7.06,24.566,0.0,24.488,close_grid_long
29,2606,HYPE,0.0,-0.034609064,1008.451663232,0.0,1008.451663232,1.0,7.07,24.476,7.07,24.476,entry_initial_normal_long
30,2629,HYPE,0.5514599999999958,-0.034719356,1008.968403876,0.0,1008.968403876,1.0,-7.07,24.554,0.0,24.476,close_grid_long
31,2633,HYPE,0.0,-0.034611288000000004,1008.9337925880001,0.0,1008.9337925880001,1.0,7.08,24.443,7.08,24.443,entry_initial_normal_long
32,2642,HYPE,0.5522399999999957,-0.034721736,1009.4513108520001,0.0,1009.4513108520001,1.0,-7.08,24.521,0.0,24.443,close_grid_long
33,2740,HYPE,0.0,-0.034612902,1009.4166979500001,0.0,1009.4166979500001,1.0,7.11,24.341,7.11,24.341,entry_initial_normal_long
