,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.07433580000000001,999.9256642,0.0,999.9256642,1.0,15.4,24.135,15.4,24.135,entry_initial_normal_long
1,1254,HYPE,6.190799999999961,-0.07557396000000001,1006.04089024,0.0,1006.04089024,1.0,-15.4,24.537,0.0,24.135,close_grid_long
2,1696,HYPE,0.0,-0.07476604800000002,1005.9661241919999,0.0,1005.9661241919999,1.0,14.88,25.123,14.88,25.123,entry_initial_normal_long
3,1779,HYPE,6.234720000000007,-0.07601299200000002,1012.1248311999999,0.0,1012.1248311999999,1.0,-14.88,25.542,0.0,25.123,close_grid_long
4,1876,HYPE,0.0,-0.07524752400000001,1012.0495836759999,0.0,1012.0495836759999,1.0,15.07,24.966,15.07,24.966,entry_initial_normal_long
5,1899,HYPE,6.269120000000005,-0.07650134800000001,1018.2422023279998,0.0,1018.2422023279998,1.0,-15.07,25.382,0.0,24.966,close_grid_long
6,1927,HYPE,0.0,-0.07569784600000001,1018.1665044819998,0.0,1018.1665044819998,1.0,15.19,24.917,15.19,24.917,entry_initial_normal_long
7,2147,HYPE,6.303849999999986,-0.076958616,1024.3933958659998,0.0,1024.3933958659998,1.0,-15.19,25.332,0.0,24.917,close_grid_long
8,2290,HYPE,0.0,-0.07614259200000001,1024.3172532739998,0.0,1024.3172532739998,1.0,15.36,24.786,15.36,24.786,entry_initial_normal_long
9,2377,HYPE,6.3436800000000035,-0.077411328,1030.5835219459998,0.0,1030.5835219459998,1.0,-15.36,25.199,0.0,24.786,close_grid_long
10,2596,HYPE,0.0,-0.076605588,1030.506916358,0.0,1030.506916358,1.0,15.66,24.459,15.66,24.459,entry_initial_normal_long
11,3018,HYPE,6.38928000000002,-0.07788344400000001,1036.818312914,0.0,1036.818312914,1.0,-15.66,24.867,0.0,24.459,close_grid_long
12,3394,HYPE,0.0,-0.07704554,1036.741267374,0.0,1036.741267374,1.0,15.73,24.49,15.73,24.49,entry_initial_normal_long
13,3579,HYPE,6.433570000000039,-0.078332254,1043.09650512,0.0,1043.09650512,1.0,-15.73,24.899,0.0,24.49,close_grid_long
14,3882,HYPE,0.0,-0.07755437200000001,1043.0189507480002,0.0,1043.0189507480002,1.0,15.26,25.411,15.26,25.411,entry_initial_normal_long
15,3889,HYPE,6.470239999999992,-0.07884842,1049.410342328,0.0,1049.410342328,1.0,-15.26,25.835,0.0,25.411,close_grid_long
16,4135,HYPE,0.0,-0.07801209,1049.3323302380002,0.0,1049.3323302380002,1.0,15.21,25.645,15.21,25.645,entry_initial_normal_long
17,4511,HYPE,6.509880000000013,-0.079314066,1055.7628961720002,0.0,1055.7628961720002,1.0,-15.21,26.073,0.0,25.645,close_grid_long
18,5016,HYPE,0.0,-0.078455142,1055.6844410300002,0.0,1055.6844410300002,1.0,15.39,25.489,15.39,25.489,entry_initial_normal_long
19,5253,HYPE,0.0,-0.112813122,1055.5716279080002,0.0,1055.5716279080002,1.0,23.09,24.429,38.48,24.852944906444908,entry_grid_normal_long
20,5435,HYPE,0.0,-0.274158456,1055.2974694520003,0.0,1055.2974694520003,1.0,57.72,23.749,96.2,24.19057796257796,entry_grid_normal_long
21,5511,HYPE,0.0,-0.37879980800000007,1054.9186696440004,0.0,1054.9186696440004,1.0,82.52,22.952,178.72,23.618692032229184,entry_grid_cropped_long
22,5512,HYPE,-1.5044947179946255,-0.011130548,1053.4030443780057,0.0,1053.4030443780057,1.0,-2.42,22.997,176.3,23.618692032229184,close_unstuck_long
23,5513,HYPE,-1.9699816383169177,-0.011084688000000002,1051.4219780516887,0.0,1051.4219780516887,1.0,-2.43,22.808,173.87,23.618692032229184,close_unstuck_long
24,5514,HYPE,-1.5103277976723315,-0.011082144000000002,1049.9005681100164,0.0,1049.9005681100164,1.0,-2.41,22.992,171.46,23.618692032229184,close_unstuck_long
25,5515,HYPE,-1.5006877976723367,-0.011084072,1048.388796240344,0.0,1048.388796240344,1.0,-2.41,22.996,169.05,23.618692032229184,close_unstuck_long
26,5516,HYPE,-1.345660877350042,-0.01106784,1047.0320675229939,0.0,1047.0320675229939,1.0,-2.4,23.058,166.65,23.618692032229184,close_unstuck_long
27,5517,HYPE,-1.3735139570277486,-0.011015032000000001,1045.647538533966,0.0,1045.647538533966,1.0,-2.39,23.044,164.26,23.618692032229184,close_unstuck_long
28,5518,HYPE,-1.3376639570277473,-0.011022202000000002,1044.2988523749384,0.0,1044.2988523749384,1.0,-2.39,23.059,161.87,23.618692032229184,close_unstuck_long
29,5519,HYPE,-1.301813957027746,-0.011029372,1042.9860090459106,0.0,1042.9860090459106,1.0,-2.39,23.074,159.48,23.618692032229184,close_unstuck_long
30,5520,HYPE,-1.3926339570277466,-0.011011208000000001,1041.582363880883,0.0,1041.582363880883,1.0,-2.39,23.036,157.09,23.618692032229184,close_unstuck_long
31,5521,HYPE,-1.253527036705461,-0.010991792,1040.3178450521775,0.0,1040.3178450521775,1.0,-2.38,23.092,154.71,23.618692032229184,close_unstuck_long
32,5522,HYPE,-1.6913839570277467,-0.010951458,1038.6155096371497,0.0,1038.6155096371497,1.0,-2.39,22.911,152.32,23.618692032229184,close_unstuck_long
33,5523,HYPE,-1.681823957027752,-0.01095337,1036.922732310122,0.0,1036.922732310122,1.0,-2.39,22.915,149.93,23.618692032229184,close_unstuck_long
