,balance,equity,balance_btc,equity_btc
0,999.985264212,1000.0,0.0,0.0
60,999.985264212,998.783304212,0.0,-1.201959999999999
120,999.978483676,998.5839842119999,0.0,-1.4012799999999959
180,999.956691906,999.687943676,0.0,-0.29053999999999136
240,999.8244479059999,998.579611906,0.0,-1.377079999999972
300,999.8244479059999,1000.9887579059999,0.0,1.1643100000000541
360,999.646613314,989.158357906,0.0,-10.666089999999956
420,1004.9545882303742,988.741883314,0.0,-10.904729999999999
480,1004.9545882303742,1003.6833536980001,0.0,-1.2712345323740692
540,1004.9545882303742,1001.4225536980001,0.0,-3.5320345323740696
600,1004.9545882303742,1004.230553698,0.0,-0.7240345323741167
660,1012.856963338,1008.968153698,0.0,4.0135654676258925
720,1012.856963338,1012.856963338,0.0,0.0
780,1012.856963338,1012.856963338,0.0,0.0
840,1012.856963338,1012.856963338,0.0,0.0
900,1012.842065212,1012.856963338,0.0,0.0
960,1012.837790572,1010.994245212,0.0,-1.8478199999999967
1020,1012.813106794,1010.2960705720001,0.0,-2.541719999999987
1080,1012.813106794,1010.338686794,0.0,-2.474419999999979
1140,1012.813106794,1014.524566794,0.0,1.7114600000000273
1200,1018.020139862,1016.165726794,0.0,3.352620000000002
1260,1018.020139862,1018.020139862,0.0,0.0
1320,1018.020139862,1018.020139862,0.0,0.0
1380,1018.0051740619999,1018.020139862,0.0,0.0
1440,1017.9982383239999,1018.6921740619999,0.0,0.6869999999999976
1500,1020.6352535239998,1018.9466683239999,0.0,0.948429999999999
1560,1020.6352535239998,1021.8326535239999,0.0,1.1973999999999956
1620,1020.6327959239999,1021.5856135239999,0.0,0.9503599999999953
1680,1020.6327959239999,1020.7852959239999,0.0,0.15249999999999567
1740,1020.6327959239999,1020.8069959239999,0.0,0.17419999999999133
1800,1020.6327959239999,1020.7201959239999,0.0,0.08739999999999319
1860,1020.6105478399999,1020.1125959239998,0.0,-0.5202000000000092
1920,1020.6105478399999,1022.7784978399999,0.0,2.167950000000002
1980,1020.5657289599999,1018.7435178399999,0.0,-1.8670299999999844
2040,1021.0492159729453,1020.0399389599999,0.0,-0.5257900000000224
2100,1029.122391508,1022.4514152779999,0.0,1.4021993050545905
2160,1029.122391508,1029.122391508,0.0,0.0
2220,1029.122391508,1029.122391508,0.0,0.0
2280,1029.107232418,1029.122391508,0.0,0.0
2340,1029.102826786,1028.473962418,0.0,-0.6332699999999989
2400,1029.100262302,1029.040946786,0.0,-0.06187999999998926
2460,1029.100262302,1027.866912302,0.0,-1.2333499999999884
2520,1029.077849912,1028.525492302,0.0,-0.57477
2580,1029.032712512,1027.7135899119999,0.0,-1.3642599999999776
2640,1029.032712512,1026.655262512,0.0,-2.3774499999999446
2700,1029.032712512,1027.820702512,0.0,-1.2120099999999434
2760,1028.941839072,1027.074092512,0.0,-1.95861999999995
2820,1036.77397142342,1032.721029072,0.0,3.779190000000024
2880,1036.77397142342,1038.2275846720001,0.0,1.453613248579939
2940,1036.77397142342,1032.653344672,0.0,-4.120626751420054
3000,1036.77397142342,1033.463884672,0.0,-3.3100867514200734
3060,1036.77397142342,1035.724864672,0.0,-1.0491067514200887
3120,1043.7590837808082,1044.086224672,0.0,7.312253248579926
3180,1045.18925236,1044.530454384,0.0,0.7713706031917786
3240,1045.18925236,1045.18925236,0.0,0.0
3300,1045.17385094,1045.18925236,0.0,0.0
3360,1045.17385094,1045.12115094,0.0,-0.052699999999998325
3420,1045.16943266,1043.71995094,0.0,-1.4539000000000037
3480,1045.16943266,1044.83893266,0.0,-0.3305000000000007
3540,1045.166773808,1044.13893266,0.0,-1.0305000000000035
3600,1047.899004204,1045.465893808,0.0,0.29911999999999966
3660,1047.879013964,1047.899004204,0.0,0.0
3720,1050.613216764,1049.227813964,0.0,1.3487999999999971
3780,1050.613216764,1050.613216764,0.0,0.0
3840,1050.593205712,1050.613216764,0.0,0.0
3900,1050.5905986120001,1051.2305957120002,0.0,0.6373900000000166
3960,1050.5905986120001,1050.261378612,0.0,-0.329220000000013
4020,1050.5905986120001,1052.3334586120002,0.0,1.7428599999999925
4080,1050.5905986120001,1052.465158612,0.0,1.874559999999982
4140,1050.5905986120001,1049.831158612,0.0,-0.7594400000000084
4200,1050.4376741024732,1049.036568612,0.0,-1.5540300000000125
4260,1050.4376741024732,1052.8853662860001,0.0,2.447692183526816
4320,1050.4376741024732,1048.886606286,0.0,-1.5510678164731844
4380,1050.4376741024732,1050.5740262860002,0.0,0.13635218352681228
4440,1058.80638534,1055.480306286,0.0,5.0426321835268135
4500,1058.786171634,1058.80638534,0.0,0.0
4560,1058.786171634,1059.302661634,0.0,0.51649000000002
4620,1058.786171634,1057.821221634,0.0,-0.9649499999999848
4680,1058.783595334,1058.778641634,0.0,-0.00752999999999048
4740,1061.55113715,1060.366805334,0.0,1.5832100000000382
4800,1061.55113715,1061.55113715,0.0,0.0
4860,1061.5354971739998,1061.55113715,0.0,0.0
4920,1061.5354971739998,1061.453957174,0.0,-0.08153999999999235
4980,1061.5354971739998,1061.194237174,0.0,-0.3412599999999986
5040,1061.5052093319998,1059.9197971739998,0.0,-1.6156999999999897
5100,1061.5052093319998,1059.0164493319999,0.0,-2.4887599999999552
5160,1061.4586704239998,1061.4167793319998,0.0,-0.08842999999996011
