,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,40,HYPE,0.0,-0.07298344999999999,999.92701655,0.0,999.92701655,1.0,15.25,23.929,15.25,23.929,entry_initial_normal_long
1,1256,HYPE,9.556380000000036,-0.06781174200000001,1009.415584808,0.0,1009.415584808,1.0,-13.77,24.623,1.48,23.929,close_grid_long
2,1266,HYPE,1.1854800000000028,-0.0073200800000000005,1010.5937447279999,0.0,1010.5937447279999,1.0,-1.48,24.73,0.0,23.929,close_trailing_long
3,2010,HYPE,0.0,-0.07378377800000001,1010.5199609499999,0.0,1010.5199609499999,1.0,14.99,24.611,14.99,24.611,entry_initial_normal_long
4,2147,HYPE,9.66041999999998,-0.06852945,1020.1118515,0.0,1020.1118515,1.0,-13.53,25.325,1.46,24.611,close_grid_long
5,2150,HYPE,0.9650599999999968,-0.007379423999999999,1021.069532076,0.0,1021.069532076,1.0,-1.46,25.272,0.0,24.611,close_trailing_long
6,2290,HYPE,0.0,-0.074511168,1020.995020908,0.0,1020.995020908,1.0,15.04,24.771,15.04,24.771,entry_initial_normal_long
7,3644,HYPE,9.764019999999968,-0.06923084,1030.689810068,0.0,1030.689810068,1.0,-13.58,25.49,1.46,24.771,close_grid_long
8,3652,HYPE,1.1884400000000002,-0.007470820000000001,1031.870779248,0.0,1031.870779248,1.0,-1.46,25.585,0.0,24.771,close_trailing_long
9,3882,HYPE,0.0,-0.075340958,1031.79543829,0.0,1031.79543829,1.0,15.07,24.997,15.07,24.997,entry_initial_normal_long
10,3884,HYPE,9.860000000000019,-0.06996384000000001,1041.58547445,0.0,1041.58547445,1.0,-13.6,25.722,1.47,24.997,close_grid_long
11,3893,HYPE,1.2009900000000002,-0.007589316,1042.778875134,0.0,1042.778875134,1.0,-1.47,25.814,0.0,24.997,close_trailing_long
12,4201,HYPE,0.0,-0.076130372,1042.7027447619998,0.0,1042.7027447619998,1.0,15.02,25.343,15.02,25.343,entry_initial_normal_long
13,4511,HYPE,9.966599999999993,-0.070723536,1052.5986212259998,0.0,1052.5986212259998,1.0,-13.56,26.078,1.46,25.343,close_grid_long
14,4514,HYPE,0.9285599999999988,-0.007585868,1053.5195953579998,0.0,1053.5195953579998,1.0,-1.46,25.979,0.0,25.343,close_trailing_long
15,5019,HYPE,0.0,-0.076878526,1053.4427168319999,0.0,1053.4427168319999,1.0,15.17,25.339,15.17,25.339,entry_initial_normal_long
16,5244,HYPE,0.0,-0.38008844999999997,1053.062628382,0.0,1053.062628382,1.0,77.49,24.525,92.66,24.65826548672566,entry_grid_inflated_long
17,5245,HYPE,-0.4233451327433425,-0.023044784000000006,1052.6162384652566,0.0,1052.6162384652566,1.0,-4.69,24.568,87.97,24.65826548672566,close_unstuck_long
18,5246,HYPE,-0.23524247787608984,-0.023033088,1052.3579628993805,0.0,1052.3579628993805,1.0,-4.68,24.608,83.29,24.65826548672566,close_unstuck_long
19,5247,HYPE,0.5474654867256765,-0.023041680000000002,1052.8823867061062,0.0,1052.8823867061062,1.0,-4.65,24.776,78.64,24.65826548672566,close_unstuck_long
20,5446,HYPE,0.0,-0.06890075999999999,1052.8134859461063,0.0,1052.8134859461063,1.0,14.61,23.58,93.25,24.489327591164674,entry_grid_cropped_long
21,5447,HYPE,-4.242318644883604,-0.023053120000000003,1048.5481141812227,0.0,1048.5481141812227,1.0,-4.88,23.62,88.37,24.489327591164674,close_unstuck_long
22,5448,HYPE,-4.061038817148663,-0.02294244,1044.464132924074,0.0,1044.464132924074,1.0,-4.85,23.652,83.52,24.489327591164674,close_unstuck_long
23,5449,HYPE,-4.618592093060308,-0.022879908000000004,1039.8226609230137,0.0,1039.8226609230137,1.0,-4.86,23.539,78.66,24.489327591164674,close_unstuck_long
24,5450,HYPE,-4.701225541237019,-0.022765424,1035.0986699577768,0.0,1035.0986699577768,1.0,-4.84,23.518,73.82,24.489327591164674,close_unstuck_long
25,5456,HYPE,0.0,-0.08742001,1035.0112499477768,0.0,1035.0112499477768,1.0,18.65,23.437,92.47,24.277086760893006,entry_grid_cropped_long
26,5457,HYPE,-3.8692490551132237,-0.022677816,1031.1193230766637,0.0,1031.1193230766637,1.0,-4.83,23.476,87.64,24.277086760893006,close_unstuck_long
27,5458,HYPE,-3.0548347170685615,-0.022597928000000003,1028.0418904315952,0.0,1028.0418904315952,1.0,-4.78,23.638,82.86,24.277086760893006,close_unstuck_long
28,5459,HYPE,-2.1338495114149922,-0.0224908,1025.8855501201801,0.0,1025.8855501201801,1.0,-4.72,23.825,78.14,24.277086760893006,close_unstuck_long
29,5460,HYPE,-2.0304186438060583,-0.022462932,1023.8326685443741,0.0,1023.8326685443741,1.0,-4.71,23.846,73.43,24.277086760893006,close_unstuck_long
30,5484,HYPE,0.0,-0.08759595,1023.745072594374,0.0,1023.745072594374,1.0,18.85,23.235,92.28,24.064220100264123,entry_grid_cropped_long
31,5485,HYPE,-3.948640883273068,-0.022408180000000003,1019.774023531101,0.0,1019.774023531101,1.0,-4.82,23.245,87.46,24.064220100264123,close_unstuck_long
32,5486,HYPE,-3.4952320792625153,-0.022306348,1016.2564851038385,0.0,1016.2564851038385,1.0,-4.78,23.333,82.68,24.064220100264123,close_unstuck_long
33,5487,HYPE,-3.924064280265144,-0.022268710000000004,1012.3101521135734,0.0,1012.3101521135734,1.0,-4.79,23.245,77.89,24.064220100264123,close_unstuck_long
34,5488,HYPE,-3.5777954762545843,-0.02214545,1008.7102111873188,0.0,1008.7102111873188,1.0,-4.75,23.311,73.14,24.064220100264123,close_unstuck_long
35,5510,HYPE,0.0,-0.08553342,1008.6246777673188,0.0,1008.6246777673188,1.0,18.57,23.03,91.71,23.854804908225034,entry_grid_cropped_long
36,5511,HYPE,-3.655767461315665,-0.022074040000000003,1004.9468362660031,0.0,1004.9468362660031,1.0,-4.78,23.09,86.93,23.854804908225034,close_unstuck_long
37,5512,HYPE,-4.100307461315666,-0.021985132,1000.8245436726874,0.0,1000.8245436726874,1.0,-4.78,22.997,82.15,23.854804908225034,close_unstuck_long
38,5513,HYPE,-5.024663559480166,-0.02189568,995.7779844332072,0.0,995.7779844332072,1.0,-4.8,22.808,77.35,23.854804908225034,close_unstuck_long
