,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,40,HYPE,0.0,-0.12827856,999.87172144,0.0,999.87172144,1.0,26.85,23.888,26.85,23.888,entry_initial_normal_long
1,129,HYPE,8.565149999999976,-0.12999159000000002,1008.30687985,0.0,1008.30687985,1.0,-26.85,24.207,0.0,23.888,close_grid_long
2,266,HYPE,0.0,-0.12935100800000002,1008.177528842,0.0,1008.177528842,1.0,27.34,23.656,27.34,23.656,entry_initial_normal_long
3,662,HYPE,8.666780000000005,-0.131084364,1016.713224478,0.0,1016.713224478,1.0,-27.34,23.973,0.0,23.656,close_grid_long
4,982,HYPE,0.0,-0.13043716400000002,1016.582787314,0.0,1016.582787314,1.0,27.98,23.309,27.98,23.309,entry_initial_normal_long
5,1051,HYPE,8.70178,-0.13217752000000002,1025.152389794,0.0,1025.152389794,1.0,-27.98,23.62,0.0,23.309,close_grid_long
6,5030,HYPE,0.0,-0.131489514,1025.0209002800002,0.0,1025.0209002800002,1.0,26.19,25.103,26.19,25.103,entry_initial_normal_long
7,5041,HYPE,8.799839999999962,-0.13324948200000003,1033.6874907980002,0.0,1033.6874907980002,1.0,-26.19,25.439,0.0,25.103,close_grid_long
8,5219,HYPE,0.0,-0.13261725000000002,1033.5548735480002,0.0,1033.5548735480002,1.0,26.55,24.975,26.55,24.975,entry_initial_normal_long
9,5484,HYPE,0.0,-0.729374598,1032.82549895,0.0,1032.82549895,1.0,156.27,23.337,182.82,23.574878240892684,entry_trailing_normal_long
10,5552,HYPE,0.39904830981284817,-0.155296808,1033.0692504518129,0.0,1033.0692504518129,1.0,-32.92,23.587,149.9,23.574878240892684,close_trailing_long
11,5578,HYPE,3.559368309812851,-0.155928872,1036.4726898896258,0.0,1036.4726898896258,1.0,-32.92,23.683,116.98,23.574878240892684,close_trailing_long
12,5583,HYPE,0.3799630784378065,-0.008327200000000002,1036.8443257680635,0.0,1036.8443257680635,1.0,-1.75,23.792,115.23,23.574878240892684,close_trailing_long
13,5650,HYPE,2.366258221201164,-0.032157887999999996,1039.1784261012647,0.0,1039.1784261012647,1.0,-6.72,23.927,108.51,23.574878240892684,close_grid_long
14,5650,HYPE,43.959762080734954,-0.5204139600000001,1082.6177742219995,0.0,1082.6177742219995,1.0,-108.51,23.98,0.0,23.574878240892684,close_grid_long
15,5704,HYPE,0.0,-0.138894228,1082.4788799939995,0.0,1082.4788799939995,1.0,29.31,23.694,29.31,23.694,entry_initial_normal_long
16,5946,HYPE,0.0,-0.764426312,1081.7144536819994,0.0,1081.7144536819994,1.0,172.51,22.156,201.82,22.379361312060247,entry_trailing_normal_long
17,5963,HYPE,0.4227171459717556,-0.16264822399999998,1081.974522603971,0.0,1081.974522603971,1.0,-36.32,22.391,165.5,22.379361312060247,close_trailing_long
18,6012,HYPE,0.4227171459717556,-0.16264822399999998,1082.2345915259427,0.0,1082.2345915259427,1.0,-36.32,22.391,129.18,22.379361312060247,close_trailing_long
19,6014,HYPE,0.16259839857300037,-0.010953648000000002,1082.3862362765158,0.0,1082.3862362765158,1.0,-2.44,22.446,126.74,22.379361312060247,close_trailing_long
20,6137,HYPE,0.0,-1.381041792,1081.0051944845159,0.0,1081.0051944845159,1.0,333.44,20.709,460.18,21.169040837695064,entry_trailing_cropped_long
21,6152,HYPE,0.9193130576404368,-0.162635082,1081.7618724601564,0.0,1081.7618724601564,1.0,-38.37,21.193,421.81,21.169040837695064,close_trailing_long
22,6154,HYPE,0.7662322408864843,-0.162689142,1082.365415559043,0.0,1082.365415559043,1.0,-38.39,21.189,383.42,21.169040837695064,close_trailing_long
23,6156,HYPE,3.6483310157556055,-0.163392576,1085.8503539987985,0.0,1085.8503539987985,1.0,-38.42,21.264,345.0,21.169040837695064,close_trailing_long
24,6158,HYPE,2.4649861152322434,-0.16366396400000002,1088.1516761500307,0.0,1088.1516761500307,1.0,-38.54,21.233,306.46,21.169040837695064,close_trailing_long
25,6160,HYPE,0.42324284821660635,-0.16359432,1088.4113246782472,0.0,1088.4113246782472,1.0,-38.62,21.18,267.84,21.169040837695064,close_trailing_long
26,6169,HYPE,4.94306243983969,-0.16454062200000003,1093.1898464960868,0.0,1093.1898464960868,1.0,-38.63,21.297,229.21,21.169040837695064,close_trailing_long
27,6175,HYPE,0.4252154974314947,-0.1643568,1093.4507051935184,0.0,1093.4507051935184,1.0,-38.8,21.18,190.41,21.169040837695064,close_trailing_long
28,6182,HYPE,2.4434450890545287,-0.164802784,1095.729347498573,0.0,1095.729347498573,1.0,-38.81,21.232,151.6,21.169040837695064,close_trailing_long
29,6187,HYPE,5.144943329863378,-0.06910862400000001,1100.8051822044363,0.0,1100.8051822044363,1.0,-16.08,21.489,135.52,21.169040837695064,close_trailing_long
30,6187,HYPE,2.4988810576015537,-0.033565818000000004,1103.2704974440378,0.0,1103.2704974440378,1.0,-7.81,21.489,127.71,21.169040837695064,close_grid_long
31,6188,HYPE,45.58725461796331,-0.549817092,1148.307934970001,0.0,1148.307934970001,1.0,-127.71,21.526,0.0,21.169040837695064,close_grid_long
32,6189,HYPE,0.0,-0.14730518000000004,1148.160629790001,0.0,1148.160629790001,1.0,34.1,21.599,34.1,21.599,entry_initial_normal_long
33,6191,HYPE,9.85490000000005,-0.14927616000000005,1157.866253630001,0.0,1157.866253630001,1.0,-34.1,21.888,0.0,21.599,close_grid_long
34,6192,HYPE,0.0,-0.14851929,1157.717734340001,0.0,1157.717734340001,1.0,34.05,21.809,34.05,21.809,entry_initial_normal_long
35,6232,HYPE,9.942599999999933,-0.15050781,1167.509826530001,0.0,1167.509826530001,1.0,-34.05,22.101,0.0,21.809,close_grid_long
36,6236,HYPE,0.0,-0.14977853400000002,1167.360047996001,0.0,1167.360047996001,1.0,34.07,21.981,34.07,21.981,entry_initial_normal_long
37,6424,HYPE,10.016579999999896,-0.15178185,1177.2248461460008,0.0,1177.2248461460008,1.0,-34.07,22.275,0.0,21.981,close_grid_long
38,6458,HYPE,0.0,-0.15100239,1177.0738437560008,0.0,1177.0738437560008,1.0,34.93,21.615,34.93,21.615,entry_initial_normal_long
39,6651,HYPE,10.094770000000052,-0.153021344,1187.0155924120008,0.0,1187.0155924120008,1.0,-34.93,21.904,0.0,21.615,close_grid_long
40,6682,HYPE,0.0,-0.15227323199999998,1186.8633191800009,0.0,1186.8633191800009,1.0,35.76,21.291,35.76,21.291,entry_initial_normal_long
41,6744,HYPE,10.191600000000005,-0.15431155200000002,1196.900607628001,0.0,1196.900607628001,1.0,-35.76,21.576,0.0,21.291,close_grid_long
42,6748,HYPE,0.0,-0.15354659599999998,1196.7470610320008,0.0,1196.7470610320008,1.0,36.26,21.173,36.26,21.173,entry_initial_normal_long
43,6826,HYPE,10.261580000000045,-0.155598912,1206.853042120001,0.0,1206.853042120001,1.0,-36.26,21.456,0.0,21.173,close_grid_long
44,7333,HYPE,0.0,-0.154814034,1206.6982280860009,0.0,1206.6982280860009,1.0,35.11,22.047,35.11,22.047,entry_initial_normal_long
45,7334,HYPE,10.357449999999934,-0.156885524,1216.8987925620008,0.0,1216.8987925620008,1.0,-35.11,22.342,0.0,22.047,close_grid_long
46,7432,HYPE,0.0,-0.15611519999999998,1216.742677362001,0.0,1216.742677362001,1.0,35.25,22.144,35.25,22.144,entry_initial_normal_long
47,7469,HYPE,10.434000000000104,-0.158202,1227.018475362001,0.0,1227.018475362001,1.0,-35.25,22.44,0.0,22.144,close_grid_long
48,7491,HYPE,0.0,-0.15739475,1226.861080612001,0.0,1226.861080612001,1.0,35.65,22.075,35.65,22.075,entry_initial_normal_long
49,7670,HYPE,0.0,-0.8653389200000002,1225.9957416920008,0.0,1225.9957416920008,1.0,209.83,20.62,245.48,20.83130336483624,entry_trailing_normal_long
50,7685,HYPE,1.6227252069413436,-0.184556592,1227.4339103069422,0.0,1227.4339103069422,1.0,-44.22,20.868,201.26,20.83130336483624,close_trailing_long
51,7699,HYPE,0.4735400386995404,-0.184535068,1227.7229152776417,0.0,1227.7229152776417,1.0,-44.27,20.842,156.99,20.83130336483624,close_trailing_long
52,7707,HYPE,0.027062486964306236,-0.010546051999999998,1227.7394317126061,0.0,1227.7394317126061,1.0,-2.53,20.842,154.46,20.83130336483624,close_trailing_long
53,7718,HYPE,2.3502545482320256,-0.03817471000000001,1230.051511550838,0.0,1230.051511550838,1.0,-9.05,21.091,145.41,20.83130336483624,close_grid_long
54,7718,HYPE,52.15807771916233,-0.61624758,1281.5933416900004,0.0,1281.5933416900004,1.0,-145.41,21.19,0.0,20.83130336483624,close_grid_long
55,7719,HYPE,0.0,-0.16439916000000002,1281.4289425300005,0.0,1281.4289425300005,1.0,38.81,21.18,38.81,21.18,entry_initial_normal_long
56,8008,HYPE,0.0,-0.901704582,1280.5272379480004,0.0,1280.5272379480004,1.0,228.43,19.737,267.24,19.946560058374494,entry_trailing_normal_long
57,8054,HYPE,11.692878384598137,-0.194743094,1292.0253732385986,0.0,1292.0253732385986,1.0,-48.23,20.189,219.01,19.946560058374494,close_trailing_long
58,8057,HYPE,7.321911958913421,-0.19562419800000003,1299.151660999512,0.0,1299.151660999512,1.0,-48.67,20.097,170.34,19.946560058374494,close_trailing_long
59,8122,HYPE,2.3853210372698648,-0.03893403200000001,1301.4980480047818,0.0,1301.4980480047818,1.0,-9.64,20.194,160.7,19.946560058374494,close_grid_long
60,8122,HYPE,55.03009861921898,-0.6520884600000001,1355.8760581640008,0.0,1355.8760581640008,1.0,-160.7,20.289,0.0,19.946560058374494,close_grid_long
61,8123,HYPE,0.0,-0.17391184000000004,1355.7021463240008,0.0,1355.7021463240008,1.0,42.92,20.26,42.92,20.26,entry_initial_normal_long
