,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,13057,SUSHIUSDT,0.0,-0.04798068000000001,999.95201932,446.0,0.5379,446.0,0.5379,entry_initial_normal_long
1,13060,SUSHIUSDT,0.0,-0.0320075,999.92001182,295.0,0.5425,741.0,0.5397313090418354,entry_trailing_cropped_long
2,13082,SUSHIUSDT,23.17009999999992,-0.08462220000000001,1023.0054896199999,-741.0,0.571,0.0,0.5397313090418354,close_trailing_long
3,58514,SOLUSDT,0.0,-0.048954000000000004,1022.95653562,123.0,1.99,123.0,1.99,entry_initial_normal_long
4,58517,CRVUSDT,0.0,-0.049105,1022.9074306199999,575.0,0.427,575.0,0.427,entry_initial_normal_long
5,58519,SOLUSDT,0.0,-0.03282484,1022.8746057799999,83.0,1.9774,206.0,1.9849233009708738,entry_trailing_cropped_long
6,58520,CRVUSDT,0.0,-0.03272528,1022.8418804999999,383.2,0.427,958.2,0.42700000000000005,entry_trailing_cropped_long
7,58536,SOLUSDT,28.835199999999958,-0.08754587999999999,1051.5895346199998,-206.0,2.1249,0.0,1.9849233009708738,close_trailing_long
8,58537,CRVUSDT,0.0,-0.00229758,1051.5872370399998,25.7,0.447,983.9,0.42752241081410725,entry_trailing_cropped_long
9,58542,CRVUSDT,22.11569999999989,-0.088551,1073.6143860399995,-983.9,0.45,0.0,0.42752241081410725,close_trailing_long
10,58734,RUNEUSDT,0.0,-0.0515452,1073.5628408399996,574.0,0.449,574.0,0.449,entry_initial_normal_long
11,58736,RUNEUSDT,0.0,-0.034299500000000004,1073.5285413399995,379.0,0.4525,953.0,0.4503919202518363,entry_trailing_cropped_long
12,58855,RUNEUSDT,0.7173777544596016,-0.0021252,1074.243793894459,-22.0,0.483,931.0,0.4503919202518363,close_unstuck_long
13,58856,RUNEUSDT,0.7349777544596021,-0.0021287199999999997,1074.9766429289186,-22.0,0.4838,909.0,0.4503919202518363,close_unstuck_long
14,58858,RUNEUSDT,0.7283777544596016,-0.0021274,1075.7028932833782,-22.0,0.4835,887.0,0.4503919202518363,close_unstuck_long
15,58859,RUNEUSDT,0.7173777544596016,-0.0021252,1076.4181458378378,-22.0,0.483,865.0,0.4503919202518363,close_unstuck_long
16,58860,RUNEUSDT,0.7173777544596016,-0.0021252,1077.1333983922973,-22.0,0.483,843.0,0.4503919202518363,close_unstuck_long
17,58861,RUNEUSDT,0.7173777544596016,-0.0021252,1077.8486509467568,-22.0,0.483,821.0,0.4503919202518363,close_unstuck_long
18,58863,RUNEUSDT,0.7283777544596016,-0.0021274,1078.5749013012164,-22.0,0.4835,799.0,0.4503919202518363,close_unstuck_long
19,58864,RUNEUSDT,0.7283777544596016,-0.0021274,1079.301151655676,-22.0,0.4835,777.0,0.4503919202518363,close_unstuck_long
20,58865,RUNEUSDT,0.7657777544596024,-0.00213488,1080.0647945301355,-22.0,0.4852,755.0,0.4503919202518363,close_unstuck_long
21,58866,RUNEUSDT,0.7525777544596014,-0.00213224,1080.8152400445952,-22.0,0.4846,733.0,0.4503919202518363,close_unstuck_long
22,58869,RUNEUSDT,0.7393777544596016,-0.0021296,1081.5524881990548,-22.0,0.484,711.0,0.4503919202518363,close_unstuck_long
