,balance,equity
0,1024.70758316,1000.0
60,1024.70758316,1000.0
120,1024.70758316,1000.0
180,1024.70758316,1000.0
240,1024.70758316,1000.0
300,1024.70758316,1000.0
360,1024.70758316,1000.0
420,1024.70758316,1000.0
480,1024.70758316,1000.0
540,1024.70758316,1000.0
600,1024.70758316,1000.0
660,1024.70758316,1000.0
720,1024.70758316,1000.0
780,1024.70758316,1000.0
840,1024.70758316,1000.0
900,1024.70758316,1000.0
960,1024.70758316,1000.0
1020,1024.70758316,1000.0
1080,1024.70758316,1000.0
1140,1024.70758316,1000.0
1200,1024.70758316,1000.0
1260,1024.70758316,1000.0
1320,1024.70758316,1000.0
1380,1024.70758316,1000.0
1440,1024.70758316,1000.0
1500,1024.70758316,1000.0
1560,1024.70758316,1000.0
1620,1024.70758316,1000.0
1680,1024.70758316,1000.0
1740,1024.70758316,1000.0
1800,1024.70758316,1000.0
1860,1024.70758316,1000.0
1920,1024.70758316,1000.0
1980,1024.70758316,1000.0
2040,1024.70758316,1000.0
2100,1024.70758316,1000.0
2160,1024.70758316,1000.0
2220,1024.70758316,1000.0
2280,1024.70758316,1000.0
2340,1024.70758316,1000.0
2400,1024.70758316,1000.0
2460,1024.70758316,1000.0
2520,1024.70758316,1000.0
2580,1024.70758316,1000.0
2640,1024.70758316,1000.0
2700,1024.70758316,1000.0
2760,1024.70758316,1000.0
2820,1024.70758316,1000.0
2880,1024.70758316,1000.0
2940,1024.70758316,1000.0
3000,1024.70758316,1000.0
3060,1024.70758316,1000.0
3120,1024.70758316,1000.0
3180,1024.70758316,1000.0
3240,1024.70758316,1000.0
3300,1024.70758316,1000.0
3360,1024.70758316,1000.0
3420,1024.70758316,1000.0
3480,1024.70758316,1000.0
3540,1024.70758316,1000.0
3600,1024.70758316,1000.0
3660,1024.70758316,1000.0
3720,1024.70758316,1000.0
3780,1024.70758316,1000.0
3840,1024.70758316,1000.0
3900,1024.70758316,1000.0
3960,1024.70758316,1000.0
4020,1024.70758316,1000.0
4080,1024.70758316,1000.0
4140,1024.70758316,1000.0
4200,1024.70758316,1000.0
4260,1024.70758316,1000.0
4320,1024.70758316,1000.0
4380,1024.70758316,1000.0
4440,1024.70758316,1000.0
4500,1024.70758316,1000.0
4560,1024.70758316,1000.0
4620,1024.70758316,1000.0
4680,1024.70758316,1000.0
4740,1024.70758316,1000.0
4800,1024.70758316,1000.0
4860,1024.70758316,1000.0
4920,1024.70758316,1000.0
4980,1024.70758316,1000.0
5040,1024.70758316,1000.0
5100,1024.70758316,1000.0
5160,1024.70758316,1000.0
5220,1024.70758316,1000.0
5280,1024.70758316,1000.0
5340,1024.70758316,1000.0
5400,1024.70758316,1000.0
5460,1024.70758316,1000.0
5520,1024.70758316,1000.0
5580,1024.70758316,1000.0
5640,1024.70758316,1000.0
5700,1024.70758316,1000.0
5760,1024.70758316,1000.0
5820,1024.70758316,1000.0
5880,1024.70758316,1000.0
5940,1024.70758316,1000.0
6000,1024.70758316,1000.0
6060,1024.70758316,1000.0
6120,1024.70758316,1000.0
6180,1024.70758316,1000.0
6240,1024.70758316,1000.0
6300,1024.70758316,1000.0
6360,1024.70758316,1000.0
6420,1024.70758316,1000.0
6480,1024.70758316,1000.0
6540,1024.70758316,1000.0
6600,1024.70758316,1000.0
6660,1024.70758316,1000.0
6720,1024.70758316,1000.0
6780,1024.70758316,1000.0
6840,1024.70758316,1000.0
6900,1024.70758316,1000.0
6960,1024.70758316,1000.0
7020,1024.70758316,1000.0
7080,1024.70758316,1000.0
7140,1024.70758316,1000.0
7200,1024.70758316,1000.0
7260,1024.70758316,1000.0
7320,1024.70758316,1000.0
7380,1024.70758316,1000.0
7440,1024.70758316,1000.0
7500,1024.70758316,1000.0
7560,1024.70758316,1000.0
7620,1024.70758316,1000.0
7680,1024.70758316,1000.0
7740,1024.70758316,1000.0
7800,1024.70758316,1000.0
7860,1024.70758316,1000.0
7920,1024.70758316,1000.0
7980,1024.70758316,1000.0
8040,1024.70758316,1000.0
8100,1024.70758316,1000.0
8160,1024.70758316,1000.0
8220,1024.70758316,1000.0
8280,1024.70758316,1000.0
8340,1024.70758316,1000.0
8400,1024.70758316,1000.0
8460,1024.70758316,1000.0
8520,1024.70758316,1000.0
8580,1024.70758316,1000.0
8640,1024.70758316,1000.0
8700,1024.70758316,1000.0
8760,1024.70758316,1000.0
8820,1024.70758316,1000.0
8880,1024.70758316,1000.0
8940,1024.70758316,1000.0
9000,1024.70758316,1000.0
9060,1024.70758316,1000.0
9120,1024.70758316,1000.0
9180,1024.70758316,1000.0
9240,1024.70758316,1000.0
9300,1024.70758316,1000.0
9360,1024.70758316,1000.0
9420,1024.70758316,1000.0
9480,1024.70758316,1000.0
9540,1024.70758316,1000.0
9600,1024.70758316,1000.0
9660,1024.70758316,1000.0
9720,1024.70758316,1000.0
9780,1024.70758316,1000.0
9840,1024.70758316,1000.0
9900,1024.70758316,1000.0
9960,1024.70758316,1000.0
10020,1024.70758316,1000.0
10080,1024.70758316,1000.0
10140,1024.70758316,1000.0
10200,1024.70758316,1000.0
10260,1024.70758316,1000.0
10320,1024.70758316,1000.0
10380,1024.70758316,1000.0
10440,1024.70758316,1000.0
10500,1024.70758316,1000.0
10560,1024.70758316,1000.0
10620,1024.70758316,1000.0
10680,1024.70758316,1000.0
10740,1024.70758316,1000.0
10800,1024.70758316,1000.0
10860,1024.70758316,1000.0
10920,1024.70758316,1000.0
10980,1024.70758316,1000.0
11040,1024.70758316,1000.0
11100,1024.70758316,1000.0
11160,1024.70758316,1000.0
11220,1024.70758316,1000.0
11280,1024.70758316,1000.0
11340,1024.70758316,1000.0
11400,1024.70758316,1000.0
11460,1024.70758316,1000.0
11520,1024.70758316,1000.0
11580,1024.70758316,1000.0
11640,1024.70758316,1000.0
11700,1024.70758316,1000.0
11760,1024.70758316,1000.0
11820,1024.70758316,1000.0
11880,1024.70758316,1000.0
11940,1024.70758316,1000.0
12000,1024.70758316,1000.0
12060,1024.70758316,1000.0
12120,1024.70758316,1000.0
12180,1024.70758316,1000.0
12240,1024.70758316,1000.0
12300,1024.70758316,1000.0
12360,1024.70758316,1000.0
12420,1024.70758316,1000.0
12480,1024.70758316,1000.0
12540,1024.70758316,1000.0
12600,1024.70758316,1000.0
12660,1024.70758316,1000.0
12720,1024.70758316,1000.0
12780,1024.70758316,1000.0
12840,1024.70758316,1000.0
12900,1024.70758316,1000.0
12960,1024.70758316,1000.0
13020,1024.70758316,1000.0
13080,1024.70758316,1000.0
13140,1024.70758316,1000.0
13200,1024.70758316,1000.0
13260,1024.70758316,1000.0
13320,1024.70758316,1000.0
13380,1024.70758316,1000.0
13440,1024.70758316,1000.0
13500,1024.70758316,1000.0
13560,1024.70758316,1000.0
13620,1024.70758316,1000.0
13680,1024.70758316,1000.0
13740,1024.70758316,1000.0
13800,1024.70758316,1000.0
13860,1024.70758316,1000.0
13920,1024.70758316,1000.0
13980,1024.70758316,1000.0
14040,1024.70758316,1000.0
14100,1024.70758316,1000.0
14160,1024.70758316,1000.0
14220,1024.70758316,1000.0
14280,1024.70758316,1000.0
14340,1024.70758316,1000.0
14400,1024.70758316,1000.0
14460,1024.70758316,1000.0
14520,1024.70758316,1000.0
14580,1024.70758316,1000.0
14640,1024.70758316,1000.0
14700,1024.70758316,1000.0
14760,1024.70758316,1000.0
14820,1024.70758316,1000.0
14880,1024.70758316,1000.0
14940,1024.70758316,1000.0
15000,1024.70758316,1000.0
15060,1024.70758316,1000.0
15120,1024.70758316,1000.0
15180,1024.70758316,1000.0
15240,1024.70758316,1000.0
15300,1024.70758316,1000.0
15360,1024.70758316,1000.0
15420,1024.70758316,1000.0
15480,1024.70758316,1000.0
15540,1024.70758316,1000.0
15600,1024.70758316,1000.0
15660,1024.70758316,1000.0
