,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,977,LINK,0.0,-0.004002464000000001,999.995997536,0.0,999.995997536,1.0,4.54,4.408,4.54,4.408,entry_initial_normal_long
1,1009,LINK,0.0,-0.004008,999.991989536,0.0,999.991989536,1.0,4.8,4.175,9.34,4.288256959314776,entry_grid_normal_long
2,1011,LINK,0.0,-0.004006340000000001,999.987983196,0.0,999.987983196,1.0,4.94,4.055,14.28,4.207564425770308,entry_grid_normal_long
3,1192,LINK,1.1628999999999914,-0.012249384,1001.138633812,0.0,1001.138633812,1.0,-14.28,4.289,0.0,4.207564425770308,close_trailing_long
4,1323,LINK,0.0,-0.00400057,1001.134633242,0.0,1001.134633242,1.0,4.69,4.265,4.69,4.265,entry_initial_normal_long
5,1523,LINK,0.17352999999999966,-0.004035276,1001.3041279659999,0.0,1001.3041279659999,1.0,-4.69,4.302,0.0,4.265,close_trailing_long
6,1578,LINK,0.0,-0.004005144,1001.3001228219999,0.0,1001.3001228219999,1.0,4.68,4.279,4.68,4.279,entry_initial_normal_long
7,1657,LINK,-0.5569199999999989,-0.00389376,1000.739309062,0.0,1000.739309062,1.0,-4.68,4.16,0.0,4.279,close_trailing_long
8,1658,LINK,0.0,-0.00400192,1000.735307142,0.0,1000.735307142,1.0,4.81,4.16,4.81,4.16,entry_initial_normal_long
9,2062,LINK,-0.33188999999999974,-0.003935541999999999,1000.3994816000001,0.0,1000.3994816000001,1.0,-4.81,4.091,0.0,4.16,close_trailing_long
10,2064,LINK,0.0,-0.004002576,1000.3954790240001,0.0,1000.3954790240001,1.0,4.88,4.101,4.88,4.101,entry_initial_normal_long
11,2116,LINK,-0.795439999999999,-0.003843488,999.5961955360001,0.0,999.5961955360001,1.0,-4.88,3.938,0.0,4.101,close_trailing_long
12,2117,LINK,0.0,-0.00400044,999.5921950960001,0.0,999.5921950960001,1.0,5.1,3.922,5.1,3.922,entry_initial_normal_long
13,2300,LINK,-0.3110999999999997,-0.00393822,999.277156876,0.0,999.277156876,1.0,-5.1,3.861,0.0,3.922,close_trailing_long
14,2301,LINK,0.0,-0.0040031039999999995,999.273153772,0.0,999.273153772,1.0,5.18,3.864,5.18,3.864,entry_initial_normal_long
15,2490,LINK,1.932140000000001,-0.004389532,1001.20090424,0.0,1001.20090424,1.0,-5.18,4.237,0.0,3.864,close_trailing_long
16,3676,LINK,0.0,-0.00400728,1001.19689696,0.0,1001.19689696,1.0,4.72,4.245,4.72,4.245,entry_initial_normal_long
17,5559,LINK,1.6803199999999994,-0.004343344,1002.872873616,0.0,1002.872873616,1.0,-4.72,4.601,0.0,4.245,close_trailing_long
18,5596,LINK,0.0,-0.004000168,1002.868873448,0.0,1002.868873448,1.0,4.39,4.556,4.39,4.556,entry_initial_normal_long
19,5628,LINK,0.0,-0.0040043200000000004,1002.864869128,0.0,1002.864869128,1.0,4.64,4.315,9.03,4.432163898117386,entry_grid_normal_long
20,5629,LINK,0.0,-0.004006596,1002.860862532,0.0,1002.860862532,1.0,4.78,4.191,13.81,4.348690803765386,entry_grid_normal_long
21,6322,LINK,-1.7357899999999853,-0.011663926000000002,1001.1134086060001,0.0,1001.1134086060001,1.0,-13.81,4.223,0.0,4.348690803765386,close_trailing_long
22,6473,LINK,0.0,-0.00400032,1001.1094082860001,0.0,1001.1094082860001,1.0,4.8,4.167,4.8,4.167,entry_initial_normal_long
23,6758,LINK,-0.220799999999997,-0.003956160000000001,1000.8846521260001,0.0,1000.8846521260001,1.0,-4.8,4.121,0.0,4.167,close_trailing_long
24,6759,LINK,0.0,-0.0040035520000000005,1000.8806485740001,0.0,1000.8806485740001,1.0,4.88,4.102,4.88,4.102,entry_initial_normal_long
25,8403,LINK,0.5221599999999966,-0.004107984,1001.3987005900001,0.0,1001.3987005900001,1.0,-4.88,4.209,0.0,4.102,close_trailing_long
26,8404,LINK,0.0,-0.00400425,1001.3946963400001,0.0,1001.3946963400001,1.0,4.75,4.215,4.75,4.215,entry_initial_normal_long
27,9611,LINK,-0.5320000000000005,-0.00389785,1000.8587984900001,0.0,1000.8587984900001,1.0,-4.75,4.103,0.0,4.215,close_trailing_long
28,11677,LINK,0.0,-0.004007832000000001,1000.8547906580002,0.0,1000.8547906580002,1.0,4.92,4.073,4.92,4.073,entry_initial_normal_long
29,12521,LINK,-0.6199200000000016,-0.003883848,1000.2309868100002,0.0,1000.2309868100002,1.0,-4.92,3.947,0.0,4.073,close_trailing_long
30,12523,LINK,0.0,-0.00400583,1000.2269809800002,0.0,1000.2269809800002,1.0,5.09,3.935,5.09,3.935,entry_initial_normal_long
31,13290,LINK,-0.9060199999999996,-0.0038246260000000002,999.3171363540002,0.0,999.3171363540002,1.0,-5.09,3.757,0.0,3.935,close_trailing_long
32,13303,LINK,0.0,-0.0040049460000000005,999.3131314080002,0.0,999.3131314080002,1.0,5.37,3.729,5.37,3.729,entry_initial_normal_long
33,13916,LINK,-0.5155200000000004,-0.003901842,998.7937095660002,0.0,998.7937095660002,1.0,-5.37,3.633,0.0,3.729,close_trailing_long
34,13922,LINK,0.0,-0.0040015499999999996,998.7897080160002,0.0,998.7897080160002,1.0,5.55,3.605,5.55,3.605,entry_initial_normal_long
35,14471,LINK,-0.7048499999999988,-0.0038605800000000006,998.0809974360002,0.0,998.0809974360002,1.0,-5.55,3.478,0.0,3.605,close_trailing_long
36,14477,LINK,0.0,-0.0040041600000000005,998.0769932760002,0.0,998.0769932760002,1.0,5.82,3.44,5.82,3.44,entry_initial_normal_long
37,15243,LINK,0.21533999999999956,-0.004047228,998.2882860480001,0.0,998.2882860480001,1.0,-5.82,3.477,0.0,3.44,close_trailing_long
38,15844,LINK,0.0,-0.004005959999999999,998.2842800880002,0.0,998.2842800880002,1.0,5.7,3.514,5.7,3.514,entry_initial_normal_long
39,17141,LINK,2.0691,-0.00441978,1000.3489603080002,0.0,1000.3489603080002,1.0,-5.7,3.877,0.0,3.514,close_trailing_long
40,17860,LINK,0.0,-0.004003650000000001,1000.3449566580002,0.0,1000.3449566580002,1.0,5.25,3.813,5.25,3.813,entry_initial_normal_long
41,20140,LINK,1.5435000000000003,-0.00431235,1001.8841443080003,0.0,1001.8841443080003,1.0,-5.25,4.107,0.0,3.813,close_trailing_long
42,20141,LINK,0.0,-0.004004145999999999,1001.8801401620002,0.0,1001.8801401620002,1.0,4.93,4.061,4.93,4.061,entry_initial_normal_long
43,20616,LINK,-0.3549600000000003,-0.0039331539999999995,1001.5212470080002,0.0,1001.5212470080002,1.0,-4.93,3.989,0.0,4.061,close_trailing_long
44,21148,LINK,0.0,-0.0040005200000000005,1001.5172464880002,0.0,1001.5172464880002,1.0,5.15,3.884,5.15,3.884,entry_initial_normal_long
45,25384,LINK,4.36205,-0.00487293,1005.8744235580002,0.0,1005.8744235580002,1.0,-5.15,4.731,0.0,3.884,close_trailing_long
46,29874,LINK,0.0,-0.004007328,1005.8704162300003,0.0,1005.8704162300003,1.0,4.56,4.394,4.56,4.394,entry_initial_normal_long
47,30251,LINK,-0.6657599999999996,-0.003874176,1005.2007820540002,0.0,1005.2007820540002,1.0,-4.56,4.248,0.0,4.394,close_trailing_long
48,30252,LINK,0.0,-0.00400628,1005.1967757740002,0.0,1005.1967757740002,1.0,4.7,4.262,4.7,4.262,entry_initial_normal_long
49,31167,LINK,0.0,-0.0040037119999999995,1005.1927720620002,0.0,1005.1927720620002,1.0,4.96,4.036,9.66,4.145958592132505,entry_grid_normal_long
50,31174,LINK,0.0,-0.00400624,1005.1887658220003,0.0,1005.1887658220003,1.0,5.11,3.92,14.77,4.067783344617467,entry_grid_normal_long
51,31223,LINK,0.0,-0.0046848,1005.1840810220003,0.0,1005.1840810220003,1.0,6.1,3.84,20.87,4.001205558217537,entry_grid_normal_long
52,31555,LINK,3.0636000000000014,-0.017313752,1008.2303672700003,0.0,1008.2303672700003,1.0,-20.87,4.148,0.0,4.001205558217537,close_trailing_long
53,31617,LINK,0.0,-0.004003614000000001,1008.2263636560003,0.0,1008.2263636560003,1.0,4.91,4.077,4.91,4.077,entry_initial_normal_long
54,31671,LINK,-0.24059000000000186,-0.003955495999999999,1007.9818181600003,0.0,1007.9818181600003,1.0,-4.91,4.028,0.0,4.077,close_trailing_long
55,31672,LINK,0.0,-0.0040002020000000004,1007.9778179580003,0.0,1007.9778179580003,1.0,4.93,4.057,4.93,4.057,entry_initial_normal_long
56,31877,LINK,0.05422999999999621,-0.004011048,1008.0280369100003,0.0,1008.0280369100003,1.0,-4.93,4.068,0.0,4.057,close_trailing_long
57,32398,LINK,0.0,-0.004006848,1008.0240300620003,0.0,1008.0240300620003,1.0,4.92,4.072,4.92,4.072,entry_initial_normal_long
58,32511,LINK,-0.4329600000000004,-0.0039202560000000004,1007.5871498060003,0.0,1007.5871498060003,1.0,-4.92,3.984,0.0,4.072,close_trailing_long
59,32512,LINK,0.0,-0.0040030000000000005,1007.5831468060003,0.0,1007.5831468060003,1.0,5.0,4.003,5.0,4.003,entry_initial_normal_long
60,32589,LINK,-0.8099999999999996,-0.0038410000000000007,1006.7693058060003,0.0,1006.7693058060003,1.0,-5.0,3.841,0.0,4.003,close_trailing_long
61,32589,LINK,0.0,-0.004003296000000001,1006.7653025100003,0.0,1006.7653025100003,1.0,5.28,3.791,5.28,3.791,entry_grid_normal_long
62,32611,LINK,-0.6283199999999989,-0.0038776320000000006,1006.1331048780003,0.0,1006.1331048780003,1.0,-5.28,3.672,0.0,3.791,close_trailing_long
63,32612,LINK,0.0,-0.004006976000000001,1006.1290979020002,0.0,1006.1290979020002,1.0,5.48,3.656,5.48,3.656,entry_initial_normal_long
64,32742,LINK,1.068599999999999,-0.004220696,1007.1934772060002,0.0,1007.1934772060002,1.0,-5.48,3.851,0.0,3.656,close_trailing_long
65,32743,LINK,0.0,-0.0040050400000000005,1007.1894721660002,0.0,1007.1894721660002,1.0,5.2,3.851,5.2,3.851,entry_initial_normal_long
66,33315,LINK,0.5303999999999993,-0.00411112,1007.7157610460002,0.0,1007.7157610460002,1.0,-5.2,3.953,0.0,3.851,close_trailing_long
67,34075,LINK,0.0,-0.00400554,1007.7117555060003,0.0,1007.7117555060003,1.0,5.1,3.927,5.1,3.927,entry_initial_normal_long
68,35172,LINK,-0.11730000000000067,-0.00398208,1007.5904734260002,0.0,1007.5904734260002,1.0,-5.1,3.904,0.0,3.927,close_trailing_long
69,35451,LINK,0.0,-0.0040075200000000005,1007.5864659060003,0.0,1007.5864659060003,1.0,5.28,3.795,5.28,3.795,entry_initial_normal_long
70,35647,LINK,-0.8236800000000007,-0.0038427839999999997,1006.7589431220002,0.0,1006.7589431220002,1.0,-5.28,3.639,0.0,3.795,close_trailing_long
71,35648,LINK,0.0,-0.004007038000000001,1006.7549360840002,0.0,1006.7549360840002,1.0,5.53,3.623,5.53,3.623,entry_initial_normal_long
72,36093,LINK,0.0663599999999976,-0.00402031,1006.8172757740002,0.0,1006.8172757740002,1.0,-5.53,3.635,0.0,3.623,close_trailing_long
73,36095,LINK,0.0,-0.004006416,1006.8132693580002,0.0,1006.8132693580002,1.0,5.52,3.629,5.52,3.629,entry_initial_normal_long
74,36131,LINK,0.0,-0.004000668000000001,1006.8092686900002,0.0,1006.8092686900002,1.0,5.82,3.437,11.34,3.5304603174603173,entry_grid_normal_long
75,36181,LINK,0.0,-0.0040056,1006.8052630900002,0.0,1006.8052630900002,1.0,6.0,3.338,17.34,3.4638650519031144,entry_grid_normal_long
76,36269,LINK,0.0,-0.00468264,1006.8005804500001,0.0,1006.8005804500001,1.0,7.16,3.27,24.5,3.407208979591837,entry_grid_normal_long
77,36386,LINK,0.0,-0.00649704,1006.7940834100001,0.0,1006.7940834100001,1.0,10.12,3.21,34.62,3.349561525129983,entry_grid_normal_long
78,36391,LINK,0.0,-0.00900328,1006.7850801300001,0.0,1006.7850801300001,1.0,14.3,3.148,48.92,3.290642273098937,entry_grid_normal_long
