,balance,equity
0,1001.1123181080001,1000.0
60,1001.1123181080001,1000.0
120,1001.1123181080001,1000.0
180,1001.050678852,1001.524698108
240,1001.050678852,1002.759080452
300,1001.050678852,1001.854280452
360,1001.0009224720001,1000.497080452
420,1001.657466812,1000.704624072
480,1001.6648148190001,1003.1747996720001
540,1001.6648148190001,1004.2119180520001
600,1001.6648148190001,1003.6391180520001
660,1006.9101619040001,1006.0914180520001
720,1006.9101619040001,1006.9101619040001
780,1006.9101619040001,1006.9101619040001
840,1006.9101619040001,1006.9101619040001
900,1006.9101619040001,1006.9101619040001
960,1006.9101619040001,1006.9101619040001
1020,1006.9101619040001,1006.9101619040001
1080,1006.9101619040001,1006.9101619040001
1140,1006.9101619040001,1006.9101619040001
1200,1006.9101619040001,1006.9101619040001
1260,1006.9101619040001,1006.9101619040001
1320,1006.9101619040001,1006.9101619040001
1380,1006.9101619040001,1006.9101619040001
1440,1008.0481388541668,1006.9101619040001
1500,1008.0481388541668,1008.5148975000002
1560,1008.0481388541668,1009.1022975000002
1620,1008.0312855141668,1007.7850975000001
1680,1008.3111057517215,1007.1903441600001
1740,1008.3111057517215,1008.0663456940002
1800,1008.3111057517215,1008.6570456940002
1860,1008.2607135157215,1007.9947456940002
1920,1008.5132890941301,1004.4327734580003
1980,1008.5132890941301,1008.4025509780002
2040,1008.5132890941301,1009.2581509780002
2100,1008.5132890941301,1010.7647509780003
2160,1008.5132890941301,1011.0623509780003
2220,1008.5132890941301,1010.0765509780002
2280,1008.2300536546451,1008.8489509780003
2340,1008.5017949225448,1008.6333572920003
2400,1008.5109869602843,1009.6791300440002
2460,1008.5109869602843,1010.9753533440003
2520,1008.5109869602843,1010.5700533440003
2580,1008.5109869602843,1008.3312533440003
2640,1008.5393877618014,1008.4277533440003
2700,1008.5419489846624,1008.7462563340001
2760,1008.5419489846624,1009.7228832140001
2820,1008.5419489846624,1009.6631832140001
2880,1008.5419489846624,1008.9666832140002
2940,1009.4618678859312,1007.6134832140002
3000,1009.4618678859312,1010.5814709780002
3060,1009.4618678859312,1010.5410709780002
3120,1009.4618678859312,1010.7026709780001
3180,1009.4618678859312,1011.5712709780001
3240,1009.4618678859312,1011.5914709780002
3300,1014.7654852620002,1013.3084709780002
3360,1014.7654852620002,1014.7654852620002
3420,1014.7654852620002,1014.7654852620002
3480,1014.7654852620002,1014.7654852620002
