,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,137,DOGE,0.0,-0.021838362000000004,999.978161638,0.0,999.978161638,1.0,259.0,0.42159,259.0,0.42159,entry_initial_normal_long
1,165,DOGE,0.6500899999999887,-0.02196838,1000.606283258,0.0,1000.606283258,1.0,-259.0,0.4241,0.0,0.42159,close_trailing_long
2,171,DOGE,0.0,-0.021826386,1000.5844568719999,0.0,1000.5844568719999,1.0,261.0,0.41813,261.0,0.41813,entry_initial_normal_long
3,173,DOGE,0.14093999999999607,-0.021854574,1000.7035422979999,0.0,1000.7035422979999,1.0,-261.0,0.41867,0.0,0.41813,close_trailing_long
4,179,DOGE,0.0,-0.021782016,1000.6817602819999,0.0,1000.6817602819999,1.0,261.0,0.41728,261.0,0.41728,entry_initial_normal_long
5,183,DOGE,0.0,-0.048601080000000005,1000.6331592019999,0.0,1000.6331592019999,1.0,594.0,0.4091,855.0,0.411597052631579,entry_trailing_normal_long
6,202,DOGE,1.3705199999999866,-0.0706572,1001.9330220019999,0.0,1001.9330220019999,1.0,-855.0,0.4132,0.0,0.411597052631579,close_trailing_long
7,204,DOGE,0.0,-0.02187946,1001.9111425419999,0.0,1001.9111425419999,1.0,265.0,0.41282,265.0,0.41282,entry_initial_normal_long
8,214,DOGE,1.9556999999999993,-0.0222706,1003.8445719419999,0.0,1003.8445719419999,1.0,-265.0,0.4202,0.0,0.41282,close_trailing_long
9,356,DOGE,0.0,-0.021905248000000002,1003.8226666939998,0.0,1003.8226666939998,1.0,268.0,0.40868,268.0,0.40868,entry_initial_normal_long
10,361,DOGE,0.14204000000000816,-0.021933656000000003,1003.9427730379998,0.0,1003.9427730379998,1.0,-268.0,0.40921,0.0,0.40868,close_trailing_long
11,362,DOGE,0.0,-0.02185356,1003.9209194779999,0.0,1003.9209194779999,1.0,269.0,0.4062,269.0,0.4062,entry_initial_normal_long
12,387,DOGE,0.0,-0.048751920000000004,1003.8721675579999,0.0,1003.8721675579999,1.0,612.0,0.3983,881.0,0.40071214528944377,entry_trailing_normal_long
13,428,DOGE,2.015600000000064,-0.0710086,1005.8167589579999,0.0,1005.8167589579999,1.0,-881.0,0.403,0.0,0.40071214528944377,close_trailing_long
14,835,DOGE,0.0,-0.021964790000000005,1005.794794168,0.0,1005.794794168,1.0,265.0,0.41443,265.0,0.41443,entry_initial_normal_long
15,840,DOGE,0.143099999999996,-0.02199341,1005.9159007579999,0.0,1005.9159007579999,1.0,-265.0,0.41497,0.0,0.41443,close_trailing_long
16,841,DOGE,0.0,-0.021942,1005.8939587579999,0.0,1005.8939587579999,1.0,265.0,0.414,265.0,0.414,entry_initial_normal_long
17,856,DOGE,0.8480000000000096,-0.022111600000000002,1006.719847158,0.0,1006.719847158,1.0,-265.0,0.4172,0.0,0.414,close_trailing_long
