,balance,equity,balance_btc,equity_btc
0,1000.109838834,1000.0,0.0,0.0
60,1000.109838834,1000.0,0.0,0.0
120,1000.109838834,1000.0,0.0,0.0
180,1000.109838834,1000.0,0.0,0.0
240,1000.109838834,1000.0,0.0,0.0
300,1000.109838834,1000.0,0.0,0.0
360,1000.109838834,1000.0,0.0,0.0
420,1000.109838834,1000.0,0.0,0.0
480,1000.109838834,1000.0,0.0,0.0
540,1000.109838834,1000.0,0.0,0.0
600,1000.109838834,1000.0,0.0,0.0
660,1000.109838834,1000.0,0.0,0.0
720,1000.2300323500001,1000.334030834,0.0,0.22419199999999936
780,1000.4022279736001,1000.2440463500001,0.0,0.014013999999995783
840,1000.3922763256002,1000.4022279736001,0.0,0.0
900,1000.3922763256002,999.9143723256002,0.0,-0.4779040000000025
960,1000.3922763256002,999.9987083256002,0.0,-0.39356800000000347
1020,1000.3922763256002,999.5208043256001,0.0,-0.8714719999999998
1080,1000.3922763256002,998.6774443256002,0.0,-1.7148320000000021
1140,1000.3922763256002,998.7477243256002,0.0,-1.644552000000005
1200,1000.3922763256002,998.9023403256001,0.0,-1.4899360000000026
1260,1000.3922763256002,999.7175883256001,0.0,-0.6746880000000042
1320,1000.3922763256002,999.8440923256002,0.0,-0.5481839999999996
1380,1000.3922763256002,999.6191963256001,0.0,-0.7730800000000051
1440,1000.3922763256002,999.7597563256002,0.0,-0.6325200000000047
1500,1000.3922763256002,999.4505243256002,0.0,-0.941752000000003
1560,1000.3922763256002,999.9846523256001,0.0,-0.4076240000000053
1620,1000.3922763256002,999.6332523256002,0.0,-0.7590240000000033
1680,1000.3922763256002,999.4505243256002,0.0,-0.941752000000003
1740,1000.3922763256002,999.4083563256002,0.0,-0.9839200000000026
1800,1000.3922763256002,999.9705963256001,0.0,-0.4216800000000011
1860,1000.3922763256002,999.4786363256002,0.0,-0.9136400000000054
1920,1000.3922763256002,999.8722043256001,0.0,-0.520072000000002
1980,1000.3922763256002,999.8019243256001,0.0,-0.5903520000000052
2040,1000.3922763256002,1000.0549323256001,0.0,-0.3373440000000021
2100,1000.3922763256002,999.9565403256001,0.0,-0.43573600000000295
2160,1000.3922763256002,1000.0268203256002,0.0,-0.3654559999999997
2220,1000.3922763256002,999.9846523256001,0.0,-0.4076240000000053
2280,1000.3922763256002,999.8722043256001,0.0,-0.520072000000002
2340,1000.3922763256002,999.8019243256001,0.0,-0.5903520000000052
2400,1000.3922763256002,999.7738123256001,0.0,-0.6184640000000028
2460,1000.3922763256002,999.3802443256002,0.0,-1.0120320000000003
2520,1000.3922763256002,999.3943003256002,0.0,-0.9979760000000044
2580,1000.3922763256002,999.7878683256001,0.0,-0.604408000000001
2640,1000.3922763256002,999.5208043256001,0.0,-0.8714719999999998
2700,1000.3922763256002,999.8862603256001,0.0,-0.5060160000000001
2760,1000.3922763256002,999.7316443256002,0.0,-0.6606320000000023
2820,1000.3922763256002,999.7457003256002,0.0,-0.6465760000000005
2880,1000.3922763256002,1000.1814363256002,0.0,-0.2108400000000036
2940,1000.3922763256002,1000.2095483256002,0.0,-0.18272799999999986
3000,1000.3922763256002,999.6191963256001,0.0,-0.7730800000000051
3060,1000.3922763256002,999.8019243256001,0.0,-0.5903520000000052
3120,1000.3922763256002,999.6754203256002,0.0,-0.7168560000000037
3180,1000.3922763256002,999.3802443256002,0.0,-1.0120320000000003
3240,1000.3922763256002,999.4645803256002,0.0,-0.9276960000000012
3300,1000.3922763256002,999.3802443256002,0.0,-1.0120320000000003
3360,1000.3922763256002,999.6051403256001,0.0,-0.7871360000000008
3420,1000.3922763256002,999.7316443256002,0.0,-0.6606320000000023
3480,1000.3922763256002,999.6332523256002,0.0,-0.7590240000000033
3540,1000.3922763256002,999.6894763256001,0.0,-0.7028000000000019
3600,1000.3922763256002,999.7738123256001,0.0,-0.6184640000000028
3660,1000.3922763256002,999.4786363256002,0.0,-0.9136400000000054
3720,1000.3922763256002,999.2677963256002,0.0,-1.124480000000003
3780,1000.3922763256002,998.8180043256002,0.0,-1.5742720000000017
3840,1000.3922763256002,998.9726203256001,0.0,-1.4196559999999994
3900,1000.3922763256002,999.1131803256002,0.0,-1.2790960000000051
3960,1000.3922763256002,999.0288443256002,0.0,-1.3634320000000042
4020,1000.3922763256002,999.1412923256001,0.0,-1.2509840000000014
4080,1000.3922763256002,999.0569563256001,0.0,-1.3353200000000005
4140,1000.3922763256002,999.0710123256001,0.0,-1.3212640000000047
4200,1000.3922763256002,999.4786363256002,0.0,-0.9136400000000054
4260,1000.3922763256002,999.3661883256002,0.0,-1.026088000000002
4320,1000.3922763256002,999.4364683256001,0.0,-0.955808000000005
4380,1000.3922763256002,999.5489163256002,0.0,-0.8433600000000022
4440,1000.3922763256002,999.4645803256002,0.0,-0.9276960000000012
4500,1000.3922763256002,999.6051403256001,0.0,-0.7871360000000008
4560,1000.3922763256002,999.7738123256001,0.0,-0.6184640000000028
4620,1000.3922763256002,999.8581483256002,0.0,-0.5341280000000038
4680,1000.3922763256002,999.5629723256002,0.0,-0.8293040000000004
4740,1000.3922763256002,999.5208043256001,0.0,-0.8714719999999998
4800,1000.3922763256002,999.4926923256002,0.0,-0.8995840000000036
4860,1000.3922763256002,999.7175883256001,0.0,-0.6746880000000042
4920,1000.3922763256002,999.7316443256002,0.0,-0.6606320000000023
4980,1000.3922763256002,999.0991243256002,0.0,-1.293152000000001
5040,1000.3922763256002,999.2396843256001,0.0,-1.1525920000000005
5100,1000.3922763256002,999.5348603256001,0.0,-0.8574160000000041
