,balance,equity,balance_btc,equity_btc
0,1000.52050446,1000.0,0.0,0.0
60,1001.8581141399999,1001.2014044599999,0.0,0.6808999999999971
120,1002.2818251199998,1001.8581141399999,0.0,0.0
180,1002.2818251199998,1000.7550251199998,0.0,-1.5267999999999944
240,1002.2818251199998,1001.5360251199997,0.0,-0.7457999999999948
300,1002.2818251199998,1000.9640251199997,0.0,-1.317799999999999
360,1002.2555373199998,1000.1060251199998,0.0,-2.175799999999996
420,1002.2555373199998,999.7607373199997,0.0,-2.4948000000000037
480,1004.4914404559999,1003.6327373199998,0.0,1.3772000000000095
540,1004.4819959659999,1004.4914404559999,0.0,0.0
600,1005.2854388659999,1004.6050459659999,0.0,0.12305000000000177
660,1005.275983252,1005.2854388659999,0.0,0.0
720,1005.7873534519999,1005.4466132519999,0.0,0.17063000000000128
780,1006.350263212,1005.7873534519999,0.0,0.0
840,1006.350263212,1005.680503212,0.0,-0.6697599999999984
900,1006.350263212,1005.680503212,0.0,-0.6697599999999984
960,1006.793204844,1005.758903212,0.0,-0.5913600000000008
1020,1006.793204844,1006.793204844,0.0,0.0
1080,1006.793204844,1006.793204844,0.0,0.0
1140,1007.248106598,1006.793204844,0.0,0.0
1200,1007.238603,1007.248106598,0.0,0.0
1260,1007.238603,1006.884513,0.0,-0.3540900000000029
1320,1007.238603,1007.162013,0.0,-0.07659000000000266
1380,1007.238603,1007.361813,0.0,0.12320999999999999
1440,1007.238603,1005.9077130000001,0.0,-1.3308900000000001
1500,1007.238603,1005.108513,0.0,-2.1300900000000045
1560,1007.238603,1005.474813,0.0,-1.7637900000000017
1620,1007.21203626,1004.653413,0.0,-2.5851900000000034
1680,1007.21203626,1005.08194626,0.0,-2.1300900000000045
1740,1008.8959518959999,1005.43714626,0.0,-1.7748899999999943
1800,1008.8959518959999,1008.849151896,0.0,-0.046799999999994846
1860,1008.8959518959999,1008.416251896,0.0,-0.4796999999999991
1920,1010.8345809540001,1006.4038518959999,0.0,-2.4920999999999984
1980,1011.7684601300001,1010.7247809540002,0.0,-0.10980000000000145
2040,1012.3371843300001,1011.6450401300001,0.0,-0.12342000000000253
2100,1012.8771857700002,1012.3371843300001,0.0,0.0
2160,1012.8676874280002,1012.8771857700002,0.0,0.0
2220,1012.8676874280002,1012.6903774280001,0.0,-0.17730999999999897
2280,1012.8411123480001,1011.9049774280002,0.0,-0.9627099999999984
2340,1012.8411123480001,1011.9736023480001,0.0,-0.8675100000000022
2400,1015.6955718680001,1013.4968023480002,0.0,0.655690000000015
2460,1015.6860506840001,1015.6955718680001,0.0,0.0
2520,1015.6860506840001,1015.422830684,0.0,-0.26321999999999696
2580,1015.6860506840001,1013.9960306840001,0.0,-1.690019999999997
2640,1015.659408146,1014.0575306840001,0.0,-1.6285199999999969
2700,1015.659408146,1013.9287981460001,0.0,-1.7306100000000033
2760,1015.659408146,1016.3395981460001,0.0,0.6801900000000043
2820,1017.34637667,1016.1919981460001,0.0,0.5325899999999932
2880,1017.34637667,1016.85367667,0.0,-0.492700000000002
2940,1017.34637667,1015.96967667,0.0,-1.3766999999999985
3000,1017.34637667,1016.77567667,0.0,-0.5707000000000007
3060,1017.34637667,1016.7496766700001,0.0,-0.5966999999999978
3120,1017.34637667,1016.85367667,0.0,-0.492700000000002
3180,1017.81898907,1017.41267667,0.0,0.06630000000000136
3240,1017.81898907,1017.81898907,0.0,0.0
3300,1017.81898907,1017.81898907,0.0,0.0
3360,1017.81898907,1017.81898907,0.0,0.0
3420,1017.81898907,1017.81898907,0.0,0.0
3480,1018.3515502460001,1017.81898907,0.0,0.0
3540,1018.3419659960001,1018.3515502460001,0.0,0.0
3600,1018.3419659960001,1018.3207159960001,0.0,-0.021250000000000435
3660,1018.3419659960001,1018.0332159960001,0.0,-0.3087499999999965
3720,1018.7910399960001,1018.6457159960001,0.0,0.30374999999999847
3780,1018.7814409960001,1018.7910399960001,0.0,0.0
3840,1018.7814409960001,1018.8739409960001,0.0,0.09249999999999536
3900,1018.7814409960001,1018.4989409960001,0.0,-0.28250000000000497
3960,1018.7814409960001,1018.8114409960001,0.0,0.029999999999995308
4020,1019.3267309960002,1018.6614409960001,0.0,-0.12000000000000205
4080,1019.3267309960002,1019.3267309960002,0.0,0.0
4140,1019.3171505080002,1019.3267309960002,0.0,0.0
4200,1020.0901568360001,1020.0997715480001,0.0,0.0
4260,1020.0901568360001,1019.8061968360001,0.0,-0.2839599999999949
4320,1020.0901568360001,1018.5289968360001,0.0,-1.5611599999999988
4380,1020.0901568360001,1017.8221968360001,0.0,-2.267959999999997
4440,1020.0901568360001,1018.3553968360001,0.0,-1.7347600000000003
4500,1020.0901568360001,1018.8513968360002,0.0,-1.2387599999999999
4560,1020.0901568360001,1018.9753968360001,0.0,-1.1147599999999998
4620,1020.0901568360001,1018.8513968360002,0.0,-1.2387599999999999
4680,1020.0901568360001,1018.5165968360001,0.0,-1.5735599999999974
4740,1020.0901568360001,1018.5289968360001,0.0,-1.5611599999999988
4800,1020.0901568360001,1018.5661968360001,0.0,-1.523959999999996
4860,1020.0901568360001,1018.6405968360001,0.0,-1.4495599999999973
4920,1020.0632523080001,1018.3553968360001,0.0,-1.7347600000000003
4980,1020.0632523080001,1017.0686523080001,0.0,-2.9946000000000144
5040,1020.0632523080001,1019.1518523080001,0.0,-0.911399999999996
5100,1021.835938048,1021.7806523080001,0.0,1.7173999999999898
