,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,137,DOGE,0.0,-0.0579058,999.9420942,0.0,999.9420942,1.0,691.0,0.419,691.0,0.419,entry_initial_normal_long
1,151,DOGE,0.36623000000002104,-0.057979046000000006,1000.2503451540001,0.0,1000.2503451540001,1.0,-691.0,0.41953,0.0,0.419,close_trailing_long
2,154,DOGE,0.0,-0.057917912,1000.1924272420001,0.0,1000.1924272420001,1.0,697.0,0.41548,697.0,0.41548,entry_initial_normal_long
3,156,DOGE,0.7806400000000069,-0.05807404000000001,1000.9149932020001,0.0,1000.9149932020001,1.0,-697.0,0.4166,0.0,0.41548,close_trailing_long
4,182,DOGE,0.0,-0.057896748000000005,1000.8570964540002,0.0,1000.8570964540002,1.0,702.0,0.41237,702.0,0.41237,entry_initial_normal_long
5,202,DOGE,0.5826599999999982,-0.05801328,1001.3817431740001,0.0,1001.3817431740001,1.0,-702.0,0.4132,0.0,0.41237,close_trailing_long
6,362,DOGE,0.0,-0.057968448000000006,1001.3237747260001,0.0,1001.3237747260001,1.0,718.0,0.40368,718.0,0.40368,entry_initial_normal_long
7,365,DOGE,0.3661800000000075,-0.058041684,1001.6319130420002,0.0,1001.6319130420002,1.0,-718.0,0.40419,0.0,0.40368,close_trailing_long
8,368,DOGE,0.0,-0.05795424,1001.5739588020002,0.0,1001.5739588020002,1.0,720.0,0.40246,720.0,0.40246,entry_initial_normal_long
9,371,DOGE,1.5408000000000222,-0.058262400000000006,1003.0564964020002,0.0,1003.0564964020002,1.0,-720.0,0.4046,0.0,0.40246,close_trailing_long
10,386,DOGE,0.0,-0.058058219999999994,1002.9984381820002,0.0,1002.9984381820002,1.0,726.0,0.39985,726.0,0.39985,entry_initial_normal_long
11,428,DOGE,2.2869000000000304,-0.05851560000000001,1005.2268225820002,0.0,1005.2268225820002,1.0,-726.0,0.403,0.0,0.39985,close_trailing_long
12,843,DOGE,0.0,-0.058167778,1005.1686548040002,0.0,1005.1686548040002,1.0,709.0,0.41021,709.0,0.41021,entry_initial_normal_long
13,848,DOGE,1.4818099999999863,-0.05846414,1006.5920006640002,0.0,1006.5920006640002,1.0,-709.0,0.4123,0.0,0.41021,close_trailing_long
14,1236,DOGE,0.0,-0.05828160400000001,1006.5337190600003,0.0,1006.5337190600003,1.0,698.0,0.41749,698.0,0.41749,entry_initial_normal_long
15,1238,DOGE,2.5895799999999936,-0.05879952000000001,1009.0644995400003,0.0,1009.0644995400003,1.0,-698.0,0.4212,0.0,0.41749,close_trailing_long
16,1436,DOGE,0.0,-0.05841228800000001,1009.0060872520003,0.0,1009.0060872520003,1.0,704.0,0.41486,704.0,0.41486,entry_initial_normal_long
17,1440,DOGE,0.37311999999998235,-0.058486911999999995,1009.3207203400002,0.0,1009.3207203400002,1.0,-704.0,0.41539,0.0,0.41486,close_trailing_long
18,1461,DOGE,0.0,-0.05845004,1009.2622703000002,0.0,1009.2622703000002,1.0,710.0,0.41162,710.0,0.41162,entry_initial_normal_long
19,1505,DOGE,1.1218000000000183,-0.05867440000000001,1010.3253959000002,0.0,1010.3253959000002,1.0,-710.0,0.4132,0.0,0.41162,close_trailing_long
20,1656,DOGE,0.0,-0.058452824,1010.2669430760002,0.0,1010.2669430760002,1.0,734.0,0.39818,734.0,0.39818,entry_initial_normal_long
21,1662,DOGE,2.3634800000000005,-0.058925519999999995,1012.5714975560002,0.0,1012.5714975560002,1.0,-734.0,0.4014,0.0,0.39818,close_trailing_long
22,1862,DOGE,0.0,-0.058628240000000005,1012.5128693160002,0.0,1012.5128693160002,1.0,748.0,0.3919,748.0,0.3919,entry_initial_normal_long
23,1867,DOGE,2.692799999999994,-0.059166800000000005,1015.1465025160002,0.0,1015.1465025160002,1.0,-748.0,0.3955,0.0,0.3919,close_trailing_long
24,1868,DOGE,0.0,-0.058755236,1015.0877472800001,0.0,1015.0877472800001,1.0,751.0,0.39118,751.0,0.39118,entry_initial_normal_long
25,1873,DOGE,0.37549999999995864,-0.058830336000000004,1015.4044169440001,0.0,1015.4044169440001,1.0,-751.0,0.39168,0.0,0.39118,close_trailing_long
26,1903,DOGE,0.0,-0.05878144,1015.3456355040001,0.0,1015.3456355040001,1.0,760.0,0.38672,760.0,0.38672,entry_initial_normal_long
27,1957,DOGE,2.3407999999999785,-0.0592496,1017.6271859040002,0.0,1017.6271859040002,1.0,-760.0,0.3898,0.0,0.38672,close_trailing_long
28,2307,DOGE,0.0,-0.058921524,1017.5682643800002,0.0,1017.5682643800002,1.0,774.0,0.38063,774.0,0.38063,entry_initial_normal_long
29,2311,DOGE,0.5185799999999601,-0.05902524,1018.0278191400001,0.0,1018.0278191400001,1.0,-774.0,0.3813,0.0,0.38063,close_trailing_long
30,2312,DOGE,0.0,-0.058881060000000006,1017.9689380800002,0.0,1017.9689380800002,1.0,777.0,0.3789,777.0,0.3789,entry_initial_normal_long
31,2329,DOGE,0.3729599999999848,-0.058955652,1018.2829424280002,0.0,1018.2829424280002,1.0,-777.0,0.37938,0.0,0.3789,close_trailing_long
32,2331,DOGE,0.0,-0.05894879000000001,1018.2239936380001,0.0,1018.2239936380001,1.0,785.0,0.37547,785.0,0.37547,entry_initial_normal_long
33,2337,DOGE,1.3580499999999638,-0.0592204,1019.5228232380001,0.0,1019.5228232380001,1.0,-785.0,0.3772,0.0,0.37547,close_trailing_long
34,2572,DOGE,0.0,-0.058975378,1019.4638478600001,0.0,1019.4638478600001,1.0,791.0,0.37279,791.0,0.37279,entry_initial_normal_long
35,2577,DOGE,1.431709999999983,-0.059261720000000004,1020.8362961400001,0.0,1020.8362961400001,1.0,-791.0,0.3746,0.0,0.37279,close_trailing_long
36,2578,DOGE,0.0,-0.059048192000000006,1020.7772479480001,0.0,1020.7772479480001,1.0,794.0,0.37184,794.0,0.37184,entry_initial_normal_long
37,2580,DOGE,0.6034399999999864,-0.05916888000000001,1021.321519068,0.0,1021.321519068,1.0,-794.0,0.3726,0.0,0.37184,close_trailing_long
38,2649,DOGE,0.0,-0.05907895,1021.2624401180001,0.0,1021.2624401180001,1.0,805.0,0.36695,805.0,0.36695,entry_initial_normal_long
39,2724,DOGE,0.37030000000001284,-0.059153010000000006,1021.5735871080001,0.0,1021.5735871080001,1.0,-805.0,0.36741,0.0,0.36695,close_trailing_long
40,2961,DOGE,0.0,-0.05909073200000001,1021.5144963760001,0.0,1021.5144963760001,1.0,838.0,0.35257,838.0,0.35257,entry_initial_normal_long
41,2963,DOGE,1.114539999999998,-0.05931364,1022.5697227360001,0.0,1022.5697227360001,1.0,-838.0,0.3539,0.0,0.35257,close_trailing_long
42,2965,DOGE,0.0,-0.059196308,1022.5105264280002,0.0,1022.5105264280002,1.0,841.0,0.35194,841.0,0.35194,entry_initial_normal_long
43,2967,DOGE,0.378450000000005,-0.059271998,1022.8297044300002,0.0,1022.8297044300002,1.0,-841.0,0.35239,0.0,0.35194,close_trailing_long
44,3629,DOGE,0.0,-0.05919586400000001,1022.7705085660002,0.0,1022.7705085660002,1.0,793.0,0.37324,793.0,0.37324,entry_initial_normal_long
45,3632,DOGE,0.37270999999997656,-0.059270406000000005,1023.0839481600002,0.0,1023.0839481600002,1.0,-793.0,0.37371,0.0,0.37324,close_trailing_long
46,4266,DOGE,0.0,-0.05923453000000001,1023.0247136300002,0.0,1023.0247136300002,1.0,785.0,0.37729,785.0,0.37729,entry_initial_normal_long
47,4296,DOGE,0.37679999999998465,-0.05930989,1023.3422037400002,0.0,1023.3422037400002,1.0,-785.0,0.37777,0.0,0.37729,close_trailing_long
48,4364,DOGE,0.0,-0.05921927400000001,1023.2829844660001,0.0,1023.2829844660001,1.0,807.0,0.36691,807.0,0.36691,entry_initial_normal_long
49,4367,DOGE,2.816429999999994,-0.059782560000000005,1026.039631906,0.0,1026.039631906,1.0,-807.0,0.3704,0.0,0.36691,close_trailing_long
50,4387,DOGE,0.0,-0.05937764,1025.980254266,0.0,1025.980254266,1.0,815.0,0.36428,815.0,0.36428,entry_initial_normal_long
51,4396,DOGE,2.2982999999999913,-0.059837299999999996,1028.2187169659999,0.0,1028.2187169659999,1.0,-815.0,0.3671,0.0,0.36428,close_trailing_long
52,4970,DOGE,0.0,-0.05952759000000001,1028.1591893759999,0.0,1028.1591893759999,1.0,823.0,0.36165,823.0,0.36165,entry_initial_normal_long
53,4975,DOGE,0.5349499999999867,-0.059634580000000006,1028.6345047959999,0.0,1028.6345047959999,1.0,-823.0,0.3623,0.0,0.36165,close_trailing_long
54,7396,DOGE,0.0,-0.059528700000000004,1028.5749760959998,0.0,1028.5749760959998,1.0,825.0,0.36078,825.0,0.36078,entry_initial_normal_long
55,7399,DOGE,2.244,-0.0599775,1030.7589985959999,0.0,1030.7589985959999,1.0,-825.0,0.3635,0.0,0.36078,close_trailing_long
56,7542,DOGE,0.0,-0.059632133999999996,1030.699366462,0.0,1030.699366462,1.0,843.0,0.35369,843.0,0.35369,entry_initial_normal_long
57,7545,DOGE,3.8862300000000025,-0.06040938,1034.525187082,0.0,1034.525187082,1.0,-843.0,0.3583,0.0,0.35369,close_trailing_long
58,7806,DOGE,0.0,-0.059894208,1034.465292874,0.0,1034.465292874,1.0,864.0,0.34661,864.0,0.34661,entry_initial_normal_long
59,7830,DOGE,0.0,-0.25216064000000005,1034.2131322339999,0.0,1034.2131322339999,1.0,3760.0,0.33532,4624.0,0.33742955017301035,entry_grid_inflated_long
60,7875,DOGE,1.4418959169550885,-0.09119190000000002,1035.5638362509549,0.0,1035.5638362509549,1.0,-1347.0,0.3385,3277.0,0.33742955017301035,close_trailing_long
