,balance,equity,balance_btc,equity_btc
0,1000.75788129,1000.0,0.0,0.0
60,1000.75788129,1000.0,0.0,0.0
120,1000.75788129,1000.0,0.0,0.0
180,1000.87525725,1000.75788129,0.0,0.0
240,1000.87525725,1000.87525725,0.0,0.0
300,1000.87525725,1000.87525725,0.0,0.0
360,1000.4004842920001,1000.87525725,0.0,0.0
420,1000.4004842920001,1000.4004842920001,0.0,0.0
480,1000.4004842920001,1000.4004842920001,0.0,0.0
540,1000.4004842920001,1000.4004842920001,0.0,0.0
600,1000.4004842920001,1000.4004842920001,0.0,0.0
660,1000.4004842920001,1000.4004842920001,0.0,0.0
720,1000.4004842920001,1000.4004842920001,0.0,0.0
780,1000.4004842920001,1000.4004842920001,0.0,0.0
840,1000.4004842920001,1000.4004842920001,0.0,0.0
900,1000.4004842920001,1000.4004842920001,0.0,0.0
960,1000.4004842920001,1000.4004842920001,0.0,0.0
1020,1000.4004842920001,1000.4004842920001,0.0,0.0
1080,1000.4004842920001,1000.4004842920001,0.0,0.0
1140,1000.4004842920001,1000.4004842920001,0.0,0.0
1200,1000.4004842920001,1000.4004842920001,0.0,0.0
1260,1000.4004842920001,1000.4004842920001,0.0,0.0
1320,1000.4004842920001,1000.4004842920001,0.0,0.0
1380,1000.3453624420001,1000.4004842920001,0.0,0.0
1440,1000.6672304960002,1000.7224041420002,0.0,0.0
1500,1000.9944503560002,999.1709004960002,0.0,-1.4963300000000066
1560,1000.9944503560002,1000.9944503560002,0.0,0.0
1620,1003.4513352760002,1000.9944503560002,0.0,0.0
1680,1003.4513352760002,1003.4513352760002,0.0,0.0
1740,1003.4513352760002,1003.4513352760002,0.0,0.0
1800,1003.4513352760002,1003.4513352760002,0.0,0.0
1860,1005.9306592460002,1003.4513352760002,0.0,0.0
1920,1005.8105924140002,1004.7746792460002,0.0,-1.1559800000000002
1980,1005.8105924140002,1005.8105924140002,0.0,0.0
2040,1005.8105924140002,1005.8105924140002,0.0,0.0
2100,1005.8105924140002,1005.8105924140002,0.0,0.0
2160,1005.8105924140002,1005.8105924140002,0.0,0.0
2220,1005.8105924140002,1005.8105924140002,0.0,0.0
2280,1008.3397976000002,1005.8105924140002,0.0,0.0
2340,1008.3397976000002,1008.3397976000002,0.0,0.0
2400,1008.3397976000002,1008.3397976000002,0.0,0.0
2460,1008.3397976000002,1008.3397976000002,0.0,0.0
2520,1009.8383002820002,1008.3397976000002,0.0,0.0
2580,1011.2073052820002,1011.2633002820002,0.0,1.4250000000000096
2640,1023.08430797,1011.2073052820002,0.0,0.0
2700,1023.08430797,1023.08430797,0.0,0.0
2760,1023.08430797,1023.08430797,0.0,0.0
2820,1023.08430797,1023.08430797,0.0,0.0
2880,1023.08430797,1023.08430797,0.0,0.0
2940,1025.274844986,1023.08430797,0.0,0.0
3000,1025.274844986,1025.274844986,0.0,0.0
3060,1025.274844986,1025.274844986,0.0,0.0
3120,1025.274844986,1025.274844986,0.0,0.0
3180,1025.274844986,1025.274844986,0.0,0.0
3240,1025.274844986,1025.274844986,0.0,0.0
3300,1025.274844986,1025.274844986,0.0,0.0
3360,1025.274844986,1025.274844986,0.0,0.0
3420,1025.274844986,1025.274844986,0.0,0.0
3480,1025.274844986,1025.274844986,0.0,0.0
3540,1025.274844986,1025.274844986,0.0,0.0
3600,1025.093587478,1025.274844986,0.0,0.0
3660,1025.093587478,1025.093587478,0.0,0.0
3720,1025.093587478,1025.093587478,0.0,0.0
3780,1025.093587478,1025.093587478,0.0,0.0
3840,1025.093587478,1025.093587478,0.0,0.0
3900,1025.093587478,1025.093587478,0.0,0.0
3960,1025.093587478,1025.093587478,0.0,0.0
4020,1025.093587478,1025.093587478,0.0,0.0
4080,1025.093587478,1025.093587478,0.0,0.0
4140,1025.093587478,1025.093587478,0.0,0.0
4200,1025.093587478,1025.093587478,0.0,0.0
4260,1025.250451478,1025.093587478,0.0,0.0
4320,1028.1977022920003,1025.250451478,0.0,0.0
4380,1028.1977022920003,1028.1977022920003,0.0,0.0
4440,1028.1977022920003,1028.1977022920003,0.0,0.0
4500,1028.1977022920003,1028.1977022920003,0.0,0.0
4560,1028.1977022920003,1028.1977022920003,0.0,0.0
4620,1028.1977022920003,1028.1977022920003,0.0,0.0
4680,1028.1977022920003,1028.1977022920003,0.0,0.0
4740,1028.1977022920003,1028.1977022920003,0.0,0.0
4800,1028.1977022920003,1028.1977022920003,0.0,0.0
4860,1028.1977022920003,1028.1977022920003,0.0,0.0
4920,1028.0528792120003,1028.1977022920003,0.0,0.0
4980,1028.0528792120003,1028.0528792120003,0.0,0.0
5040,1028.0528792120003,1028.0528792120003,0.0,0.0
5100,1028.0528792120003,1028.0528792120003,0.0,0.0
5160,1028.0528792120003,1028.0528792120003,0.0,0.0
5220,1028.0528792120003,1028.0528792120003,0.0,0.0
5280,1028.0528792120003,1028.0528792120003,0.0,0.0
5340,1028.0528792120003,1028.0528792120003,0.0,0.0
5400,1028.0528792120003,1028.0528792120003,0.0,0.0
5460,1028.0528792120003,1028.0528792120003,0.0,0.0
5520,1028.0528792120003,1028.0528792120003,0.0,0.0
5580,1028.0528792120003,1028.0528792120003,0.0,0.0
5640,1028.0528792120003,1028.0528792120003,0.0,0.0
5700,1028.0528792120003,1028.0528792120003,0.0,0.0
5760,1028.0528792120003,1028.0528792120003,0.0,0.0
5820,1028.0528792120003,1028.0528792120003,0.0,0.0
5880,1028.0528792120003,1028.0528792120003,0.0,0.0
5940,1028.0528792120003,1028.0528792120003,0.0,0.0
6000,1028.0528792120003,1028.0528792120003,0.0,0.0
6060,1028.0528792120003,1028.0528792120003,0.0,0.0
6120,1028.0528792120003,1028.0528792120003,0.0,0.0
6180,1028.0528792120003,1028.0528792120003,0.0,0.0
6240,1028.0528792120003,1028.0528792120003,0.0,0.0
6300,1028.0528792120003,1028.0528792120003,0.0,0.0
6360,1028.0528792120003,1028.0528792120003,0.0,0.0
6420,1028.0528792120003,1028.0528792120003,0.0,0.0
6480,1028.0528792120003,1028.0528792120003,0.0,0.0
6540,1028.0528792120003,1028.0528792120003,0.0,0.0
6600,1028.0528792120003,1028.0528792120003,0.0,0.0
6660,1028.0528792120003,1028.0528792120003,0.0,0.0
6720,1028.0528792120003,1028.0528792120003,0.0,0.0
6780,1028.0528792120003,1028.0528792120003,0.0,0.0
6840,1028.0528792120003,1028.0528792120003,0.0,0.0
6900,1028.0528792120003,1028.0528792120003,0.0,0.0
6960,1028.0528792120003,1028.0528792120003,0.0,0.0
7020,1028.0528792120003,1028.0528792120003,0.0,0.0
7080,1028.0528792120003,1028.0528792120003,0.0,0.0
7140,1028.0528792120003,1028.0528792120003,0.0,0.0
7200,1028.0528792120003,1028.0528792120003,0.0,0.0
7260,1028.0528792120003,1028.0528792120003,0.0,0.0
7320,1028.0528792120003,1028.0528792120003,0.0,0.0
7380,1030.6035734000004,1028.0528792120003,0.0,0.0
7440,1030.6035734000004,1030.6035734000004,0.0,0.0
7500,1034.5091481200004,1030.6035734000004,0.0,0.0
7560,1034.5091481200004,1034.5091481200004,0.0,0.0
7620,1034.5091481200004,1034.5091481200004,0.0,0.0
7680,1034.5091481200004,1034.5091481200004,0.0,0.0
7740,1034.5091481200004,1034.5091481200004,0.0,0.0
7800,1034.1099469180006,1034.5091481200004,0.0,0.0
7860,1046.8929987380006,1023.2574369180007,0.0,-10.85250999999981
7920,1052.3700420980006,1046.8929987380006,0.0,0.0
7980,1053.7493482280006,1052.3700420980006,0.0,0.0
8040,1053.7493482280006,1053.7493482280006,0.0,0.0
8100,1053.7493482280006,1053.7493482280006,0.0,0.0
8160,1053.5038222260007,1053.7493482280006,0.0,0.0
8220,1053.3738142400007,1053.3689722260008,0.0,-0.13484999999998515
8280,1053.3738142400007,1053.3738142400007,0.0,0.0
8340,1053.3738142400007,1053.3738142400007,0.0,0.0
8400,1053.3738142400007,1053.3738142400007,0.0,0.0
8460,1053.3738142400007,1053.3738142400007,0.0,0.0
8520,1053.3738142400007,1053.3738142400007,0.0,0.0
8580,1053.3738142400007,1053.3738142400007,0.0,0.0
8640,1053.3738142400007,1053.3738142400007,0.0,0.0
8700,1053.3738142400007,1053.3738142400007,0.0,0.0
8760,1053.3738142400007,1053.3738142400007,0.0,0.0
8820,1054.8586184880007,1053.3738142400007,0.0,0.0
