,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,137,DOGE,0.0,-0.04309263000000001,999.95690737,0.0,999.95690737,1.0,511.0,0.42165,511.0,0.42165,entry_initial_normal_long
1,168,DOGE,1.047549999999998,-0.04330214,1000.9611552299999,0.0,1000.9611552299999,1.0,-511.0,0.4237,0.0,0.42165,close_trailing_long
2,171,DOGE,0.0,-0.043083678,1000.9180715519999,0.0,1000.9180715519999,1.0,517.0,0.41667,517.0,0.41667,entry_initial_normal_long
3,177,DOGE,1.152910000000005,-0.04331426,1002.0276672919999,0.0,1002.0276672919999,1.0,-517.0,0.4189,0.0,0.41667,close_trailing_long
4,179,DOGE,0.0,-0.043147584,1001.9845197079999,0.0,1001.9845197079999,1.0,519.0,0.41568,519.0,0.41568,entry_initial_normal_long
5,201,DOGE,-0.8355900000000002,-0.042980466,1001.1059492419998,0.0,1001.1059492419998,1.0,-519.0,0.41407,0.0,0.41568,close_trailing_long
6,206,DOGE,0.0,-0.043157248,1001.0627919939998,0.0,1001.0627919939998,1.0,526.0,0.41024,526.0,0.41024,entry_initial_normal_long
7,215,DOGE,4.502560000000006,-0.04405776,1005.5212942339998,0.0,1005.5212942339998,1.0,-526.0,0.4188,0.0,0.41024,close_trailing_long
8,356,DOGE,0.0,-0.043330336000000004,1005.4779638979998,0.0,1005.4779638979998,1.0,532.0,0.40724,532.0,0.40724,entry_initial_normal_long
9,362,DOGE,-0.5532799999999922,-0.04321968,1004.8814642179998,0.0,1004.8814642179998,1.0,-532.0,0.4062,0.0,0.40724,close_trailing_long
10,363,DOGE,0.0,-0.04326592,1004.8381982979998,0.0,1004.8381982979998,1.0,536.0,0.4036,536.0,0.4036,entry_initial_normal_long
11,369,DOGE,-0.6432000000000184,-0.04313728,1004.1518610179999,0.0,1004.1518610179999,1.0,-536.0,0.4024,0.0,0.4036,close_trailing_long
12,370,DOGE,0.0,-0.043287360000000004,1004.1085736579998,0.0,1004.1085736579998,1.0,536.0,0.4038,536.0,0.4038,entry_initial_normal_long
13,381,DOGE,0.5895999999999946,-0.043405280000000004,1004.6547683779999,0.0,1004.6547683779999,1.0,-536.0,0.4049,0.0,0.4038,close_trailing_long
14,382,DOGE,0.0,-0.043306902,1004.6114614759998,0.0,1004.6114614759998,1.0,537.0,0.40323,537.0,0.40323,entry_initial_normal_long
15,439,DOGE,-0.6068099999999809,-0.04318554000000001,1003.9614659359999,0.0,1003.9614659359999,1.0,-537.0,0.4021,0.0,0.40323,close_trailing_long
16,716,DOGE,0.0,-0.043262560000000005,1003.9182033759998,0.0,1003.9182033759998,1.0,523.0,0.4136,523.0,0.4136,entry_initial_normal_long
17,719,DOGE,1.1505999999999894,-0.043492680000000006,1005.0253106959998,0.0,1005.0253106959998,1.0,-523.0,0.4158,0.0,0.4136,close_trailing_long
18,835,DOGE,0.0,-0.043321135999999996,1004.9819895599998,0.0,1004.9819895599998,1.0,523.0,0.41416,523.0,0.41416,entry_initial_normal_long
19,845,DOGE,-0.8367999999999949,-0.043153776,1004.1020357839998,0.0,1004.1020357839998,1.0,-523.0,0.41256,0.0,0.41416,close_trailing_long
20,846,DOGE,0.0,-0.043219520000000004,1004.0588162639998,0.0,1004.0588162639998,1.0,524.0,0.4124,524.0,0.4124,entry_initial_normal_long
21,880,DOGE,2.6200000000000023,-0.04374352,1006.6350727439998,0.0,1006.6350727439998,1.0,-524.0,0.4174,0.0,0.4124,close_trailing_long
22,1236,DOGE,0.0,-0.043379088,1006.5916936559997,0.0,1006.5916936559997,1.0,516.0,0.42034,516.0,0.42034,entry_initial_normal_long
23,1252,DOGE,2.4045599999999987,-0.043859999999999996,1008.9523936559997,0.0,1008.9523936559997,1.0,-516.0,0.425,0.0,0.42034,close_trailing_long
24,1436,DOGE,0.0,-0.043442879999999996,1008.9089507759996,0.0,1008.9089507759996,1.0,520.0,0.41772,520.0,0.41772,entry_initial_normal_long
25,1440,DOGE,-0.8423999999999765,-0.043274400000000005,1008.0232763759997,0.0,1008.0232763759997,1.0,-520.0,0.4161,0.0,0.41772,close_trailing_long
26,1441,DOGE,0.0,-0.04344084000000001,1007.9798355359997,0.0,1007.9798355359997,1.0,522.0,0.4161,522.0,0.4161,entry_initial_normal_long
27,1458,DOGE,0.26100000000000023,-0.043493040000000004,1008.1973424959997,0.0,1008.1973424959997,1.0,-522.0,0.4166,0.0,0.4161,close_trailing_long
28,1459,DOGE,0.0,-0.043383896000000005,1008.1539585999997,0.0,1008.1539585999997,1.0,523.0,0.41476,523.0,0.41476,entry_initial_normal_long
29,1572,DOGE,0.4393200000000039,-0.043471760000000005,1008.5498068399996,0.0,1008.5498068399996,1.0,-523.0,0.4156,0.0,0.41476,close_trailing_long
30,1654,DOGE,0.0,-0.043409840000000005,1008.5063969999997,0.0,1008.5063969999997,1.0,541.0,0.4012,541.0,0.4012,entry_initial_normal_long
31,1666,DOGE,-0.16230000000001216,-0.04337738,1008.3007196199997,0.0,1008.3007196199997,1.0,-541.0,0.4009,0.0,0.4012,close_trailing_long
32,1678,DOGE,0.0,-0.04341143,1008.2573081899997,0.0,1008.2573081899997,1.0,545.0,0.39827,545.0,0.39827,entry_initial_normal_long
33,1683,DOGE,0.9428500000000051,-0.0436,1009.1565581899997,0.0,1009.1565581899997,1.0,-545.0,0.4,0.0,0.39827,close_trailing_long
34,1862,DOGE,0.0,-0.043486022000000006,1009.1130721679997,0.0,1009.1130721679997,1.0,551.0,0.39461,551.0,0.39461,entry_initial_normal_long
35,1867,DOGE,0.49039000000000105,-0.0435841,1009.5598780679996,0.0,1009.5598780679996,1.0,-551.0,0.3955,0.0,0.39461,close_trailing_long
36,1868,DOGE,0.0,-0.043483248,1009.5163948199996,0.0,1009.5163948199996,1.0,552.0,0.39387,552.0,0.39387,entry_initial_normal_long
37,1881,DOGE,-0.4250399999999961,-0.04339824,1009.0479565799997,0.0,1009.0479565799997,1.0,-552.0,0.3931,0.0,0.39387,close_trailing_long
38,1897,DOGE,0.0,-0.043461596,1009.0044949839996,0.0,1009.0044949839996,1.0,557.0,0.39014,557.0,0.39014,entry_initial_normal_long
39,1956,DOGE,-0.8410700000000063,-0.043293382,1008.1201316019996,0.0,1008.1201316019996,1.0,-557.0,0.38863,0.0,0.39014,close_trailing_long
40,2201,DOGE,0.0,-0.043415816,1008.0767157859996,0.0,1008.0767157859996,1.0,556.0,0.39043,556.0,0.39043,entry_initial_normal_long
41,2224,DOGE,3.319319999999986,-0.044079679999999996,1011.3519561059995,0.0,1011.3519561059995,1.0,-556.0,0.3964,0.0,0.39043,close_trailing_long
42,2261,DOGE,0.0,-0.04354145400000001,1011.3084146519996,0.0,1011.3084146519996,1.0,561.0,0.38807,561.0,0.38807,entry_initial_normal_long
43,2280,DOGE,0.7461299999999988,-0.04369068,1012.0108539719996,0.0,1012.0108539719996,1.0,-561.0,0.3894,0.0,0.38807,close_trailing_long
44,2282,DOGE,0.0,-0.043558848000000004,1011.9672951239996,0.0,1011.9672951239996,1.0,564.0,0.38616,564.0,0.38616,entry_initial_normal_long
45,2292,DOGE,0.7557600000000044,-0.043710000000000006,1012.6793451239996,0.0,1012.6793451239996,1.0,-564.0,0.3875,0.0,0.38616,close_trailing_long
46,2299,DOGE,0.0,-0.043655344000000006,1012.6356897799997,0.0,1012.6356897799997,1.0,568.0,0.38429,568.0,0.38429,entry_initial_normal_long
47,2307,DOGE,-0.8463200000000266,-0.04348608,1011.7458836999997,0.0,1011.7458836999997,1.0,-568.0,0.3828,0.0,0.38429,close_trailing_long
48,2308,DOGE,0.0,-0.043586400000000004,1011.7022972999997,0.0,1011.7022972999997,1.0,572.0,0.381,572.0,0.381,entry_initial_normal_long
49,2327,DOGE,-0.8408400000000154,-0.043418231999999994,1010.8180390679997,0.0,1010.8180390679997,1.0,-572.0,0.37953,0.0,0.381,close_trailing_long
50,2328,DOGE,0.0,-0.04351945,1010.7745196179998,0.0,1010.7745196179998,1.0,575.0,0.37843,575.0,0.37843,entry_initial_normal_long
51,2334,DOGE,-0.8394999999999777,-0.04335155,1009.8916680679998,0.0,1009.8916680679998,1.0,-575.0,0.37697,0.0,0.37843,close_trailing_long
52,2336,DOGE,0.0,-0.043524264,1009.8481438039998,0.0,1009.8481438039998,1.0,577.0,0.37716,577.0,0.37716,entry_initial_normal_long
53,2344,DOGE,0.6000799999999915,-0.04364428,1010.4045795239998,0.0,1010.4045795239998,1.0,-577.0,0.3782,0.0,0.37716,close_trailing_long
54,2346,DOGE,0.0,-0.043522272,1010.3610572519998,0.0,1010.3610572519998,1.0,579.0,0.37584,579.0,0.37584,entry_initial_normal_long
55,2358,DOGE,1.6559399999999846,-0.04385346,1011.9731437919997,0.0,1011.9731437919997,1.0,-579.0,0.3787,0.0,0.37584,close_trailing_long
56,2368,DOGE,0.0,-0.043555716,1011.9295880759997,0.0,1011.9295880759997,1.0,582.0,0.37419,582.0,0.37419,entry_initial_normal_long
57,2384,DOGE,0.8206199999999807,-0.04371984,1012.7064882359997,0.0,1012.7064882359997,1.0,-582.0,0.3756,0.0,0.37419,close_trailing_long
58,2547,DOGE,0.0,-0.043598592000000005,1012.6628896439997,0.0,1012.6628896439997,1.0,576.0,0.37846,576.0,0.37846,entry_initial_normal_long
59,2551,DOGE,-0.03456000000000259,-0.04359168000000001,1012.5847379639997,0.0,1012.5847379639997,1.0,-576.0,0.3784,0.0,0.37846,close_trailing_long
60,2552,DOGE,0.0,-0.043603890000000006,1012.5411340739997,0.0,1012.5411340739997,1.0,577.0,0.37785,577.0,0.37785,entry_initial_normal_long
61,2556,DOGE,0.8943499999999975,-0.043782760000000004,1013.3917013139998,0.0,1013.3917013139998,1.0,-577.0,0.3794,0.0,0.37785,close_trailing_long
62,2559,DOGE,0.0,-0.043664706000000005,1013.3480366079998,0.0,1013.3480366079998,1.0,579.0,0.37707,579.0,0.37707,entry_initial_normal_long
