,balance,equity,balance_btc,equity_btc
0,999.978620106,1000.0,0.0,0.0
60,999.978620106,1000.0,0.0,0.0
120,999.978620106,1000.0,0.0,0.0
180,999.978620106,1000.0,0.0,0.0
240,999.978620106,1000.0,0.0,0.0
300,999.978620106,1000.0,0.0,0.0
360,999.978620106,1000.0,0.0,0.0
420,999.978620106,1000.0,0.0,0.0
480,999.978620106,1000.0,0.0,0.0
540,999.978620106,1000.447730106,0.0,0.46911000000001774
600,999.978620106,1000.044460106,0.0,0.0658400000000103
660,1000.664878656,1000.554720106,0.0,0.576100000000014
720,1000.664878656,1000.664878656,0.0,0.0
780,1000.664878656,1000.664878656,0.0,0.0
840,1000.664878656,1000.664878656,0.0,0.0
900,1000.664878656,1000.664878656,0.0,0.0
960,1000.664878656,1000.664878656,0.0,0.0
1020,1000.664878656,1000.664878656,0.0,0.0
1080,1000.643498696,1000.664878656,0.0,0.0
1140,1000.643498696,1000.724698696,0.0,0.08119999999999539
1200,1000.643498696,1000.7815386960001,0.0,0.13803999999998987
1260,1000.643498696,1000.895218696,0.0,0.2517200000000019
1320,1000.22728784,1000.2699786960001,0.0,-0.3735200000000065
1380,1000.22728784,999.2981878400001,0.0,-0.9290999999999888
1440,1000.22728784,999.58343784,0.0,-0.6438499999999935
1500,1000.22728784,999.56713784,0.0,-0.6601500000000018
1560,1000.22728784,999.2329878400001,0.0,-0.994299999999999
1620,1000.22728784,998.89883784,0.0,-1.3284499999999961
1680,1000.22728784,998.31203784,0.0,-1.9152499999999952
1740,1000.22728784,998.90698784,0.0,-1.3202999999999805
1800,1000.22728784,998.83363784,0.0,-1.3936499999999832
1860,1000.22728784,998.79288784,0.0,-1.4343999999999926
1920,1000.22728784,998.61358784,0.0,-1.6136999999999915
1980,1000.22728784,999.2085378400001,0.0,-1.0187499999999998
2040,1000.22728784,999.1596378400001,0.0,-1.0676500000000018
2100,1000.22728784,999.0455378400001,0.0,-1.1817499999999908
2160,1000.22728784,998.86623784,0.0,-1.3610499999999897
2220,1000.22728784,999.1433378400001,0.0,-1.0839499999999869
2280,1000.22728784,998.79288784,0.0,-1.4343999999999926
2340,1000.22728784,998.76843784,0.0,-1.4588499999999933
2400,1000.22728784,998.82548784,0.0,-1.401799999999999
2460,1000.22728784,996.85318784,0.0,-3.3740999999999888
2520,1000.22728784,996.92653784,0.0,-3.300749999999986
2580,1000.22728784,997.17918784,0.0,-3.048099999999996
2640,1000.22728784,997.2280878400001,0.0,-2.999199999999994
2700,1000.22728784,996.91023784,0.0,-3.3170499999999943
2760,1000.22728784,997.2199378400001,0.0,-3.0073499999999864
2820,1000.22728784,997.02433784,0.0,-3.2029499999999937
2880,1000.22728784,996.83688784,0.0,-3.3903999999999854
2940,1000.22728784,996.80428784,0.0,-3.4229999999999907
3000,1000.22728784,995.8751878400001,0.0,-4.352099999999991
3060,1000.22728784,996.67388784,0.0,-3.553399999999988
3120,1000.22728784,996.66573784,0.0,-3.561549999999992
3180,1000.22728784,998.88253784,0.0,-1.3447499999999815
3240,1000.22728784,998.53208784,0.0,-1.695199999999987
3300,1000.22728784,998.65433784,0.0,-1.5729499999999823
3360,1001.0884314860001,998.20608784,0.0,-2.0211999999999914
3420,1001.0884314860001,1001.0884314860001,0.0,0.0
3480,1001.0884314860001,1001.0884314860001,0.0,0.0
3540,1001.0884314860001,1001.0884314860001,0.0,0.0
3600,1001.0884314860001,1001.0884314860001,0.0,0.0
3660,1001.0884314860001,1001.0884314860001,0.0,0.0
3720,1001.0670284480001,1001.0884314860001,0.0,0.0
3780,1001.0670284480001,1001.1239384480001,0.0,0.05690999999999445
3840,1001.81782094,1001.6930384480002,0.0,0.6260100000000083
3900,1001.81782094,1001.81782094,0.0,0.0
3960,1001.81782094,1001.81782094,0.0,0.0
4020,1001.7964112300001,1001.81782094,0.0,0.0
4080,1002.0251214860001,1002.3774512300001,0.0,0.5810399999999991
4140,1002.0036996180002,1002.0251214860001,0.0,0.0
4200,1002.0036996180002,1001.8586196180001,0.0,-0.1450799999999826
4260,1002.8445252660001,1002.0439996180002,0.0,0.04030000000000917
4320,1002.8445252660001,1002.8445252660001,0.0,0.0
4380,1002.8230993860001,1002.8445252660001,0.0,0.0
4440,1002.8230993860001,1002.7103993860001,0.0,-0.1127000000000119
4500,1002.8230993860001,1002.992149386,0.0,0.16904999999998355
4560,1002.8230993860001,1002.8955493860001,0.0,0.07244999999997986
4620,1002.8230993860001,1003.193399386,0.0,0.37029999999998353
4680,1002.8230993860001,1003.241699386,0.0,0.4185999999999854
4740,1002.8230993860001,1003.4751493860001,0.0,0.652049999999979
4800,1002.8230993860001,1003.3624493860001,0.0,0.53934999999999
4860,1002.8230993860001,1003.0806993860001,0.0,0.2575999999999945
4920,1002.8230993860001,1003.587849386,0.0,0.7647499999999909
4980,1002.884857376,1003.096799386,0.0,0.2736999999999799
5040,1002.493186236,1003.287357376,0.0,0.4025
5100,1002.4717668420001,1002.334576842,0.0,-0.13719000000001286
5160,1002.4717668420001,1002.560536842,0.0,0.08876999999998808
5220,1002.4717668420001,1002.6896568420001,0.0,0.21788999999998535
5280,1002.4717668420001,1002.859126842,0.0,0.38735999999999177
5340,1002.4717668420001,1002.851056842,0.0,0.37928999999999913
5400,1004.0909810280001,1003.851736842,0.0,1.3799699999999835
5460,1004.0909810280001,1004.0025410280001,0.0,-0.08843999999998813
5520,1004.0909810280001,1004.316101028,0.0,0.22512000000000093
5580,1004.0909810280001,1004.5814210280001,0.0,0.490440000000011
5640,1004.0909810280001,1004.5653410280001,0.0,0.4743600000000028
5700,1004.0909810280001,1004.6457410280001,0.0,0.554760000000021
5760,1004.0909810280001,1004.9110610280001,0.0,0.8200800000000082
5820,1004.0909810280001,1005.2728610280001,0.0,1.1818799999999992
5880,1004.0909810280001,1005.8919410280001,0.0,1.8009600000000074
5940,1004.0909810280001,1005.9241010280001,0.0,1.833120000000001
6000,1006.2961616760001,1006.7522210280001,0.0,2.661240000000002
6060,1006.2961616760001,1006.2961616760001,0.0,0.0
6120,1006.2961616760001,1006.2961616760001,0.0,0.0
6180,1006.2961616760001,1006.2961616760001,0.0,0.0
6240,1006.2746490400001,1006.2961616760001,0.0,0.0
6300,1006.2746490400001,1006.2746490400001,0.0,0.0
6360,1006.2746490400001,1006.0126290400001,0.0,-0.26202000000000997
6420,1006.2746490400001,1005.7267890400001,0.0,-0.5478599999999982
6480,1006.2746490400001,1005.9411690400001,0.0,-0.33347999999999006
6540,1006.2746490400001,1006.3778690400001,0.0,0.1032199999999964
6600,1006.2746490400001,1006.3064090400001,0.0,0.03175999999999368
6660,1007.3089452000002,1006.3461090400001,0.0,0.07146000000000272
6720,1007.3089452000002,1007.3089452000002,0.0,0.0
6780,1007.3089452000002,1007.3089452000002,0.0,0.0
