,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,101,ETH,0.0,-0.021174160000000004,999.97882584,0.0,999.97882584,1.0,0.28,378.11,0.28,378.11,entry_initial_normal_long
1,303,ETH,2.67119999999999,-0.021708400000000003,1002.62831744,0.0,1002.62831744,1.0,-0.28,387.65,0.0,378.11,close_trailing_long
2,582,ETH,0.0,-0.021158820000000002,1002.6071586200001,0.0,1002.6071586200001,1.0,0.27,391.83,0.27,391.83,entry_initial_normal_long
3,634,ETH,-0.021599999999995702,-0.021154500000000003,1002.5644041200001,0.0,1002.5644041200001,1.0,-0.27,391.75,0.0,391.83,close_trailing_long
4,636,ETH,0.0,-0.021159900000000002,1002.54324422,0.0,1002.54324422,1.0,0.27,391.85,0.27,391.85,entry_initial_normal_long
5,729,ETH,0.25649999999999695,-0.021211200000000003,1002.77853302,0.0,1002.77853302,1.0,-0.27,392.8,0.0,391.85,close_trailing_long
6,822,ETH,0.0,-0.02127924,1002.75725378,0.0,1002.75725378,1.0,0.27,394.06,0.27,394.06,entry_initial_normal_long
7,1001,ETH,0.41580000000000555,-0.021362400000000004,1003.1516913800001,0.0,1003.1516913800001,1.0,-0.27,395.6,0.0,394.06,close_trailing_long
8,1007,ETH,0.0,-0.021281400000000002,1003.1304099800001,0.0,1003.1304099800001,1.0,0.27,394.1,0.27,394.1,entry_initial_normal_long
9,1422,ETH,-0.14850000000000307,-0.021251700000000002,1002.9606582800001,0.0,1002.9606582800001,1.0,-0.27,393.55,0.0,394.1,close_trailing_long
10,1427,ETH,0.0,-0.021315960000000002,1002.93934232,0.0,1002.93934232,1.0,0.27,394.74,0.27,394.74,entry_initial_normal_long
11,1547,ETH,4.795199999999998,-0.022275000000000003,1007.71226732,0.0,1007.71226732,1.0,-0.27,412.5,0.0,394.74,close_trailing_long
12,2182,ETH,0.0,-0.021628360000000003,1007.69063896,0.0,1007.69063896,1.0,0.26,415.93,0.26,415.93,entry_initial_normal_long
13,2221,ETH,0.8242000000000042,-0.021793200000000002,1008.49304576,0.0,1008.49304576,1.0,-0.26,419.1,0.0,415.93,close_trailing_long
14,2235,ETH,0.0,-0.021650720000000002,1008.47139504,0.0,1008.47139504,1.0,0.26,416.36,0.26,416.36,entry_initial_normal_long
15,3042,ETH,-0.10660000000000651,-0.021629400000000003,1008.3431656399999,0.0,1008.3431656399999,1.0,-0.26,415.95,0.0,416.36,close_trailing_long
16,3168,ETH,0.0,-0.02161068,1008.32155496,0.0,1008.32155496,1.0,0.26,415.59,0.26,415.59,entry_initial_normal_long
17,5538,ETH,-0.37699999999999706,-0.02153528,1007.9230196799999,0.0,1007.9230196799999,1.0,-0.26,414.14,0.0,415.59,close_trailing_long
18,5541,ETH,0.0,-0.021487440000000003,1007.9015322399999,0.0,1007.9015322399999,1.0,0.26,413.22,0.26,413.22,entry_initial_normal_long
19,8741,ETH,0.0,-0.043708500000000004,1007.85782374,0.0,1007.85782374,1.0,0.55,397.35,0.81,402.44407407407414,entry_trailing_normal_long
