,balance,equity,balance_btc,equity_btc
0,1002.9637594239999,1000.0,0.0,0.0
60,1002.9637594239999,1000.0,0.0,0.0
120,1002.9637594239999,1002.9637594239999,0.0,0.0
180,1002.9637594239999,1002.9637594239999,0.0,0.0
240,1002.9637594239999,1002.9637594239999,0.0,0.0
300,1002.761006396,1002.9637594239999,0.0,0.0
360,1002.761006396,1002.761006396,0.0,0.0
420,1002.761006396,1002.761006396,0.0,0.0
480,1002.761006396,1002.761006396,0.0,0.0
540,1002.761006396,1002.761006396,0.0,0.0
600,1002.761006396,1002.761006396,0.0,0.0
660,1002.761006396,1002.761006396,0.0,0.0
720,1002.761006396,1002.761006396,0.0,0.0
780,1002.761006396,1002.761006396,0.0,0.0
840,1002.761006396,1002.761006396,0.0,0.0
900,1002.761006396,1002.761006396,0.0,0.0
960,1002.761006396,1002.761006396,0.0,0.0
1020,1002.659640956,1002.761006396,0.0,0.0
1080,1004.293820054,997.504600956,0.0,-5.155039999999999
1140,1002.739662664,1001.958770054,0.0,-2.335049999999973
1200,1002.739662664,1002.739662664,0.0,0.0
1260,1002.739662664,1002.739662664,0.0,0.0
1320,1002.638298964,1002.739662664,0.0,0.0
1380,1004.583953288,1003.168998964,0.0,0.5307000000000005
1440,1004.583953288,1004.583953288,0.0,0.0
1500,1004.583953288,1004.583953288,0.0,0.0
1560,1004.583953288,1004.583953288,0.0,0.0
1620,1004.583953288,1004.583953288,0.0,0.0
1680,1004.583953288,1004.583953288,0.0,0.0
1740,1004.583953288,1004.583953288,0.0,0.0
1800,1004.583953288,1004.583953288,0.0,0.0
1860,1004.583953288,1004.583953288,0.0,0.0
1920,1004.583953288,1004.583953288,0.0,0.0
1980,1008.214272148,1004.583953288,0.0,0.0
2040,1008.214272148,1008.214272148,0.0,0.0
2100,1008.214272148,1008.214272148,0.0,0.0
2160,1008.214272148,1008.214272148,0.0,0.0
2220,1008.1123580679999,1008.214272148,0.0,0.0
2280,1008.1123580679999,1001.6634380679999,0.0,-6.448919999999994
2340,1006.055015152,1009.9624580679999,0.0,1.8501000000000312
2400,1003.82834303,1006.055015152,0.0,0.0
2460,1011.2692774280001,1002.3306530300001,0.0,-1.4976899999999584
2520,1011.2692774280001,1011.2692774280001,0.0,0.0
2580,1011.2692774280001,1011.2692774280001,0.0,0.0
2640,1011.2692774280001,1011.2692774280001,0.0,0.0
2700,1011.2692774280001,1011.2692774280001,0.0,0.0
2760,1011.2692774280001,1011.2692774280001,0.0,0.0
2820,1011.2692774280001,1011.2692774280001,0.0,0.0
2880,1011.2692774280001,1011.2692774280001,0.0,0.0
2940,1011.2692774280001,1011.2692774280001,0.0,0.0
3000,1011.2692774280001,1011.2692774280001,0.0,0.0
3060,1011.2692774280001,1011.2692774280001,0.0,0.0
3120,1011.2692774280001,1011.2692774280001,0.0,0.0
3180,1011.2692774280001,1011.2692774280001,0.0,0.0
3240,1011.2692774280001,1011.2692774280001,0.0,0.0
3300,1011.2692774280001,1011.2692774280001,0.0,0.0
3360,1011.2692774280001,1011.2692774280001,0.0,0.0
3420,1011.2692774280001,1011.2692774280001,0.0,0.0
3480,1011.2692774280001,1011.2692774280001,0.0,0.0
3540,1023.3496245980001,1011.2692774280001,0.0,0.0
3600,1023.3496245980001,1023.3496245980001,0.0,0.0
3660,1023.3496245980001,1023.3496245980001,0.0,0.0
3720,1029.812390286,1023.3496245980001,0.0,0.0
3780,1029.812390286,1029.812390286,0.0,0.0
3840,1026.2843971040002,1029.812390286,0.0,0.0
3900,1027.615540824,1021.7213371040001,0.0,-4.5630600000000126
3960,1032.3313094559996,1029.117300824,0.0,1.50176000000001
4020,1033.6571192839997,1032.3313094559996,0.0,0.0
4080,1033.6571192839997,1033.6571192839997,0.0,0.0
4140,1033.5526528839996,1033.6571192839997,0.0,0.0
4200,1036.6950077879994,1030.0834328839996,0.0,-3.4692200000000506
4260,1037.4568461879994,1017.9406077879994,0.0,-18.754400000000032
4320,1037.4568461879994,1037.4568461879994,0.0,0.0
4380,1037.4568461879994,1037.4568461879994,0.0,0.0
4440,1037.4568461879994,1037.4568461879994,0.0,0.0
4500,1037.4568461879994,1037.4568461879994,0.0,0.0
4560,1037.4568461879994,1037.4568461879994,0.0,0.0
4620,1037.4568461879994,1037.4568461879994,0.0,0.0
4680,1037.3519721399994,1037.4568461879994,0.0,0.0
4740,1035.8774245459992,1038.5879421399993,0.0,1.2359700000000409
4800,1035.8774245459992,1035.8774245459992,0.0,0.0
4860,1035.8774245459992,1035.8774245459992,0.0,0.0
4920,1035.8774245459992,1035.8774245459992,0.0,0.0
4980,1035.8774245459992,1035.8774245459992,0.0,0.0
5040,1035.8774245459992,1035.8774245459992,0.0,0.0
5100,1035.8774245459992,1035.8774245459992,0.0,0.0
5160,1035.8774245459992,1035.8774245459992,0.0,0.0
5220,1035.8774245459992,1035.8774245459992,0.0,0.0
5280,1035.8774245459992,1035.8774245459992,0.0,0.0
5340,1035.8774245459992,1035.8774245459992,0.0,0.0
5400,1035.8774245459992,1035.8774245459992,0.0,0.0
5460,1035.8774245459992,1035.8774245459992,0.0,0.0
5520,1035.8774245459992,1035.8774245459992,0.0,0.0
5580,1035.8774245459992,1035.8774245459992,0.0,0.0
5640,1035.8774245459992,1035.8774245459992,0.0,0.0
5700,1035.8774245459992,1035.8774245459992,0.0,0.0
5760,1035.8774245459992,1035.8774245459992,0.0,0.0
5820,1035.8774245459992,1035.8774245459992,0.0,0.0
5880,1035.8774245459992,1035.8774245459992,0.0,0.0
5940,1035.8774245459992,1035.8774245459992,0.0,0.0
6000,1035.8774245459992,1035.8774245459992,0.0,0.0
6060,1035.8774245459992,1035.8774245459992,0.0,0.0
6120,1035.8774245459992,1035.8774245459992,0.0,0.0
6180,1035.8774245459992,1035.8774245459992,0.0,0.0
6240,1035.8774245459992,1035.8774245459992,0.0,0.0
6300,1035.8774245459992,1035.8774245459992,0.0,0.0
6360,1035.8774245459992,1035.8774245459992,0.0,0.0
6420,1035.8774245459992,1035.8774245459992,0.0,0.0
6480,1035.8774245459992,1035.8774245459992,0.0,0.0
6540,1035.8774245459992,1035.8774245459992,0.0,0.0
6600,1035.8774245459992,1035.8774245459992,0.0,0.0
6660,1035.8774245459992,1035.8774245459992,0.0,0.0
6720,1037.9013664819993,1035.8774245459992,0.0,0.0
6780,1037.9013664819993,1037.9013664819993,0.0,0.0
6840,1037.9013664819993,1037.9013664819993,0.0,0.0
6900,1037.9013664819993,1037.9013664819993,0.0,0.0
6960,1037.9013664819993,1037.9013664819993,0.0,0.0
7020,1037.9013664819993,1037.9013664819993,0.0,0.0
7080,1037.9013664819993,1037.9013664819993,0.0,0.0
7140,1037.9013664819993,1037.9013664819993,0.0,0.0
7200,1037.9013664819993,1037.9013664819993,0.0,0.0
7260,1037.9013664819993,1037.9013664819993,0.0,0.0
7320,1037.9013664819993,1037.9013664819993,0.0,0.0
7380,1037.9013664819993,1037.9013664819993,0.0,0.0
7440,1037.9013664819993,1037.9013664819993,0.0,0.0
7500,1037.9013664819993,1037.9013664819993,0.0,0.0
7560,1037.9013664819993,1037.9013664819993,0.0,0.0
7620,1037.9013664819993,1037.9013664819993,0.0,0.0
7680,1037.9013664819993,1037.9013664819993,0.0,0.0
7740,1037.9013664819993,1037.9013664819993,0.0,0.0
7800,1037.9013664819993,1037.9013664819993,0.0,0.0
7860,1037.9013664819993,1037.9013664819993,0.0,0.0
7920,1037.9013664819993,1037.9013664819993,0.0,0.0
7980,1037.9013664819993,1037.9013664819993,0.0,0.0
8040,1037.9013664819993,1037.9013664819993,0.0,0.0
8100,1037.9013664819993,1037.9013664819993,0.0,0.0
8160,1037.9013664819993,1037.9013664819993,0.0,0.0
8220,1037.9013664819993,1037.9013664819993,0.0,0.0
8280,1037.9013664819993,1037.9013664819993,0.0,0.0
8340,1037.9013664819993,1037.9013664819993,0.0,0.0
8400,1037.9013664819993,1037.9013664819993,0.0,0.0
8460,1037.9013664819993,1037.9013664819993,0.0,0.0
8520,1037.9013664819993,1037.9013664819993,0.0,0.0
8580,1037.9013664819993,1037.9013664819993,0.0,0.0
8640,1037.9013664819993,1037.9013664819993,0.0,0.0
8700,1037.9013664819993,1037.9013664819993,0.0,0.0
8760,1037.9013664819993,1037.9013664819993,0.0,0.0
8820,1037.9013664819993,1037.9013664819993,0.0,0.0
8880,1037.9013664819993,1037.9013664819993,0.0,0.0
8940,1037.9013664819993,1037.9013664819993,0.0,0.0
9000,1037.9013664819993,1037.9013664819993,0.0,0.0
9060,1037.9013664819993,1037.9013664819993,0.0,0.0
9120,1037.9013664819993,1037.9013664819993,0.0,0.0
9180,1037.9013664819993,1037.9013664819993,0.0,0.0
9240,1037.9013664819993,1037.9013664819993,0.0,0.0
9300,1037.7964681839992,1037.9013664819993,0.0,0.0
9360,1036.9015179279993,1030.8509381839992,0.0,-6.9455300000000655
9420,1036.9015179279993,1036.9015179279993,0.0,0.0
9480,1036.9015179279993,1036.9015179279993,0.0,0.0
9540,1036.9015179279993,1036.9015179279993,0.0,0.0
9600,1036.9015179279993,1036.9015179279993,0.0,0.0
9660,1039.0612958079994,1036.9015179279993,0.0,0.0
9720,1039.0612958079994,1039.0612958079994,0.0,0.0
9780,1039.0612958079994,1039.0612958079994,0.0,0.0
9840,1039.0612958079994,1039.0612958079994,0.0,0.0
9900,1038.9562804599993,1039.0612958079994,0.0,0.0
9960,1038.9562804599993,1007.3081704599994,0.0,-31.648110000000024
10020,1038.9562804599993,1011.4083304599993,0.0,-27.547950000000004
10080,1038.9562804599993,1013.2021504599993,0.0,-25.75413000000001
10140,1038.9562804599993,1011.4937504599993,0.0,-27.46253000000001
10200,1038.9562804599993,1016.7470804599993,0.0,-22.20920000000002
10260,1038.9562804599993,1009.5718004599994,0.0,-29.38447999999999
10320,1038.9562804599993,1004.6601504599993,0.0,-34.29613000000002
10380,1038.8556987759994,1006.1977104599994,0.0,-32.75857
10440,1038.8556987759994,1024.4345387759993,0.0,-14.421160000000087
10500,1037.4417834559993,1037.4690987759993,0.0,-1.3866000000000203
10560,1037.4417834559993,1037.4417834559993,0.0,0.0
10620,1037.4417834559993,1037.4417834559993,0.0,0.0
10680,1037.4417834559993,1037.4417834559993,0.0,0.0
10740,1037.4417834559993,1037.4417834559993,0.0,0.0
10800,1037.4417834559993,1037.4417834559993,0.0,0.0
10860,1037.4417834559993,1037.4417834559993,0.0,0.0
10920,1037.4417834559993,1037.4417834559993,0.0,0.0
10980,1037.3369286179993,1037.4417834559993,0.0,0.0
11040,1039.3920516979992,1014.8951186179993,0.0,-22.441809999999975
11100,1039.3920516979992,1039.3920516979992,0.0,0.0
11160,1039.3920516979992,1039.3920516979992,0.0,0.0
11220,1039.282233233999,1039.3920516979992,0.0,0.0
11280,1038.6053676659992,1039.327873233999,0.0,0.04563999999999497
11340,1038.5003894159993,1038.6053676659992,0.0,0.0
11400,1038.5003894159993,1025.7353894159992,0.0,-12.765000000000033
11460,1038.5003894159993,1004.8303894159993,0.0,-33.66999999999999
11520,1038.5003894159993,1015.5141394159992,0.0,-22.986250000000037
11580,1038.5003894159993,1018.7516394159993,0.0,-19.74874999999998
11640,1038.5003894159993,1019.3528894159992,0.0,-19.147500000000047
11700,1038.5003894159993,1010.3803894159993,0.0,-28.119999999999983
11760,1038.5003894159993,995.9966394159992,0.0,-42.503750000000046
11820,1038.5003894159993,994.2391394159993,0.0,-44.261250000000054
11880,1038.5003894159993,992.9441394159993,0.0,-45.55625000000001
11940,1038.5003894159993,987.8103894159993,0.0,-50.68999999999996
12000,1038.5003894159993,994.6091394159993,0.0,-43.89124999999999
12060,1038.5003894159993,1004.3216394159992,0.0,-34.178750000000036
12120,1038.4012960319992,1003.9978894159992,0.0,-34.5025
12180,1038.4012960319992,998.0567260319993,0.0,-40.344569999999884
12240,1038.4012960319992,969.5422060319992,0.0,-68.85909000000002
12300,1040.2291087419987,906.6995260319993,0.0,-131.70176999999995
12360,1040.2291087419987,1040.2291087419987,0.0,0.0
12420,1040.2291087419987,1040.2291087419987,0.0,0.0
12480,1040.8078327419987,1040.2291087419987,0.0,0.0
12540,1046.324275051999,1003.1832327419987,0.0,-37.62460000000001
12600,1046.324275051999,1046.324275051999,0.0,0.0
12660,1046.324275051999,1046.324275051999,0.0,0.0
12720,1046.324275051999,1046.324275051999,0.0,0.0
12780,1046.324275051999,1046.324275051999,0.0,0.0
12840,1046.324275051999,1046.324275051999,0.0,0.0
12900,1046.324275051999,1046.324275051999,0.0,0.0
12960,1049.233198747999,1046.324275051999,0.0,0.0
13020,1049.509303099999,1049.233198747999,0.0,0.0
13080,1054.6213583559988,1049.509303099999,0.0,0.0
13140,1054.514754579999,1054.6213583559988,0.0,0.0
13200,1054.514754579999,1018.4408345799989,0.0,-36.07392000000004
13260,1054.514754579999,1004.0417945799989,0.0,-50.472960000000036
13320,1054.514754579999,976.9227545799988,0.0,-77.59200000000004
13380,1054.514754579999,985.7249945799988,0.0,-68.78976000000006
13440,1054.4128059399989,956.1637145799989,0.0,-98.35104000000007
13500,1054.4128059399989,957.6457659399988,0.0,-96.7670400000001
13560,1054.4128059399989,975.4542459399987,0.0,-78.95856000000016
13620,1054.4128059399989,945.0940059399987,0.0,-109.31880000000015
13680,1054.4128059399989,939.1936059399987,0.0,-115.21920000000009
13740,1054.4128059399989,926.4272859399987,0.0,-127.98552000000012
13800,1054.4128059399989,882.5497659399987,0.0,-171.86304000000015
13860,1054.249239591999,892.8486459399987,0.0,-161.5641600000001
13920,1054.249239591999,934.0610195919988,0.0,-120.18822000000013
13980,1054.249239591999,961.1012195919989,0.0,-93.14802000000014
14040,1053.946283271999,788.8223695919987,0.0,-265.4268700000003
14100,1053.946283271999,863.8681732719988,0.0,-190.0781100000002
14160,1053.946283271999,735.9555832719984,0.0,-317.99070000000046
14220,1049.8516328762146,711.3118732719986,0.0,-342.63441000000034
14280,1326.4554496019982,979.3977903839983,0.0,-70.45384249221627
14340,1326.4554496019982,1326.4554496019982,0.0,0.0
14400,1326.3213676979983,1326.4554496019982,0.0,0.0
14460,1325.8687895059984,1328.3123676979983,0.0,1.9910000000000458
14520,1325.8687895059984,1325.8687895059984,0.0,0.0
14580,1325.8687895059984,1325.8687895059984,0.0,0.0
14640,1325.8687895059984,1325.8687895059984,0.0,0.0
14700,1325.8687895059984,1325.8687895059984,0.0,0.0
14760,1325.8687895059984,1325.8687895059984,0.0,0.0
14820,1325.8687895059984,1325.8687895059984,0.0,0.0
14880,1325.8687895059984,1325.8687895059984,0.0,0.0
14940,1325.8687895059984,1325.8687895059984,0.0,0.0
15000,1325.8687895059984,1325.8687895059984,0.0,0.0
15060,1325.4553079539985,1325.8687895059984,0.0,0.0
15120,1325.4553079539985,1325.4553079539985,0.0,0.0
15180,1325.3213385679985,1325.4553079539985,0.0,0.0
15240,1325.1964618459986,1292.2587285679986,0.0,-33.062609999999964
15300,1325.1964618459986,1276.9673218459986,0.0,-48.22913999999989
15360,1325.1964618459986,1277.1172618459987,0.0,-48.07919999999991
15420,1324.9651510519986,1240.981721845999,0.0,-84.21473999999975
15480,1369.5552962859988,1345.6085610519985,0.0,20.643409999999832
15540,1369.5552962859988,1369.5552962859988,0.0,0.0
15600,1369.5552962859988,1369.5552962859988,0.0,0.0
15660,1369.5552962859988,1369.5552962859988,0.0,0.0
15720,1369.5552962859988,1369.5552962859988,0.0,0.0
15780,1369.5552962859988,1369.5552962859988,0.0,0.0
15840,1369.5552962859988,1369.5552962859988,0.0,0.0
15900,1369.5552962859988,1369.5552962859988,0.0,0.0
15960,1369.5552962859988,1369.5552962859988,0.0,0.0
16020,1369.4168595459987,1369.5552962859988,0.0,0.0
16080,1369.4168595459987,1368.3572595459987,0.0,-1.0596000000000794
16140,1369.4168595459987,1314.4059595459987,0.0,-55.01090000000002
16200,1369.4168595459987,1341.4257595459987,0.0,-27.991100000000053
16260,1369.4168595459987,1337.0107595459986,0.0,-32.40610000000006
16320,1369.4168595459987,1337.8054595459987,0.0,-31.611400000000046
16380,1369.4168595459987,1347.6950595459987,0.0,-21.72180000000006
16440,1369.4168595459987,1332.5957595459986,0.0,-36.821100000000065
16500,1369.4168595459987,1336.3043595459985,0.0,-33.112500000000075
16560,1376.3910686684626,1346.1939595459987,0.0,-23.222899999999992
16620,1378.5414856379987,1383.9158993579988,0.0,7.52483068953617
16680,1378.5414856379987,1378.5414856379987,0.0,0.0
16740,1378.5414856379987,1378.5414856379987,0.0,0.0
16800,1378.5414856379987,1378.5414856379987,0.0,0.0
16860,1378.5414856379987,1378.5414856379987,0.0,0.0
16920,1378.5414856379987,1378.5414856379987,0.0,0.0
16980,1378.5414856379987,1378.5414856379987,0.0,0.0
17040,1378.5414856379987,1378.5414856379987,0.0,0.0
17100,1378.5414856379987,1378.5414856379987,0.0,0.0
17160,1378.5414856379987,1378.5414856379987,0.0,0.0
17220,1378.5414856379987,1378.5414856379987,0.0,0.0
17280,1378.5414856379987,1378.5414856379987,0.0,0.0
17340,1378.5414856379987,1378.5414856379987,0.0,0.0
17400,1378.5414856379987,1378.5414856379987,0.0,0.0
17460,1378.5414856379987,1378.5414856379987,0.0,0.0
17520,1378.5414856379987,1378.5414856379987,0.0,0.0
17580,1378.5414856379987,1378.5414856379987,0.0,0.0
17640,1378.5414856379987,1378.5414856379987,0.0,0.0
17700,1378.5414856379987,1378.5414856379987,0.0,0.0
17760,1378.5414856379987,1378.5414856379987,0.0,0.0
17820,1378.5414856379987,1378.5414856379987,0.0,0.0
17880,1378.5414856379987,1378.5414856379987,0.0,0.0
17940,1378.5414856379987,1378.5414856379987,0.0,0.0
18000,1378.5414856379987,1378.5414856379987,0.0,0.0
18060,1378.5414856379987,1378.5414856379987,0.0,0.0
18120,1378.5414856379987,1378.5414856379987,0.0,0.0
18180,1378.5414856379987,1378.5414856379987,0.0,0.0
18240,1378.5414856379987,1378.5414856379987,0.0,0.0
18300,1384.7112902219988,1378.5414856379987,0.0,0.0
18360,1384.7112902219988,1384.7112902219988,0.0,0.0
18420,1384.7112902219988,1384.7112902219988,0.0,0.0
18480,1384.7112902219988,1384.7112902219988,0.0,0.0
18540,1384.7112902219988,1384.7112902219988,0.0,0.0
18600,1384.7112902219988,1384.7112902219988,0.0,0.0
18660,1384.7112902219988,1384.7112902219988,0.0,0.0
18720,1384.7112902219988,1384.7112902219988,0.0,0.0
18780,1384.7112902219988,1384.7112902219988,0.0,0.0
