,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,75,FARTCOIN,0.0,-0.100635984,999.899364016,0.0,999.899364016,1.0,583.6,0.8622,583.6,0.8622,entry_initial_normal_long
1,116,FARTCOIN,2.976359999999996,-0.101231256,1002.77449276,0.0,1002.77449276,1.0,-583.6,0.8673,0.0,0.8622,close_trailing_long
2,313,FARTCOIN,0.0,-0.100916928,1002.6735758320001,0.0,1002.6735758320001,1.0,604.8,0.8343,604.8,0.8343,entry_initial_normal_long
3,317,FARTCOIN,-0.12096000000005382,-0.100892736,1002.451723096,0.0,1002.451723096,1.0,-604.8,0.8341,0.0,0.8343,close_trailing_long
4,1059,FARTCOIN,0.0,-0.10089755000000002,1002.350825546,0.0,1002.350825546,1.0,508.3,0.9925,508.3,0.9925,entry_initial_normal_long
5,1096,FARTCOIN,2.0840299999999963,-0.10131435600000001,1004.33354119,0.0,1004.33354119,1.0,-508.3,0.9966,0.0,0.9925,close_trailing_long
6,1101,FARTCOIN,0.0,-0.10108938,1004.23245181,0.0,1004.23245181,1.0,516.5,0.9786,516.5,0.9786,entry_initial_normal_long
7,1156,FARTCOIN,-1.6011499999999956,-0.10076915,1002.5305326600001,0.0,1002.5305326600001,1.0,-516.5,0.9755,0.0,0.9786,close_trailing_long
8,1373,FARTCOIN,0.0,-0.10089878600000002,1002.429633874,0.0,1002.429633874,1.0,528.1,0.9553,528.1,0.9553,entry_initial_normal_long
9,1385,FARTCOIN,2.6405000000000025,-0.10142688600000002,1004.968706988,0.0,1004.968706988,1.0,-528.1,0.9603,0.0,0.9553,close_trailing_long
10,1398,FARTCOIN,0.0,-0.1011396,1004.867567388,0.0,1004.867567388,1.0,534.0,0.947,534.0,0.947,entry_initial_normal_long
11,1413,FARTCOIN,0.8010000000000304,-0.10129980000000001,1005.567267588,0.0,1005.567267588,1.0,-534.0,0.9485,0.0,0.947,close_trailing_long
12,1414,FARTCOIN,0.0,-0.10119492000000001,1005.466072668,0.0,1005.466072668,1.0,538.5,0.9396,538.5,0.9396,entry_initial_normal_long
13,1426,FARTCOIN,-1.2923999999999771,-0.10093644000000002,1004.072736228,0.0,1004.072736228,1.0,-538.5,0.9372,0.0,0.9396,close_trailing_long
14,1987,FARTCOIN,0.0,-0.10104738799999999,1003.9716888400001,0.0,1003.9716888400001,1.0,513.4,0.9841,513.4,0.9841,entry_initial_normal_long
15,1999,FARTCOIN,-1.2834999999999726,-0.100790688,1002.5873981520001,0.0,1002.5873981520001,1.0,-513.4,0.9816,0.0,0.9841,close_trailing_long
16,2003,FARTCOIN,0.0,-0.10089864000000001,1002.4864995120001,0.0,1002.4864995120001,1.0,516.0,0.9777,516.0,0.9777,entry_initial_normal_long
17,2013,FARTCOIN,0.773999999999972,-0.10105344000000001,1003.1594460720002,0.0,1003.1594460720002,1.0,-516.0,0.9792,0.0,0.9777,close_trailing_long
18,2017,FARTCOIN,0.0,-0.10096230599999999,1003.0584837660001,0.0,1003.0584837660001,1.0,519.3,0.9721,519.3,0.9721,entry_initial_normal_long
19,2034,FARTCOIN,4.725629999999998,-0.10190743199999999,1007.682206334,0.0,1007.682206334,1.0,-519.3,0.9812,0.0,0.9721,close_trailing_long
20,2236,FARTCOIN,0.0,-0.101414556,1007.580791778,0.0,1007.580791778,1.0,525.9,0.9642,525.9,0.9642,entry_initial_normal_long
21,2358,FARTCOIN,-1.7880599999999782,-0.10105694400000001,1005.6916748340001,0.0,1005.6916748340001,1.0,-525.9,0.9608,0.0,0.9642,close_trailing_long
22,2420,FARTCOIN,0.0,-0.10122273000000001,1005.5904521040001,0.0,1005.5904521040001,1.0,546.5,0.9261,546.5,0.9261,entry_initial_normal_long
23,2438,FARTCOIN,-1.7487999999999895,-0.10087297000000002,1003.740779134,0.0,1003.740779134,1.0,-546.5,0.9229,0.0,0.9261,close_trailing_long
24,2446,FARTCOIN,0.0,-0.10102354399999999,1003.63975559,0.0,1003.63975559,1.0,551.8,0.9154,551.8,0.9154,entry_initial_normal_long
25,2501,FARTCOIN,7.1182200000000115,-0.102447188,1010.6555284020001,0.0,1010.6555284020001,1.0,-551.8,0.9283,0.0,0.9154,close_trailing_long
26,3552,FARTCOIN,0.0,-0.10171008000000001,1010.5538183220001,0.0,1010.5538183220001,1.0,388.8,1.308,388.8,1.308,entry_initial_normal_long
27,3556,FARTCOIN,2.9159999999999378,-0.10229328,1013.367525042,0.0,1013.367525042,1.0,-388.8,1.3155,0.0,1.308,close_trailing_long
28,3558,FARTCOIN,0.0,-0.10199079000000001,1013.2655342520001,0.0,1013.2655342520001,1.0,390.5,1.3059,390.5,1.3059,entry_initial_normal_long
29,3572,FARTCOIN,10.543499999999966,-0.10409949,1023.704934762,0.0,1023.704934762,1.0,-390.5,1.3329,0.0,1.3059,close_trailing_long
30,3722,FARTCOIN,0.0,-0.10302020399999999,1023.601914558,0.0,1023.601914558,1.0,379.7,1.3566,379.7,1.3566,entry_initial_normal_long
31,3731,FARTCOIN,6.758660000000014,-0.10437193600000001,1030.256202622,0.0,1030.256202622,1.0,-379.7,1.3744,0.0,1.3566,close_trailing_long
32,3882,FARTCOIN,0.0,-0.10367538999999999,1030.152527232,0.0,1030.152527232,1.0,383.5,1.3517,383.5,1.3517,entry_initial_normal_long
