,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,75,FARTCOIN,0.0,-0.10062580000000002,999.8993742,0.0,999.8993742,1.0,583.0,0.863,583.0,0.863,entry_initial_normal_long
1,115,FARTCOIN,4.547400000000017,-0.10153528,1004.34523892,0.0,1004.34523892,1.0,-583.0,0.8708,0.0,0.863,close_trailing_long
2,313,FARTCOIN,0.0,-0.10105920000000002,1004.24417972,0.0,1004.24417972,1.0,605.0,0.8352,605.0,0.8352,entry_initial_normal_long
3,317,FARTCOIN,0.12099999999998667,-0.10108340000000002,1004.26409632,0.0,1004.26409632,1.0,-605.0,0.8354,0.0,0.8352,close_trailing_long
4,1059,FARTCOIN,0.0,-0.10114848000000001,1004.16294784,0.0,1004.16294784,1.0,509.0,0.9936,509.0,0.9936,entry_initial_normal_long
5,1096,FARTCOIN,2.036000000000002,-0.10155568000000001,1006.09739216,0.0,1006.09739216,1.0,-509.0,0.9976,0.0,0.9936,close_trailing_long
6,1101,FARTCOIN,0.0,-0.10131132000000001,1005.99608084,0.0,1005.99608084,1.0,517.0,0.9798,517.0,0.9798,entry_initial_normal_long
7,1196,FARTCOIN,-1.7577999999999787,-0.10095976000000001,1004.13732108,0.0,1004.13732108,1.0,-517.0,0.9764,0.0,0.9798,close_trailing_long
8,1373,FARTCOIN,0.0,-0.10097472,1004.03634636,0.0,1004.03634636,1.0,528.0,0.9562,528.0,0.9562,entry_initial_normal_long
9,1391,FARTCOIN,3.3263999999999854,-0.10164000000000001,1007.26110636,0.0,1007.26110636,1.0,-528.0,0.9625,0.0,0.9562,close_trailing_long
10,1398,FARTCOIN,0.0,-0.101436,1007.15967036,0.0,1007.15967036,1.0,535.0,0.948,535.0,0.948,entry_initial_normal_long
11,1428,FARTCOIN,-1.7654999999999839,-0.1010829,1005.2930874599999,0.0,1005.2930874599999,1.0,-535.0,0.9447,0.0,0.948,close_trailing_long
12,1987,FARTCOIN,0.0,-0.10108152000000001,1005.19200594,0.0,1005.19200594,1.0,513.0,0.9852,513.0,0.9852,entry_initial_normal_long
13,1999,FARTCOIN,-1.333799999999967,-0.10081476,1003.75739118,0.0,1003.75739118,1.0,-513.0,0.9826,0.0,0.9852,close_trailing_long
14,2003,FARTCOIN,0.0,-0.10101216000000002,1003.65637902,0.0,1003.65637902,1.0,516.0,0.9788,516.0,0.9788,entry_initial_normal_long
15,2015,FARTCOIN,-0.10319999999998863,-0.10099152,1003.4521875,0.0,1003.4521875,1.0,-516.0,0.9786,0.0,0.9788,close_trailing_long
16,2018,FARTCOIN,0.0,-0.10096626,1003.3512212400001,0.0,1003.3512212400001,1.0,519.0,0.9727,519.0,0.9727,entry_initial_normal_long
