,balance,equity,balance_btc,equity_btc
0,1007.8063456000001,1000.0,0.0,0.0
60,1007.8063456000001,1000.0,0.0,0.0
120,1007.8063456000001,1007.8063456000001,0.0,0.0
180,1007.8063456000001,1007.8063456000001,0.0,0.0
240,1007.8063456000001,1007.8063456000001,0.0,0.0
300,1007.8063456000001,1007.8063456000001,0.0,0.0
360,1007.8063456000001,1007.8063456000001,0.0,0.0
420,1007.8063456000001,1007.8063456000001,0.0,0.0
480,1007.8063456000001,1007.8063456000001,0.0,0.0
540,1007.8063456000001,1007.8063456000001,0.0,0.0
600,1007.8063456000001,1007.8063456000001,0.0,0.0
660,1007.8063456000001,1007.8063456000001,0.0,0.0
720,1007.8063456000001,1007.8063456000001,0.0,0.0
780,1007.8063456000001,1007.8063456000001,0.0,0.0
840,1007.8063456000001,1007.8063456000001,0.0,0.0
900,1007.8063456000001,1007.8063456000001,0.0,0.0
960,1007.8063456000001,1007.8063456000001,0.0,0.0
1020,1007.6289803200001,1007.8063456000001,0.0,0.0
1080,1010.3059312800001,998.2629803200001,0.0,-9.365999999999959
1140,1006.67834416,1006.49233128,0.0,-3.813600000000084
1200,1006.67834416,1006.67834416,0.0,0.0
1260,1006.67834416,1006.67834416,0.0,0.0
1320,1006.5011017600001,1006.67834416,0.0,0.0
1380,1010.0497702600001,1007.3354017600001,0.0,0.834300000000011
1440,1010.0497702600001,1010.0497702600001,0.0,0.0
1500,1010.0497702600001,1010.0497702600001,0.0,0.0
1560,1010.0497702600001,1010.0497702600001,0.0,0.0
1620,1010.0497702600001,1010.0497702600001,0.0,0.0
1680,1010.0497702600001,1010.0497702600001,0.0,0.0
1740,1010.0497702600001,1010.0497702600001,0.0,0.0
1800,1010.0497702600001,1010.0497702600001,0.0,0.0
1860,1010.0497702600001,1010.0497702600001,0.0,0.0
1920,1010.0497702600001,1010.0497702600001,0.0,0.0
1980,1015.66374242,1010.0497702600001,0.0,0.0
2040,1015.66374242,1015.66374242,0.0,0.0
2100,1015.66374242,1015.66374242,0.0,0.0
2160,1015.66374242,1015.66374242,0.0,0.0
2220,1015.4849318199999,1015.66374242,0.0,0.0
2280,1011.8806064599999,1004.09513182,0.0,-11.38979999999998
2340,1011.8806064599999,1011.8806064599999,0.0,0.0
