,balance,equity,balance_btc,equity_btc
0,999.1844492239999,1000.0,0.0,0.0
60,999.1844492239999,1000.0,0.0,0.0
120,999.1844492239999,1000.0,0.0,0.0
180,999.1844492239999,1000.0,0.0,0.0
240,999.1844492239999,1000.0,0.0,0.0
300,999.1844492239999,1000.0,0.0,0.0
360,999.1844492239999,1000.0,0.0,0.0
420,999.1844492239999,1000.0,0.0,0.0
480,999.1844492239999,1000.0,0.0,0.0
540,999.1844492239999,1000.0,0.0,0.0
600,999.1844492239999,1000.0,0.0,0.0
660,999.1844492239999,1000.0,0.0,0.0
720,999.1844492239999,1000.0,0.0,0.0
780,999.1844492239999,1000.0,0.0,0.0
840,999.1844492239999,1000.0,0.0,0.0
900,999.1844492239999,1000.0,0.0,0.0
960,999.1844492239999,1000.0,0.0,0.0
1020,999.1844492239999,1000.0,0.0,0.0
1080,999.1844492239999,1000.0,0.0,0.0
1140,999.1844492239999,1000.0,0.0,0.0
1200,999.1844492239999,1000.0,0.0,0.0
1260,999.1844492239999,1000.0,0.0,0.0
1320,999.1844492239999,1000.0,0.0,0.0
1380,999.1844492239999,1000.0,0.0,0.0
1440,999.1844492239999,1000.0,0.0,0.0
1500,999.1844492239999,1000.0,0.0,0.0
1560,999.1844492239999,1000.0,0.0,0.0
1620,999.1844492239999,1000.0,0.0,0.0
1680,999.1844492239999,1000.0,0.0,0.0
1740,999.1844492239999,1000.0,0.0,0.0
1800,999.1844492239999,1000.0,0.0,0.0
1860,999.1844492239999,1000.0,0.0,0.0
1920,999.1844492239999,1000.0,0.0,0.0
1980,999.1844492239999,1000.0,0.0,0.0
2040,999.1844492239999,1000.0,0.0,0.0
2100,999.1844492239999,1000.0,0.0,0.0
2160,999.1844492239999,1000.0,0.0,0.0
2220,999.1844492239999,1000.0,0.0,0.0
2280,999.1844492239999,1000.0,0.0,0.0
2340,999.1844492239999,1000.0,0.0,0.0
2400,999.1844492239999,1000.0,0.0,0.0
2460,1000.6959140719998,996.7124492239999,0.0,-2.472000000000002
2520,1002.4467674399998,1000.6959140719998,0.0,0.0
2580,1002.4467674399998,1002.4467674399998,0.0,0.0
2640,1002.4467674399998,1002.4467674399998,0.0,0.0
2700,1002.4467674399998,1002.4467674399998,0.0,0.0
2760,1002.4467674399998,1002.4467674399998,0.0,0.0
2820,1002.4467674399998,1002.4467674399998,0.0,0.0
2880,1002.4467674399998,1002.4467674399998,0.0,0.0
2940,1002.4467674399998,1002.4467674399998,0.0,0.0
3000,1002.4467674399998,1002.4467674399998,0.0,0.0
3060,1002.4467674399998,1002.4467674399998,0.0,0.0
3120,1002.4467674399998,1002.4467674399998,0.0,0.0
3180,1002.4467674399998,1002.4467674399998,0.0,0.0
3240,1002.4467674399998,1002.4467674399998,0.0,0.0
3300,1002.4467674399998,1002.4467674399998,0.0,0.0
3360,1002.4467674399998,1002.4467674399998,0.0,0.0
3420,1002.4467674399998,1002.4467674399998,0.0,0.0
3480,1002.4467674399998,1002.4467674399998,0.0,0.0
3540,1002.4467674399998,1002.4467674399998,0.0,0.0
3600,1002.4467674399998,1002.4467674399998,0.0,0.0
3660,1002.4467674399998,1002.4467674399998,0.0,0.0
3720,1002.4467674399998,1002.4467674399998,0.0,0.0
3780,1002.4467674399998,1002.4467674399998,0.0,0.0
3840,1002.4467674399998,1002.4467674399998,0.0,0.0
3900,1002.4467674399998,1002.4467674399998,0.0,0.0
3960,1002.4467674399998,1002.4467674399998,0.0,0.0
4020,1002.4467674399998,1002.4467674399998,0.0,0.0
4080,1002.4467674399998,1002.4467674399998,0.0,0.0
4140,1002.4467674399998,1002.4467674399998,0.0,0.0
4200,1004.3945393299998,1002.4467674399998,0.0,0.0
4260,1004.3945393299998,1004.3945393299998,0.0,0.0
4320,1004.3945393299998,1004.3945393299998,0.0,0.0
4380,1004.3945393299998,1004.3945393299998,0.0,0.0
4440,1004.3945393299998,1004.3945393299998,0.0,0.0
4500,1004.3945393299998,1004.3945393299998,0.0,0.0
4560,1004.3945393299998,1004.3945393299998,0.0,0.0
4620,1004.3945393299998,1004.3945393299998,0.0,0.0
4680,1004.3945393299998,1004.3945393299998,0.0,0.0
4740,1004.3945393299998,1004.3945393299998,0.0,0.0
4800,1004.3945393299998,1004.3945393299998,0.0,0.0
4860,1004.3945393299998,1004.3945393299998,0.0,0.0
4920,1004.3945393299998,1004.3945393299998,0.0,0.0
4980,1004.3945393299998,1004.3945393299998,0.0,0.0
5040,1004.3945393299998,1004.3945393299998,0.0,0.0
5100,1004.3945393299998,1004.3945393299998,0.0,0.0
5160,1004.3945393299998,1004.3945393299998,0.0,0.0
5220,1004.3945393299998,1004.3945393299998,0.0,0.0
5280,1004.3945393299998,1004.3945393299998,0.0,0.0
5340,1004.3945393299998,1004.3945393299998,0.0,0.0
5400,1004.3945393299998,1004.3945393299998,0.0,0.0
5460,1004.3945393299998,1004.3945393299998,0.0,0.0
5520,1004.3945393299998,1004.3945393299998,0.0,0.0
