,balance,equity,balance_btc,equity_btc
0,1004.05693288,1000.0,0.0,0.0
60,1004.05693288,1000.0,0.0,0.0
120,1004.05693288,1004.05693288,0.0,0.0
180,1004.05693288,1004.05693288,0.0,0.0
240,1004.05693288,1004.05693288,0.0,0.0
300,1004.05693288,1004.05693288,0.0,0.0
360,1004.05693288,1004.05693288,0.0,0.0
420,1004.05693288,1004.05693288,0.0,0.0
480,1004.05693288,1004.05693288,0.0,0.0
540,1004.05693288,1004.05693288,0.0,0.0
600,1004.05693288,1004.05693288,0.0,0.0
660,1004.05693288,1004.05693288,0.0,0.0
720,1004.05693288,1004.05693288,0.0,0.0
780,1004.05693288,1004.05693288,0.0,0.0
840,1004.05693288,1004.05693288,0.0,0.0
900,1004.05693288,1004.05693288,0.0,0.0
960,1004.05693288,1004.05693288,0.0,0.0
1020,1004.05693288,1004.05693288,0.0,0.0
1080,1004.05693288,1004.05693288,0.0,0.0
1140,1004.05693288,1004.05693288,0.0,0.0
1200,1004.05693288,1004.05693288,0.0,0.0
1260,1004.05693288,1004.05693288,0.0,0.0
1320,1004.05693288,1004.05693288,0.0,0.0
1380,1004.05693288,1004.05693288,0.0,0.0
1440,1004.05693288,1004.05693288,0.0,0.0
1500,1004.05693288,1004.05693288,0.0,0.0
1560,1004.05693288,1004.05693288,0.0,0.0
1620,1004.05693288,1004.05693288,0.0,0.0
1680,1004.05693288,1004.05693288,0.0,0.0
1740,1004.05693288,1004.05693288,0.0,0.0
1800,1004.05693288,1004.05693288,0.0,0.0
1860,1004.05693288,1004.05693288,0.0,0.0
1920,1004.05693288,1004.05693288,0.0,0.0
1980,1004.05693288,1004.05693288,0.0,0.0
2040,1004.05693288,1004.05693288,0.0,0.0
2100,1004.05693288,1004.05693288,0.0,0.0
2160,1004.05693288,1004.05693288,0.0,0.0
2220,1004.05693288,1004.05693288,0.0,0.0
2280,1004.05693288,1004.05693288,0.0,0.0
2340,1004.05693288,1004.05693288,0.0,0.0
2400,1002.80699298,1004.05693288,0.0,0.0
2460,1004.26051798,999.98199298,0.0,-2.824999999999994
2520,1005.9272846800001,1004.26051798,0.0,0.0
2580,1005.9272846800001,1005.9272846800001,0.0,0.0
2640,1005.9272846800001,1005.9272846800001,0.0,0.0
2700,1005.9272846800001,1005.9272846800001,0.0,0.0
2760,1005.9272846800001,1005.9272846800001,0.0,0.0
2820,1005.9272846800001,1005.9272846800001,0.0,0.0
2880,1005.9272846800001,1005.9272846800001,0.0,0.0
2940,1005.9272846800001,1005.9272846800001,0.0,0.0
3000,1005.9272846800001,1005.9272846800001,0.0,0.0
3060,1005.9272846800001,1005.9272846800001,0.0,0.0
3120,1005.9272846800001,1005.9272846800001,0.0,0.0
3180,1005.9272846800001,1005.9272846800001,0.0,0.0
3240,1005.9272846800001,1005.9272846800001,0.0,0.0
