,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,91,FARTCOIN,0.0,-0.0459186,999.9540814,0.0,999.9540814,1.0,273.0,0.841,273.0,0.841,entry_initial_normal_long
1,108,FARTCOIN,4.149599999999998,-0.04674852,1004.05693288,0.0,1004.05693288,1.0,-273.0,0.8562,0.0,0.841,close_trailing_long
2,2418,FARTCOIN,0.0,-0.046219380000000004,1004.0107135,0.0,1004.0107135,1.0,249.0,0.9281,249.0,0.9281,entry_initial_normal_long
3,2432,FARTCOIN,-1.4193000000000096,-0.04593552000000001,1002.54547798,0.0,1002.54547798,1.0,-249.0,0.9224,0.0,0.9281,close_trailing_long
4,2433,FARTCOIN,0.0,-0.046115,1002.49936298,0.0,1002.49936298,1.0,250.0,0.9223,250.0,0.9223,entry_initial_normal_long
5,2441,FARTCOIN,0.40000000000001146,-0.04619500000000001,1002.85316798,0.0,1002.85316798,1.0,-250.0,0.9239,0.0,0.9223,close_trailing_long
6,2442,FARTCOIN,0.0,-0.046175,1002.80699298,0.0,1002.80699298,1.0,250.0,0.9235,250.0,0.9235,entry_initial_normal_long
7,2501,FARTCOIN,1.5000000000000013,-0.046475,1004.26051798,0.0,1004.26051798,1.0,-250.0,0.9295,0.0,0.9235,close_trailing_long
8,2550,FARTCOIN,0.0,-0.0461907,1004.21432728,0.0,1004.21432728,1.0,255.0,0.9057,255.0,0.9057,entry_initial_normal_long
9,2565,FARTCOIN,1.7595000000000045,-0.0465426,1005.9272846800001,0.0,1005.9272846800001,1.0,-255.0,0.9126,0.0,0.9057,close_trailing_long
10,4234,FARTCOIN,0.0,-0.0461916,1005.88109308,0.0,1005.88109308,1.0,182.0,1.269,182.0,1.269,entry_initial_normal_long
11,4240,FARTCOIN,2.184000000000002,-0.0466284,1008.0184646800001,0.0,1008.0184646800001,1.0,-182.0,1.281,0.0,1.269,close_trailing_long
12,9353,FARTCOIN,0.0,-0.046353599999999995,1007.9721110800001,0.0,1007.9721110800001,1.0,185.0,1.2528,185.0,1.2528,entry_initial_normal_long
13,9401,FARTCOIN,-0.5919999999999759,-0.046235200000000004,1007.3338758800002,0.0,1007.3338758800002,1.0,-185.0,1.2496,0.0,1.2528,close_trailing_long
14,9919,FARTCOIN,0.0,-0.04635792,1007.2875179600002,0.0,1007.2875179600002,1.0,189.0,1.2264,189.0,1.2264,entry_initial_normal_long
15,9924,FARTCOIN,-1.0016999999999736,-0.046157580000000004,1006.2396603800001,0.0,1006.2396603800001,1.0,-189.0,1.2211,0.0,1.2264,close_trailing_long
16,9925,FARTCOIN,0.0,-0.04616514000000001,1006.1934952400002,0.0,1006.1934952400002,1.0,189.0,1.2213,189.0,1.2213,entry_initial_normal_long
17,10425,FARTCOIN,0.0,-0.45416700000000004,1005.7393282400002,0.0,1005.7393282400002,1.0,1890.0,1.2015,2079.0,1.2033,entry_trailing_normal_long
18,10435,FARTCOIN,4.020000000000033,-0.12979776,1009.6295304800002,0.0,1009.6295304800002,1.0,-536.0,1.2108,1543.0,1.2033,close_trailing_long
19,10441,FARTCOIN,-2.367199999999978,-0.12900164,1007.1333288400002,0.0,1007.1333288400002,1.0,-538.0,1.1989,1005.0,1.2033,close_trailing_long
20,10447,FARTCOIN,4.288000000000004,-0.12985136,1011.2914774800003,0.0,1011.2914774800003,1.0,-536.0,1.2113,469.0,1.2033,close_trailing_long
21,10452,FARTCOIN,-1.3601000000000585,-0.11259751999999999,1009.8187799600001,0.0,1009.8187799600001,1.0,-469.0,1.2004,0.0,1.2033,close_trailing_long
22,10987,FARTCOIN,0.0,-0.046368,1009.7724119600001,0.0,1009.7724119600001,1.0,200.0,1.1592,200.0,1.1592,entry_initial_normal_long
23,10989,FARTCOIN,2.859999999999996,-0.04694,1012.5854719600001,0.0,1012.5854719600001,1.0,-200.0,1.1735,0.0,1.1592,close_trailing_long
24,10995,FARTCOIN,0.0,-0.0465516,1012.53892036,0.0,1012.53892036,1.0,201.0,1.158,201.0,1.158,entry_initial_normal_long
25,10998,FARTCOIN,3.577800000000008,-0.047267159999999996,1016.0694532,0.0,1016.0694532,1.0,-201.0,1.1758,0.0,1.158,close_trailing_long
26,11022,FARTCOIN,0.0,-0.04663776000000001,1016.02281544,0.0,1016.02281544,1.0,202.0,1.1544,202.0,1.1544,entry_initial_normal_long
27,11026,FARTCOIN,1.4139999999999788,-0.04692056,1017.38989488,0.0,1017.38989488,1.0,-202.0,1.1614,0.0,1.1544,close_trailing_long
28,11027,FARTCOIN,0.0,-0.04682804,1017.34306684,0.0,1017.34306684,1.0,203.0,1.1534,203.0,1.1534,entry_initial_normal_long
29,11034,FARTCOIN,0.04059999999999553,-0.04683616,1017.33683068,0.0,1017.33683068,1.0,-203.0,1.1536,0.0,1.1534,close_trailing_long
30,11040,FARTCOIN,0.0,-0.0467103,1017.2901203800001,0.0,1017.2901203800001,1.0,203.0,1.1505,203.0,1.1505,entry_initial_normal_long
31,11046,FARTCOIN,2.3344999999999683,-0.0471772,1019.57744318,0.0,1019.57744318,1.0,-203.0,1.162,0.0,1.1505,close_trailing_long
32,11372,FARTCOIN,0.0,-0.04697056,1019.5304726200001,0.0,1019.5304726200001,1.0,208.0,1.1291,208.0,1.1291,entry_initial_normal_long
33,11380,FARTCOIN,-1.6016000000000084,-0.046650239999999996,1017.88222238,0.0,1017.88222238,1.0,-208.0,1.1214,0.0,1.1291,close_trailing_long
34,11381,FARTCOIN,0.0,-0.04684108,1017.8353813,0.0,1017.8353813,1.0,209.0,1.1206,209.0,1.1206,entry_initial_normal_long
35,11427,FARTCOIN,0.9195999999999915,-0.047025000000000004,1018.7079563,0.0,1018.7079563,1.0,-209.0,1.125,0.0,1.1206,close_trailing_long
36,11432,FARTCOIN,0.0,-0.04681740000000001,1018.6611389,0.0,1018.6611389,1.0,210.0,1.1147,210.0,1.1147,entry_initial_normal_long
37,12126,FARTCOIN,0.0,-0.453054,1018.2080849,0.0,1018.2080849,1.0,2100.0,1.0787,2310.0,1.0819727272727273,entry_trailing_normal_long
38,12134,FARTCOIN,-4.445754545454567,-0.12959676,1013.6327335945455,0.0,1013.6327335945455,1.0,-603.0,1.0746,1707.0,1.0819727272727273,close_trailing_long
39,12143,FARTCOIN,-2.743636363636437,-0.129288,1010.759809230909,0.0,1010.759809230909,1.0,-600.0,1.0774,1107.0,1.0819727272727273,close_trailing_long
40,12312,FARTCOIN,0.0,-1.0333456,1009.726463630909,0.0,1009.726463630909,1.0,5026.0,1.028,6133.0,1.0377420200702607,entry_trailing_cropped_long
41,12313,FARTCOIN,1.408593136978789,-0.0092063,1011.1258504678879,0.0,1011.1258504678879,1.0,-43.0,1.0705,6090.0,1.0377420200702607,close_unstuck_long
42,12314,FARTCOIN,1.408593136978789,-0.0092063,1012.5252373048667,0.0,1012.5252373048667,1.0,-43.0,1.0705,6047.0,1.0377420200702607,close_unstuck_long
43,12315,FARTCOIN,1.408593136978789,-0.0092063,1013.9246241418455,0.0,1013.9246241418455,1.0,-43.0,1.0705,6004.0,1.0377420200702607,close_unstuck_long
44,12317,FARTCOIN,7.798695436016798,-0.13148504,1021.5918345378623,0.0,1021.5918345378623,1.0,-626.0,1.0502,5378.0,1.0377420200702607,close_trailing_long
45,12322,FARTCOIN,19.408285335665482,-0.1348447,1040.8652751735278,0.0,1040.8652751735278,1.0,-631.0,1.0685,4747.0,1.0377420200702607,close_trailing_long
46,12325,FARTCOIN,28.13638109482229,-0.1390809,1068.8625753683502,0.0,1068.8625753683502,1.0,-643.0,1.0815,4104.0,1.0377420200702607,close_trailing_long
47,12329,FARTCOIN,31.058266753627912,-0.1431936,1099.777648521978,0.0,1099.777648521978,1.0,-660.0,1.0848,3444.0,1.0377420200702607,close_trailing_long
48,12331,FARTCOIN,20.477268372293015,-0.14502082000000002,1120.109896074271,0.0,1120.109896074271,1.0,-679.0,1.0679,2765.0,1.0377420200702607,close_trailing_long
49,12335,FARTCOIN,17.686122111379515,-0.14716072,1137.6488574656505,0.0,1137.6488574656505,1.0,-692.0,1.0633,2073.0,1.0377420200702607,close_trailing_long
50,12342,FARTCOIN,16.678101910677047,-0.14903460000000002,1154.1779247763275,0.0,1154.1779247763275,1.0,-702.0,1.0615,1371.0,1.0377420200702607,close_trailing_long
51,12349,FARTCOIN,22.999939689904146,-0.15258200000000002,1177.0252824662316,0.0,1177.0252824662316,1.0,-713.0,1.07,658.0,1.0377420200702607,close_trailing_long
52,12354,FARTCOIN,33.661950793768426,-0.14329924,1210.54393402,0.0,1210.54393402,1.0,-658.0,1.0889,0.0,1.0377420200702607,close_trailing_long
53,12516,FARTCOIN,0.0,-0.0556101,1210.48832392,0.0,1210.48832392,1.0,273.0,1.0185,273.0,1.0185,entry_initial_normal_long
54,12520,FARTCOIN,0.982800000000013,-0.05580666,1211.4153172600002,0.0,1211.4153172600002,1.0,-273.0,1.0221,0.0,1.0185,close_trailing_long
55,12521,FARTCOIN,0.0,-0.05577544,1211.3595418200002,0.0,1211.3595418200002,1.0,274.0,1.0178,274.0,1.0178,entry_initial_normal_long
