,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,70,FARTCOIN,0.0,-0.05808345599999999,999.941916544,0.0,999.941916544,1.0,335.2,0.8664,335.2,0.8664,entry_initial_normal_long
1,116,FARTCOIN,0.301680000000004,-0.058143792,1000.1854527520001,0.0,1000.1854527520001,1.0,-335.2,0.8673,0.0,0.8664,close_trailing_long
2,174,FARTCOIN,0.0,-0.058101016,1000.127351736,0.0,1000.127351736,1.0,338.9,0.8572,338.9,0.8572,entry_initial_normal_long
3,193,FARTCOIN,1.0167000000000008,-0.058304356,1001.08574738,0.0,1001.08574738,1.0,-338.9,0.8602,0.0,0.8572,close_trailing_long
4,197,FARTCOIN,0.0,-0.058150298,1001.027597082,0.0,1001.027597082,1.0,340.1,0.8549,340.1,0.8549,entry_initial_normal_long
5,207,FARTCOIN,0.03400999999999626,-0.0581571,1001.003449982,0.0,1001.003449982,1.0,-340.1,0.855,0.0,0.8549,close_trailing_long
6,243,FARTCOIN,0.0,-0.05814048000000001,1000.945309502,0.0,1000.945309502,1.0,341.2,0.852,341.2,0.852,entry_initial_normal_long
7,265,FARTCOIN,-0.37531999999999655,-0.058065415999999995,1000.511924086,0.0,1000.511924086,1.0,-341.2,0.8509,0.0,0.852,close_trailing_long
8,309,FARTCOIN,0.0,-0.058108212000000006,1000.453815874,0.0,1000.453815874,1.0,342.7,0.8478,342.7,0.8478,entry_initial_normal_long
9,343,FARTCOIN,1.5078799999999861,-0.058409788,1001.903286086,0.0,1001.903286086,1.0,-342.7,0.8522,0.0,0.8478,close_trailing_long
10,362,FARTCOIN,0.0,-0.058200720000000004,1001.845085366,0.0,1001.845085366,1.0,345.2,0.843,345.2,0.843,entry_initial_normal_long
11,379,FARTCOIN,-0.5177999999999813,-0.05809716,1001.2691882060001,0.0,1001.2691882060001,1.0,-345.2,0.8415,0.0,0.843,close_trailing_long
12,383,FARTCOIN,0.0,-0.058163559999999996,1001.211024646,0.0,1001.211024646,1.0,345.8,0.841,345.8,0.841,entry_initial_normal_long
13,432,FARTCOIN,2.973880000000018,-0.05875833600000001,1004.1261463100001,0.0,1004.1261463100001,1.0,-345.8,0.8496,0.0,0.841,close_trailing_long
14,468,FARTCOIN,0.0,-0.058316400000000004,1004.0678299100001,0.0,1004.0678299100001,1.0,349.2,0.835,349.2,0.835,entry_initial_normal_long
15,481,FARTCOIN,0.9777600000000086,-0.058511952,1004.9870779580001,0.0,1004.9870779580001,1.0,-349.2,0.8378,0.0,0.835,close_trailing_long
16,485,FARTCOIN,0.0,-0.058366,1004.9287119580001,0.0,1004.9287119580001,1.0,350.0,0.8338,350.0,0.8338,entry_initial_normal_long
