,balance,equity,balance_btc,equity_btc
0,1000.5362195920001,1000.0,0.0,0.0
60,1000.5362195920001,1000.0,0.0,0.0
120,1000.3681741040001,1000.5362195920001,0.0,0.0
180,1002.901717602,999.485994104,0.0,-0.8821800000000117
240,1001.477704272,1002.901717602,0.0,0.0
300,1005.505224272,1001.477704272,0.0,0.0
360,1003.4968151920001,1005.505224272,0.0,0.0
420,1011.7754854680002,1008.5078151920001,0.0,5.011000000000005
480,1024.7373171360002,1014.6250454680002,0.0,2.849560000000025
540,1024.5652141420003,1024.7373171360002,0.0,0.0
600,1028.7060944220002,1029.1143741420003,0.0,4.549159999999959
660,1028.5333282620002,1028.7060944220002,0.0,0.0
720,1045.3219127700002,1021.9447882620002,0.0,-6.588539999999971
780,1045.3219127700002,1045.3219127700002,0.0,0.0
840,1045.3219127700002,1045.3219127700002,0.0,0.0
900,1045.3219127700002,1045.3219127700002,0.0,0.0
960,1045.3219127700002,1045.3219127700002,0.0,0.0
1020,1045.3219127700002,1045.3219127700002,0.0,0.0
1080,1061.2000451100002,1045.3219127700002,0.0,0.0
1140,1061.2000451100002,1061.2000451100002,0.0,0.0
1200,1061.2000451100002,1061.2000451100002,0.0,0.0
1260,1061.2000451100002,1061.2000451100002,0.0,0.0
1320,1061.0218104060002,1061.2000451100002,0.0,0.0
1380,1060.2928214140002,1060.6490904060001,0.0,-0.3727200000000624
1440,1058.529269734,1046.7672214140002,0.0,-13.52559999999996
1500,1058.529269734,1058.529269734,0.0,0.0
1560,1058.529269734,1058.529269734,0.0,0.0
1620,1058.529269734,1058.529269734,0.0,0.0
1680,1058.529269734,1058.529269734,0.0,0.0
1740,1058.529269734,1058.529269734,0.0,0.0
1800,1058.529269734,1058.529269734,0.0,0.0
1860,1058.529269734,1058.529269734,0.0,0.0
1920,1058.3514929140001,1058.529269734,0.0,0.0
1980,1058.3514929140001,1061.3010329140002,0.0,2.9495399999999727
2040,1058.3514929140001,1048.877212914,0.0,-9.474280000000048
2100,1068.5397224780002,1042.888752914,0.0,-15.462740000000082
2160,1068.5397224780002,1068.5397224780002,0.0,0.0
2220,1068.3602717340002,1068.5397224780002,0.0,0.0
2280,1068.3602717340002,1046.3818317340001,0.0,-21.97844000000003
2340,1068.3602717340002,1060.8195517340002,0.0,-7.540719999999986
2400,1068.3602717340002,1045.4622317340002,0.0,-22.89804000000003
2460,1068.3602717340002,1009.7817517340002,0.0,-58.57851999999998
2520,1068.3602717340002,1023.2079117340002,0.0,-45.15236000000003
2580,1068.3602717340002,1007.5747117340002,0.0,-60.785560000000046
2640,1068.1866043140003,1041.4159917340003,0.0,-26.944279999999996
2700,1096.3995817880004,1078.1811543140004,0.0,9.994550000000098
2760,1096.3995817880004,1096.3995817880004,0.0,0.0
