,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,70,FARTCOIN,0.0,-0.0581158,999.9418842,0.0,999.9418842,1.0,335.0,0.8674,335.0,0.8674,entry_initial_normal_long
1,115,FARTCOIN,1.1390000000000233,-0.05834360000000001,1001.0225406000001,0.0,1001.0225406000001,1.0,-335.0,0.8708,0.0,0.8674,close_trailing_long
2,174,FARTCOIN,0.0,-0.05817918,1000.96436142,0.0,1000.96436142,1.0,339.0,0.8581,339.0,0.8581,entry_initial_normal_long
3,193,FARTCOIN,0.779700000000027,-0.05833512000000001,1001.6857263,0.0,1001.6857263,1.0,-339.0,0.8604,0.0,0.8581,close_trailing_long
4,197,FARTCOIN,0.0,-0.0581944,1001.6275319,0.0,1001.6275319,1.0,340.0,0.8558,340.0,0.8558,entry_initial_normal_long
5,205,FARTCOIN,1.155999999999986,-0.0584256,1002.7251063,0.0,1002.7251063,1.0,-340.0,0.8592,0.0,0.8558,close_trailing_long
6,206,FARTCOIN,0.0,-0.058311,1002.6667953,0.0,1002.6667953,1.0,341.0,0.855,341.0,0.855,entry_initial_normal_long
7,220,FARTCOIN,2.046000000000002,-0.0587202,1004.6540751,0.0,1004.6540751,1.0,-341.0,0.861,0.0,0.855,close_trailing_long
8,243,FARTCOIN,0.0,-0.058331520000000005,1004.59574358,0.0,1004.59574358,1.0,342.0,0.8528,342.0,0.8528,entry_initial_normal_long
9,265,FARTCOIN,-0.2394000000000116,-0.058283640000000005,1004.2980599399999,0.0,1004.2980599399999,1.0,-342.0,0.8521,0.0,0.8528,close_trailing_long
10,309,FARTCOIN,0.0,-0.05838368000000001,1004.2396762599999,0.0,1004.2396762599999,1.0,344.0,0.8486,344.0,0.8486,entry_initial_normal_long
11,343,FARTCOIN,1.6167999999999747,-0.058707039999999995,1005.7977692199999,0.0,1005.7977692199999,1.0,-344.0,0.8533,0.0,0.8486,close_trailing_long
12,362,FARTCOIN,0.0,-0.05839788,1005.7393713399998,0.0,1005.7393713399998,1.0,346.0,0.8439,346.0,0.8439,entry_initial_normal_long
13,379,FARTCOIN,-0.5189999999999813,-0.05829408000000001,1005.1620772599998,0.0,1005.1620772599998,1.0,-346.0,0.8424,0.0,0.8439,close_trailing_long
