,balance,equity,balance_btc,equity_btc
0,1001.68795508,1000.0,0.0,0.0
60,1001.68795508,1000.0,0.0,0.0
120,1001.59184788,1001.68795508,0.0,0.0
180,1007.6919522800001,1000.91984788,0.0,-0.6719999999999882
240,1007.1017166200002,1007.6919522800001,0.0,0.0
300,1009.5823404000001,1007.1017166200002,0.0,0.0
360,1008.4309461600002,1009.5823404000001,0.0,0.0
420,1013.5081041600002,1011.4209461600002,0.0,2.98999999999999
480,1019.9000345400002,1013.5081041600002,0.0,0.0
540,1019.9000345400002,1019.9000345400002,0.0,0.0
600,1022.8201719000001,1019.9000345400002,0.0,0.0
660,1022.7220778400001,1022.8201719000001,0.0,0.0
720,1032.50264136,1018.9861778400001,0.0,-3.7358999999999836
780,1032.50264136,1032.50264136,0.0,0.0
840,1032.50264136,1032.50264136,0.0,0.0
900,1032.50264136,1032.50264136,0.0,0.0
960,1032.50264136,1032.50264136,0.0,0.0
1020,1032.50264136,1032.50264136,0.0,0.0
1080,1032.4035501600001,1032.50264136,0.0,0.0
1140,1040.7787637600002,1044.1035501600002,0.0,11.699999999999982
1200,1040.7787637600002,1040.7787637600002,0.0,0.0
1260,1040.7787637600002,1040.7787637600002,0.0,0.0
1320,1040.6788112000002,1040.7787637600002,0.0,0.0
1380,1040.2181357600002,1040.4178112000002,0.0,-0.2610000000000292
1440,1039.2311381600002,1032.3359357600002,0.0,-7.882200000000001
1500,1039.2311381600002,1039.2311381600002,0.0,0.0
1560,1039.2311381600002,1039.2311381600002,0.0,0.0
1620,1039.2311381600002,1039.2311381600002,0.0,0.0
1680,1039.2311381600002,1039.2311381600002,0.0,0.0
1740,1039.2311381600002,1039.2311381600002,0.0,0.0
1800,1039.2311381600002,1039.2311381600002,0.0,0.0
1860,1039.2311381600002,1039.2311381600002,0.0,0.0
1920,1039.1313690200002,1039.2311381600002,0.0,0.0
1980,1039.1313690200002,1040.6844690200003,0.0,1.5530999999999957
2040,1039.1313690200002,1033.6704690200002,0.0,-5.46090000000001
2100,1041.6362788400002,1030.3638690200003,0.0,-8.767500000000036
2160,1041.6362788400002,1041.6362788400002,0.0,0.0
2220,1041.5362340400002,1041.6362788400002,0.0,0.0
2280,1041.5362340400002,1029.3506340400002,0.0,-12.185599999999965
2340,1041.5362340400002,1037.49143404,0.0,-4.044800000000009
2400,1041.5362340400002,1028.8386340400002,0.0,-12.697599999999966
2460,1041.5362340400002,1008.3586340400002,0.0,-33.177599999999984
2520,1041.5362340400002,1016.5506340400002,0.0,-24.985599999999977
2580,1041.5362340400002,1007.6418340400003,0.0,-33.89439999999996
2640,1039.5053454800002,1026.6370340400001,0.0,-14.899200000000008
2700,1039.5053454800002,1039.5053454800002,0.0,0.0
2760,1039.5053454800002,1039.5053454800002,0.0,0.0
2820,1039.5053454800002,1039.5053454800002,0.0,0.0
2880,1039.5053454800002,1039.5053454800002,0.0,0.0
2940,1039.5053454800002,1039.5053454800002,0.0,0.0
3000,1039.5053454800002,1039.5053454800002,0.0,0.0
3060,1039.5053454800002,1039.5053454800002,0.0,0.0
3120,1039.5053454800002,1039.5053454800002,0.0,0.0
3180,1039.5053454800002,1039.5053454800002,0.0,0.0
3240,1039.5053454800002,1039.5053454800002,0.0,0.0
3300,1039.5053454800002,1039.5053454800002,0.0,0.0
3360,1039.5053454800002,1039.5053454800002,0.0,0.0
3420,1039.5053454800002,1039.5053454800002,0.0,0.0
3480,1039.5053454800002,1039.5053454800002,0.0,0.0
3540,1039.5053454800002,1039.5053454800002,0.0,0.0
3600,1039.5053454800002,1039.5053454800002,0.0,0.0
3660,1039.5053454800002,1039.5053454800002,0.0,0.0
3720,1039.5053454800002,1039.5053454800002,0.0,0.0
3780,1039.5053454800002,1039.5053454800002,0.0,0.0
3840,1039.3803308000001,1039.5053454800002,0.0,0.0
3900,1054.5280159999998,1038.1990025000002,0.0,-1.0816999999999637
3960,1054.8194990599998,1050.272016,0.0,-4.255999999999953
4020,1055.6324692399999,1043.6942990599998,0.0,-11.125199999999959
4080,1055.6324692399999,1055.6324692399999,0.0,0.0
4140,1054.4190552599998,1055.6324692399999,0.0,0.0
4200,1053.4587602199997,1053.0167552599999,0.0,-1.4023000000000139
4260,1066.2378002999997,1034.3571602199997,0.0,-19.1016
4320,1066.2378002999997,1066.2378002999997,0.0,0.0
4380,1069.3813624999996,1066.2378002999997,0.0,0.0
4440,1080.2805100999997,1070.0887624999996,0.0,0.7074000000000094
4500,1080.2805100999997,1080.2805100999997,0.0,0.0
4560,1080.2805100999997,1080.2805100999997,0.0,0.0
4620,1080.2805100999997,1080.2805100999997,0.0,0.0
4680,1080.1767816799997,1080.2805100999997,0.0,0.0
4740,1080.1767816799997,1079.7051816799997,0.0,-0.4716000000000353
4800,1081.1339410399996,1072.8669816799998,0.0,-7.309800000000068
4860,1081.1339410399996,1081.1339410399996,0.0,0.0
4920,1081.1339410399996,1081.1339410399996,0.0,0.0
4980,1081.1339410399996,1081.1339410399996,0.0,0.0
5040,1081.1339410399996,1081.1339410399996,0.0,0.0
5100,1081.1339410399996,1081.1339410399996,0.0,0.0
5160,1081.1339410399996,1081.1339410399996,0.0,0.0
5220,1081.1339410399996,1081.1339410399996,0.0,0.0
