,balance,equity,balance_btc,equity_btc
0,1003.42687488,1000.0,0.0,0.0
60,1003.42687488,1000.0,0.0,0.0
120,1003.35331048,1003.42687488,0.0,0.0
180,1008.346000376,1003.74031048,0.0,0.3869999999999574
240,1009.310066386,1008.346000376,0.0,0.0
300,1010.2528736739999,1009.310066386,0.0,0.0
360,1010.600981502,1010.2528736739999,0.0,0.0
420,1012.123964002,1012.2726015019999,0.0,1.6716200000000112
480,1016.2518335539999,1012.656164002,0.0,0.5321999999999907
540,1017.3550184899999,1016.2518335539999,0.0,0.0
600,1019.7169450699998,1017.3550184899999,0.0,0.0
660,1020.0801247099998,1019.7169450699998,0.0,0.0
720,1020.5488347499999,1017.4980247099999,0.0,-2.5821000000000174
780,1020.5488347499999,1020.5488347499999,0.0,0.0
840,1020.5488347499999,1020.5488347499999,0.0,0.0
900,1020.5488347499999,1020.5488347499999,0.0,0.0
960,1020.5488347499999,1020.5488347499999,0.0,0.0
1020,1020.5488347499999,1020.5488347499999,0.0,0.0
1080,1020.5488347499999,1020.5488347499999,0.0,0.0
1140,1020.5488347499999,1020.5488347499999,0.0,0.0
1200,1020.5488347499999,1020.5488347499999,0.0,0.0
1260,1020.5488347499999,1020.5488347499999,0.0,0.0
1320,1020.5488347499999,1020.5488347499999,0.0,0.0
1380,1025.004595144,1020.5488347499999,0.0,0.0
1440,1026.3752758839998,1026.9327551439999,0.0,1.9281600000000105
1500,1026.3752758839998,1026.3752758839998,0.0,0.0
1560,1026.3752758839998,1026.3752758839998,0.0,0.0
1620,1026.3752758839998,1026.3752758839998,0.0,0.0
1680,1026.3752758839998,1026.3752758839998,0.0,0.0
1740,1026.3752758839998,1026.3752758839998,0.0,0.0
1800,1026.3752758839998,1026.3752758839998,0.0,0.0
1860,1026.3752758839998,1026.3752758839998,0.0,0.0
1920,1026.3752758839998,1026.3752758839998,0.0,0.0
1980,1030.5015217280002,1026.3752758839998,0.0,0.0
2040,1032.717338478,1030.5015217280002,0.0,0.0
2100,1032.717338478,1032.717338478,0.0,0.0
2160,1032.717338478,1032.717338478,0.0,0.0
2220,1032.6416276960001,1032.717338478,0.0,0.0
2280,1032.6416276960001,1025.1945376960002,0.0,-7.447090000000002
2340,1032.6416276960001,1031.3159676960001,0.0,-1.3256599999999839
2400,1032.6416276960001,1024.804637696,0.0,-7.836990000000002
2460,1032.6416276960001,1009.6765176960001,0.0,-22.96510999999998
2520,1032.6416276960001,1015.3690576960001,0.0,-17.27257
2580,1032.6416276960001,1008.7407576960001,0.0,-23.90087000000001
2640,1033.0607363431852,1023.0890776960001,0.0,-9.552549999999986
2700,1036.644417648,1036.644417648,0.0,0.0
2760,1036.644417648,1036.644417648,0.0,0.0
2820,1036.644417648,1036.644417648,0.0,0.0
2880,1036.644417648,1036.644417648,0.0,0.0
2940,1036.644417648,1036.644417648,0.0,0.0
3000,1036.644417648,1036.644417648,0.0,0.0
3060,1036.644417648,1036.644417648,0.0,0.0
3120,1036.644417648,1036.644417648,0.0,0.0
3180,1036.644417648,1036.644417648,0.0,0.0
3240,1036.644417648,1036.644417648,0.0,0.0
3300,1036.644417648,1036.644417648,0.0,0.0
3360,1036.644417648,1036.644417648,0.0,0.0
3420,1036.644417648,1036.644417648,0.0,0.0
3480,1036.644417648,1036.644417648,0.0,0.0
3540,1036.644417648,1036.644417648,0.0,0.0
3600,1036.644417648,1036.644417648,0.0,0.0
3660,1036.644417648,1036.644417648,0.0,0.0
3720,1036.644417648,1036.644417648,0.0,0.0
3780,1036.644417648,1036.644417648,0.0,0.0
3840,1036.644417648,1036.644417648,0.0,0.0
3900,1036.644417648,1036.644417648,0.0,0.0
3960,1036.644417648,1036.644417648,0.0,0.0
4020,1038.526143736,1036.644417648,0.0,0.0
4080,1038.526143736,1038.526143736,0.0,0.0
4140,1038.526143736,1038.526143736,0.0,0.0
4200,1039.250974336,1038.526143736,0.0,0.0
4260,1047.9294559139998,1033.227534336,0.0,-6.023439999999986
4320,1047.9294559139998,1047.9294559139998,0.0,0.0
4380,1054.5736208139997,1047.9294559139998,0.0,0.0
4440,1057.5473926139998,1054.5736208139997,0.0,0.0
4500,1057.5473926139998,1057.5473926139998,0.0,0.0
4560,1057.5473926139998,1057.5473926139998,0.0,0.0
4620,1057.5473926139998,1057.5473926139998,0.0,0.0
4680,1058.3107028959998,1057.5473926139998,0.0,0.0
4740,1060.291462086,1058.3107028959998,0.0,0.0
4800,1064.4402152399998,1058.6243420859998,0.0,-1.6671200000000146
4860,1064.4402152399998,1064.4402152399998,0.0,0.0
4920,1064.4402152399998,1064.4402152399998,0.0,0.0
4980,1064.4402152399998,1064.4402152399998,0.0,0.0
5040,1064.4402152399998,1064.4402152399998,0.0,0.0
5100,1064.4402152399998,1064.4402152399998,0.0,0.0
5160,1064.4402152399998,1064.4402152399998,0.0,0.0
5220,1064.4402152399998,1064.4402152399998,0.0,0.0
5280,1064.4402152399998,1064.4402152399998,0.0,0.0
5340,1064.4402152399998,1064.4402152399998,0.0,0.0
5400,1064.4402152399998,1064.4402152399998,0.0,0.0
5460,1064.4402152399998,1064.4402152399998,0.0,0.0
5520,1064.4402152399998,1064.4402152399998,0.0,0.0
5580,1064.4402152399998,1064.4402152399998,0.0,0.0
5640,1064.4402152399998,1064.4402152399998,0.0,0.0
5700,1064.4402152399998,1064.4402152399998,0.0,0.0
5760,1064.4402152399998,1064.4402152399998,0.0,0.0
5820,1064.4402152399998,1064.4402152399998,0.0,0.0
5880,1064.4402152399998,1064.4402152399998,0.0,0.0
5940,1064.4402152399998,1064.4402152399998,0.0,0.0
6000,1064.4402152399998,1064.4402152399998,0.0,0.0
6060,1064.4402152399998,1064.4402152399998,0.0,0.0
6120,1066.1639825999998,1064.4402152399998,0.0,0.0
6180,1067.2530968719998,1066.1639825999998,0.0,0.0
6240,1072.350188788,1067.2530968719998,0.0,0.0
6300,1072.350188788,1072.350188788,0.0,0.0
6360,1073.347756788,1072.350188788,0.0,0.0
6420,1073.347756788,1073.347756788,0.0,0.0
6480,1074.4948499559998,1073.347756788,0.0,0.0
6540,1074.4948499559998,1074.4948499559998,0.0,0.0
6600,1074.4948499559998,1074.4948499559998,0.0,0.0
6660,1074.4948499559998,1074.4948499559998,0.0,0.0
6720,1075.1488471799998,1074.4948499559998,0.0,0.0
6780,1075.1488471799998,1074.9536871799999,0.0,-0.19515999999997852
6840,1075.1488471799998,1069.6286071799998,0.0,-5.520240000000011
6900,1076.7424902839998,1072.8348071799999,0.0,-2.3140399999999928
6960,1076.7424902839998,1076.7424902839998,0.0,0.0
7020,1076.7424902839998,1076.7424902839998,0.0,0.0
7080,1076.7424902839998,1076.7424902839998,0.0,0.0
7140,1076.7424902839998,1076.7424902839998,0.0,0.0
7200,1076.7424902839998,1076.7424902839998,0.0,0.0
7260,1076.6635468739998,1076.7424902839998,0.0,0.0
7320,1079.5109990479998,1077.179834394,0.0,0.0
7380,1079.5109990479998,1079.5109990479998,0.0,0.0
7440,1079.4318731479998,1079.5109990479998,0.0,0.0
7500,1079.4318731479998,1075.9591731479998,0.0,-3.4726999999999997
7560,1079.4318731479998,1069.3581731479997,0.0,-10.073700000000038
7620,1079.4318731479998,1067.5213731479998,0.0,-11.910500000000027
7680,1079.4318731479998,1064.7374731479997,0.0,-14.694400000000039
7740,1079.4318731479998,1061.9535731479998,0.0,-17.478299999999987
7800,1079.4318731479998,1066.4020731479998,0.0,-13.02980000000003
7860,1079.4318731479998,1063.1302731479998,0.0,-16.30159999999999
7920,1079.4318731479998,1066.2872731479997,0.0,-13.144600000000018
7980,1079.4318731479998,1055.5534731479997,0.0,-23.878400000000045
8040,1079.4318731479998,1056.8736731479999,0.0,-22.5582
8100,1079.4318731479998,1057.4476731479997,0.0,-21.9842
8160,1079.4318731479998,1054.2045731479998,0.0,-25.227300000000024
8220,1079.4318731479998,1050.5309731479997,0.0,-28.900900000000004
8280,1079.4318731479998,1046.4842731479998,0.0,-32.9476
8340,1079.4318731479998,1043.7003731479997,0.0,-35.73150000000002
