,balance,equity,balance_btc,equity_btc
0,1001.42821756,1000.0,0.0,0.0
60,1001.42821756,1000.0,0.0,0.0
120,1001.42821756,1001.42821756,0.0,0.0
180,1001.42821756,1001.42821756,0.0,0.0
240,1001.42821756,1001.42821756,0.0,0.0
300,1001.0385394,1001.42821756,0.0,0.0
360,1001.0385394,1001.0385394,0.0,0.0
420,1001.0385394,1001.0385394,0.0,0.0
480,1001.0385394,1001.0385394,0.0,0.0
540,1001.0385394,1001.0385394,0.0,0.0
600,1001.0385394,1001.0385394,0.0,0.0
660,1003.80204924,1001.0385394,0.0,0.0
720,1003.80204924,1003.80204924,0.0,0.0
780,1003.80204924,1003.80204924,0.0,0.0
840,1003.80204924,1003.80204924,0.0,0.0
900,1003.80204924,1003.80204924,0.0,0.0
960,1003.80204924,1003.80204924,0.0,0.0
1020,1003.73216124,1003.80204924,0.0,0.0
1080,1004.32720784,998.58716124,0.0,-5.144999999999977
1140,1004.00813928,1001.94200784,0.0,-2.385200000000014
1200,1004.00813928,1004.00813928,0.0,0.0
1260,1004.00813928,1004.00813928,0.0,0.0
1320,1003.93812498,1004.00813928,0.0,0.0
1380,1005.0577149200001,1003.13512498,0.0,-0.8029999999999926
1440,1013.57348492,1007.7202149200001,0.0,2.6624999999999983
1500,1013.57348492,1013.57348492,0.0,0.0
1560,1013.57348492,1013.57348492,0.0,0.0
1620,1013.57348492,1013.57348492,0.0,0.0
1680,1013.57348492,1013.57348492,0.0,0.0
1740,1013.57348492,1013.57348492,0.0,0.0
1800,1013.57348492,1013.57348492,0.0,0.0
1860,1013.57348492,1013.57348492,0.0,0.0
1920,1013.57348492,1013.57348492,0.0,0.0
1980,1013.5028014000001,1013.57348492,0.0,0.0
2040,1013.5028014000001,1012.6436014000001,0.0,-0.8591999999999849
2100,1019.37372932,1010.2808014000001,0.0,-3.222000000000003
2160,1019.37372932,1019.37372932,0.0,0.0
2220,1019.3027368400001,1019.37372932,0.0,0.0
2280,1019.3027368400001,1014.1647368400002,0.0,-5.1379999999999635
2340,1019.3027368400001,1020.0000368400001,0.0,0.6973000000000047
2400,1019.3027368400001,1013.7977368400001,0.0,-5.504999999999964
2460,1019.3027368400001,999.1177368400001,0.0,-20.184999999999977
2520,1019.3027368400001,1004.9897368400001,0.0,-14.312999999999972
2580,1019.3027368400001,998.6039368400001,0.0,-20.698799999999963
2640,1020.1619523618182,1012.2196368400001,0.0,-7.083099999999994
2700,1027.6167088,1024.15285918,0.0,3.9909068181818017
2760,1027.6167088,1027.6167088,0.0,0.0
2820,1027.6167088,1027.6167088,0.0,0.0
2880,1027.6167088,1027.6167088,0.0,0.0
2940,1027.6167088,1027.6167088,0.0,0.0
3000,1027.6167088,1027.6167088,0.0,0.0
3060,1027.6167088,1027.6167088,0.0,0.0
3120,1027.6167088,1027.6167088,0.0,0.0
3180,1027.6167088,1027.6167088,0.0,0.0
3240,1027.6167088,1027.6167088,0.0,0.0
3300,1027.6167088,1027.6167088,0.0,0.0
3360,1027.6167088,1027.6167088,0.0,0.0
3420,1027.6167088,1027.6167088,0.0,0.0
