,balance,equity,balance_btc,equity_btc
0,1003.200892556,1000.0,0.0,0.0
60,1003.200892556,996.277472556,0.0,-6.923419999999987
120,1004.339585698,994.357532556,0.0,-8.843359999999956
180,1004.1984475979999,1004.339585698,0.0,0.0
240,1004.1984475979999,1001.3270475979998,0.0,-2.871400000000074
300,1004.1984475979999,995.0861475979999,0.0,-9.1123
360,1004.1984475979999,985.7101475979999,0.0,-18.488300000000006
420,1004.1984475979999,984.4209475979999,0.0,-19.77750000000002
480,1004.1984475979999,985.651547598,0.0,-18.546899999999976
540,1004.1984475979999,981.051447598,0.0,-23.146999999999977
600,1004.1984475979999,986.7649475979998,0.0,-17.43350000000007
660,1004.1984475979999,996.4046475979999,0.0,-7.7938000000000525
720,1005.9614285979999,1002.7041475979998,0.0,-1.4943000000000566
780,1005.9614285979999,1005.9614285979999,0.0,0.0
840,1005.9614285979999,1005.9614285979999,0.0,0.0
900,1006.8208190899999,1005.9614285979999,0.0,0.0
960,1007.8230464459999,1002.1265190899999,0.0,-4.694300000000001
1020,1007.8230464459999,1000.0933664459999,0.0,-7.7296799999999735
1080,1009.628364142,1003.868326446,0.0,-3.954719999999937
1140,1009.628364142,1009.628364142,0.0,0.0
1200,1009.628364142,1009.628364142,0.0,0.0
1260,1009.628364142,1009.628364142,0.0,0.0
1320,1009.628364142,1009.628364142,0.0,0.0
1380,1009.628364142,1009.628364142,0.0,0.0
1440,1009.628364142,1009.628364142,0.0,0.0
1500,1009.628364142,1009.628364142,0.0,0.0
1560,1009.628364142,1009.628364142,0.0,0.0
1620,1009.628364142,1009.628364142,0.0,0.0
1680,1009.628364142,1009.628364142,0.0,0.0
1740,1009.628364142,1009.628364142,0.0,0.0
1800,1009.628364142,1009.628364142,0.0,0.0
1860,1009.628364142,1009.628364142,0.0,0.0
1920,1009.486466422,1009.628364142,0.0,0.0
1980,1013.4414539060001,1012.6666164220001,0.0,3.1801500000000185
2040,1014.56632861,1016.319453906,0.0,2.877999999999939
2100,1016.326791426,1015.97948861,0.0,1.4131599999999853
2160,1016.326791426,1016.326791426,0.0,0.0
2220,1016.326791426,1016.326791426,0.0,0.0
2280,1018.4071356659999,1016.326791426,0.0,0.0
2340,1026.4828831819998,1018.4071356659999,0.0,0.0
2400,1039.44375903,1026.4828831819998,0.0,0.0
2460,1043.7322547319998,1040.8335490299999,0.0,1.3897900000000176
2520,1043.5855770519997,1043.7322547319998,0.0,0.0
2580,1043.5855770519997,1044.0614170519996,0.0,0.4758399999999476
2640,1043.5855770519997,1038.6189970519997,0.0,-4.9665800000000475
2700,1043.5855770519997,1040.5223570519997,0.0,-3.0632200000000456
2760,1043.5855770519997,1039.3030170519996,0.0,-4.282560000000056
2820,1046.5030775939997,1039.1840570519998,0.0,-4.401519999999991
