,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,26582,BTC,0.0,-0.054049120000000006,999.94595088,0.0,999.94595088,1.0,0.031,8717.6,0.031,8717.6,entry_initial_normal_long
1,26582,ETH,0.0,-0.053797500000000005,999.8921533800001,0.0,999.8921533800001,1.0,1.594,168.75,1.594,168.75,entry_initial_normal_long
2,27232,BTC,0.1918900000000158,-0.054087498000000005,1000.0299558820001,0.0,1000.0299558820001,1.0,-0.031,8723.79,0.0,8717.6,close_trailing_long
3,30064,ETH,1.1999500000000014,-0.03955874,1001.1903471420001,0.0,1001.1903471420001,1.0,-1.165,169.78,0.429,168.75,close_trailing_long
4,30077,ETH,0.22308000000000439,-0.014523366000000003,1001.3989037760001,0.0,1001.3989037760001,1.0,-0.429,169.27,0.0,168.75,close_trailing_long
5,52669,XRP,0.0,-0.05387811000000001,1001.3450256660001,0.0,1001.3450256660001,1.0,991.5,0.2717,991.5,0.2717,entry_initial_normal_long
6,52672,XRP,1.4484000000000015,-0.039642708000000006,1002.7537829580001,0.0,1002.7537829580001,1.0,-724.2,0.2737,267.3,0.2717,close_trailing_long
7,52678,XRP,1.122659999999995,-0.014749614000000001,1003.8616933440001,0.0,1003.8616933440001,1.0,-267.3,0.2759,0.0,0.2717,close_trailing_long
8,62410,BNB,0.0,-0.05400800000000001,1003.8076853440001,0.0,1003.8076853440001,1.0,10.75,25.12,10.75,25.12,entry_initial_normal_long
9,62410,XRP,0.0,-0.054012744,1003.7536726000001,0.0,1003.7536726000001,1.0,866.7,0.3116,866.7,0.3116,entry_initial_normal_long
10,62412,ETH,0.0,-0.05398209599999999,1003.699690504,0.0,1003.699690504,1.0,1.041,259.28,1.041,259.28,entry_initial_normal_long
11,62413,BNB,1.8706799999999966,-0.039862776,1005.5305077280001,0.0,1005.5305077280001,1.0,-7.86,25.358,2.89,25.12,close_trailing_long
12,62414,BNB,0.0,-0.0091,1005.5214077280001,0.0,1005.5214077280001,1.0,1.82,25.0,4.71,25.07363057324841,entry_initial_partial_long
13,62418,ETH,1.9583400000000382,-0.03990594000000001,1007.4398417880002,0.0,1007.4398417880002,1.0,-0.762,261.85,0.279,259.28,close_trailing_long
14,62421,BNB,0.939029999999995,-0.023807166,1008.3550646220002,0.0,1008.3550646220002,1.0,-4.71,25.273,0.0,25.07363057324841,close_trailing_long
15,62423,ETH,0.7784100000000058,-0.014623506000000001,1009.1188511160002,0.0,1009.1188511160002,1.0,-0.279,262.07,0.0,259.28,close_trailing_long
