,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,3668,BTC,0.0,-0.06635096,999.93364904,0.0,999.93364904,1.0,0.052,6379.9,0.052,6379.9,entry_initial_normal_long
1,7499,BTC,0.4134000000000142,-0.049845900000000005,1000.29720314,0.0,1000.29720314,1.0,-0.039,6390.5,0.013,6379.9,close_trailing_long
2,7783,BTC,0.8593000000000047,-0.0167596,1001.1397435399999,0.0,1001.1397435399999,1.0,-0.013,6446.0,0.0,6379.9,close_trailing_long
3,26755,BTC,0.0,-0.066557,1001.0731865399999,0.0,1001.0731865399999,1.0,0.05,6655.7,0.05,6655.7,entry_initial_normal_long
4,26774,BTC,0.7881000000000067,-0.0494098,1001.8118767399999,0.0,1001.8118767399999,1.0,-0.037,6677.0,0.013,6655.7,close_trailing_long
5,26782,BTC,0.6734000000000023,-0.0174395,1002.4678372399999,0.0,1002.4678372399999,1.0,-0.013,6707.5,0.0,6655.7,close_trailing_long
6,51804,BTC,0.0,-0.06729138000000001,1002.4005458599999,0.0,1002.4005458599999,1.0,0.039,8627.1,0.039,8627.1,entry_initial_normal_long
7,51809,BTC,2.3895999999999895,-0.0505151,1004.7396307599998,0.0,1004.7396307599998,1.0,-0.029,8709.5,0.01,8627.1,close_trailing_long
8,51814,BTC,0.7289999999999964,-0.017400000000000002,1005.4512307599998,0.0,1005.4512307599998,1.0,-0.01,8700.0,0.0,8627.1,close_trailing_long
9,65619,BTC,0.0,-0.06624072,1005.3849900399998,0.0,1005.3849900399998,1.0,0.036,9200.1,0.036,9200.1,entry_initial_normal_long
10,71127,BTC,0.0027000000000098226,-0.04968108,1005.3380089599998,0.0,1005.3380089599998,1.0,-0.027,9200.2,0.009,9200.1,close_trailing_long
11,71131,BTC,0.2420999999999967,-0.016608599999999998,1005.5635003599998,0.0,1005.5635003599998,1.0,-0.009,9227.0,0.0,9200.1,close_trailing_long
12,72957,BTC,0.0,-0.06713424,1005.4963661199998,0.0,1005.4963661199998,1.0,0.036,9324.2,0.036,9324.2,entry_initial_normal_long
13,72964,BTC,2.57309999999998,-0.0508653,1008.0186008199998,0.0,1008.0186008199998,1.0,-0.027,9419.5,0.009,9324.2,close_trailing_long
14,72974,BTC,1.4561999999999933,-0.0170748,1009.4577260199999,0.0,1009.4577260199999,1.0,-0.009,9486.0,0.0,9324.2,close_trailing_long
15,99611,BTC,0.0,-0.06628096000000001,1009.3914450599999,0.0,1009.3914450599999,1.0,0.034,9747.2,0.034,9747.2,entry_initial_normal_long
16,102404,BTC,0.0025999999999621647,-0.050685959999999995,1009.3433590999998,0.0,1009.3433590999998,1.0,-0.026,9747.3,0.008,9747.2,close_trailing_long
17,102566,BTC,0.21439999999999418,-0.015638400000000004,1009.5421206999998,0.0,1009.5421206999998,1.0,-0.008,9774.0,0.0,9747.2,close_trailing_long
18,112703,BTC,0.0,-0.0676101,1009.4745105999998,0.0,1009.4745105999998,1.0,0.037,9136.5,0.037,9136.5,entry_initial_normal_long
19,112710,BTC,3.0105,-0.0499392,1012.4350713999999,0.0,1012.4350713999999,1.0,-0.027,9248.0,0.01,9136.5,close_trailing_long
20,112723,BTC,1.375,-0.018548,1013.7915233999998,0.0,1013.7915233999998,1.0,-0.01,9274.0,0.0,9136.5,close_trailing_long
21,186842,BTC,0.0,-0.06660024,1013.7249231599999,0.0,1013.7249231599999,1.0,0.029,11482.8,0.029,11482.8,entry_initial_normal_long
22,191661,BTC,1.0494000000000159,-0.0507342,1014.7235889599999,0.0,1014.7235889599999,1.0,-0.022,11530.5,0.007,11482.8,close_trailing_long
23,191678,BTC,0.44940000000000513,-0.0161658,1015.1568231599999,0.0,1015.1568231599999,1.0,-0.007,11547.0,0.0,11482.8,close_trailing_long
24,198714,BTC,0.0,-0.06669884,1015.09012432,0.0,1015.09012432,1.0,0.029,11499.8,0.029,11499.8,entry_initial_normal_long
25,198861,BTC,8.320400000000015,-0.052263199999999996,1023.35826112,0.0,1023.35826112,1.0,-0.022,11878.0,0.007,11499.8,close_trailing_long
26,198967,BTC,2.8224000000000053,-0.0166642,1026.16399692,0.0,1026.16399692,1.0,-0.007,11903.0,0.0,11499.8,close_trailing_long
27,233390,BTC,0.0,-0.06888448000000001,1026.09511244,0.0,1026.09511244,1.0,0.032,10763.2,0.032,10763.2,entry_initial_normal_long
28,233393,BTC,0.4151999999999825,-0.051746400000000005,1026.45856604,0.0,1026.45856604,1.0,-0.024,10780.5,0.008,10763.2,close_trailing_long
29,233398,BTC,0.6983999999999942,-0.017360800000000003,1027.13960524,0.0,1027.13960524,1.0,-0.008,10850.5,0.0,10763.2,close_trailing_long
30,234053,BTC,0.0,-0.06753846000000001,1027.0720667800001,0.0,1027.0720667800001,1.0,0.033,10233.1,0.033,10233.1,entry_initial_normal_long
31,234103,BTC,0.772499999999991,-0.051320000000000005,1027.7932467800001,0.0,1027.7932467800001,1.0,-0.025,10264.0,0.008,10233.1,close_trailing_long
32,234113,BTC,0.4031999999999971,-0.016453600000000002,1028.17999318,0.0,1028.17999318,1.0,-0.008,10283.5,0.0,10233.1,close_trailing_long
33,234976,BTC,0.0,-0.06751448,1028.1124787,0.0,1028.1124787,1.0,0.034,9928.6,0.034,9928.6,entry_initial_normal_long
34,234978,BTC,4.65139999999999,-0.05255900000000001,1032.7113197,0.0,1032.7113197,1.0,-0.026,10107.5,0.008,9928.6,close_trailing_long
35,234983,BTC,2.7951999999999972,-0.016444800000000002,1035.4900749,0.0,1035.4900749,1.0,-0.008,10278.0,0.0,9928.6,close_trailing_long
36,327382,ETH,0.0,-0.06920802000000001,1035.4208668800002,0.0,1035.4208668800002,1.0,0.81,427.21,0.81,427.21,entry_initial_normal_long
37,327384,ETH,3.7995999999999985,-0.0511707,1039.1692961800002,0.0,1039.1692961800002,1.0,-0.59,433.65,0.22,427.21,close_trailing_long
38,327386,ETH,1.3617999999999995,-0.0190696,1040.51202658,0.0,1040.51202658,1.0,-0.22,433.4,0.0,427.21,close_trailing_long
39,342419,BTC,0.0,-0.06973480000000001,1040.44229178,0.0,1040.44229178,1.0,0.02,17433.7,0.02,17433.7,entry_initial_normal_long
40,342419,ETH,0.0,-0.0689047,1040.37338708,0.0,1040.37338708,1.0,0.73,471.95,0.73,471.95,entry_initial_normal_long
41,342421,BTC,4.691999999999989,-0.0532395,1045.01214758,0.0,1045.01214758,1.0,-0.015,17746.5,0.005,17433.7,close_trailing_long
