,balance,equity,balance_btc,equity_btc
0,1000.0236274379998,1000.0,0.0,0.0
60,1000.0236274379998,1000.0,0.0,0.0
120,1000.0236274379998,1000.0,0.0,0.0
180,1006.0293667259998,999.9270974379998,0.0,-0.09652999999999862
240,1006.0293667259998,1006.0293667259998,0.0,0.0
300,1006.0251920699998,1006.0293667259998,0.0,0.0
360,1009.484105545565,1006.0364120699998,0.0,0.011219999999999897
420,1012.0600124559996,1012.2653021759998,0.0,2.781196630434758
480,1012.0600124559996,1012.0600124559996,0.0,0.0
540,1012.0600124559996,1012.0600124559996,0.0,0.0
600,1012.0600124559996,1012.0600124559996,0.0,0.0
660,1012.0558640559997,1012.0600124559996,0.0,0.0
720,1012.1446970559997,1012.1446970559997,0.0,0.0
780,1012.1405353559996,1012.1446970559997,0.0,0.0
840,1012.1258757559997,1012.0870353559997,0.0,-0.053499999999997994
900,1012.3513258459997,1012.1258757559997,0.0,0.0
960,1012.3513258459997,1012.3513258459997,0.0,0.0
1020,1012.3513258459997,1012.3513258459997,0.0,0.0
1080,1012.3513258459997,1012.3513258459997,0.0,0.0
1140,1012.3513258459997,1012.3513258459997,0.0,0.0
1200,1012.4648602459996,1012.3513258459997,0.0,0.0
1260,1012.4648602459996,1012.4648602459996,0.0,0.0
1320,1012.4648602459996,1012.4648602459996,0.0,0.0
1380,1012.4470601959996,1012.4648602459996,0.0,0.0
1440,1014.2847379139996,1012.7148101959996,0.0,0.2677499999999955
1500,1014.4575101039997,1014.2332279139996,0.0,-0.051510000000000555
1560,1014.4575101039997,1014.4575101039997,0.0,0.0
1620,1014.4594332719997,1014.4730516559997,0.0,0.019760000000002442
1680,1014.5664939919998,1014.3003132719997,0.0,-0.15911999999999749
1740,1014.5664939919998,1014.5664939919998,0.0,0.0
1800,1014.5664939919998,1014.5664939919998,0.0,0.0
1860,1014.6495034279998,1014.5664939919998,0.0,0.0
1920,1017.3340150879999,1014.2020934279998,0.0,-0.4474100000000094
1980,1017.3340150879999,1017.3340150879999,0.0,0.0
2040,1017.3340150879999,1017.3340150879999,0.0,0.0
2100,1017.3340150879999,1017.3340150879999,0.0,0.0
2160,1017.3297804079999,1017.3340150879999,0.0,0.0
2220,1017.552515936,1017.642980408,0.0,0.3131999999999985
2280,1017.3420376694332,1017.552515936,0.0,0.0
2340,1017.5524261099999,1017.3943589219999,0.0,0.05232125256672909
2400,1017.5524261099999,1017.5524261099999,0.0,0.0
2460,1017.5524261099999,1017.5524261099999,0.0,0.0
2520,1017.8366145019999,1017.5524261099999,0.0,0.0
2580,1017.862417622,1017.6854145019998,0.0,-0.151200000000002
2640,1021.558018294,1017.9396976219999,0.0,0.07727999999999957
2700,1021.58209015,1021.558018294,0.0,0.0
2760,1021.68389987,1021.58209015,0.0,0.0
2820,1021.68389987,1021.68389987,0.0,0.0
2880,1021.679667328,1021.68389987,0.0,0.0
2940,1021.65864377,1021.681923488,0.0,0.0
3000,1021.65864377,1021.65864377,0.0,0.0
3060,1021.65864377,1021.65864377,0.0,0.0
3120,1021.65864377,1021.65864377,0.0,0.0
3180,1021.65864377,1021.65864377,0.0,0.0
3240,1021.65864377,1021.65864377,0.0,0.0
3300,1021.65864377,1021.65864377,0.0,0.0
3360,1021.65864377,1021.65864377,0.0,0.0
3420,1021.65864377,1021.65864377,0.0,0.0
