,balance,equity,balance_btc,equity_btc
0,1000.37414963,1000.0,0.0,0.0
60,1000.37414963,1000.0,0.0,0.0
120,1000.37414963,1000.0,0.0,0.0
180,1003.4689317180001,1000.35790963,0.0,-0.016239999999999144
240,1003.4689317180001,1003.4689317180001,0.0,0.0
300,1003.4665634620002,1003.4689317180001,0.0,0.0
360,1005.9343578540002,1003.5007834620002,0.0,0.03421999999999881
420,1005.9343578540002,1005.9343578540002,0.0,0.0
480,1005.9343578540002,1005.9343578540002,0.0,0.0
540,1005.9343578540002,1005.9343578540002,0.0,0.0
600,1005.9343578540002,1005.9343578540002,0.0,0.0
660,1005.9576908140001,1005.9343578540002,0.0,0.0
720,1005.9576908140001,1005.9576908140001,0.0,0.0
780,1005.9724571180001,1005.9576908140001,0.0,0.0
840,1005.9972082780001,1005.9724571180001,0.0,0.0
900,1006.0142112680002,1005.9972082780001,0.0,0.0
960,1006.0142112680002,1006.0142112680002,0.0,0.0
1020,1006.0142112680002,1006.0142112680002,0.0,0.0
1080,1006.0142112680002,1006.0142112680002,0.0,0.0
1140,1006.0142112680002,1006.0142112680002,0.0,0.0
1200,1006.0212471080001,1006.0142112680002,0.0,0.0
1260,1006.0212471080001,1006.0212471080001,0.0,0.0
1320,1006.0212471080001,1006.0212471080001,0.0,0.0
1380,1006.8172439640002,1006.0212471080001,0.0,0.0
1440,1008.6124156440004,1007.0970439640002,0.0,0.2798000000000065
1500,1008.6124156440004,1008.6124156440004,0.0,0.0
1560,1008.6124156440004,1008.6124156440004,0.0,0.0
1620,1008.6239326460004,1008.6486385580005,0.0,0.03857000000000155
1680,1008.6445226460004,1008.6613426460004,0.0,0.03741000000000039
1740,1008.6445226460004,1008.6445226460004,0.0,0.0
1800,1008.6445226460004,1008.6445226460004,0.0,0.0
1860,1008.8330971220004,1008.6445226460004,0.0,0.0
1920,1008.8862898220003,1008.8480971220004,0.0,0.015000000000000013
1980,1008.8862898220003,1008.8862898220003,0.0,0.0
2040,1008.8862898220003,1008.8862898220003,0.0,0.0
2100,1008.8862898220003,1008.8862898220003,0.0,0.0
2160,1008.9127848620003,1008.8862898220003,0.0,0.0
2220,1008.9351102620003,1008.9127848620003,0.0,0.0
2280,1010.1546675180007,1008.9351102620003,0.0,0.0
2340,1010.1709200740007,1010.1072375180007,0.0,-0.04742999999999925
2400,1010.1709200740007,1010.1709200740007,0.0,0.0
2460,1010.1709200740007,1010.1709200740007,0.0,0.0
2520,1010.2143200740007,1010.1709200740007,0.0,0.0
2580,1010.2312208400007,1010.1368200740008,0.0,-0.07750000000000007
2640,1013.0531100480009,1010.2312208400007,0.0,0.0
2700,1013.060228676001,1013.0531100480009,0.0,0.0
2760,1013.1501712980009,1013.060228676001,0.0,0.0
2820,1013.1501712980009,1013.1501712980009,0.0,0.0
2880,1013.1501712980009,1013.1501712980009,0.0,0.0
2940,1013.195440048001,1013.1501712980009,0.0,0.0
3000,1013.195440048001,1013.195440048001,0.0,0.0
3060,1013.195440048001,1013.195440048001,0.0,0.0
3120,1013.195440048001,1013.195440048001,0.0,0.0
3180,1013.195440048001,1013.195440048001,0.0,0.0
3240,1013.195440048001,1013.195440048001,0.0,0.0
3300,1013.195440048001,1013.195440048001,0.0,0.0
3360,1013.195440048001,1013.195440048001,0.0,0.0
3420,1013.195440048001,1013.195440048001,0.0,0.0
3480,1013.195440048001,1013.195440048001,0.0,0.0
3540,1013.195440048001,1013.195440048001,0.0,0.0
3600,1013.5589298520011,1013.195440048001,0.0,0.0
3660,1013.6939696600012,1013.5589298520011,0.0,0.0
3720,1013.6939696600012,1013.6939696600012,0.0,0.0
3780,1013.6939696600012,1013.6939696600012,0.0,0.0
3840,1013.6939696600012,1013.6939696600012,0.0,0.0
3900,1013.6939696600012,1013.6939696600012,0.0,0.0
3960,1013.6939696600012,1013.6939696600012,0.0,0.0
4020,1013.6939696600012,1013.6939696600012,0.0,0.0
4080,1013.6939696600012,1013.6939696600012,0.0,0.0
4140,1013.6939696600012,1013.6939696600012,0.0,0.0
4200,1013.6939696600012,1013.6939696600012,0.0,0.0
4260,1013.8227171540012,1013.6939696600012,0.0,0.0
4320,1013.8298159700012,1013.8227171540012,0.0,0.0
4380,1014.362183318001,1013.8298159700012,0.0,0.0
4440,1014.362183318001,1014.362183318001,0.0,0.0
