,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,25054,ETH,0.0,-0.0394128,999.9605872,0.0,999.9605872,1.0,0.46,428.4,0.46,428.4,entry_initial_normal_long
1,25062,ETH,3.2660000000000107,-0.040066000000000004,1003.1865212,0.0,1003.1865212,1.0,-0.46,435.5,0.0,428.4,close_trailing_long
2,40092,ETH,0.0,-0.039721080000000006,1003.14680012,0.0,1003.14680012,1.0,0.42,472.87,0.42,472.87,entry_initial_normal_long
3,40096,ETH,2.0916000000000077,-0.040139400000000006,1005.19826072,0.0,1005.19826072,1.0,-0.42,477.85,0.0,472.87,close_trailing_long
4,40100,ETH,0.0,-0.03959256,1005.15866816,0.0,1005.15866816,1.0,0.42,471.34,0.42,471.34,entry_initial_normal_long
5,40103,ETH,0.0,-0.03852912,1005.12013904,0.0,1005.12013904,1.0,0.42,458.68,0.84,465.01,entry_grid_normal_long
6,40120,ETH,1.8395999999999981,-0.07848959999999999,1006.88124944,0.0,1006.88124944,1.0,-0.84,467.2,0.0,465.01,close_trailing_long
7,46229,ETH,0.0,-0.03911796000000001,1006.84213148,0.0,1006.84213148,1.0,0.38,514.71,0.38,514.71,entry_initial_normal_long
8,46263,ETH,3.8721999999999777,-0.0398924,1010.67443908,0.0,1010.67443908,1.0,-0.38,524.9,0.0,514.71,close_trailing_long
9,48766,ETH,0.0,-0.04026144000000001,1010.63417764,0.0,1010.63417764,1.0,0.34,592.08,0.34,592.08,entry_initial_normal_long
10,48785,ETH,5.276799999999994,-0.04131680000000001,1015.8696608399999,0.0,1015.8696608399999,1.0,-0.34,607.6,0.0,592.08,close_trailing_long
11,51464,ETH,0.0,-0.04010504,1015.8295558,0.0,1015.8295558,1.0,0.37,541.96,0.37,541.96,entry_initial_normal_long
12,51476,ETH,0.07399999999997477,-0.040119840000000004,1015.86343596,0.0,1015.86343596,1.0,-0.37,542.16,0.0,541.96,close_trailing_long
13,51486,ETH,0.0,-0.0396344,1015.82380156,0.0,1015.82380156,1.0,0.37,535.6,0.37,535.6,entry_initial_normal_long
14,51488,ETH,0.0,-0.038570280000000005,1015.78523128,0.0,1015.78523128,1.0,0.37,521.22,0.74,528.4100000000001,entry_grid_normal_long
15,51488,ETH,0.0,-0.07497538,1015.7102559,0.0,1015.7102559,1.0,0.73,513.53,1.47,521.020612244898,entry_grid_normal_long
16,51489,ETH,0.0,-0.17979068,1015.53046522,0.0,1015.53046522,1.0,1.78,505.03,3.25,512.2626769230769,entry_grid_inflated_long
17,51492,ETH,9.71150584615378,-0.14332679999999998,1025.0986442661538,0.0,1025.0986442661538,1.0,-1.38,519.3,1.87,512.2626769230769,close_trailing_long
18,51495,ETH,7.4188790769231066,-0.1438928,1032.3736305430768,0.0,1032.3736305430768,1.0,-1.39,517.6,0.48,512.2626769230769,close_trailing_long
19,51497,ETH,0.09471507692309387,-0.04919616,1032.41914946,0.0,1032.41914946,1.0,-0.48,512.46,0.0,512.2626769230769,close_trailing_long
20,51498,ETH,0.0,-0.0401934,1032.37895606,0.0,1032.37895606,1.0,0.39,515.3,0.39,515.3,entry_initial_normal_long
21,51507,ETH,4.524000000000009,-0.0410982,1036.86185786,0.0,1036.86185786,1.0,-0.39,526.9,0.0,515.3,close_trailing_long
22,51785,ETH,0.0,-0.04105166,1036.8208062,0.0,1036.8208062,1.0,0.41,500.63,0.41,500.63,entry_initial_normal_long
23,51789,ETH,0.0,-0.03994876,1036.78085744,0.0,1036.78085744,1.0,0.41,487.18,0.82,493.905,entry_grid_normal_long
24,51792,ETH,1.9639000000000315,-0.0813932,1038.6633642400002,0.0,1038.6633642400002,1.0,-0.82,496.3,0.0,493.905,close_trailing_long
25,51793,ETH,0.0,-0.0406638,1038.6227004400002,0.0,1038.6227004400002,1.0,0.41,495.9,0.41,495.9,entry_initial_normal_long
26,51808,ETH,0.0,-0.03957238,1038.5831280600003,0.0,1038.5831280600003,1.0,0.41,482.59,0.82,489.245,entry_grid_normal_long
27,51823,ETH,12.181100000000015,-0.0826724,1050.6815556600002,0.0,1050.6815556600002,1.0,-0.82,504.1,0.0,489.245,close_trailing_long
28,52302,ETH,0.0,-0.040886160000000005,1050.6406695000003,0.0,1050.6406695000003,1.0,0.42,486.74,0.42,486.74,entry_initial_normal_long
29,52308,ETH,1.0541999999999963,-0.041097,1051.6537725000003,0.0,1051.6537725000003,1.0,-0.42,489.25,0.0,486.74,close_trailing_long
30,59162,ETH,0.0,-0.040873440000000004,1051.6128990600002,0.0,1051.6128990600002,1.0,0.34,601.08,0.34,601.08,entry_initial_normal_long
31,59173,ETH,3.236799999999994,-0.041520800000000004,1054.8081782600002,0.0,1054.8081782600002,1.0,-0.34,610.6,0.0,601.08,close_trailing_long
32,59221,ETH,0.0,-0.0416451,1054.76653316,0.0,1054.76653316,1.0,0.35,594.93,0.35,594.93,entry_initial_normal_long
33,59221,ETH,0.0,-0.0405265,1054.7260066600002,0.0,1054.7260066600002,1.0,0.35,578.95,0.7,586.94,entry_grid_normal_long
34,59223,ETH,0.0,-0.0787152,1054.6472914600001,0.0,1054.6472914600001,1.0,0.69,570.4,1.39,578.7294964028777,entry_grid_normal_long
35,59224,ETH,0.0,-0.1851069,1054.4621845600002,0.0,1054.4621845600002,1.0,1.65,560.93,3.04,569.0685855263157,entry_grid_inflated_long
36,59226,ETH,0.0,-0.28645400000000004,1054.1757305600001,0.0,1054.1757305600001,1.0,2.45,584.6,5.49,575.9997267759562,entry_trailing_cropped_long
37,59233,ETH,11.303346994535573,-0.1485646,1065.3305129545356,0.0,1065.3305129545356,1.0,-1.27,584.9,4.22,575.9997267759562,close_trailing_long
38,59240,ETH,14.448352459016537,-0.1514976,1079.6273678135522,0.0,1079.6273678135522,1.0,-1.29,587.2,2.93,575.9997267759562,close_trailing_long
39,59245,ETH,7.532857923497353,-0.1524185,1087.0078072370495,0.0,1087.0078072370495,1.0,-1.31,581.75,1.62,575.9997267759562,close_trailing_long
40,59249,ETH,7.074357923497323,-0.1523268,1093.929838360547,0.0,1093.929838360547,1.0,-1.31,581.4,0.31,575.9997267759562,close_trailing_long
41,59256,ETH,0.06828469945358051,-0.03572564,1093.9623974200006,0.0,1093.9623974200006,1.0,-0.31,576.22,0.0,575.9997267759562,close_trailing_long
42,59257,ETH,0.0,-0.04268690000000001,1093.9197105200005,0.0,1093.9197105200005,1.0,0.37,576.85,0.37,576.85,entry_initial_normal_long
43,59293,ETH,2.848999999999975,-0.043256699999999995,1096.7254538200004,0.0,1096.7254538200004,1.0,-0.37,584.55,0.0,576.85,close_trailing_long
44,82612,ETH,0.0,-0.0436662,1096.6817876200005,0.0,1096.6817876200005,1.0,0.34,642.15,0.34,642.15,entry_initial_normal_long
45,82686,ETH,4.470999999999993,-0.0445604,1101.1082272200006,0.0,1101.1082272200006,1.0,-0.34,655.3,0.0,642.15,close_trailing_long
46,87159,ETH,0.0,-0.043524600000000004,1101.0647026200006,0.0,1101.0647026200006,1.0,0.35,621.78,0.35,621.78,entry_initial_normal_long
47,87178,ETH,2.8595000000000255,-0.044096500000000004,1103.8801061200006,0.0,1103.8801061200006,1.0,-0.35,629.95,0.0,621.78,close_trailing_long
48,87893,ETH,0.0,-0.04376664,1103.8363394800006,0.0,1103.8363394800006,1.0,0.36,607.87,0.36,607.87,entry_initial_normal_long
49,87905,ETH,1.0907999999999902,-0.0439848,1104.8831546800006,0.0,1104.8831546800006,1.0,-0.36,610.9,0.0,607.87,close_trailing_long
50,91497,ETH,0.0,-0.043905200000000005,1104.8392494800007,0.0,1104.8392494800007,1.0,0.38,577.7,0.38,577.7,entry_initial_normal_long
