,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,241,SOL,0.0,-0.01075284,999.98924716,0.0,999.98924716,1.0,22.59,2.38,22.59,2.38,entry_initial_normal_long
1,318,SOL,0.2259000000000052,-0.010798020000000002,1000.20434914,0.0,1000.20434914,1.0,-22.59,2.39,0.0,2.38,close_trailing_long
2,641,SOL,0.0,-0.0107536,1000.1935955399999,0.0,1000.1935955399999,1.0,22.88,2.35,22.88,2.35,entry_initial_normal_long
3,674,SOL,0.22879999999999512,-0.01079936,1000.41159618,0.0,1000.41159618,1.0,-22.88,2.36,0.0,2.35,close_trailing_long
4,720,SOL,0.0,-0.01075464,1000.40084154,0.0,1000.40084154,1.0,22.98,2.34,22.98,2.34,entry_initial_normal_long
5,787,SOL,0.35159400000000723,-0.010824958800000001,1000.7416105812,0.0,1000.7416105812,1.0,-22.98,2.3553,0.0,2.34,close_trailing_long
6,869,SOL,0.0,-0.01075932,1000.7308512612,0.0,1000.7308512612,1.0,22.99,2.34,22.99,2.34,entry_initial_normal_long
7,894,SOL,0.2299000000000053,-0.0108053,1000.9499459612,0.0,1000.9499459612,1.0,-22.99,2.35,0.0,2.34,close_trailing_long
8,897,SOL,0.0,-0.01075932,1000.9391866412,0.0,1000.9391866412,1.0,22.99,2.34,22.99,2.34,entry_initial_normal_long
9,1704,SOL,0.0,-0.030356638199999997,1000.9088300029999,0.0,1000.9088300029999,1.0,67.83,2.2377,90.82,2.2635960251046026,entry_trailing_normal_long
10,1842,SOL,0.9721350000000145,-0.0413103852,1001.8396546178,0.0,1001.8396546178,1.0,-90.82,2.2743,0.0,2.2635960251046026,close_trailing_long
11,1993,SOL,0.0,-0.010771159999999998,1001.8288834578,0.0,1001.8288834578,1.0,23.83,2.26,23.83,2.26,entry_initial_normal_long
12,2205,SOL,0.3431520000000045,-0.0108397904,1002.1611956674,0.0,1002.1611956674,1.0,-23.83,2.2744,0.0,2.26,close_trailing_long
13,2440,SOL,0.0,-0.010773000000000001,1002.1504226674,0.0,1002.1504226674,1.0,23.94,2.25,23.94,2.25,entry_initial_normal_long
14,2498,SOL,0.4452840000000041,-0.010862056800000002,1002.5848446106,0.0,1002.5848446106,1.0,-23.94,2.2686,0.0,2.25,close_trailing_long
15,2891,SOL,0.0,-0.010777499999999999,1002.5740671106,0.0,1002.5740671106,1.0,23.95,2.25,23.95,2.25,entry_initial_normal_long
16,3129,SOL,0.0,-0.030334390800000003,1002.5437327198,0.0,1002.5437327198,1.0,70.67,2.1462,94.62,2.172473620798985,entry_trailing_normal_long
17,3186,SOL,1.7718900000000024,-0.041466268800000004,1004.274156451,0.0,1004.274156451,1.0,-94.62,2.1912,0.0,2.172473620798985,close_trailing_long
