,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,39,SOL,0.0,-0.016715,999.983285,0.0,999.983285,1.0,2.5,33.43,2.5,33.43,entry_initial_normal_long
1,58,SOL,0.07500000000000284,-0.016730000000000002,1000.041555,0.0,1000.041555,1.0,-2.5,33.46,0.0,33.43,close_trailing_long
2,59,SOL,0.0,-0.016682500000000003,1000.0248725,0.0,1000.0248725,1.0,2.5,33.365,2.5,33.365,entry_initial_normal_long
3,77,SOL,0.8999999999999986,-0.016862500000000002,1000.90801,0.0,1000.90801,1.0,-2.5,33.725,0.0,33.365,close_trailing_long
4,672,SOL,0.0,-0.016713600000000002,1000.8912964,0.0,1000.8912964,1.0,2.4,34.82,2.4,34.82,entry_initial_normal_long
5,1208,SOL,0.0,-0.04726469999999999,1000.8440317,0.0,1000.8440317,1.0,7.1,33.285,9.5,33.672789473684205,entry_trailing_normal_long
6,1293,SOL,0.0,-0.179256,1000.6647757,0.0,1000.6647757,1.0,28.0,32.01,37.5,32.43124,entry_trailing_normal_long
7,1364,SOL,1.0152279999999414,-0.2291676,1001.4508361,0.0,1001.4508361,1.0,-35.3,32.46,2.2,32.43124,close_trailing_long
8,1389,SOL,0.9432719999999933,-0.014458400000000001,1002.3796497,0.0,1002.3796497,1.0,-2.2,32.86,0.0,32.43124,close_trailing_long
9,1545,SOL,0.0,-0.0170196,1002.3626300999999,0.0,1002.3626300999999,1.0,2.6,32.73,2.6,32.73,entry_initial_normal_long
10,1574,SOL,0.07800000000000296,-0.0170352,1002.4235948999999,0.0,1002.4235948999999,1.0,-2.6,32.76,0.0,32.73,close_trailing_long
11,1575,SOL,0.0,-0.0169832,1002.4066116999999,0.0,1002.4066116999999,1.0,2.6,32.66,2.6,32.66,entry_initial_normal_long
12,1583,SOL,0.07800000000000296,-0.0169988,1002.4676128999998,0.0,1002.4676128999998,1.0,-2.6,32.69,0.0,32.66,close_trailing_long
13,1585,SOL,0.0,-0.016967600000000003,1002.4506452999998,0.0,1002.4506452999998,1.0,2.6,32.63,2.6,32.63,entry_initial_normal_long
14,1646,SOL,0.3769999999999897,-0.017043000000000003,1002.8106022999998,0.0,1002.8106022999998,1.0,-2.6,32.775,0.0,32.63,close_trailing_long
15,1765,SOL,0.0,-0.016952000000000002,1002.7936502999999,0.0,1002.7936502999999,1.0,2.6,32.6,2.6,32.6,entry_initial_normal_long
16,2095,SOL,0.10399999999999779,-0.016972800000000003,1002.8806774999998,0.0,1002.8806774999998,1.0,-2.6,32.64,0.0,32.6,close_trailing_long
17,2549,SOL,0.0,-0.0166608,1002.8640166999999,0.0,1002.8640166999999,1.0,2.4,34.71,2.4,34.71,entry_initial_normal_long
18,2560,SOL,0.10800000000000409,-0.016682400000000003,1002.9553342999999,0.0,1002.9553342999999,1.0,-2.4,34.755,0.0,34.71,close_trailing_long
19,2576,SOL,0.0,-0.0166416,1002.9386926999999,0.0,1002.9386926999999,1.0,2.4,34.67,2.4,34.67,entry_initial_normal_long
20,2823,SOL,0.07200000000000273,-0.016656,1002.9940366999999,0.0,1002.9940366999999,1.0,-2.4,34.7,0.0,34.67,close_trailing_long
21,2856,SOL,0.0,-0.01702,1002.9770166999999,0.0,1002.9770166999999,1.0,2.5,34.04,2.5,34.04,entry_initial_normal_long
22,2923,SOL,0.0,-0.04823320000000001,1002.9287834999999,0.0,1002.9287834999999,1.0,7.4,32.59,9.9,32.95616161616162,entry_trailing_normal_long
