,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,184,SOL,0.0,-0.0325279,999.9674721,0.0,999.9674721,1.0,68.05,2.39,68.05,2.39,entry_initial_normal_long
1,241,SOL,-0.5512050000000148,-0.032417659,999.3838494409999,0.0,999.3838494409999,1.0,-68.05,2.3819,0.0,2.39,close_trailing_long
2,242,SOL,0.0,-0.0325070384,999.3513424025999,0.0,999.3513424025999,1.0,68.56,2.3707,68.56,2.3707,entry_initial_normal_long
3,380,SOL,0.17825600000001082,-0.0325426896,999.4970557129999,0.0,999.4970557129999,1.0,-68.56,2.3733,0.0,2.3707,close_trailing_long
4,632,SOL,0.0,-0.032511359999999996,999.464544353,0.0,999.464544353,1.0,68.88,2.36,68.88,2.36,entry_initial_normal_long
5,700,SOL,-0.3168479999999957,-0.0324479904,999.1152483625999,0.0,999.1152483625999,1.0,-68.88,2.3554,0.0,2.36,close_trailing_long
6,720,SOL,0.0,-0.03249792,999.0827504426,0.0,999.0827504426,1.0,69.44,2.34,69.44,2.34,entry_initial_normal_long
7,866,SOL,1.9443200000000016,-0.032886784,1000.9941836585999,0.0,1000.9941836585999,1.0,-69.44,2.368,0.0,2.34,close_trailing_long
8,869,SOL,0.0,-0.03255876,1000.9616248985999,0.0,1000.9616248985999,1.0,69.57,2.34,69.57,2.34,entry_initial_normal_long
9,903,SOL,-0.43133399999998334,-0.0324724932,1000.4978184053999,0.0,1000.4978184053999,1.0,-69.57,2.3338,0.0,2.34,close_trailing_long
10,904,SOL,0.0,-0.03254004,1000.4652783654,0.0,1000.4652783654,1.0,69.53,2.34,69.53,2.34,entry_initial_normal_long
11,9327,SOL,0.0,-0.006587333,1000.4586910324,0.0,1000.4586910324,1.0,17.65,1.8661,87.18,2.244056721725166,entry_initial_partial_long
12,10984,SOL,0.0,-0.0697393716,1000.3889516608,0.0,1000.3889516608,1.0,172.23,2.0246,259.41,2.0983528892486794,entry_trailing_normal_long
13,12040,SOL,0.0,-0.206430972,1000.1825206888,0.0,1000.1825206888,1.0,512.49,2.014,771.9,2.042348209612644,entry_trailing_normal_long
14,12248,SOL,2.2586618675993857,-0.10126204000000001,1002.3399205163994,0.0,1002.3399205163994,1.0,-246.8,2.0515,525.1,2.042348209612644,close_trailing_long
15,12268,SOL,-0.28398668349530976,-0.1009699992,1001.954963833704,0.0,1001.954963833704,1.0,-247.33,2.0412,277.77,2.042348209612644,close_trailing_long
16,12367,SOL,4.067540655369898,-0.10180354240000002,1005.920700946674,0.0,1005.920700946674,1.0,-247.24,2.0588,30.53,2.042348209612644,close_trailing_long
17,12460,SOL,0.7404071605259797,-0.012618659600000004,1006.6484894475999,0.0,1006.6484894475999,1.0,-30.53,2.0666,0.0,2.042348209612644,close_trailing_long
18,12700,SOL,0.0,-0.0327442,1006.6157452475999,0.0,1006.6157452475999,1.0,81.05,2.02,81.05,2.02,entry_initial_normal_long
19,19211,SOL,0.0,-0.006573429600000001,1006.6091718179998,0.0,1006.6091718179998,1.0,20.36,1.6143,101.41,1.9385479538507049,entry_initial_partial_long
20,19634,SOL,0.0,-0.069549499,1006.5396223189998,0.0,1006.5396223189998,1.0,200.35,1.7357,301.76,1.8038694426033934,entry_trailing_normal_long
21,20668,SOL,0.0,-0.18953118719999998,1006.3500911317998,0.0,1006.3500911317998,1.0,596.16,1.5896,897.92,1.6616085831699927,entry_trailing_normal_long
22,24182,SOL,0.0,-0.5202581904,1005.8298329413998,0.0,1005.8298329413998,1.0,1773.93,1.4664,2671.85,1.5320031180642626,entry_trailing_normal_long
23,25796,SOL,0.925404326077417,-0.10156385520000001,1006.6536734122772,0.0,1006.6536734122772,1.0,-330.87,1.5348,2340.98,1.5320031180642626,close_trailing_long
24,25873,SOL,-0.663312515799906,-0.10132884,1005.8890320564773,0.0,1005.8890320564773,1.0,-331.14,1.53,2009.84,1.5320031180642626,close_trailing_long
25,25958,SOL,9.230799263716172,-0.1032310622,1015.0166002579934,0.0,1015.0166002579934,1.0,-330.89,1.5599,1678.95,1.5320031180642626,close_trailing_long
26,26078,SOL,7.010648909523342,-0.103706234,1021.9235429335168,0.0,1021.9235429335168,1.0,-333.89,1.553,1345.06,1.5320031180642626,close_trailing_long
27,26133,SOL,3.2261838003368717,-0.10364793440000002,1025.0460787994537,0.0,1025.0460787994537,1.0,-336.17,1.5416,1008.89,1.5320031180642626,close_trailing_long
28,26179,SOL,-0.6754313800886945,-0.10318014000000002,1024.267467279365,0.0,1024.267467279365,1.0,-337.19,1.53,671.7,1.5320031180642626,close_trailing_long
29,26288,SOL,-0.337990600572666,-0.10317102800000001,1023.8263056507924,0.0,1023.8263056507924,1.0,-336.94,1.531,334.76,1.5320031180642626,close_trailing_long
30,26449,SOL,2.24184819680744,-0.1030190424,1025.9651348051998,0.0,1025.9651348051998,1.0,-334.76,1.5387,0.0,1.5320031180642626,close_trailing_long
31,26505,SOL,0.0,-0.03337008,1025.9317647251999,0.0,1025.9317647251999,1.0,109.77,1.52,109.77,1.52,entry_initial_normal_long
32,26619,SOL,1.9978139999999993,-0.0337696428,1027.8958090823999,0.0,1027.8958090823999,1.0,-109.77,1.5382,0.0,1.52,close_trailing_long
33,27288,SOL,0.0,-0.03343452,1027.8623745624,0.0,1027.8623745624,1.0,105.14,1.59,105.14,1.59,entry_initial_normal_long
34,27484,SOL,3.448591999999994,-0.034124238400000007,1031.276842324,0.0,1031.276842324,1.0,-105.14,1.6228,0.0,1.59,close_trailing_long
35,27551,SOL,0.0,-0.0335424,1031.243299924,0.0,1031.243299924,1.0,104.82,1.6,104.82,1.6,entry_initial_normal_long
36,31202,SOL,0.0,-0.0067868315999999995,1031.2365130924,0.0,1031.2365130924,1.0,26.59,1.2762,131.41,1.5344810744996575,entry_initial_partial_long
37,31311,SOL,0.0,-0.0724779198,1031.1640351726,0.0,1031.1640351726,1.0,259.61,1.3959,391.02,1.4424729093141018,entry_trailing_normal_long
38,32564,SOL,0.0,-0.2197299,1030.9443052726,0.0,1030.9443052726,1.0,772.5,1.4222,1163.52,1.429013044038779,entry_trailing_normal_long
39,32605,SOL,16.21047957882115,-0.10715135040000001,1047.0476335010212,0.0,1047.0476335010212,1.0,-363.57,1.4736,799.95,1.429013044038779,close_trailing_long
40,32616,SOL,11.441933488680865,-0.10782100000000001,1058.381745989702,0.0,1058.381745989702,1.0,-369.25,1.46,430.7,1.429013044038779,close_trailing_long
41,32630,SOL,9.139756312525767,-0.108503775,1067.4129985272277,0.0,1067.4129985272277,1.0,-373.25,1.4535,57.45,1.429013044038779,close_trailing_long
42,32637,SOL,0.4071456199721463,-0.016500789000000002,1067.8036433582,0.0,1067.8036433582,1.0,-57.45,1.4361,0.0,1.429013044038779,close_trailing_long
43,32975,SOL,0.0,-0.034731200000000004,1067.7689121582,0.0,1067.7689121582,1.0,124.04,1.4,124.04,1.4,entry_initial_normal_long
44,33059,SOL,0.12404000000001389,-0.034756008000000005,1067.8581961502,0.0,1067.8581961502,1.0,-124.04,1.401,0.0,1.4,close_trailing_long
45,34338,SOL,0.0,-0.03473184,1067.8234643102,0.0,1067.8234643102,1.0,98.67,1.76,98.67,1.76,entry_initial_normal_long
46,34396,SOL,9.86700000000001,-0.03670524000000001,1077.6537590702,0.0,1077.6537590702,1.0,-98.67,1.86,0.0,1.76,close_trailing_long
47,35407,SOL,0.0,-0.035050740000000004,1077.6187083302,0.0,1077.6187083302,1.0,76.53,2.29,76.53,2.29,entry_initial_normal_long
48,35493,SOL,0.0,-0.0635632998,1077.5551450304,0.0,1077.5551450304,1.0,151.19,2.1021,227.72,2.165247668189004,entry_trailing_normal_long
49,35519,SOL,-1.1949989999999697,-0.09837504000000001,1076.2617709904,0.0,1076.2617709904,1.0,-227.72,2.16,0.0,2.165247668189004,close_trailing_long
50,35520,SOL,0.0,-0.03500644,1076.2267645504,0.0,1076.2267645504,1.0,80.66,2.17,80.66,2.17,entry_initial_normal_long
51,35527,SOL,-0.5000919999999808,-0.0349064216,1075.6917661288,0.0,1075.6917661288,1.0,-80.66,2.1638,0.0,2.17,close_trailing_long
52,35528,SOL,0.0,-0.0349865712,1075.6567795576,0.0,1075.6567795576,1.0,80.92,2.1618,80.92,2.1618,entry_initial_normal_long
53,35567,SOL,0.0,-0.06939636960000001,1075.5873831879999,0.0,1075.5873831879999,1.0,159.87,2.1704,240.79,2.1675098799784043,entry_trailing_normal_long
54,35570,SOL,12.735412000000071,-0.10693002320000002,1088.2158651647999,0.0,1088.2158651647999,1.0,-240.79,2.2204,0.0,2.1675098799784043,close_trailing_long
55,35590,SOL,0.0,-0.035395600000000006,1088.1804695648,0.0,1088.1804695648,1.0,82.7,2.14,82.7,2.14,entry_initial_normal_long
56,35594,SOL,-0.3308000000000003,-0.035329440000000004,1087.8143401248,0.0,1087.8143401248,1.0,-82.7,2.136,0.0,2.14,close_trailing_long
57,35600,SOL,0.0,-0.035382760000000006,1087.7789573648001,0.0,1087.7789573648001,1.0,82.67,2.14,82.67,2.14,entry_initial_normal_long
58,35608,SOL,-0.32241300000001955,-0.0353182774,1087.4212260874,0.0,1087.4212260874,1.0,-82.67,2.1361,0.0,2.14,close_trailing_long
59,35609,SOL,0.0,-0.035369920000000006,1087.3858561674,0.0,1087.3858561674,1.0,82.64,2.14,82.64,2.14,entry_initial_normal_long
60,35783,SOL,0.0,-0.0655586856,1087.3202974818,0.0,1087.3202974818,1.0,163.26,2.0078,245.9,2.0522286620577472,entry_trailing_normal_long
61,35819,SOL,6.189631999999935,-0.102166532,1093.4077629498,0.0,1093.4077629498,1.0,-245.9,2.0774,0.0,2.0522286620577472,close_trailing_long
62,35840,SOL,0.0,-0.03556476,1093.3721981898,0.0,1093.3721981898,1.0,89.81,1.98,89.81,1.98,entry_initial_normal_long
63,35847,SOL,0.0,-0.03556476,1093.3366334298,0.0,1093.3366334298,1.0,-89.81,1.98,0.0,1.98,close_trailing_long
64,35852,SOL,0.0,-0.035560800000000004,1093.3010726298,0.0,1093.3010726298,1.0,89.8,1.98,89.8,1.98,entry_initial_normal_long
65,35919,SOL,0.0,-0.035560800000000004,1093.2655118298,0.0,1093.2655118298,1.0,-89.8,1.98,0.0,1.98,close_trailing_long
66,36009,SOL,0.0,-0.03556,1093.2299518298,0.0,1093.2299518298,1.0,88.9,2.0,88.9,2.0,entry_initial_normal_long
