,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,243,SOL,0.0,-0.01373992,999.98626008,0.0,999.98626008,1.0,29.11,2.36,29.11,2.36,entry_initial_normal_long
1,278,SOL,0.5443569999999982,-0.0138487914,1000.5167682886,0.0,1000.5167682886,1.0,-29.11,2.3787,0.0,2.36,close_trailing_long
2,720,SOL,0.0,-0.013747,1000.5030212886,0.0,1000.5030212886,1.0,29.5,2.33,29.5,2.33,entry_initial_normal_long
3,787,SOL,0.746350000000003,-0.013896270000000002,1001.2354750186,0.0,1001.2354750186,1.0,-29.5,2.3553,0.0,2.33,close_trailing_long
4,874,SOL,0.0,-0.01375632,1001.2217186986001,0.0,1001.2217186986001,1.0,29.52,2.33,29.52,2.33,entry_initial_normal_long
5,879,SOL,0.1180800000000001,-0.013779936000000001,1001.3260187626,0.0,1001.3260187626,1.0,-29.52,2.334,0.0,2.33,close_trailing_long
6,947,SOL,0.0,-0.013758360000000002,1001.3122604026,0.0,1001.3122604026,1.0,29.78,2.31,29.78,2.31,entry_initial_normal_long
7,1890,SOL,0.753434000000003,-0.013909046800000002,1002.0517853558,0.0,1002.0517853558,1.0,-29.78,2.3353,0.0,2.31,close_trailing_long
8,1994,SOL,0.0,-0.013770000000000003,1002.0380153558,0.0,1002.0380153558,1.0,30.6,2.25,30.6,2.25,entry_initial_normal_long
9,2051,SOL,0.21725999999999646,-0.013813452000000002,1002.2414619038,0.0,1002.2414619038,1.0,-30.6,2.2571,0.0,2.25,close_trailing_long
10,2893,SOL,0.0,-0.013771520000000002,1002.2276903838,0.0,1002.2276903838,1.0,30.74,2.24,30.74,2.24,entry_initial_normal_long
11,2959,SOL,0.0,-0.013771520000000002,1002.2139188638,0.0,1002.2139188638,1.0,-30.74,2.24,0.0,2.24,close_trailing_long
12,3125,SOL,0.0,-0.013772000000000003,1002.2001468638,0.0,1002.2001468638,1.0,31.3,2.2,31.3,2.2,entry_initial_normal_long
13,3143,SOL,0.0,-0.03813552,1002.1620113438,0.0,1002.1620113438,1.0,89.52,2.13,120.82,2.1481344148319814,entry_trailing_normal_long
14,3186,SOL,5.2031839999999825,-0.05294815679999999,1007.312247187,0.0,1007.312247187,1.0,-120.82,2.1912,0.0,2.1481344148319814,close_trailing_long
15,3323,SOL,0.0,-0.013841520000000003,1007.298405667,0.0,1007.298405667,1.0,32.34,2.14,32.34,2.14,entry_initial_normal_long
16,3336,SOL,0.3751440000000018,-0.013916548800000005,1007.6596331182,0.0,1007.6596331182,1.0,-32.34,2.1516,0.0,2.14,close_trailing_long
17,3352,SOL,0.0,-0.013845,1007.6457881182,0.0,1007.6457881182,1.0,32.5,2.13,32.5,2.13,entry_initial_normal_long
18,3364,SOL,0.4777499999999979,-0.01394055,1008.1095975682,0.0,1008.1095975682,1.0,-32.5,2.1447,0.0,2.13,close_trailing_long
19,4320,SOL,0.0,-0.013853520000000001,1008.0957440482,0.0,1008.0957440482,1.0,32.52,2.13,32.52,2.13,entry_initial_normal_long
20,4335,SOL,0.2731679999999988,-0.0139081536,1008.3550038946,0.0,1008.3550038946,1.0,-32.52,2.1384,0.0,2.13,close_trailing_long
21,5150,SOL,0.0,-0.013856080000000003,1008.3411478146,0.0,1008.3411478146,1.0,31.78,2.18,31.78,2.18,entry_initial_normal_long
22,5208,SOL,0.0,-0.013856080000000003,1008.3272917346001,0.0,1008.3272917346001,1.0,-31.78,2.18,0.0,2.18,close_trailing_long
23,7069,SOL,0.0,-0.013855600000000003,1008.3134361346,0.0,1008.3134361346,1.0,31.49,2.2,31.49,2.2,entry_initial_normal_long
24,7147,SOL,0.3400919999999905,-0.013923618399999999,1008.6396045162,0.0,1008.6396045162,1.0,-31.49,2.2108,0.0,2.2,close_trailing_long
25,7254,SOL,0.0,-0.01385856,1008.6257459562,0.0,1008.6257459562,1.0,32.08,2.16,32.08,2.16,entry_initial_normal_long
26,7300,SOL,0.2694719999999988,-0.0139124544,1008.8813055018001,0.0,1008.8813055018001,1.0,-32.08,2.1684,0.0,2.16,close_trailing_long
27,7403,SOL,0.0,-0.01386292,1008.8674425818001,0.0,1008.8674425818001,1.0,32.39,2.14,32.39,2.14,entry_initial_normal_long
28,7732,SOL,0.0,-0.038195472,1008.8292471098001,0.0,1008.8292471098001,1.0,92.64,2.0615,125.03,2.081836039350556,entry_trailing_normal_long
29,7985,SOL,2.383566999999989,-0.05253510540000001,1011.1602790044001,0.0,1011.1602790044001,1.0,-125.03,2.1009,0.0,2.081836039350556,close_trailing_long
30,8529,SOL,0.0,-0.013892640000000001,1011.1463863644001,0.0,1011.1463863644001,1.0,33.72,2.06,33.72,2.06,entry_initial_normal_long
31,8560,SOL,0.02360400000000489,-0.013897360800000001,1011.1560930036001,0.0,1011.1560930036001,1.0,-33.72,2.0607,0.0,2.06,close_trailing_long
32,9115,SOL,0.0,-0.01389312,1011.1421998836,0.0,1011.1421998836,1.0,34.56,2.01,34.56,2.01,entry_initial_normal_long
33,9255,SOL,0.0,-0.03834992,1011.1038499636,0.0,1011.1038499636,1.0,98.84,1.94,133.4,1.958134932533733,entry_trailing_normal_long
34,9307,SOL,0.0,-0.14421456,1010.9596354036,0.0,1010.9596354036,1.0,381.52,1.89,514.92,1.9076516740464537,entry_trailing_normal_long
35,9395,SOL,15.935912000000085,-0.1996447824,1026.6959026212,0.0,1026.6959026212,1.0,-514.92,1.9386,0.0,1.9076516740464537,close_trailing_long
36,9450,SOL,0.0,-0.014106959999999998,1026.6817956612,0.0,1026.6817956612,1.0,37.32,1.89,37.32,1.89,entry_initial_normal_long
