,balance,equity,balance_btc,equity_btc
0,999.9838398,1000.0,0.0,0.0
60,999.9838398,1000.0,0.0,0.0
120,999.9838398,1000.0,0.0,0.0
180,999.9838398,1000.0,0.0,0.0
240,999.9838398,1000.0,0.0,0.0
300,1000.3071117000001,999.9464948000001,0.0,-0.03734500000000343
360,1000.3071117000001,1000.3071117000001,0.0,0.0
420,1000.3071117000001,1000.3071117000001,0.0,0.0
480,1000.3071117000001,1000.3071117000001,0.0,0.0
540,1000.3071117000001,1000.3071117000001,0.0,0.0
600,1000.2909457000001,1000.3071117000001,0.0,0.0
660,1000.2909457000001,999.8319957000001,0.0,-0.4589499999999951
720,1000.2909457000001,998.7599707,0.0,-1.530974999999991
780,1000.6172112,1000.3560207,0.0,0.06507500000000044
840,1000.9141292200001,1000.6172112,0.0,0.0
900,1000.9141292200001,1000.88302522,0.0,-0.0311039999999889
960,1000.9141292200001,997.7691692200001,0.0,-3.1449599999999913
1020,1000.9141292200001,997.8693932200001,0.0,-3.044735999999995
1080,1000.9141292200001,997.7795372200001,0.0,-3.1345920000000005
1140,1000.9141292200001,998.0732972200001,0.0,-2.8408319999999945
1200,1000.9141292200001,997.8970412200001,0.0,-3.017087999999998
1260,1000.9141292200001,998.7921452200001,0.0,-2.1219839999999968
1320,1000.9141292200001,998.4500012200001,0.0,-2.4641279999999974
1380,1000.9141292200001,998.8336172200001,0.0,-2.080512000000001
1440,1000.9141292200001,999.8185772200001,0.0,-1.0955519999999945
1500,1000.9141292200001,998.2391852200001,0.0,-2.6749439999999973
1560,1000.9141292200001,997.9316012200001,0.0,-2.9825280000000016
1620,1000.9141292200001,997.3509932200001,0.0,-3.563135999999999
1680,1000.9141292200001,997.9108652200001,0.0,-3.0032639999999993
1740,1000.9141292200001,997.9868972200001,0.0,-2.9272319999999925
1800,1000.9141292200001,998.22190522,0.0,-2.6922239999999875
1860,1000.9141292200001,998.9338412200001,0.0,-1.9802879999999892
1920,1000.9141292200001,1000.4060972200001,0.0,-0.5080319999999978
1980,1000.86844666,998.78868922,0.0,-2.1254399999999887
2040,1000.86844666,997.82203666,0.0,-3.0464100000000185
2100,1000.86844666,999.18733666,0.0,-1.6811099999999872
