,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,241,SOL,0.0,-0.01603644,999.98396356,0.0,999.98396356,1.0,33.69,2.38,33.69,2.38,entry_initial_normal_long
1,318,SOL,0.33690000000000775,-0.01610382,1000.30475974,0.0,1000.30475974,1.0,-33.69,2.39,0.0,2.38,close_trailing_long
2,641,SOL,0.0,-0.0160458,1000.28871394,0.0,1000.28871394,1.0,34.14,2.35,34.14,2.35,entry_initial_normal_long
3,674,SOL,0.3413999999999927,-0.01611408,1000.6139998599999,0.0,1000.6139998599999,1.0,-34.14,2.36,0.0,2.35,close_trailing_long
4,720,SOL,0.0,-0.016047719999999998,1000.59795214,0.0,1000.59795214,1.0,34.29,2.34,34.29,2.34,entry_initial_normal_long
5,787,SOL,0.5246370000000107,-0.0161526474,1001.1064364926,0.0,1001.1064364926,1.0,-34.29,2.3553,0.0,2.34,close_trailing_long
6,869,SOL,0.0,-0.01605708,1001.0903794126,0.0,1001.0903794126,1.0,34.31,2.34,34.31,2.34,entry_initial_normal_long
7,885,SOL,0.34310000000000795,-0.0161257,1001.4173537126,0.0,1001.4173537126,1.0,-34.31,2.35,0.0,2.34,close_trailing_long
8,897,SOL,0.0,-0.016061759999999998,1001.4012919526,0.0,1001.4012919526,1.0,34.32,2.34,34.32,2.34,entry_initial_normal_long
9,1995,SOL,0.0,-0.04536448000000001,1001.3559274726,0.0,1001.3559274726,1.0,101.26,2.24,135.58,2.265313468063136,entry_trailing_normal_long
10,2205,SOL,1.2319519999999966,-0.061672630400000004,1002.5262068422,0.0,1002.5262068422,1.0,-135.58,2.2744,0.0,2.265313468063136,close_trailing_long
11,2440,SOL,0.0,-0.0160785,1002.5101283422,0.0,1002.5101283422,1.0,35.73,2.25,35.73,2.25,entry_initial_normal_long
12,2479,SOL,0.7146000000000006,-0.016221419999999997,1003.2085069222001,0.0,1003.2085069222001,1.0,-35.73,2.27,0.0,2.25,close_trailing_long
13,2891,SOL,0.0,-0.016092,1003.1924149222001,0.0,1003.1924149222001,1.0,35.76,2.25,35.76,2.25,entry_initial_normal_long
14,3129,SOL,0.0,-0.0452891124,1003.1471258098001,0.0,1003.1471258098001,1.0,105.51,2.1462,141.27,2.1724751327245695,entry_trailing_normal_long
15,3186,SOL,2.645262000000042,-0.0619101648,1005.7304776450001,0.0,1005.7304776450001,1.0,-141.27,2.1912,0.0,2.1724751327245695,close_trailing_long
16,3286,SOL,0.0,-0.016130880000000004,1005.7143467650001,0.0,1005.7143467650001,1.0,37.34,2.16,37.34,2.16,entry_initial_normal_long
17,3432,SOL,0.37339999999999207,-0.01620556,1006.071541205,0.0,1006.071541205,1.0,-37.34,2.17,0.0,2.16,close_trailing_long
18,4073,SOL,0.0,-0.016135200000000002,1006.055406005,0.0,1006.055406005,1.0,37.35,2.16,37.35,2.16,entry_initial_normal_long
19,4243,SOL,1.1578499999999887,-0.01636677,1007.196889235,0.0,1007.196889235,1.0,-37.35,2.191,0.0,2.16,close_trailing_long
20,4317,SOL,0.0,-0.016152720000000002,1007.1807365149999,0.0,1007.1807365149999,1.0,37.74,2.14,37.74,2.14,entry_initial_normal_long
21,4336,SOL,0.37739999999999196,-0.0162282,1007.5419083149999,0.0,1007.5419083149999,1.0,-37.74,2.15,0.0,2.14,close_trailing_long
22,5148,SOL,0.0,-0.016157820000000003,1007.5257504949999,0.0,1007.5257504949999,1.0,36.89,2.19,36.89,2.19,entry_initial_normal_long
23,5222,SOL,0.5090820000000095,-0.016259636400000003,1008.0185728585999,0.0,1008.0185728585999,1.0,-36.89,2.2038,0.0,2.19,close_trailing_long
24,5266,SOL,0.0,-0.0161665,1008.0024063585998,0.0,1008.0024063585998,1.0,37.25,2.17,37.25,2.17,entry_initial_normal_long
25,5278,SOL,0.3725000000000086,-0.016241000000000002,1008.3586653585999,0.0,1008.3586653585999,1.0,-37.25,2.18,0.0,2.17,close_trailing_long
26,6392,SOL,0.0,-0.016174400000000002,1008.3424909585999,0.0,1008.3424909585999,1.0,36.76,2.2,36.76,2.2,entry_initial_normal_long
27,6542,SOL,0.36759999999999216,-0.01624792,1008.6938430385999,0.0,1008.6938430385999,1.0,-36.76,2.21,0.0,2.2,close_trailing_long
28,7066,SOL,0.0,-0.0161772,1008.6776658385999,0.0,1008.6776658385999,1.0,36.6,2.21,36.6,2.21,entry_initial_normal_long
29,7200,SOL,0.3660000000000085,-0.0162504,1009.0274154385999,0.0,1009.0274154385999,1.0,-36.6,2.22,0.0,2.21,close_trailing_long
30,7242,SOL,0.0,-0.016184320000000002,1009.0112311185999,0.0,1009.0112311185999,1.0,37.12,2.18,37.12,2.18,entry_initial_normal_long
31,7722,SOL,0.0,-0.0450869292,1008.9661441893999,0.0,1008.9661441893999,1.0,109.53,2.0582,146.65,2.0890299761336513,entry_trailing_normal_long
32,7985,SOL,1.7407390000000729,-0.061619397000000006,1010.6452637924,0.0,1010.6452637924,1.0,-146.65,2.1009,0.0,2.0890299761336513,close_trailing_long
33,8342,SOL,0.0,-0.0162081,1010.6290556924,0.0,1010.6290556924,1.0,39.15,2.07,39.15,2.07,entry_initial_normal_long
34,8410,SOL,0.8338950000000037,-0.016374879,1011.4465758134,0.0,1011.4465758134,1.0,-39.15,2.0913,0.0,2.07,close_trailing_long
35,8528,SOL,0.0,-0.01622052,1011.4303552934,0.0,1011.4303552934,1.0,39.18,2.07,39.18,2.07,entry_initial_normal_long
36,8775,SOL,0.39180000000000903,-0.01629888,1011.8058564134,0.0,1011.8058564134,1.0,-39.18,2.08,0.0,2.07,close_trailing_long
37,9105,SOL,0.0,-0.016227819999999997,1011.7896285933999,0.0,1011.7896285933999,1.0,39.97,2.03,39.97,2.03,entry_initial_normal_long
38,9255,SOL,0.0,-0.04576072,1011.7438678734,0.0,1011.7438678734,1.0,117.94,1.94,157.91,1.962780697865873,entry_trailing_normal_long
39,9329,SOL,0.0,-0.17332596000000003,1011.5705419133999,0.0,1011.5705419133999,1.0,465.93,1.86,623.84,1.88601644652475,entry_trailing_normal_long
40,9391,SOL,24.729992339061234,-0.22713382399999996,1036.0734004284611,0.0,1036.0734004284611,1.0,-589.04,1.928,34.8,1.88601644652475,close_trailing_long
41,9395,SOL,1.8299076609387042,-0.013492656,1037.8898154334,0.0,1037.8898154334,1.0,-34.8,1.9386,0.0,1.88601644652475,close_trailing_long
42,9440,SOL,0.0,-0.0166478,1037.8731676333998,0.0,1037.8731676333998,1.0,43.81,1.9,43.81,1.9,entry_initial_normal_long
43,9480,SOL,0.7360080000000065,-0.0167950016,1038.5923806317999,0.0,1038.5923806317999,1.0,-43.81,1.9168,0.0,1.9,close_trailing_long
44,9539,SOL,0.0,-0.01665846,1038.5757221718,0.0,1038.5757221718,1.0,44.07,1.89,44.07,1.89,entry_initial_normal_long
45,9599,SOL,0.44070000000000037,-0.0167466,1038.9996755718,0.0,1038.9996755718,1.0,-44.07,1.9,0.0,1.89,close_trailing_long
46,9601,SOL,0.0,-0.01666432,1038.9830112518,0.0,1038.9830112518,1.0,44.32,1.88,44.32,1.88,entry_initial_normal_long
47,9617,SOL,0.44320000000000037,-0.01675296,1039.4094582918,0.0,1039.4094582918,1.0,-44.32,1.89,0.0,1.88,close_trailing_long
48,9624,SOL,0.0,-0.01667184,1039.3927864518,0.0,1039.3927864518,1.0,44.34,1.88,44.34,1.88,entry_initial_normal_long
49,9663,SOL,0.7715160000000036,-0.0168261432,1040.1474763086,0.0,1040.1474763086,1.0,-44.34,1.8974,0.0,1.88,close_trailing_long
50,10819,SOL,0.0,-0.016682,1040.1307943086001,0.0,1040.1307943086001,1.0,43.9,1.9,43.9,1.9,entry_initial_normal_long
51,10877,SOL,0.4390000000000004,-0.016769799999999998,1040.5530245086002,0.0,1040.5530245086002,1.0,-43.9,1.91,0.0,1.9,close_trailing_long
52,11171,SOL,0.0,-0.01668788,1040.5363366286,0.0,1040.5363366286,1.0,43.01,1.94,43.01,1.94,entry_initial_normal_long
53,11768,SOL,0.43010000000000037,-0.016773899999999998,1040.9496627286,0.0,1040.9496627286,1.0,-43.01,1.95,0.0,1.94,close_trailing_long
54,12504,SOL,0.0,-0.01669472,1040.9329680086,0.0,1040.9329680086,1.0,41.12,2.03,41.12,2.03,entry_initial_normal_long
55,12556,SOL,0.8141760000000016,-0.0168575552,1041.7302864534001,0.0,1041.7302864534001,1.0,-41.12,2.0498,0.0,2.03,close_trailing_long
56,12700,SOL,0.0,-0.016709440000000002,1041.7135770134,0.0,1041.7135770134,1.0,41.36,2.02,41.36,2.02,entry_initial_normal_long
57,13009,SOL,0.0,-0.04702201200000001,1041.6665550014,0.0,1041.6665550014,1.0,122.04,1.9265,163.4,1.9501668298653612,entry_trailing_normal_long
58,13127,SOL,2.9629599999999763,-0.06432404400000001,1044.5651909573999,0.0,1044.5651909573999,1.0,-163.4,1.9683,0.0,1.9501668298653612,close_trailing_long
59,13365,SOL,0.0,-0.01675384,1044.5484371173998,0.0,1044.5484371173998,1.0,43.18,1.94,43.18,1.94,entry_initial_normal_long
60,13580,SOL,0.5354319999999986,-0.0168609264,1045.0670081909998,0.0,1045.0670081909998,1.0,-43.18,1.9524,0.0,1.94,close_trailing_long
61,13861,SOL,0.0,-0.0167616,1045.0502465909997,0.0,1045.0502465909997,1.0,43.2,1.94,43.2,1.94,entry_initial_normal_long
62,13870,SOL,0.4406399999999995,-0.016849728,1045.4740368629996,0.0,1045.4740368629996,1.0,-43.2,1.9502,0.0,1.94,close_trailing_long
63,13887,SOL,0.0,-0.01676936,1045.4572675029997,0.0,1045.4572675029997,1.0,43.22,1.94,43.22,1.94,entry_initial_normal_long
64,14280,SOL,0.7347400000000054,-0.016916308,1046.1750911949996,0.0,1046.1750911949996,1.0,-43.22,1.957,0.0,1.94,close_trailing_long
65,14429,SOL,0.0,-0.0167808,1046.1583103949995,0.0,1046.1583103949995,1.0,43.7,1.92,43.7,1.92,entry_initial_normal_long
66,14455,SOL,0.43700000000000044,-0.016868200000000003,1046.5784421949995,0.0,1046.5784421949995,1.0,-43.7,1.93,0.0,1.92,close_trailing_long
67,15620,SOL,0.0,-0.01678464,1046.5616575549996,0.0,1046.5616575549996,1.0,43.71,1.92,43.71,1.92,entry_initial_normal_long
68,16801,SOL,0.0,-0.047203020000000005,1046.5144545349995,0.0,1046.5144545349995,1.0,128.97,1.83,172.68,1.8527814454482279,entry_trailing_normal_long
69,16820,SOL,1.2465000000000281,-0.06423696000000001,1047.6967175749994,0.0,1047.6967175749994,1.0,-172.68,1.86,0.0,1.8527814454482279,close_trailing_long
70,16840,SOL,0.0,-0.01680288,1047.6799146949995,0.0,1047.6799146949995,1.0,45.66,1.84,45.66,1.84,entry_initial_normal_long
71,17954,SOL,0.4566000000000004,-0.0168942,1048.1196204949995,0.0,1048.1196204949995,1.0,-45.66,1.85,0.0,1.84,close_trailing_long
72,18188,SOL,0.0,-0.01681038,1048.1028101149996,0.0,1048.1028101149996,1.0,45.93,1.83,45.93,1.83,entry_initial_normal_long
73,18252,SOL,0.0,-0.04743200000000001,1048.0553781149995,0.0,1048.0553781149995,1.0,135.52,1.75,181.45,1.7702502066685042,entry_trailing_normal_long
74,18268,SOL,0.0,-0.18096182,1047.8744162949995,0.0,1047.8744162949995,1.0,535.39,1.69,716.84,1.7103133195692204,entry_trailing_normal_long
75,18335,SOL,0.0,-0.68952586,1047.1848904349995,0.0,1047.1848904349995,1.0,2115.11,1.63,2831.95,1.6503293843464752,entry_trailing_normal_long
76,18386,SOL,6.739161930471738,-0.23136084,1053.6926915254712,0.0,1053.6926915254712,1.0,-696.87,1.66,2135.08,1.6503293843464752,close_trailing_long
77,18392,SOL,6.781035696251501,-0.23279840000000002,1060.2409288217227,0.0,1060.2409288217227,1.0,-701.2,1.66,1433.88,1.6503293843464752,close_trailing_long
78,18396,SOL,9.786551580500854,-0.2348385904,1069.7926418118236,0.0,1069.7926418118236,1.0,-705.56,1.6642,728.32,1.6503293843464752,close_trailing_long
79,18411,SOL,6.884607989900749,-0.23635411999999997,1076.4408956817244,0.0,1076.4408956817244,1.0,-711.91,1.66,16.41,1.6503293843464752,close_trailing_long
