,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,184,SOL,0.0,-0.00840802,999.99159198,0.0,999.99159198,1.0,17.59,2.39,17.59,2.39,entry_initial_normal_long
1,239,SOL,-0.029903000000000613,-0.0084020394,999.9532869405999,0.0,999.9532869405999,1.0,-17.59,2.3883,0.0,2.39,close_trailing_long
2,241,SOL,0.0,-0.00841092,999.9448760206,0.0,999.9448760206,1.0,17.67,2.38,17.67,2.38,entry_initial_normal_long
3,339,SOL,-0.058310999999997504,-0.0083992578,999.8781657628,0.0,999.8781657628,1.0,-17.67,2.3767,0.0,2.38,close_trailing_long
4,632,SOL,0.0,-0.00841104,999.8697547227999,0.0,999.8697547227999,1.0,17.82,2.36,17.82,2.36,entry_initial_normal_long
5,688,SOL,0.007127999999999215,-0.0084124656,999.8684702572,0.0,999.8684702572,1.0,-17.82,2.3604,0.0,2.36,close_trailing_long
6,690,SOL,0.0,-0.00841104,999.8600592171999,0.0,999.8600592171999,1.0,17.82,2.36,17.82,2.36,entry_initial_normal_long
7,845,SOL,0.3866940000000009,-0.0084883788,1000.2382648383999,0.0,1000.2382648383999,1.0,-17.82,2.3817,0.0,2.36,close_trailing_long
8,866,SOL,0.0,-0.008413,1000.2298518383999,0.0,1000.2298518383999,1.0,17.9,2.35,17.9,2.35,entry_initial_normal_long
9,870,SOL,-0.17900000000000413,-0.0083772,1000.0424746383999,0.0,1000.0424746383999,1.0,-17.9,2.34,0.0,2.35,close_trailing_long
10,871,SOL,0.0,-0.008408872000000001,1000.0340657663999,0.0,1000.0340657663999,1.0,17.96,2.341,17.96,2.341,entry_initial_normal_long
11,875,SOL,-0.017960000000006,-0.008405280000000001,1000.0077004863998,0.0,1000.0077004863998,1.0,-17.96,2.34,0.0,2.341,close_trailing_long
12,876,SOL,0.0,-0.008408869000000001,999.9992916173998,0.0,999.9992916173998,1.0,18.01,2.3345,18.01,2.3345,entry_initial_normal_long
13,902,SOL,0.03061700000000063,-0.0084149924,1000.0214936249997,0.0,1000.0214936249997,1.0,-18.01,2.3362,0.0,2.3345,close_trailing_long
14,904,SOL,0.0,-0.00840996,1000.0130836649997,0.0,1000.0130836649997,1.0,17.97,2.34,17.97,2.34,entry_initial_normal_long
15,925,SOL,-0.0970379999999973,-0.008390552400000001,999.9076551125997,0.0,999.9076551125997,1.0,-17.97,2.3346,0.0,2.34,close_trailing_long
16,926,SOL,0.0,-0.008407446599999998,999.8992476659997,0.0,999.8992476659997,1.0,17.99,2.3367,17.99,2.3367,entry_initial_normal_long
17,960,SOL,0.0,-0.007101,999.8921466659997,0.0,999.8921466659997,1.0,15.78,2.25,33.77,2.296186941071957,entry_grid_normal_long
18,1448,SOL,0.10175100000001361,-0.015528796800000001,999.9783688691997,0.0,999.9783688691997,1.0,-33.77,2.2992,0.0,2.296186941071957,close_trailing_long
19,1487,SOL,0.0,-0.00841172,999.9699571491997,0.0,999.9699571491997,1.0,18.61,2.26,18.61,2.26,entry_initial_normal_long
20,1892,SOL,1.4031940000000025,-0.0086923588,1001.3644587903997,0.0,1001.3644587903997,1.0,-18.61,2.3354,0.0,2.26,close_trailing_long
21,1993,SOL,0.0,-0.00842076,1001.3560380303996,0.0,1001.3560380303996,1.0,18.63,2.26,18.63,2.26,entry_initial_normal_long
22,2284,SOL,0.3185730000000021,-0.0084844746,1001.6661265557997,0.0,1001.6661265557997,1.0,-18.63,2.2771,0.0,2.26,close_trailing_long
23,2440,SOL,0.0,-0.008424,1001.6577025557997,0.0,1001.6577025557997,1.0,18.72,2.25,18.72,2.25,entry_initial_normal_long
24,2704,SOL,0.46987200000000223,-0.008517974400000001,1002.1190565813997,0.0,1002.1190565813997,1.0,-18.72,2.2751,0.0,2.25,close_trailing_long
25,2882,SOL,0.0,-0.0084298,1002.1106267813997,0.0,1002.1106267813997,1.0,18.65,2.26,18.65,2.26,entry_initial_normal_long
26,3126,SOL,0.0,-0.0070959000000000005,1002.1035308813997,0.0,1002.1035308813997,1.0,16.35,2.17,35.0,2.2179571428571427,entry_grid_normal_long
27,3128,SOL,0.0,-0.01307394,1002.0904569413997,0.0,1002.0904569413997,1.0,30.69,2.13,65.69,2.176864058456386,entry_grid_normal_long
28,3207,SOL,0.7380889999999937,-0.028747257800000002,1002.7997986835996,0.0,1002.7997986835996,1.0,-65.69,2.1881,0.0,2.176864058456386,close_trailing_long
29,3208,SOL,0.0,-0.0084348644,1002.7913638191997,0.0,1002.7913638191997,1.0,19.27,2.1886,19.27,2.1886,entry_initial_normal_long
30,3872,SOL,-0.16572199999999887,-0.008401720000000001,1002.6172400991996,0.0,1002.6172400991996,1.0,-19.27,2.18,0.0,2.1886,close_trailing_long
31,4073,SOL,0.0,-0.008432640000000002,1002.6088074591996,0.0,1002.6088074591996,1.0,19.52,2.16,19.52,2.16,entry_initial_normal_long
32,4244,SOL,0.478239999999995,-0.008528288,1003.0785191711997,0.0,1003.0785191711997,1.0,-19.52,2.1845,0.0,2.16,close_trailing_long
33,4263,SOL,0.0,-0.0084366,1003.0700825711997,0.0,1003.0700825711997,1.0,19.62,2.15,19.62,2.15,entry_initial_normal_long
34,4287,SOL,0.0,-0.0084366,1003.0616459711997,0.0,1003.0616459711997,1.0,-19.62,2.15,0.0,2.15,close_trailing_long
35,4288,SOL,0.0,-0.0084345944,1003.0532113767997,0.0,1003.0532113767997,1.0,19.64,2.1473,19.64,2.1473,entry_initial_normal_long
36,4318,SOL,-0.1433719999999973,-0.00840592,1002.9014334567997,0.0,1002.9014334567997,1.0,-19.64,2.14,0.0,2.1473,close_trailing_long
37,4320,SOL,0.0,-0.00843588,1002.8929975767998,0.0,1002.8929975767998,1.0,19.71,2.14,19.71,2.14,entry_initial_normal_long
38,4335,SOL,0.0,-0.00843588,1002.8845616967998,0.0,1002.8845616967998,1.0,-19.71,2.14,0.0,2.14,close_trailing_long
39,4356,SOL,0.0,-0.00843588,1002.8761258167998,0.0,1002.8761258167998,1.0,19.71,2.14,19.71,2.14,entry_initial_normal_long
40,4636,SOL,1.6142490000000018,-0.008758729800000002,1004.4816160869998,0.0,1004.4816160869998,1.0,-19.71,2.2219,0.0,2.14,close_trailing_long
41,5148,SOL,0.0,-0.00844902,1004.4731670669998,0.0,1004.4731670669998,1.0,19.29,2.19,19.29,2.19,entry_initial_normal_long
42,5231,SOL,0.0,-0.00844902,1004.4647180469999,0.0,1004.4647180469999,1.0,-19.29,2.19,0.0,2.19,close_trailing_long
43,5235,SOL,0.0,-0.008445320000000001,1004.4562727269999,0.0,1004.4562727269999,1.0,19.37,2.18,19.37,2.18,entry_initial_normal_long
44,5276,SOL,0.0,-0.008445320000000001,1004.447827407,0.0,1004.447827407,1.0,-19.37,2.18,0.0,2.18,close_trailing_long
45,5277,SOL,0.0,-0.008445320000000001,1004.439382087,0.0,1004.439382087,1.0,19.37,2.18,19.37,2.18,entry_initial_normal_long
46,5971,SOL,0.6198400000000006,-0.008569288000000001,1005.050652799,0.0,1005.050652799,1.0,-19.37,2.212,0.0,2.18,close_trailing_long
47,6392,SOL,0.0,-0.008452400000000002,1005.042200399,0.0,1005.042200399,1.0,19.21,2.2,19.21,2.2,entry_initial_normal_long
48,6634,SOL,0.48217099999999385,-0.008548834200000001,1005.5158225647999,0.0,1005.5158225647999,1.0,-19.21,2.2251,0.0,2.2,close_trailing_long
49,7066,SOL,0.0,-0.00845546,1005.5073671047999,0.0,1005.5073671047999,1.0,19.13,2.21,19.13,2.21,entry_initial_normal_long
50,7421,SOL,0.0,-0.00714828,1005.5002188247998,0.0,1005.5002188247998,1.0,16.78,2.13,35.91,2.1726176552492342,entry_grid_normal_long
51,7487,SOL,0.0,-0.01316282,1005.4870560047998,0.0,1005.4870560047998,1.0,31.49,2.09,67.4,2.1340178041543023,entry_grid_normal_long
52,8733,SOL,0.0,-0.024231,1005.4628250047998,0.0,1005.4628250047998,1.0,59.1,2.05,126.5,2.0947652173913043,entry_grid_normal_long
53,9115,SOL,0.0,-0.044593860000000006,1005.4182311447998,0.0,1005.4182311447998,1.0,110.93,2.01,237.43,2.0551619424672536,entry_grid_normal_long
54,9115,SOL,0.0,-0.0820308,1005.3362003447999,0.0,1005.3362003447999,1.0,208.2,1.97,445.63,2.0153739649485,entry_grid_normal_long
55,9263,SOL,0.0,-0.19949568,1005.1367046647998,0.0,1005.1367046647998,1.0,519.52,1.92,965.15,1.964036160182355,entry_grid_inflated_long
56,9401,SOL,0.0,-0.20949184920000002,1004.9272128155998,0.0,1004.9272128155998,1.0,533.71,1.9626,1498.86,1.9635247761632175,entry_trailing_cropped_long
57,9402,SOL,-0.1579643807427016,-0.014651645400000001,1004.7545967894571,0.0,1004.7545967894571,1.0,-37.39,1.9593,1461.47,1.9635247761632175,close_unstuck_long
58,9403,SOL,-0.2366731240275978,-0.014647684800000003,1004.5032759806295,0.0,1004.5032759806295,1.0,-37.42,1.9572,1424.05,1.9635247761632175,close_unstuck_long
59,9404,SOL,-0.13168563745780795,-0.014645120000000001,1004.3569452231717,0.0,1004.3569452231717,1.0,-37.36,1.96,1386.69,1.9635247761632175,close_unstuck_long
60,9405,SOL,0.16280207896667534,-0.0146451118,1004.5051021903383,0.0,1004.5051021903383,1.0,-37.21,1.9679,1349.48,1.9635247761632175,close_unstuck_long
61,9406,SOL,-0.12421363745780878,-0.014646614399999999,1004.3662419384805,0.0,1004.3662419384805,1.0,-37.36,1.9602,1312.12,1.9635247761632175,close_unstuck_long
62,10320,SOL,0.0,-0.0728806624,1004.2933612760804,0.0,1004.2933612760804,1.0,184.34,1.9768,1496.46,1.9651600719693683,entry_trailing_cropped_long
63,10321,SOL,-0.2940452923740651,-0.014644518599999998,1003.9846714651063,0.0,1003.9846714651063,1.0,-37.41,1.9573,1459.05,1.9651600719693683,close_unstuck_long
64,10322,SOL,-0.6599075046088593,-0.014638161599999998,1003.3101257988975,0.0,1003.3101257988975,1.0,-37.58,1.9476,1421.47,1.9651600719693683,close_unstuck_long
65,10323,SOL,-0.6481157024497795,-0.014628728999999998,1002.6473813674477,0.0,1002.6473813674477,1.0,-37.55,1.9479,1383.92,1.9651600719693683,close_unstuck_long
66,10324,SOL,-0.48522509453315005,-0.0146180736,1002.1475381993146,0.0,1002.1475381993146,1.0,-37.44,1.9522,1346.48,1.9651600719693683,close_unstuck_long
67,10325,SOL,-0.5038104938134543,-0.014610426200000002,1001.6291172793011,0.0,1001.6291172793011,1.0,-37.43,1.9517,1309.05,1.9651600719693683,close_unstuck_long
68,10480,SOL,0.18306038324582952,-0.0765835272,1001.7355941353469,0.0,1001.7355941353469,1.0,-194.76,1.9661,1114.29,1.9651600719693683,close_trailing_long
69,10984,SOL,0.0,-0.148666378,1001.5869277573469,0.0,1001.5869277573469,1.0,367.15,2.0246,1481.44,1.9798912589067035,entry_trailing_cropped_long
70,10985,SOL,1.4744198157008093,-0.014601578200000003,1003.0467459948477,0.0,1003.0467459948477,1.0,-36.13,2.0207,1445.31,1.9798912589067035,close_unstuck_long
71,10986,SOL,1.6360986408789333,-0.0146259944,1004.6682186413266,0.0,1004.6682186413266,1.0,-36.11,2.0252,1409.2,1.9798912589067035,close_unstuck_long
72,10987,SOL,1.624349165344533,-0.0146474032,1006.2779204034711,0.0,1006.2779204034711,1.0,-36.17,2.0248,1373.03,1.9798912589067035,close_unstuck_long
73,10988,SOL,2.2034361548930734,-0.0146721456,1008.4666844127642,0.0,1008.4666844127642,1.0,-35.94,2.0412,1337.09,1.9798912589067035,close_unstuck_long
74,10993,SOL,19.289534278988338,-0.08092715400000002,1027.6752915377524,0.0,1027.6752915377524,1.0,-194.63,2.079,1142.46,1.9798912589067035,close_trailing_long
75,10997,SOL,16.543289708444416,-0.0818469844,1044.1367342617968,0.0,1044.1367342617968,1.0,-198.34,2.0633,944.12,1.9798912589067035,close_trailing_long
76,11001,SOL,11.95189750512114,-0.08218791680000001,1056.0064438501179,0.0,1056.0064438501179,1.0,-201.52,2.0392,742.6,1.9798912589067035,close_trailing_long
