,balance,equity,balance_btc,equity_btc
0,999.949011328,1000.0,0.0,0.0
60,999.949011328,1000.0,0.0,0.0
120,999.949011328,1000.0,0.0,0.0
180,999.949011328,1000.0,0.0,0.0
240,999.939834048,999.949011328,0.0,0.0
300,999.8670454928,999.918626048,0.0,-0.021208000000001948
360,999.8670454928,999.8670454928,0.0,0.0
420,999.8670454928,999.8670454928,0.0,0.0
480,999.8670454928,999.8670454928,0.0,0.0
540,999.8670454928,999.8670454928,0.0,0.0
600,999.8578698128,999.8670454928,0.0,0.0
660,999.8472894776,999.5973738128,0.0,-0.26049599999999723
720,999.8472894776,999.1695984776001,0.0,-0.6776909999999992
780,999.8472894776,1000.0796964776,0.0,0.2324069999999961
840,1000.1962109014001,1000.4566254776,0.0,0.6093360000000023
900,1000.0869772750002,1000.2866469014001,0.0,0.0904360000000075
960,1000.0793002750003,998.3398122750003,0.0,-1.739487999999988
1020,1000.0793002750003,998.4462422750003,0.0,-1.6330579999999915
1080,1000.0793002750003,998.3508222750003,0.0,-1.7284779999999973
1140,1000.0793002750003,998.6627722750003,0.0,-1.4165279999999907
1200,1000.0793002750003,998.4756022750003,0.0,-1.6036979999999947
1260,1000.0793002750003,999.4261322750003,0.0,-0.6531679999999933
1320,1000.0793002750003,999.0628022750003,0.0,-1.0164979999999941
1380,1000.0793002750003,999.4701722750003,0.0,-0.6091279999999981
1440,1000.1560960270002,1000.5161222750003,0.0,0.436822000000009
1500,1000.1560960270002,1000.2089020270002,0.0,0.0528060000000032
1560,1000.1560960270002,1000.0281430270002,0.0,-0.12795299999999943
1620,1000.1560960270002,999.6869350270002,0.0,-0.4691609999999979
1680,1000.1560960270002,1000.0159570270002,0.0,-0.1401389999999981
1740,1000.1560960270002,1000.0606390270002,0.0,-0.09545699999999399
1800,1000.1560960270002,1000.1987470270002,0.0,0.04265100000000883
1860,1001.6779836322003,1000.6171330270002,0.0,0.4610370000000078
1920,1001.6779836322003,1001.6779836322003,0.0,0.0
1980,1001.6687899522003,1001.6779836322003,0.0,0.0
2040,1001.6687899522003,1001.3230099522003,0.0,-0.34577999999999803
2100,1001.6687899522003,1001.5264099522003,0.0,-0.14237999999999335
2160,1001.6687899522003,1001.3230099522003,0.0,-0.34577999999999803
2220,1001.6687899522003,1001.9698219522003,0.0,0.30103200000000296
2280,1002.0073407094003,1002.1060999522003,0.0,0.43731000000000153
2340,1002.0073407094003,1002.0073407094003,0.0,0.0
2400,1001.9981427094003,1002.0073407094003,0.0,0.0
2460,1001.9981427094003,1002.1248707094003,0.0,0.1267280000000042
2520,1001.9981427094003,1002.7850827094003,0.0,0.7869399999999996
2580,1001.9981427094003,1002.7666867094003,0.0,0.7685439999999971
2640,1001.9981427094003,1002.9669987094003,0.0,0.9688560000000023
2700,1002.5018861006004,1002.9567787094003,0.0,0.9586359999999988
2760,1002.5018861006004,1002.5018861006004,0.0,0.0
2820,1002.5018861006004,1002.5018861006004,0.0,0.0
2880,1002.4926833806004,1002.5018861006004,0.0,0.0
2940,1002.4926833806004,1002.0956633806004,0.0,-0.39701999999999693
3000,1002.4926833806004,1002.2687233806004,0.0,-0.22395999999999341
3060,1002.4926833806004,1002.1933913806004,0.0,-0.29929199999999867
3120,1002.4709223606004,1001.7128953806003,0.0,-0.779788
3180,1003.2076845736003,1001.0151593606004,0.0,-1.4557630000000283
3240,1003.2076845736003,1003.1487725736004,0.0,-0.05891200000000285
3300,1003.2076845736003,1002.6564365736003,0.0,-0.5512480000000046
3360,1003.2076845736003,1002.1851405736003,0.0,-1.0225439999999995
3420,1003.2076845736003,1002.5933165736003,0.0,-0.6143679999999977
3480,1003.2076845736003,1002.4460365736003,0.0,-0.7616480000000002
3540,1003.2076845736003,1002.7868845736003,0.0,-0.42080000000000034
3600,1003.2076845736003,1002.9783485736003,0.0,-0.2293359999999981
3660,1003.2076845736003,1002.7763645736003,0.0,-0.43132000000000387
3720,1003.2076845736003,1002.5365085736003,0.0,-0.6711760000000054
3780,1003.2076845736003,1002.6690605736003,0.0,-0.5386240000000061
3840,1003.0175671336003,1003.1761245736003,0.0,-0.03156000000000119
3900,1003.0175671336003,1003.0175671336003,0.0,0.0
3960,1003.0175671336003,1003.0175671336003,0.0,0.0
4020,1003.0083612136003,1003.0175671336003,0.0,0.0
4080,1003.0083612136003,1002.9870512136004,0.0,-0.021310000000007115
4140,1003.0083612136003,1002.9614792136003,0.0,-0.046882000000004295
