,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,137,DOGE,0.0,-0.004563756,999.995436244,0.0,999.995436244,1.0,54.0,0.42257,54.0,0.42257,entry_initial_normal_long
1,142,DOGE,0.0,-0.005448828,999.989987416,0.0,999.989987416,1.0,66.0,0.41279,120.0,0.417191,entry_grid_normal_long
2,151,DOGE,0.485880000000003,-0.01010976,1000.4657576559999,0.0,1000.4657576559999,1.0,-120.0,0.42124,0.0,0.417191,close_grid_long
3,153,DOGE,0.0,-0.004609,1000.461148656,0.0,1000.461148656,1.0,55.0,0.419,55.0,0.419,entry_initial_normal_long
4,163,DOGE,0.22605000000000014,-0.00465421,1000.682544446,0.0,1000.682544446,1.0,-55.0,0.42311,0.0,0.419,close_grid_long
5,171,DOGE,0.0,-0.0045930499999999996,1000.6779513959999,0.0,1000.6779513959999,1.0,55.0,0.41755,55.0,0.41755,entry_initial_normal_long
6,175,DOGE,0.2249500000000021,-0.00463804,1000.8982633559999,0.0,1000.8982633559999,1.0,-55.0,0.42164,0.0,0.41755,close_grid_long
7,179,DOGE,0.0,-0.0045826,1000.8936807559999,0.0,1000.8936807559999,1.0,55.0,0.4166,55.0,0.4166,entry_initial_normal_long
8,182,DOGE,0.0,-0.005453264,1000.8882274919998,0.0,1000.8882274919998,1.0,67.0,0.40696,122.0,0.41130590163934433,entry_grid_normal_long
9,210,DOGE,0.48727999999999216,-0.010133320000000001,1001.3653741719999,0.0,1001.3653741719999,1.0,-122.0,0.4153,0.0,0.41130590163934433,close_grid_long
10,356,DOGE,0.0,-0.0045713920000000005,1001.3608027799999,0.0,1001.3608027799999,1.0,56.0,0.40816,56.0,0.40816,entry_initial_normal_long
11,361,DOGE,0.2240000000000002,-0.004616192000000001,1001.5801865879998,0.0,1001.5801865879998,1.0,-56.0,0.41216,0.0,0.40816,close_grid_long
12,362,DOGE,0.0,-0.004563104,1001.5756234839998,0.0,1001.5756234839998,1.0,56.0,0.40742,56.0,0.40742,entry_initial_normal_long
13,386,DOGE,0.0,-0.005492262,1001.5701312219999,0.0,1001.5701312219999,1.0,69.0,0.39799,125.0,0.40221464000000007,entry_grid_normal_long
14,406,DOGE,0.0,-0.012014784,1001.5581164379998,0.0,1001.5581164379998,1.0,153.0,0.39264,278.0,0.3969451438848921,entry_grid_normal_long
