,balance,equity,balance_btc,equity_btc
0,1000.605571126,1000.0,0.0,0.0
60,1000.605571126,1000.605571126,0.0,0.0
120,1000.571029036,1000.605571126,0.0,0.0
180,1001.9920491879999,997.213279036,0.0,-3.357749999999992
240,1001.9920491879999,1001.9920491879999,0.0,0.0
300,1001.9574638619999,1001.9920491879999,0.0,0.0
360,1002.537264568,1002.5910848679999,0.0,0.0
420,1003.5500808979999,1000.4358645679999,0.0,-2.101400000000025
480,1003.5500808979999,1003.5500808979999,0.0,0.0
540,1003.5500808979999,1003.5500808979999,0.0,0.0
600,1003.5500808979999,1003.5500808979999,0.0,0.0
660,1004.71949573,1003.5500808979999,0.0,0.0
720,1005.35856325,1005.35856325,0.0,0.0
780,1005.3238271499999,1005.35856325,0.0,0.0
840,1005.960326776,1004.74002715,0.0,-0.583799999999982
900,1006.625904826,1005.960326776,0.0,0.0
960,1006.625904826,1006.625904826,0.0,0.0
1020,1006.625904826,1006.625904826,0.0,0.0
1080,1006.625904826,1006.625904826,0.0,0.0
1140,1006.625904826,1006.625904826,0.0,0.0
1200,1007.2303740340001,1006.625904826,0.0,0.0
1260,1007.2303740340001,1007.2303740340001,0.0,0.0
1320,1007.2303740340001,1007.2303740340001,0.0,0.0
1380,1007.1956328100001,1007.2303740340001,0.0,0.0
1440,1007.1548206460001,1005.3823128100001,0.0,-1.8133199999999978
1500,1008.620079034,1005.166980646,0.0,-1.987840000000063
1560,1008.620079034,1008.620079034,0.0,0.0
1620,1011.043705144,1008.9206301140001,0.0,0.33540000000000125
1680,1011.043705144,1011.043705144,0.0,0.0
1740,1011.043705144,1011.043705144,0.0,0.0
1800,1011.043705144,1011.043705144,0.0,0.0
1860,1011.59715268,1011.043705144,0.0,0.0
1920,1013.0523991540001,1007.25393268,0.0,-4.343219999999965
1980,1013.0523991540001,1013.0523991540001,0.0,0.0
2040,1013.0523991540001,1013.0523991540001,0.0,0.0
2100,1013.0523991540001,1013.0523991540001,0.0,0.0
2160,1014.8814799240001,1013.0523991540001,0.0,0.0
2220,1015.4907286240001,1014.8814799240001,0.0,0.0
2280,1016.65754315,1015.4907286240001,0.0,0.0
2340,1018.913004498,1014.17349315,0.0,-2.484050000000013
2400,1018.913004498,1018.913004498,0.0,0.0
2460,1018.913004498,1018.913004498,0.0,0.0
2520,1018.877837058,1018.913004498,0.0,0.0
2580,1018.877837058,1015.1818370579999,0.0,-3.6960000000000033
2640,1018.76362868,1015.7824370579999,0.0,-3.0953999999999926
2700,1022.519326012,1015.98933868,0.0,-2.774290000000076
2760,1023.570600432,1022.519326012,0.0,0.0
2820,1023.570600432,1023.570600432,0.0,0.0
2880,1023.570600432,1023.570600432,0.0,0.0
2940,1024.184211952,1023.570600432,0.0,0.0
3000,1024.184211952,1024.184211952,0.0,0.0
3060,1025.3036045919998,1024.184211952,0.0,0.0
3120,1025.3036045919998,1025.3036045919998,0.0,0.0
3180,1025.3036045919998,1025.3036045919998,0.0,0.0
3240,1025.3036045919998,1025.3036045919998,0.0,0.0
3300,1025.3036045919998,1025.3036045919998,0.0,0.0
3360,1025.3036045919998,1025.3036045919998,0.0,0.0
3420,1025.3036045919998,1025.3036045919998,0.0,0.0
3480,1025.3036045919998,1025.3036045919998,0.0,0.0
3540,1025.3036045919998,1025.3036045919998,0.0,0.0
3600,1025.920644808,1025.3036045919998,0.0,0.0
3660,1026.538383258,1025.920644808,0.0,0.0
3720,1026.538383258,1026.538383258,0.0,0.0
3780,1026.538383258,1026.538383258,0.0,0.0
3840,1026.538383258,1026.538383258,0.0,0.0
3900,1026.538383258,1026.538383258,0.0,0.0
3960,1026.538383258,1026.538383258,0.0,0.0
4020,1026.538383258,1026.538383258,0.0,0.0
4080,1026.538383258,1026.538383258,0.0,0.0
4140,1026.538383258,1026.538383258,0.0,0.0
4200,1026.538383258,1026.538383258,0.0,0.0
4260,1026.5029730180001,1026.538383258,0.0,0.0
4320,1026.461431996,1023.2619730180002,0.0,-3.2410000000000028
4380,1026.461431996,1020.873521996,0.0,-5.587910000000089
4440,1027.954446678,1026.0085219960001,0.0,-0.45291000000008397
4500,1027.954446678,1027.954446678,0.0,0.0
4560,1027.954446678,1027.954446678,0.0,0.0
4620,1027.954446678,1027.954446678,0.0,0.0
4680,1027.954446678,1027.954446678,0.0,0.0
4740,1027.954446678,1027.954446678,0.0,0.0
4800,1027.954446678,1027.954446678,0.0,0.0
4860,1027.954446678,1027.954446678,0.0,0.0
4920,1028.5398614020003,1027.954446678,0.0,0.0
4980,1029.1977221920004,1026.6483614020003,0.0,-1.891500000000007
5040,1029.1977221920004,1029.1977221920004,0.0,0.0
5100,1029.1977221920004,1029.1977221920004,0.0,0.0
5160,1029.1977221920004,1029.1977221920004,0.0,0.0
5220,1029.1977221920004,1029.1977221920004,0.0,0.0
5280,1029.1977221920004,1029.1977221920004,0.0,0.0
5340,1029.1977221920004,1029.1977221920004,0.0,0.0
5400,1029.1977221920004,1029.1977221920004,0.0,0.0
5460,1029.1977221920004,1029.1977221920004,0.0,0.0
5520,1029.1977221920004,1029.1977221920004,0.0,0.0
5580,1029.1977221920004,1029.1977221920004,0.0,0.0
5640,1029.1977221920004,1029.1977221920004,0.0,0.0
5700,1029.1977221920004,1029.1977221920004,0.0,0.0
5760,1029.1977221920004,1029.1977221920004,0.0,0.0
5820,1029.1977221920004,1029.1977221920004,0.0,0.0
5880,1029.1977221920004,1029.1977221920004,0.0,0.0
5940,1029.1977221920004,1029.1977221920004,0.0,0.0
6000,1029.1977221920004,1029.1977221920004,0.0,0.0
6060,1029.1977221920004,1029.1977221920004,0.0,0.0
6120,1029.1977221920004,1029.1977221920004,0.0,0.0
6180,1029.1977221920004,1029.1977221920004,0.0,0.0
6240,1029.1977221920004,1029.1977221920004,0.0,0.0
6300,1029.1977221920004,1029.1977221920004,0.0,0.0
6360,1029.1977221920004,1029.1977221920004,0.0,0.0
6420,1029.1977221920004,1029.1977221920004,0.0,0.0
6480,1029.1977221920004,1029.1977221920004,0.0,0.0
6540,1029.1977221920004,1029.1977221920004,0.0,0.0
6600,1029.1977221920004,1029.1977221920004,0.0,0.0
6660,1029.1977221920004,1029.1977221920004,0.0,0.0
6720,1029.1977221920004,1029.1977221920004,0.0,0.0
6780,1029.1977221920004,1029.1977221920004,0.0,0.0
6840,1029.1977221920004,1029.1977221920004,0.0,0.0
6900,1029.1977221920004,1029.1977221920004,0.0,0.0
6960,1029.1977221920004,1029.1977221920004,0.0,0.0
7020,1029.1977221920004,1029.1977221920004,0.0,0.0
7080,1029.1977221920004,1029.1977221920004,0.0,0.0
7140,1029.1977221920004,1029.1977221920004,0.0,0.0
7200,1029.1977221920004,1029.1977221920004,0.0,0.0
7260,1029.1977221920004,1029.1977221920004,0.0,0.0
7320,1029.1977221920004,1029.1977221920004,0.0,0.0
7380,1029.1621955420003,1029.1977221920004,0.0,0.0
7440,1029.1621955420003,1028.6995455420004,0.0,-0.4626500000000031
7500,1029.1424691260004,1029.0404455420003,0.0,-0.12175000000001363
7560,1029.1424691260004,1026.1859391260004,0.0,-2.956530000000029
7620,1029.1424691260004,1027.1051391260003,0.0,-2.0373300000000456
7680,1029.1424691260004,1027.0285391260004,0.0,-2.113930000000037
7740,1029.1424691260004,1026.3391391260004,0.0,-2.803330000000046
7800,1028.7870302020006,1025.7263391260003,0.0,-3.416130000000021
7860,1039.7963937440006,1009.2015802020005,0.0,-19.58545000000006
7920,1041.012503928001,1039.7963937440006,0.0,0.0
7980,1044.1857064720011,1041.674318966001,0.0,0.0
8040,1044.1857064720011,1044.1857064720011,0.0,0.0
8100,1044.8164513220013,1044.1857064720011,0.0,0.0
8160,1044.7379946520011,1044.8164513220013,0.0,0.0
8220,1046.253619102001,1043.4865446520012,0.0,-1.2514499999999733
8280,1046.884336294001,1046.253619102001,0.0,0.0
8340,1046.884336294001,1046.884336294001,0.0,0.0
8400,1046.884336294001,1046.884336294001,0.0,0.0
8460,1046.884336294001,1046.884336294001,0.0,0.0
8520,1046.884336294001,1046.884336294001,0.0,0.0
8580,1046.884336294001,1046.884336294001,0.0,0.0
8640,1046.884336294001,1046.884336294001,0.0,0.0
8700,1046.884336294001,1046.884336294001,0.0,0.0
8760,1048.475311456001,1046.884336294001,0.0,0.0
8820,1049.5494247160009,1048.475311456001,0.0,0.0
8880,1054.2433441220007,1045.9539847160008,0.0,-3.5954400000000013
8940,1054.2433441220007,1054.2433441220007,0.0,0.0
9000,1054.2433441220007,1054.2433441220007,0.0,0.0
9060,1054.2433441220007,1054.2433441220007,0.0,0.0
9120,1054.2433441220007,1054.2433441220007,0.0,0.0
9180,1054.2433441220007,1054.2433441220007,0.0,0.0
