,balance,equity,balance_btc,equity_btc
0,1000.123518916,1000.0,0.0,0.0
60,1000.123518916,1000.0,0.0,0.0
120,1000.123518916,1000.0,0.0,0.0
180,1000.123518916,1000.0,0.0,0.0
240,1000.123518916,1000.0,0.0,0.0
300,1000.123518916,1000.0,0.0,0.0
360,1000.123518916,1000.0,0.0,0.0
420,1000.123518916,1000.0,0.0,0.0
480,1000.123518916,1000.0,0.0,0.0
540,1000.123518916,1000.0,0.0,0.0
600,1000.123518916,1000.0,0.0,0.0
660,1000.123518916,1000.0,0.0,0.0
720,1000.123518916,1000.0,0.0,0.0
780,1000.123518916,1000.0,0.0,0.0
840,1000.123518916,1000.0,0.0,0.0
900,1000.123518916,1000.123518916,0.0,0.0
960,1000.123518916,1000.123518916,0.0,0.0
1020,1000.123518916,1000.123518916,0.0,0.0
1080,1000.123518916,1000.123518916,0.0,0.0
1140,1000.123518916,1000.123518916,0.0,0.0
1200,1000.1828542586546,1000.123518916,0.0,0.0
1260,1000.5846208917998,1000.4642615909999,0.0,0.2814073323451917
1320,1001.0950421504,1000.5846208917998,0.0,0.0
1380,1001.2162887622,1001.1072156536,0.0,0.00640300000000085
1440,1001.3432743926,1001.2162887622,0.0,0.0
1500,1001.3432743926,1001.3432743926,0.0,0.0
1560,1001.3432743926,1001.3432743926,0.0,0.0
1620,1001.3432743926,1001.3432743926,0.0,0.0
1680,1001.3432743926,1001.3432743926,0.0,0.0
1740,1001.4363442816,1001.3432743926,0.0,0.0
1800,1005.8591087929356,998.6736002816,0.0,-2.7627440000000085
1860,1005.9106845652417,1005.8194583492,0.0,-0.03965044373558531
1920,1006.1218509076,1005.315957814,0.0,-0.5947267512417234
1980,1006.1218509076,1006.1218509076,0.0,0.0
2040,1006.0644859304722,1006.1218509076,0.0,0.0
2100,1006.9980811970001,1005.6852391248001,0.0,-0.3792468056721064
2160,1006.9980811970001,1006.9980811970001,0.0,0.0
2220,1008.4498920246001,1006.9980811970001,0.0,0.0
2280,1008.4498920246001,1008.4498920246001,0.0,0.0
2340,1008.4498920246001,1008.4498920246001,0.0,0.0
2400,1008.4498920246001,1008.4498920246001,0.0,0.0
2460,1008.4498920246001,1008.4498920246001,0.0,0.0
2520,1008.4498920246001,1008.4498920246001,0.0,0.0
2580,1008.6591279057404,1008.4498920246001,0.0,0.0
2640,1010.7688187762001,1009.3870437654,0.0,0.7279158596595963
2700,1010.9856514508001,1010.7688187762001,0.0,0.0
2760,1010.9856514508001,1010.9856514508001,0.0,0.0
2820,1010.9856514508001,1010.9856514508001,0.0,0.0
2880,1010.9856514508001,1010.9856514508001,0.0,0.0
2940,1010.9856514508001,1010.9856514508001,0.0,0.0
3000,1010.9856514508001,1010.9856514508001,0.0,0.0
3060,1010.9856514508001,1010.9856514508001,0.0,0.0
3120,1010.9856514508001,1010.9856514508001,0.0,0.0
3180,1010.9856514508001,1010.9856514508001,0.0,0.0
3240,1010.9856514508001,1010.9856514508001,0.0,0.0
3300,1010.9856514508001,1010.9856514508001,0.0,0.0
3360,1011.1740850782184,1010.9856514508001,0.0,0.0
3420,1011.4694883846001,1011.2780834362001,0.0,0.10399835798173175
3480,1011.4694883846001,1011.4694883846001,0.0,0.0
3540,1011.4694883846001,1011.4694883846001,0.0,0.0
3600,1011.4694883846001,1011.4694883846001,0.0,0.0
3660,1011.4603430142001,1011.4694883846001,0.0,0.0
3720,1011.9235001644001,1010.7639950142002,0.0,-0.6963480000000002
3780,1011.9235001644001,1011.9235001644001,0.0,0.0
3840,1011.9235001644001,1011.9235001644001,0.0,0.0
3900,1011.9235001644001,1011.9235001644001,0.0,0.0
3960,1011.9235001644001,1011.9235001644001,0.0,0.0
4020,1011.9235001644001,1011.9235001644001,0.0,0.0
4080,1011.9235001644001,1011.9235001644001,0.0,0.0
4140,1011.9235001644001,1011.9235001644001,0.0,0.0
4200,1011.9235001644001,1011.9235001644001,0.0,0.0
4260,1011.9235001644001,1011.9235001644001,0.0,0.0
4320,1011.9235001644001,1011.9235001644001,0.0,0.0
4380,1011.9235001644001,1011.9235001644001,0.0,0.0
4440,1011.9235001644001,1011.9235001644001,0.0,0.0
4500,1011.9235001644001,1011.9235001644001,0.0,0.0
4560,1011.9235001644001,1011.9235001644001,0.0,0.0
4620,1011.9235001644001,1011.9235001644001,0.0,0.0
4680,1011.9071931488002,1011.9235001644001,0.0,0.0
4740,1011.9024655028002,1011.5863121488002,0.0,-0.32088099999999903
4800,1011.9024655028002,1011.0876855028001,0.0,-0.8147799999999993
4860,1011.9596338101006,1011.7938615028002,0.0,-0.1086039999999991
4920,1011.9596338101006,1011.8088262632001,0.0,-0.1508075469004891
4980,1011.9596338101006,1011.7944802632002,0.0,-0.16515354690048892
5040,1011.9596338101006,1011.8805562632001,0.0,-0.07907754690048993
5100,1012.1560286216001,1011.8279542632001,0.0,-0.13167954690048864
5160,1012.1560286216001,1012.1560286216001,0.0,0.0
5220,1012.1560286216001,1012.1560286216001,0.0,0.0
5280,1012.1560286216001,1012.1560286216001,0.0,0.0
5340,1012.1560286216001,1012.1560286216001,0.0,0.0
5400,1012.1560286216001,1012.1560286216001,0.0,0.0
5460,1012.1560286216001,1012.1560286216001,0.0,0.0
5520,1012.1560286216001,1012.1560286216001,0.0,0.0
5580,1012.1560286216001,1012.1560286216001,0.0,0.0
5640,1012.1560286216001,1012.1560286216001,0.0,0.0
5700,1012.1560286216001,1012.1560286216001,0.0,0.0
5760,1012.1560286216001,1012.1560286216001,0.0,0.0
5820,1012.1560286216001,1012.1560286216001,0.0,0.0
5880,1012.1560286216001,1012.1560286216001,0.0,0.0
5940,1012.1560286216001,1012.1560286216001,0.0,0.0
6000,1012.1560286216001,1012.1560286216001,0.0,0.0
6060,1012.1560286216001,1012.1560286216001,0.0,0.0
6120,1012.1560286216001,1012.1560286216001,0.0,0.0
6180,1012.1560286216001,1012.1560286216001,0.0,0.0
6240,1012.1560286216001,1012.1560286216001,0.0,0.0
6300,1012.1560286216001,1012.1560286216001,0.0,0.0
6360,1012.1560286216001,1012.1560286216001,0.0,0.0
6420,1012.1560286216001,1012.1560286216001,0.0,0.0
6480,1012.1560286216001,1012.1560286216001,0.0,0.0
6540,1012.1560286216001,1012.1560286216001,0.0,0.0
6600,1012.1560286216001,1012.1560286216001,0.0,0.0
6660,1012.1560286216001,1012.1560286216001,0.0,0.0
6720,1012.1560286216001,1012.1560286216001,0.0,0.0
6780,1012.1560286216001,1012.1560286216001,0.0,0.0
6840,1012.1560286216001,1012.1560286216001,0.0,0.0
6900,1012.8000304846001,1012.1560286216001,0.0,0.0
6960,1012.8000304846001,1012.8000304846001,0.0,0.0
7020,1012.8000304846001,1012.8000304846001,0.0,0.0
7080,1012.8000304846001,1012.8000304846001,0.0,0.0
7140,1012.8000304846001,1012.8000304846001,0.0,0.0
7200,1012.8000304846001,1012.8000304846001,0.0,0.0
7260,1013.0603169992002,1012.8000304846001,0.0,0.0
7320,1013.0603169992002,1013.0603169992002,0.0,0.0
7380,1013.0603169992002,1013.0603169992002,0.0,0.0
7440,1013.0603169992002,1013.0603169992002,0.0,0.0
7500,1013.0603169992002,1013.0603169992002,0.0,0.0
7560,1013.0603169992002,1013.0603169992002,0.0,0.0
7620,1013.0603169992002,1013.0603169992002,0.0,0.0
7680,1013.0603169992002,1013.0603169992002,0.0,0.0
7740,1013.0603169992002,1013.0603169992002,0.0,0.0
7800,1013.0603169992002,1013.0603169992002,0.0,0.0
7860,1013.5982422424003,1013.0603169992002,0.0,0.0
7920,1013.5982422424003,1013.5982422424003,0.0,0.0
7980,1014.1631450624003,1013.5982422424003,0.0,0.0
8040,1014.1631450624003,1014.1631450624003,0.0,0.0
8100,1014.1631450624003,1014.1631450624003,0.0,0.0
8160,1014.4393853166004,1014.1631450624003,0.0,0.0
8220,1014.5538011086004,1014.4510553166003,0.0,0.011669999999999861
8280,1014.6958116918004,1014.5538011086004,0.0,0.0
8340,1014.6958116918004,1014.6958116918004,0.0,0.0
8400,1014.6122669011124,1014.6958116918004,0.0,0.0
8460,1014.7692244758005,1014.3453951258003,0.0,-0.2668717753120687
8520,1014.7692244758005,1014.7692244758005,0.0,0.0
8580,1014.7692244758005,1014.7692244758005,0.0,0.0
8640,1014.7692244758005,1014.7692244758005,0.0,0.0
8700,1014.7692244758005,1014.7692244758005,0.0,0.0
8760,1014.7692244758005,1014.7692244758005,0.0,0.0
8820,1014.7692244758005,1014.7692244758005,0.0,0.0
8880,1014.7692244758005,1014.7692244758005,0.0,0.0
8940,1014.7692244758005,1014.7692244758005,0.0,0.0
9000,1014.7692244758005,1014.7692244758005,0.0,0.0
9060,1014.7692244758005,1014.7692244758005,0.0,0.0
9120,1014.7692244758005,1014.7692244758005,0.0,0.0
9180,1014.7692244758005,1014.7692244758005,0.0,0.0
9240,1014.7692244758005,1014.7692244758005,0.0,0.0
9300,1014.7692244758005,1014.7692244758005,0.0,0.0
9360,1014.7692244758005,1014.7692244758005,0.0,0.0
9420,1014.7692244758005,1014.7692244758005,0.0,0.0
9480,1014.7692244758005,1014.7692244758005,0.0,0.0
9540,1014.7692244758005,1014.7692244758005,0.0,0.0
9600,1014.7692244758005,1014.7692244758005,0.0,0.0
9660,1014.7692244758005,1014.7692244758005,0.0,0.0
9720,1014.7692244758005,1014.7692244758005,0.0,0.0
9780,1014.7692244758005,1014.7692244758005,0.0,0.0
9840,1014.7692244758005,1014.7692244758005,0.0,0.0
9900,1014.7692244758005,1014.7692244758005,0.0,0.0
9960,1015.3720709844005,1014.7692244758005,0.0,0.0
10020,1015.3720709844005,1015.3720709844005,0.0,0.0
10080,1015.3720709844005,1015.3720709844005,0.0,0.0
10140,1015.3720709844005,1015.3720709844005,0.0,0.0
10200,1015.3720709844005,1015.3720709844005,0.0,0.0
10260,1015.3720709844005,1015.3720709844005,0.0,0.0
10320,1015.3720709844005,1015.3720709844005,0.0,0.0
10380,1015.3720709844005,1015.3720709844005,0.0,0.0
10440,1015.3720709844005,1015.3720709844005,0.0,0.0
10500,1015.3720709844005,1015.3720709844005,0.0,0.0
10560,1015.3720709844005,1015.3720709844005,0.0,0.0
10620,1015.3720709844005,1015.3720709844005,0.0,0.0
10680,1015.3720709844005,1015.3720709844005,0.0,0.0
10740,1015.3720709844005,1015.3720709844005,0.0,0.0
10800,1015.3628905884004,1015.3720709844005,0.0,0.0
10860,1015.3360203366004,1014.5824105884004,0.0,-0.7804799999999978
10920,1015.3360203366004,1015.2897723366004,0.0,-0.04624800000000112
10980,1015.3360203366004,1015.1625903366004,0.0,-0.17343000000000044
11040,1015.3360203366004,1015.0758753366005,0.0,-0.2601449999999994
11100,1015.3360203366004,1014.8330733366005,0.0,-0.502946999999999
11160,1015.3360203366004,1014.8561973366004,0.0,-0.479823000000001
11220,1015.3360203366004,1014.6654243366004,0.0,-0.6705959999999987
11280,1015.3360203366004,1014.3474693366004,0.0,-0.9885510000000008
11340,1015.3360203366004,1014.5671473366004,0.0,-0.7688729999999993
11400,1015.3360203366004,1014.6538623366005,0.0,-0.6821580000000003
11460,1015.3295578866005,1014.1566963366005,0.0,-1.1793240000000011
11520,1015.9766534756005,1014.0444048866004,0.0,-1.2851529999999936
11580,1015.9766534756005,1015.9766534756005,0.0,0.0
11640,1015.9766534756005,1015.9766534756005,0.0,0.0
11700,1015.9766534756005,1015.9766534756005,0.0,0.0
11760,1015.9766534756005,1015.9766534756005,0.0,0.0
11820,1015.9766534756005,1015.9766534756005,0.0,0.0
11880,1015.9766534756005,1015.9766534756005,0.0,0.0
11940,1015.9766534756005,1015.9766534756005,0.0,0.0
12000,1015.9766534756005,1015.9766534756005,0.0,0.0
12060,1015.9766534756005,1015.9766534756005,0.0,0.0
12120,1015.9766534756005,1015.9766534756005,0.0,0.0
12180,1015.9766534756005,1015.9766534756005,0.0,0.0
12240,1015.9766534756005,1015.9766534756005,0.0,0.0
12300,1015.9766534756005,1015.9766534756005,0.0,0.0
12360,1015.9766534756005,1015.9766534756005,0.0,0.0
12420,1015.9766534756005,1015.9766534756005,0.0,0.0
12480,1015.9766534756005,1015.9766534756005,0.0,0.0
12540,1015.9766534756005,1015.9766534756005,0.0,0.0
12600,1015.9766534756005,1015.9766534756005,0.0,0.0
12660,1015.9766534756005,1015.9766534756005,0.0,0.0
12720,1015.9766534756005,1015.9766534756005,0.0,0.0
12780,1015.9766534756005,1015.9766534756005,0.0,0.0
12840,1015.9766534756005,1015.9766534756005,0.0,0.0
12900,1015.9766534756005,1015.9766534756005,0.0,0.0
12960,1015.9766534756005,1015.9766534756005,0.0,0.0
13020,1015.9766534756005,1015.9766534756005,0.0,0.0
13080,1015.9766534756005,1015.9766534756005,0.0,0.0
13140,1015.9766534756005,1015.9766534756005,0.0,0.0
13200,1015.9766534756005,1015.9766534756005,0.0,0.0
13260,1015.9766534756005,1015.9766534756005,0.0,0.0
13320,1015.9766534756005,1015.9766534756005,0.0,0.0
13380,1015.9766534756005,1015.9766534756005,0.0,0.0
13440,1015.9766534756005,1015.9766534756005,0.0,0.0
13500,1015.9766534756005,1015.9766534756005,0.0,0.0
13560,1015.9766534756005,1015.9766534756005,0.0,0.0
13620,1015.9766534756005,1015.9766534756005,0.0,0.0
13680,1015.9766534756005,1015.9766534756005,0.0,0.0
13740,1015.9766534756005,1015.9766534756005,0.0,0.0
13800,1015.9766534756005,1015.9766534756005,0.0,0.0
13860,1016.6430330176005,1015.9766534756005,0.0,0.0
13920,1016.6430330176005,1016.6430330176005,0.0,0.0
13980,1016.6430330176005,1016.6430330176005,0.0,0.0
14040,1016.6430330176005,1016.6430330176005,0.0,0.0
14100,1016.6430330176005,1016.6430330176005,0.0,0.0
14160,1016.6430330176005,1016.6430330176005,0.0,0.0
14220,1016.6430330176005,1016.6430330176005,0.0,0.0
14280,1016.6430330176005,1016.6430330176005,0.0,0.0
14340,1016.6430330176005,1016.6430330176005,0.0,0.0
14400,1016.6430330176005,1016.6430330176005,0.0,0.0
14460,1016.6430330176005,1016.6430330176005,0.0,0.0
14520,1016.6430330176005,1016.6430330176005,0.0,0.0
14580,1016.6430330176005,1016.6430330176005,0.0,0.0
14640,1016.6430330176005,1016.6430330176005,0.0,0.0
14700,1016.6430330176005,1016.6430330176005,0.0,0.0
14760,1016.6430330176005,1016.6430330176005,0.0,0.0
14820,1016.6430330176005,1016.6430330176005,0.0,0.0
14880,1016.6430330176005,1016.6430330176005,0.0,0.0
14940,1016.6430330176005,1016.6430330176005,0.0,0.0
15000,1016.7449298540005,1016.6430330176005,0.0,0.0
15060,1016.9902423166004,1016.9084086860005,0.0,0.0
15120,1017.0038475327705,1016.7500093166004,0.0,-0.24023300000000103
15180,1017.1691515726004,1017.1127793126004,0.0,0.108931779829922
15240,1017.1691515726004,1017.1691515726004,0.0,0.0
15300,1017.1691515726004,1017.1691515726004,0.0,0.0
15360,1017.1691515726004,1017.1691515726004,0.0,0.0
15420,1017.1691515726004,1017.1691515726004,0.0,0.0
15480,1017.1691515726004,1017.1691515726004,0.0,0.0
15540,1017.1691515726004,1017.1691515726004,0.0,0.0
15600,1017.1691515726004,1017.1691515726004,0.0,0.0
15660,1017.1691515726004,1017.1691515726004,0.0,0.0
15720,1017.1691515726004,1017.1691515726004,0.0,0.0
15780,1017.1691515726004,1017.1691515726004,0.0,0.0
15840,1017.1691515726004,1017.1691515726004,0.0,0.0
15900,1017.1691515726004,1017.1691515726004,0.0,0.0
15960,1017.1691515726004,1017.1691515726004,0.0,0.0
16020,1017.1691515726004,1017.1691515726004,0.0,0.0
16080,1017.1691515726004,1017.1691515726004,0.0,0.0
16140,1017.1691515726004,1017.1691515726004,0.0,0.0
16200,1017.1691515726004,1017.1691515726004,0.0,0.0
16260,1017.1691515726004,1017.1691515726004,0.0,0.0
16320,1017.1691515726004,1017.1691515726004,0.0,0.0
16380,1017.1691515726004,1017.1691515726004,0.0,0.0
16440,1017.1691515726004,1017.1691515726004,0.0,0.0
16500,1017.1691515726004,1017.1691515726004,0.0,0.0
16560,1017.1691515726004,1017.1691515726004,0.0,0.0
16620,1017.1691515726004,1017.1691515726004,0.0,0.0
16680,1017.1691515726004,1017.1691515726004,0.0,0.0
16740,1017.1691515726004,1017.1691515726004,0.0,0.0
16800,1017.1691515726004,1017.1691515726004,0.0,0.0
16860,1017.1691515726004,1017.1691515726004,0.0,0.0
16920,1017.1691515726004,1017.1691515726004,0.0,0.0
16980,1017.1691515726004,1017.1691515726004,0.0,0.0
17040,1017.1691515726004,1017.1691515726004,0.0,0.0
17100,1017.1691515726004,1017.1691515726004,0.0,0.0
17160,1017.1691515726004,1017.1691515726004,0.0,0.0
