,balance,equity,balance_btc,equity_btc
0,1000.237546876,1000.0,0.0,0.0
60,1000.237546876,1000.0,0.0,0.0
120,1000.237546876,1000.0,0.0,0.0
180,1000.381292076,1000.477276876,0.0,0.23972999999999978
240,1000.381292076,1000.381292076,0.0,0.0
300,1000.381292076,1000.381292076,0.0,0.0
360,1000.326680238,1000.381292076,0.0,0.0
420,1000.3476666006865,1000.069090238,0.0,-0.2575899999999977
480,1000.6425104379999,1000.6322691379999,0.0,0.2846025373134354
540,1000.6425104379999,1000.6425104379999,0.0,0.0
600,1000.6425104379999,1000.6425104379999,0.0,0.0
660,1000.631616478,1000.6425104379999,0.0,0.0
720,1001.3450776179999,1001.2108325779999,0.0,0.24204999999999943
780,1001.3341728339999,1001.3450776179999,0.0,0.0
840,1001.706343922,1001.6034528339999,0.0,0.2692800000000055
900,1001.706343922,1001.706343922,0.0,0.0
960,1001.706343922,1001.706343922,0.0,0.0
1020,1001.706343922,1001.706343922,0.0,0.0
1080,1001.706343922,1001.706343922,0.0,0.0
1140,1001.706343922,1001.706343922,0.0,0.0
1200,1002.0867450659999,1001.706343922,0.0,0.0
1260,1002.0867450659999,1002.0867450659999,0.0,0.0
1320,1002.0867450659999,1002.0867450659999,0.0,0.0
1380,1002.075832766,1002.0867450659999,0.0,0.0
1440,1002.171263368,1001.905532766,0.0,-0.1702999999999958
1500,1002.171263368,1002.171263368,0.0,0.0
1560,1002.171263368,1002.171263368,0.0,0.0
1620,1002.5222483919999,1002.171263368,0.0,0.0
1680,1002.5222483919999,1002.5222483919999,0.0,0.0
1740,1002.5222483919999,1002.5222483919999,0.0,0.0
1800,1002.5222483919999,1002.5222483919999,0.0,0.0
1860,1002.7316753287059,1002.5222483919999,0.0,0.0
1920,1002.8708609800001,1002.2285935640001,0.0,-0.5030817647058823
1980,1002.8708609800001,1002.8708609800001,0.0,0.0
2040,1002.8708609800001,1002.8708609800001,0.0,0.0
2100,1002.8708609800001,1002.8708609800001,0.0,0.0
2160,1002.85995918,1002.8708609800001,0.0,0.0
2220,1003.9346402200001,1004.05695918,0.0,1.1970000000000003
2280,1003.8802819360001,1003.9346402200001,0.0,0.0
2340,1003.8802819360001,1003.4972619360001,0.0,-0.38301999999999725
2400,1004.0679771160001,1003.7562619360001,0.0,-0.12401999999999858
2460,1004.0679771160001,1004.0679771160001,0.0,0.0
2520,1004.3447711740001,1004.0679771160001,0.0,0.0
2580,1004.5230347900001,1004.1237611740002,0.0,-0.22101000000000104
2640,1004.5121366620001,1004.5230347900001,0.0,0.0
2700,1004.6940462940001,1003.9526966620001,0.0,-0.5594400000000008
2760,1004.6940462940001,1004.6940462940001,0.0,0.0
2820,1004.6940462940001,1004.6940462940001,0.0,0.0
2880,1004.6940462940001,1004.6940462940001,0.0,0.0
2940,1004.8159272620001,1004.6940462940001,0.0,0.0
3000,1004.8159272620001,1004.8159272620001,0.0,0.0
3060,1004.8159272620001,1004.8159272620001,0.0,0.0
3120,1004.8159272620001,1004.8159272620001,0.0,0.0
3180,1004.8159272620001,1004.8159272620001,0.0,0.0
3240,1004.8159272620001,1004.8159272620001,0.0,0.0
3300,1004.8159272620001,1004.8159272620001,0.0,0.0
3360,1004.8159272620001,1004.8159272620001,0.0,0.0
3420,1004.8159272620001,1004.8159272620001,0.0,0.0
3480,1004.8159272620001,1004.8159272620001,0.0,0.0
3540,1004.8159272620001,1004.8159272620001,0.0,0.0
3600,1004.951258146,1004.8159272620001,0.0,0.0
3660,1004.951258146,1004.951258146,0.0,0.0
3720,1004.951258146,1004.951258146,0.0,0.0
3780,1004.951258146,1004.951258146,0.0,0.0
3840,1004.951258146,1004.951258146,0.0,0.0
3900,1004.951258146,1004.951258146,0.0,0.0
3960,1004.951258146,1004.951258146,0.0,0.0
4020,1004.951258146,1004.951258146,0.0,0.0
4080,1004.951258146,1004.951258146,0.0,0.0
4140,1004.951258146,1004.951258146,0.0,0.0
4200,1004.951258146,1004.951258146,0.0,0.0
4260,1004.94034669,1004.951258146,0.0,0.0
4320,1004.94034669,1004.44066669,0.0,-0.4996799999999961
4380,1005.125788036,1003.54786669,0.0,-1.3924800000000017
4440,1005.125788036,1005.125788036,0.0,0.0
4500,1005.125788036,1005.125788036,0.0,0.0
4560,1005.125788036,1005.125788036,0.0,0.0
4620,1005.125788036,1005.125788036,0.0,0.0
4680,1005.125788036,1005.125788036,0.0,0.0
4740,1005.125788036,1005.125788036,0.0,0.0
4800,1005.125788036,1005.125788036,0.0,0.0
4860,1005.125788036,1005.125788036,0.0,0.0
4920,1005.104551356,1005.125788036,0.0,0.0
4980,1005.3333550960001,1005.089871356,0.0,-0.01468000000000036
5040,1005.3333550960001,1005.3333550960001,0.0,0.0
5100,1005.3333550960001,1005.3333550960001,0.0,0.0
5160,1005.3333550960001,1005.3333550960001,0.0,0.0
5220,1005.3333550960001,1005.3333550960001,0.0,0.0
5280,1005.3333550960001,1005.3333550960001,0.0,0.0
5340,1005.3333550960001,1005.3333550960001,0.0,0.0
5400,1005.3333550960001,1005.3333550960001,0.0,0.0
