,balance,equity,balance_btc,equity_btc
0,999.159142014,1000.0,0.0,0.0
60,999.159142014,1000.0,0.0,0.0
120,999.159142014,1000.0,0.0,0.0
180,998.237081102,999.4483120140001,0.0,0.2891700000000059
240,998.237081102,998.237081102,0.0,0.0
300,998.2213983080001,998.237081102,0.0,0.0
360,997.5808011280001,998.8409283080001,0.0,0.6195299999999981
420,997.479362128,997.3585011280001,0.0,-0.22230000000000583
480,997.479362128,997.479362128,0.0,0.0
540,997.479362128,997.479362128,0.0,0.0
600,997.479362128,997.479362128,0.0,0.0
660,997.463684088,997.479362128,0.0,0.0
720,998.230649488,998.230649488,0.0,0.0
780,998.214942188,998.230649488,0.0,0.0
840,998.235828528,998.547442188,0.0,0.33250000000000557
900,998.235828528,998.235828528,0.0,0.0
960,998.235828528,998.235828528,0.0,0.0
1020,998.235828528,998.235828528,0.0,0.0
1080,998.235828528,998.235828528,0.0,0.0
1140,998.235828528,998.235828528,0.0,0.0
1200,999.146744424,998.235828528,0.0,0.0
1260,999.146744424,999.146744424,0.0,0.0
1320,999.146744424,999.146744424,0.0,0.0
1380,999.131072744,999.146744424,0.0,0.0
1440,998.798950884,998.830272744,0.0,-0.3007999999999982
1500,998.454606284,997.938250884,0.0,-0.8607000000000065
1560,998.454606284,998.454606284,0.0,0.0
1620,998.7543744559999,998.454606284,0.0,0.0
1680,999.2988744559999,999.413714456,0.0,0.6593399999999999
1740,999.2988744559999,999.2988744559999,0.0,0.0
1800,999.2988744559999,999.2988744559999,0.0,0.0
1860,999.934221438,999.2988744559999,0.0,0.0
1920,999.752926438,999.283781438,0.0,-0.6504400000000001
1980,999.752926438,999.752926438,0.0,0.0
2040,999.752926438,999.752926438,0.0,0.0
2100,999.752926438,999.752926438,0.0,0.0
2160,999.7371853860001,999.752926438,0.0,0.0
2220,1000.9877310260001,1001.407725386,0.0,1.67054
2280,1000.2689998320001,1000.9877310260001,0.0,0.0
2340,1000.465351368,1000.2689998320001,0.0,0.0
2400,1000.465351368,1000.465351368,0.0,0.0
2460,1000.465351368,1000.465351368,0.0,0.0
2520,1000.9826544379999,1000.465351368,0.0,0.0
2580,1000.93855703,1000.7831544379999,0.0,-0.19950000000000134
2640,1000.92286106,1000.93855703,0.0,0.0
2700,1001.120116352,1000.0602110599999,0.0,-0.8626499999999996
