,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,816,LINK,0.0,-0.0177858,999.9822142,0.0,999.9822142,1.0,8.2,10.845,8.2,10.845,entry_initial_normal_long
1,828,LINK,-0.04920000000000186,-0.017775959999999997,999.91523824,0.0,999.91523824,1.0,-8.2,10.839,0.0,10.845,close_trailing_long
2,5536,LINK,0.0,-0.01772728,999.89751096,0.0,999.89751096,1.0,7.1,12.484,7.1,12.484,entry_initial_normal_long
3,5656,LINK,-0.2698000000000018,-0.01767332,999.61003764,0.0,999.61003764,1.0,-7.1,12.446,0.0,12.484,close_trailing_long
4,7630,LINK,0.0,-0.01789508,999.59214256,0.0,999.59214256,1.0,7.9,11.326,7.9,11.326,entry_initial_normal_long
5,7654,LINK,0.387099999999996,-0.0179725,999.96127006,0.0,999.96127006,1.0,-7.9,11.375,0.0,11.326,close_trailing_long
6,9514,LINK,0.0,-0.01782352,999.94344654,0.0,999.94344654,1.0,7.6,11.726,7.6,11.726,entry_initial_normal_long
7,9565,LINK,2.523199999999992,-0.01832816,1002.4483183799999,0.0,1002.4483183799999,1.0,-7.6,12.058,0.0,11.726,close_trailing_long
8,10366,LINK,0.0,-0.0178704,1002.4304479799999,0.0,1002.4304479799999,1.0,8.0,11.169,8.0,11.169,entry_initial_normal_long
9,10369,LINK,0.20000000000000284,-0.017910400000000003,1002.61253758,0.0,1002.61253758,1.0,-8.0,11.194,0.0,11.169,close_trailing_long
10,17228,LINK,0.0,-0.01783504,1002.59470254,0.0,1002.59470254,1.0,7.9,11.288,7.9,11.288,entry_initial_normal_long
11,17234,LINK,0.13429999999999573,-0.0178619,1002.7111406399999,0.0,1002.7111406399999,1.0,-7.9,11.305,0.0,11.288,close_trailing_long
12,18342,LINK,0.0,-0.0178089,1002.69333174,0.0,1002.69333174,1.0,8.7,10.235,8.7,10.235,entry_initial_normal_long
13,18355,LINK,-0.3827999999999887,-0.01773234,1002.2927993999999,0.0,1002.2927993999999,1.0,-8.7,10.191,0.0,10.235,close_trailing_long
14,24123,LINK,0.0,-0.0177192,1002.2750801999999,0.0,1002.2750801999999,1.0,6.9,12.84,6.9,12.84,entry_initial_normal_long
