,balance,equity,balance_btc,equity_btc
0,1000.0158411699999,1000.0,0.0,0.0
60,1000.0158411699999,1000.0158411699999,0.0,0.0
120,1000.0158411699999,1000.0158411699999,0.0,0.0
180,1000.0158411699999,1000.0158411699999,0.0,0.0
240,1000.127927914,1000.0158411699999,0.0,0.0
300,1000.127927914,1000.127927914,0.0,0.0
360,1000.127927914,1000.127927914,0.0,0.0
420,1000.127927914,1000.127927914,0.0,0.0
480,1000.127927914,1000.127927914,0.0,0.0
540,1000.127927914,1000.127927914,0.0,0.0
600,1000.127927914,1000.127927914,0.0,0.0
660,1000.127927914,1000.127927914,0.0,0.0
720,1000.455494224,1000.127927914,0.0,0.0
780,1000.584979156,1000.455494224,0.0,0.0
840,1000.74932448,1000.584979156,0.0,0.0
900,1001.033467056,1000.74932448,0.0,0.0
960,1002.575176676,1001.033467056,0.0,0.0
1020,1003.4216501479999,1002.9167766759999,0.0,0.3416000000000014
1080,1003.4216501479999,1003.4216501479999,0.0,0.0
1140,1003.594962714,1003.4216501479999,0.0,0.0
1200,1003.930980056,1003.6928140599999,0.0,0.10186000000000112
1260,1003.92697898,1003.930980056,0.0,0.0
1320,1004.0179786539999,1003.9782389799999,0.0,0.05126000000000056
1380,1004.0179786539999,1004.0179786539999,0.0,0.0
1440,1004.0179786539999,1004.0179786539999,0.0,0.0
1500,1004.0373167019999,1004.0179786539999,0.0,0.0
1560,1004.236632874,1003.9137128619999,0.0,-0.11960000000000316
1620,1004.2326256059999,1004.236632874,0.0,0.0
1680,1004.2326256059999,1003.9123456059999,0.0,-0.3202799999999982
1740,1004.299254208,1004.0206756059999,0.0,-0.21194999999999967
1800,1004.299254208,1004.299254208,0.0,0.0
1860,1004.358850612,1004.299254208,0.0,0.0
1920,1004.358850612,1004.358850612,0.0,0.0
1980,1004.358850612,1004.358850612,0.0,0.0
2040,1004.486307976,1004.358850612,0.0,0.0
2100,1004.518387956,1004.486307976,0.0,0.0
2160,1004.592925684,1004.056847956,0.0,-0.46153999999999934
2220,1004.7242892980001,1004.592925684,0.0,0.0
2280,1005.185522782,1004.7242892980001,0.0,0.0
2340,1005.185522782,1005.185522782,0.0,0.0
2400,1005.185522782,1005.185522782,0.0,0.0
2460,1005.185522782,1005.185522782,0.0,0.0
2520,1005.185522782,1005.185522782,0.0,0.0
2580,1005.185522782,1005.185522782,0.0,0.0
