,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,AAVE,0.0,-0.021442560000000003,999.97855744,0.0,999.97855744,1.0,1.6,67.008,1.6,67.008,entry_initial_normal_long
1,29,AAVE,0.147199999999998,-0.021472,1000.10428544,0.0,1000.10428544,1.0,-1.6,67.1,0.0,67.008,close_trailing_long
2,75,AAVE,0.0,-0.021529600000000003,1000.08275584,0.0,1000.08275584,1.0,1.6,67.28,1.6,67.28,entry_initial_normal_long
3,79,AAVE,1.5087999999999966,-0.02183136,1001.56972448,0.0,1001.56972448,1.0,-1.6,68.223,0.0,67.28,close_trailing_long
4,87,AAVE,0.0,-0.021539200000000005,1001.54818528,0.0,1001.54818528,1.0,1.6,67.31,1.6,67.31,entry_initial_normal_long
5,100,AAVE,0.41920000000000074,-0.021623040000000003,1001.94576224,0.0,1001.94576224,1.0,-1.6,67.572,0.0,67.31,close_trailing_long
6,106,AAVE,0.0,-0.0215456,1001.92421664,0.0,1001.92421664,1.0,1.6,67.33,1.6,67.33,entry_initial_normal_long
7,113,AAVE,0.16480000000001382,-0.021578560000000007,1002.0674380800001,0.0,1002.0674380800001,1.0,-1.6,67.433,0.0,67.33,close_trailing_long
8,125,AAVE,0.0,-0.021555200000000004,1002.0458828800001,0.0,1002.0458828800001,1.0,1.6,67.36,1.6,67.36,entry_initial_normal_long
9,133,AAVE,1.2031999999999927,-0.02179584,1003.2272870400001,0.0,1003.2272870400001,1.0,-1.6,68.112,0.0,67.36,close_trailing_long
10,159,AAVE,0.0,-0.021603200000000006,1003.2056838400001,0.0,1003.2056838400001,1.0,1.6,67.51,1.6,67.51,entry_initial_normal_long
11,167,AAVE,0.2895999999999958,-0.021661120000000002,1003.4736227200001,0.0,1003.4736227200001,1.0,-1.6,67.691,0.0,67.51,close_trailing_long
12,169,AAVE,0.0,-0.0216064,1003.4520163200001,0.0,1003.4520163200001,1.0,1.6,67.52,1.6,67.52,entry_initial_normal_long
13,326,AAVE,0.16000000000001366,-0.021638400000000002,1003.5903779200002,0.0,1003.5903779200002,1.0,-1.6,67.62,0.0,67.52,close_trailing_long
14,335,AAVE,0.0,-0.0214784,1003.5688995200002,0.0,1003.5688995200002,1.0,1.6,67.12,1.6,67.12,entry_initial_normal_long
15,341,AAVE,1.0751999999999953,-0.02169344,1004.6224060800001,0.0,1004.6224060800001,1.0,-1.6,67.792,0.0,67.12,close_trailing_long
16,356,AAVE,0.0,-0.021504000000000002,1004.6009020800001,0.0,1004.6009020800001,1.0,1.6,67.2,1.6,67.2,entry_initial_normal_long
17,373,AAVE,0.5071999999999889,-0.02160544,1005.0864966400001,0.0,1005.0864966400001,1.0,-1.6,67.517,0.0,67.2,close_trailing_long
18,375,AAVE,0.0,-0.021510400000000002,1005.06498624,0.0,1005.06498624,1.0,1.6,67.22,1.6,67.22,entry_initial_normal_long
19,379,AAVE,0.16800000000000637,-0.021544000000000004,1005.2114422400001,0.0,1005.2114422400001,1.0,-1.6,67.325,0.0,67.22,close_trailing_long
20,574,AAVE,0.0,-0.020589,1005.1908532400001,0.0,1005.1908532400001,1.0,1.5,68.63,1.5,68.63,entry_initial_normal_long
21,608,AAVE,0.19050000000001432,-0.020627100000000002,1005.3607261400001,0.0,1005.3607261400001,1.0,-1.5,68.757,0.0,68.63,close_trailing_long
22,611,AAVE,0.0,-0.020589,1005.3401371400001,0.0,1005.3401371400001,1.0,1.5,68.63,1.5,68.63,entry_initial_normal_long
23,770,AAVE,0.49499999999999744,-0.020688,1005.8144491400001,0.0,1005.8144491400001,1.0,-1.5,68.96,0.0,68.63,close_trailing_long
24,787,AAVE,0.0,-0.020520000000000004,1005.79392914,0.0,1005.79392914,1.0,1.5,68.4,1.5,68.4,entry_initial_normal_long
25,801,AAVE,0.5009999999999835,-0.0206202,1006.2743089400001,0.0,1006.2743089400001,1.0,-1.5,68.734,0.0,68.4,close_trailing_long
26,856,AAVE,0.0,-0.020607,1006.25370194,0.0,1006.25370194,1.0,1.5,68.69,1.5,68.69,entry_initial_normal_long
