,balance,equity,balance_btc,equity_btc
0,1000.1826962399999,1000.0,0.0,0.0
60,1000.1826962399999,998.3358962399999,0.0,-1.846800000000005
120,1000.57533964,996.8158962399999,0.0,-3.3668000000000053
180,1000.70802918,1000.57533964,0.0,0.0
240,1000.82759466,998.0955291800001,0.0,-2.6125
300,1000.80656318,1000.82759466,0.0,0.0
360,1000.80656318,996.65316318,0.0,-4.153400000000002
420,1000.80656318,996.32066318,0.0,-4.485900000000003
480,1000.80656318,990.63966318,0.0,-10.166900000000009
540,1000.80656318,992.1881631800001,0.0,-8.618400000000003
600,1000.80656318,990.77266318,0.0,-10.033900000000012
660,1000.80656318,991.91266318,0.0,-8.893900000000011
720,1000.80656318,994.47766318,0.0,-6.3289000000000115
780,1000.80656318,992.24516318,0.0,-8.561400000000011
840,1000.80656318,991.08616318,0.0,-9.720400000000005
900,1001.15959248,994.60116318,0.0,-6.205400000000016
960,1001.15959248,1001.15959248,0.0,0.0
1020,1001.48062328,1001.15959248,0.0,0.0
1080,1001.68065208,1001.47662328,0.0,-0.003999999999996362
1140,1001.8016484799999,1001.68465208,0.0,0.003999999999996362
1200,1001.8016484799999,1001.8016484799999,0.0,0.0
1260,1001.8016484799999,1001.8016484799999,0.0,0.0
1320,1001.8016484799999,1001.8016484799999,0.0,0.0
1380,1001.8016484799999,1001.8016484799999,0.0,0.0
1440,1001.8016484799999,1001.8016484799999,0.0,0.0
1500,1001.8016484799999,1001.8016484799999,0.0,0.0
1560,1001.7807598799999,1001.8016484799999,0.0,0.0
1620,1002.3487534799999,1001.6287598799998,0.0,-0.15200000000001296
1680,1002.3487534799999,1002.3487534799999,0.0,0.0
1740,1002.3487534799999,1002.3487534799999,0.0,0.0
1800,1002.3487534799999,1002.3487534799999,0.0,0.0
1860,1002.3487534799999,1002.3487534799999,0.0,0.0
1920,1002.3487534799999,1002.3487534799999,0.0,0.0
1980,1002.5540189999999,1002.3487534799999,0.0,0.0
2040,1002.63490452,1002.5540189999999,0.0,0.0
2100,1002.63490452,1000.5559045199999,0.0,-2.079000000000012
2160,1002.63490452,1000.7719045199999,0.0,-1.863000000000004
2220,1002.8527603199999,1001.46490452,0.0,-1.17
2280,1003.23104868,1002.9067603199999,0.0,0.054000000000012274
2340,1004.0322653999999,1003.23104868,0.0,0.0
2400,1004.0322653999999,1003.5588654,0.0,-0.47339999999999915
2460,1004.0322653999999,1003.0368653999999,0.0,-0.9954000000000155
2520,1004.0322653999999,1000.6698653999999,0.0,-3.362400000000011
2580,1004.0322653999999,1002.3078653999999,0.0,-1.7244000000000073
2640,1004.0322653999999,1002.6318653999999,0.0,-1.4004000000000154
2700,1004.0322653999999,998.5728654,0.0,-5.459400000000008
2760,1004.0322653999999,997.3848653999999,0.0,-6.647400000000011
2820,1004.0322653999999,997.6728653999999,0.0,-6.359400000000007
2880,1004.0322653999999,997.3848653999999,0.0,-6.647400000000011
2940,1004.0322653999999,995.8278654,0.0,-8.204400000000007
3000,1004.0322653999999,997.4838653999999,0.0,-6.548399999999999
3060,1004.0322653999999,996.6018654,0.0,-7.430400000000016
3120,1004.0322653999999,998.5188653999999,0.0,-5.513399999999999
3180,1004.0322653999999,997.8708654,0.0,-6.161400000000003
3240,1004.0322653999999,999.0408653999999,0.0,-4.991400000000003
3300,1004.0322653999999,994.0908653999999,0.0,-9.941400000000003
3360,1004.0322653999999,991.7418653999999,0.0,-12.290400000000016
3420,1004.0322653999999,992.1918653999999,0.0,-11.840400000000015
3480,1004.0322653999999,988.9878653999999,0.0,-15.044400000000007
3540,1004.0322653999999,992.6328653999999,0.0,-11.399400000000007
3600,1004.0322653999999,993.6858653999999,0.0,-10.346400000000003
3660,1004.0322653999999,994.5948653999999,0.0,-9.437400000000011
3720,1004.0322653999999,991.3638653999999,0.0,-12.668399999999998
3780,1004.0322653999999,992.7138653999999,0.0,-11.318399999999999
3840,1004.0322653999999,993.8478653999999,0.0,-10.184400000000007
3900,1004.0322653999999,993.5508653999999,0.0,-10.481400000000002
3960,1004.0322653999999,993.1368653999999,0.0,-10.895400000000015
4020,1004.0322653999999,992.9928653999999,0.0,-11.039400000000008
4080,1004.0322653999999,992.8848653999999,0.0,-11.147400000000012
4140,1004.0113843999999,994.2888654,0.0,-9.7434
4200,1004.0113843999999,995.2379843999998,0.0,-8.773400000000011
4260,1004.0113843999999,994.9604843999999,0.0,-9.050900000000011
4320,1004.0113843999999,995.8854843999999,0.0,-8.125900000000012
4380,1004.0113843999999,999.9369843999999,0.0,-4.0743999999999945
4440,1004.0113843999999,997.1619843999999,0.0,-6.849399999999995
4500,1004.0113843999999,995.5894843999998,0.0,-8.421899999999996
4560,1004.0113843999999,988.2819843999999,0.0,-15.729399999999995
4620,1004.0113843999999,991.7044843999998,0.0,-12.306899999999995
4680,1004.0113843999999,983.0094843999999,0.0,-21.001899999999996
4740,1004.0113843999999,983.2869843999999,0.0,-20.724399999999996
4800,1004.0113843999999,975.4984843999999,0.0,-28.5129
4860,1004.0113843999999,981.4184843999999,0.0,-22.5929
4920,1004.0113843999999,973.6854844,0.0,-30.32589999999999
4980,1004.0113843999999,976.1644843999999,0.0,-27.846899999999994
5040,1003.9699243999999,969.5414844,0.0,-34.46989999999999
5100,1003.9699243999999,983.2075243999998,0.0,-20.762400000000063
5160,1003.9699243999999,981.8215243999997,0.0,-22.148400000000116
5220,1003.9699243999999,987.6350243999998,0.0,-16.33490000000006
5280,1003.9699243999999,978.5105243999998,0.0,-25.45940000000008
5340,1003.9699243999999,986.0180243999998,0.0,-17.95190000000008
5400,1003.9699243999999,967.3840243999998,0.0,-36.58590000000007
5460,1003.8863581999999,965.1125243999998,0.0,-38.85740000000006
5520,1003.7079431999999,964.4439581999999,0.0,-39.442400000000056
5580,1046.3691025517933,1026.5770431999997,0.0,22.86909999999984
5640,1056.8811931599998,1056.9432262599998,0.0,10.57412370820667
5700,1056.8811931599998,1056.8811931599998,0.0,0.0
5760,1056.8811931599998,1056.8811931599998,0.0,0.0
5820,1056.8811931599998,1056.8811931599998,0.0,0.0
5880,1056.8811931599998,1056.8811931599998,0.0,0.0
5940,1056.8811931599998,1056.8811931599998,0.0,0.0
6000,1057.5451011599998,1056.8811931599998,0.0,0.0
6060,1057.5451011599998,1054.6631011599998,0.0,-2.881999999999994
6120,1057.5451011599998,1053.3431011599998,0.0,-4.201999999999998
6180,1057.5451011599998,1052.2031011599997,0.0,-5.3419999999999845
6240,1057.5451011599998,1049.1831011599998,0.0,-8.36199999999999
6300,1057.52151186,1050.76310116,0.0,-6.781999999999994
6360,1057.78519416,1057.19601186,0.0,-0.3255000000000302
6420,1057.78519416,1057.78519416,0.0,0.0
6480,1057.96421096,1057.78519416,0.0,0.0
6540,1058.17816296,1057.96421096,0.0,0.0
6600,1058.63485136,1058.17816296,0.0,0.0
6660,1058.63485136,1058.63485136,0.0,0.0
6720,1058.63485136,1058.63485136,0.0,0.0
6780,1058.63485136,1058.63485136,0.0,0.0
6840,1058.63485136,1058.63485136,0.0,0.0
6900,1058.63485136,1058.63485136,0.0,0.0
6960,1058.63485136,1058.63485136,0.0,0.0
7020,1058.63485136,1058.63485136,0.0,0.0
7080,1058.63485136,1058.63485136,0.0,0.0
7140,1059.22732244,1058.63485136,0.0,0.0
7200,1059.4471735800003,1059.14232244,0.0,-0.085
7260,1060.1069129800003,1060.1069129800003,0.0,0.0
7320,1060.0848962800003,1060.1069129800003,0.0,0.0
7380,1060.0848962800003,1059.6853962800003,0.0,-0.3994999999999846
7440,1060.0848962800003,1055.4353962800003,0.0,-4.649499999999985
7500,1060.0848962800003,1054.2368962800003,0.0,-5.847999999999996
7560,1060.0619102800003,1054.8318962800004,0.0,-5.252999999999997
7620,1060.3193470800004,1057.7884102800003,0.0,-2.2735000000000296
7680,1060.2976547400003,1060.3193470800004,0.0,0.0
7740,1060.2976547400003,1058.0859547400003,0.0,-2.2116999999999987
7800,1060.5147776800004,1060.1429547400003,0.0,-0.1546999999999946
7860,1060.6466143600005,1060.6466143600005,0.0,0.0
7920,1060.6247312800006,1060.6466143600005,0.0,0.0
7980,1060.6247312800006,1059.5248312800006,0.0,-1.0999000000000048
8040,1060.7507186200005,1057.3913312800005,0.0,-3.233399999999997
8100,1061.3162285800004,1060.7507186200005,0.0,0.0
8160,1061.3162285800004,1055.5418285800004,0.0,-5.774400000000007
